Attacker,Fast Move,Charged Move,Level,"Alakazam, Tier 3","Alakazam, Tier 3","Banette, Tier 3","Banette, Tier 3","Claydol, Tier 3","Claydol, Tier 3","Drifblim, Tier 3","Drifblim, Tier 3","Dusclops, Tier 3","Dusclops, Tier 3","Espeon, Tier 3","Espeon, Tier 3","Gengar, Tier 3","Gengar, Tier 3","Golurk, Tier 3","Golurk, Tier 3","Gothorita, Tier 3","Gothorita, Tier 3","Grumpig, Tier 3","Grumpig, Tier 3","Haunter, Tier 3","Haunter, Tier 3","Hypno, Tier 3","Hypno, Tier 3","Jynx, Tier 3","Jynx, Tier 3","Kadabra, Tier 3","Kadabra, Tier 3","Lampent, Tier 3","Lampent, Tier 3","Marowak (Alola), Tier 3","Marowak (Alola), Tier 3","Metagross, Tier 3","Metagross, Tier 3","Metang, Tier 3","Metang, Tier 3","Raichu (Alola), Tier 3","Raichu (Alola), Tier 3","Slowbro, Tier 3","Slowbro, Tier 3","Slowking, Tier 3","Slowking, Tier 3","Starmie, Tier 3","Starmie, Tier 3","Wobbuffet, Tier 3","Wobbuffet, Tier 3","Xatu, Tier 3","Xatu, Tier 3"
Shadow Banette,Shadow Claw,Shadow Ball,50,1.4598543542518607,0.65060157,1.548007501317739,0.51429194,1.3725430518898638,0.8458754000000003,1.5182229156820808,0.42005742,1.3295669273866186,0.8603332,1.280236559406058,0.6981493,1.6004933667923877,0.6015332,1.3344613325479564,0.5971613500000001,1.2984863273100655,0.5714581,1.3200421438935876,0.7055781,1.5769408029402938,0.46007642,1.3041168494484803,0.7031402,1.3494129494890952,0.58644015,1.5023892770648333,0.47543857,1.3893379850564325,0.4494779,1.3245117399554118,0.6916849,1.307755905602933,0.850947,1.3386356401339907,0.6522563700000001,1.3842442808158473,0.5974201000000001,1.3719445071996532,0.68611044,1.345375041006542,0.68434304,1.384552969563789,0.68954444,1.3021530100334449,0.40584427,1.3494421838645478,0.5603357600000001
Gengar,Shadow Claw or Lick,Shadow Ball,35,1.3990993711533524,0.7568414,1.510394891464669,0.5772724,1.3904395814779726,0.9692128,1.369015859754253,0.46583584,1.339284227422645,0.9505774,1.4499697368608195,0.82948965,1.4222090866340464,0.6677121,1.5070128807658698,0.69380784,1.3708582291428835,0.6742861,1.313769577288789,0.8036941000000002,1.5005096981604946,0.5071086,1.3775562650709388,0.8216925,1.3617280160564829,0.6756353,1.4103591318818094,0.5514944000000002,1.339320789780027,0.5010023,1.3442974122802949,0.76946497,1.5102021668261598,1.0119778,1.3658210270527062,0.751099,1.3872992261338608,0.6792301,1.328949084601479,0.776853,1.3069115443043686,0.7780649000000002,1.3093090276149233,0.7669558,1.2958698810820235,0.45915988,1.3465651672121355,0.63416034
Trevenant,Shadow Claw,Shadow Ball,30,1.6063063800947852,,1.6781397067958805,,1.5220627192344625,,1.7025716136391666,,1.711061220176437,,1.4777028469289726,,1.6865059717988602,,1.5044602300140848,,1.5285972058979427,,1.614828781144401,,1.6574972562983925,,1.6140495032274178,,1.6407996631621637,,1.6060163634197449,,1.6916403204138546,,1.7479165330505104,,1.4530108341418382,,1.5520090693664512,,1.546857334942588,,1.5766119582786982,,1.6289875501472033,,1.6501578244604502,,1.6749171874069677,,1.5991060187028525,
Mega Gengar,Shadow Claw or Lick,Shadow Ball,30,1.0,0.5910618,1.0,0.44029537,1.0,0.7485321,1.0,0.36261356,1.0,0.7503315,1.0,0.6447564,1.0,0.517161,0.9999999999999999,0.5338632500000001,1.0,0.5243032,1.0,0.6231561,1.0,0.38926846,1.0,0.6497249,1.0,0.52284974,1.0,0.42449382,1.0,0.392665,0.9999999999999999,0.6084105400000002,1.0,0.7792467,1.0,0.58578044,1.0,0.5309026,1.0,0.6153574,1.0,0.6125672,1.0,0.6137172,1.0,0.35876685,1.0,0.50525194
Mega Absol,Snarl,Dark Pulse or Payback,45,1.2353605611919332,0.6202095,1.2450025721518732,0.48660022,1.1822809316775857,0.80923104,1.1934624734708426,0.39727092,1.2354145772973777,0.83699745,1.097064508141643,0.63753325,1.3404611544997083,0.5763312000000002,1.268643571127071,0.59902006,1.1462780113472042,0.5612598,1.138942112749568,0.6851738,1.2261262903838115,0.4188932800000001,1.1912671486473685,0.69099134,1.3150062382787686,0.58388704,1.1970606961563774,0.4568756200000001,1.3228887735397554,0.44201565,1.2229157799767378,0.6714376,1.2153800907442016,0.8235341,1.18559407809378,0.6359997,1.256290513629852,0.58425194,1.1951603167764964,0.66033113,1.1741515869751211,0.6533364,1.2669647315064065,0.6930131300000001,1.1913257410245335,0.39915985,1.2021699295005153,0.5416809300000001
Hoopa (Unbound),Confusion or Astonish,Dark Pulse or Shadow Ball,50,1.3386199153564808,0.6885564,1.4261862708210178,0.5324024,1.3453998170952417,0.9030162000000003,1.3853614114503408,0.44429147,1.407063296294241,0.9096994,1.2453340485550786,0.6909215,1.2693348766366315,0.5421444,1.3866948698771024,0.6436105400000001,1.2845734052475832,0.6034561,1.3116677967808896,0.7439286,1.1962551286833272,0.40554833,1.3657925387813468,0.7761857,1.3883873204434252,0.61273706,1.3778396848815524,0.48971656,1.421328493343916,0.483845,1.3700614557552293,0.7428306,1.2847192955332911,0.89389366,1.3581127219091385,0.6960346000000001,1.363330394821346,0.6432658000000001,1.356605887652665,0.7274813,1.3395245170876673,0.7218388,1.3743297340897431,0.7376063,1.4205621561117705,0.44608212,1.3661195124531482,0.6085843400000001
Shadow Absol,Snarl,Dark Pulse or Payback,30,1.2875532183127205,0.7828323,1.4659134087687717,0.62042505,1.3010550275080324,0.98395914,1.3429054847078405,0.47422242,1.3164223062748095,0.9761601,1.1560879340916563,0.78569245,1.279748999950155,0.73291254,1.5219257726081217,0.7670871000000002,1.1880538539895,0.6611377,1.2554584426737843,0.8115004,1.2895214183909411,0.5200898,1.2860344347129777,0.82098,1.402471981895023,0.73503375,1.4280534106416674,0.5691815,1.392165212877866,0.54327357,1.417634992728674,0.8345274300000002,1.2747683989643104,1.0444922,1.2730592242564547,0.7677121,1.3520401064429102,0.7404263,1.322606481788709,0.80682355,1.3719228310082465,0.79440045,1.4309460748935594,0.86892706,1.3281469874514054,0.47732154,1.2908916791828915,0.6706501
Shadow Sharpedo,Bite or Waterfall,Crunch,35,1.398929841423305,0.79217666,1.6145064548702945,0.6355052,1.4023662506062968,0.9818126,1.4285082035695251,0.49434897,1.4356102176899699,1.0376348,1.2924468577695671,0.80494165,1.5745239834758025,0.7529278,1.6892581423826567,0.7795051,1.3420436561269524,0.6881246,1.3638041078495795,0.8443115000000002,1.5036689930288536,0.52795297,1.4256221308342625,0.8471341,1.5579428627156413,0.73697495,1.5380114909499862,0.5778603600000001,1.6077322062353967,0.54233927,1.4389639347760226,0.8413607,1.419226807726751,1.0173149,1.3762567321505679,0.78173286,1.7488719060364086,0.78534037,1.3916186652367706,0.7995167,1.3718567474813974,0.7895405000000002,1.5378164695012693,0.8890164,1.3715227049054328,0.494547,1.423627599284962,0.6840236
Shadow Weavile,Snarl,Foul Play,30,1.1881635084980673,0.70549524,1.2188270643766603,0.54827464,1.1623885502001414,0.90412927,1.1831128629445238,0.43498942,1.2290474127777058,0.91528463,1.0380542291876398,0.7066838,1.1927907878589383,0.65491056,1.3372423274783702,0.6847893000000002,1.1034524998041084,0.618331,1.1353275006717716,0.75756747,1.189837848841663,0.4694744,1.182450307739109,0.76164734,1.2627081846278256,0.64045393,1.2126134490936684,0.51223665,1.3262898019521645,0.51130253,1.314893619378801,0.7787854000000002,1.1794709962114593,0.94859046,1.180960348025769,0.71559036,1.2324716004714085,0.65087616,1.1551814896640495,0.72053564,1.1953367794213177,0.7173192,1.3179485564914695,0.79955536,1.249605418506745,0.453195,1.1629809650893403,0.600762
Shadow Banette,Shadow Claw or Hex,Shadow Ball,30,1.3836945192565577,0.7903238,1.5278703724248848,0.6142904,1.325605115534475,0.98798263,1.57690269397315,0.49843875,1.3924851886669913,0.9930113,1.2957999767616655,0.84270114,1.3797441956290448,0.72560537,1.3558954056496955,0.7154909400000001,1.29087028305148,0.6783453,1.4312580058595221,0.8370543,1.6919908875533827,0.5547617,1.3533211034754002,0.84466344,1.4136368402666692,0.70445514,1.5606029550166078,0.5715598,1.3865718702116596,0.53063214,1.6083125804629976,0.8161972000000002,1.3320741099682352,1.0403128,1.3307432653186415,0.76027113,1.3659425390050386,0.71801084,1.3382353392322095,0.8029631,1.363187848165977,0.7969511,1.398278381358792,0.82750696,1.2927506850826964,0.46326387,1.368265066742097,0.6919583
Shadow Tyranitar,Smack Down or Bite,Crunch,30,1.198066651570412,0.74552476,1.2142544107490967,0.5824688,1.241757595600103,1.012624,1.2260422999999614,0.47439587,1.3351044416386146,1.037442,1.0560000186372611,0.75986594,1.2059454106111878,0.6775303,1.2517623937329083,0.7123192000000002,1.2055052383652058,0.683339,1.2126292133717107,0.8302757,1.184539227482708,0.5091726,1.2369552670018953,0.8397811,1.288885362612256,0.6645922,1.215937634868367,0.5444928,1.2653792676555007,0.5195099,1.2527288003954518,0.8048145000000002,1.2137437430234335,1.0029817,1.2321186392083074,0.7717579,1.2626943443100733,0.6995648,1.2568730207707162,0.808545,1.2400378653364816,0.7974237,1.3234022594327361,0.8280035,1.3846750595045332,0.5039349,1.1597475130248167,0.64003885
Banette,Shadow Claw or Hex,Shadow Ball,40,1.6991604137814007,0.836799,1.7882843555916428,0.6466245,1.5743181093743945,1.0519068,1.653231579345669,0.523968,1.5696767324559766,1.0681453,1.5229639787820504,0.8787766,1.8058910688249956,0.7678887,1.5833160660411765,0.7624523,1.5337257527864294,0.7351294,1.49405950422064,0.8776166,1.832391170307955,0.58364916,1.5321787600029995,0.8887697,1.5977123609511568,0.7490942,1.725382315699169,0.6062665600000001,1.6614864775917713,0.5709816,1.5501365047040123,0.87063783,1.5798837727921347,1.0877204,1.5778554111635952,0.84558344,1.6633239963800943,0.76203054,1.619142657094027,0.86451674,1.5832399715963923,0.85716736,1.5902532494207304,0.8705127,1.5628774240160208,0.5216580600000001,1.611482171517651,0.7112356000000001
Houndoom,Snarl or Fire Fang,Foul Play,45,1.5447068096670937,0.7809642,1.5753776242450843,0.6128346,1.5243139024005423,1.034783,1.5283173237250218,0.5096713,1.5891939368050914,1.0735818,1.4057986588359006,0.8124802,1.7113492246391104,0.7238565000000001,1.6401114356383766,0.76507604,1.4539622775845873,0.70224303,1.4591426850389089,0.87552124,1.5254761424399295,0.5306663000000001,1.5201321766799352,0.8742299,1.585864983342085,0.70606565,1.4905355690363702,0.5693561000000001,1.6102332605522633,0.55805904,1.5173989408268111,0.8494407,1.4995415264124947,1.0181397,1.517746019084329,0.8208659,1.5044370256476254,0.7253518,1.503783949491012,0.84177864,1.455422624688293,0.8294449,1.6220492729700364,0.8722191000000002,1.5543632899613038,0.5237491,1.4940893620590896,0.6886636600000001
Shadow Dusknoir,Hex,Shadow Ball,30,1.7603580381935244,0.9840014,1.7762142235450673,0.7676692,1.588560487977157,1.2244043,1.6949753291370124,0.6053711,1.6584253973356113,1.2327176,1.5285291328053359,1.0329515,1.6457674944554097,0.8679485,1.5660737635038768,0.8916492500000002,1.5377734021027205,0.81992805,1.6334133777234643,1.0226077,1.7914372391020723,0.67508674,1.5788208034992044,1.0260625,1.644244802547449,0.8499473,1.6861142228616184,0.7043877,1.6646470988979103,0.6394194,1.6406804425575672,1.0061814000000002,1.539055361518337,1.2543967,1.5924916854139357,0.9395069,1.7559752207026662,0.88163507,1.6192229674799699,0.97405314,1.6003623349984686,0.9652256,1.6881458088120138,1.0019162,1.5978815079225621,0.5711157,1.6117567706755993,0.8244297
Shadow Houndoom,Snarl or Fire Fang,Foul Play,35,1.2976046984052307,0.71442,1.3552880696300034,0.55532247,1.3326455508763635,0.9569394,1.2872911078780196,0.4581205,1.3096791894679873,0.95263344,1.156521429937277,0.7209171,1.3357427030084326,0.6628251,1.5666272944138762,0.73085874,1.2256786863700275,0.63840985,1.2088509730704557,0.7874715300000003,1.3015908431928134,0.48505482,1.2868056143780948,0.793839,1.3265551052701021,0.64469475,1.2717419233786924,0.5197313000000001,1.330419935397537,0.50381273,1.298285868691598,0.7650727,1.3021442108662697,0.93970597,1.2593706085001646,0.7390439,1.344591429329811,0.6721864,1.2766470069496147,0.75349486,1.234110643052491,0.7410194000000001,1.3907893659624122,0.81230676,1.308265597419861,0.46597287,1.284293863055536,0.6219994
Bisharp,Snarl,Dark Pulse,35,1.5497179132218186,0.8806884,1.591853264739951,0.67504084,1.5650598188959952,1.1720028,1.5322288644646436,0.5655494,1.6260740520587107,1.1796036,1.3520402728897585,0.881392,1.5389740640433511,0.7933954,1.9295153104979545,0.889345,1.4964380562510267,0.78328234,1.4478438271293894,0.9520827000000002,1.5205469300131425,0.5851106,1.6138961968885472,0.9953455,1.591960880025944,0.80156827,1.4991490076701857,0.6334059000000001,1.6972206312953442,0.63784534,1.6879943628869003,0.9785692,1.547039392194532,1.1624516,1.5217389293286792,0.9033765,1.5969063721509307,0.8227269,1.520549891938374,0.9355316,1.5178089339038998,0.9255760000000002,1.6092747840275268,0.97704405,1.582266550365659,0.5642753,1.494765633045357,0.7604925
Shadow Honchkrow,Snarl,Dark Pulse,45,1.2943843546482117,0.6561776,1.3270310643634224,0.5274581,1.2385460268873598,0.8496655,1.2781635781657765,0.4192073,1.3099969355917094,0.88201874,1.1606490989731975,0.6642532,1.410278933820418,0.6066035000000001,1.2784034727866764,0.6068393,1.2124095649664717,0.58813536,1.1942713364870736,0.71556085,1.2750051725356613,0.44084367000000013,1.2539021472084464,0.7213314,1.4491572464640388,0.6258827,1.2503849812704722,0.47930450000000013,1.3468003016803143,0.46381715,1.2890459236703293,0.71001536,1.235018836031794,0.86320955,1.2640119788952517,0.6763309,1.378823711945975,0.6419455,1.2466921238733044,0.70114905,1.296900172648982,0.69724554,1.3358180377248112,0.7458692000000001,1.2688817231787461,0.42599437,1.263709321874843,0.5715210000000001
Honchkrow,Snarl,Dark Pulse,30,1.4570870812997556,0.8615226,1.5814681755826467,0.70976835,1.4503147606981661,1.1642776,1.5194536597200272,0.5605162,1.5615827541263683,1.1837672,1.2857749358543338,0.89733994,1.4559041026320803,0.8148201,1.4116200403157624,0.8136188400000002,1.3764618795429506,0.7822855,1.4313122434754473,0.9541941,1.462698499171834,0.5999009,1.449281557395779,0.9659868,1.6643785393713182,0.84933317,1.5377828539859144,0.6505263,1.5433325914540519,0.6181613,1.5355066848488925,0.9534286000000002,1.4160542766980582,1.1816337,1.4455898021968643,0.89560527,1.6437625019945463,0.8620003,1.4777662708732853,0.93869597,1.5318374852407879,0.9266614,1.656252674135679,1.0236207,1.5749472482693223,0.5684661,1.4544171769238217,0.7597495
Honchkrow,Snarl,Dark Pulse,50,1.4711195859579387,0.74789447,1.5429689392736023,0.58888906,1.487416247895118,0.9939371300000002,1.5111359090487948,0.47833228,1.532795110268169,1.0153172,1.3817480859796585,0.77148,1.6159069663441419,0.68588305,1.4642614801078369,0.6895057600000001,1.4397493041723892,0.67683,1.4418791074603594,0.83069247,1.4771447979306351,0.5085102,1.480978892073311,0.8396965,1.573444647471546,0.7027964,1.463769312139855,0.5500422,1.5766362500684767,0.53352904,1.4817695028325282,0.821952,1.4297264181725022,0.98946136,1.508205032706452,0.7861368700000002,1.5308825599839537,0.7204048000000001,1.5319257026714792,0.79733527,1.4955360954053376,0.7892503,1.560196765589961,0.82659894,1.592238071798468,0.49201268,1.489548358146856,0.6525038000000001
Darkrai,Snarl,Dark Pulse or Shadow Ball,30,1.2377288006025655,0.746749,1.276581935261844,0.5822103,1.2311686390738255,0.98064387,1.2488490407145327,0.47219127,1.3071692135628,0.99505395,1.0807203796410056,0.7554859,1.2445642173228155,0.6743129,1.271351693501053,0.7090646600000001,1.182060039547007,0.66012377,1.223954244527347,0.8216035,1.2201385278682642,0.5010456,1.2280260704626313,0.82425964,1.3577930071695667,0.68407065,1.2340037760041371,0.54529715,1.3184632751903067,0.5305401,1.2735410484475238,0.7966256000000003,1.1776407681628822,0.99190545,1.2192468665278902,0.7561468,1.2990949643882803,0.6902863,1.2365832373034251,0.7880151,1.239604131825882,0.7755784,1.338491165866646,0.8099556,1.326730496381805,0.48279712,1.225747668292623,0.6573617
Alakazam,Counter or Confusion or Psycho Cut,Psychic or Shadow Ball,40,1.7923779567785598,0.91595125,1.835446573942764,0.69669175,1.7338079720562094,1.2065209,1.6984324128410258,0.55812776,1.7225325637943143,1.1769184,1.6571950261127713,0.9463371,1.5135470429814513,0.7388025,1.7638753605410604,0.81928587,1.7010752628033181,0.8416102,1.5908904599216827,0.99120224,1.6612877444780416,0.54732054,1.7544030869608713,1.0474346,1.823026328919599,0.83276534,1.791091033620174,0.6636827000000001,1.7529800903944037,0.6091378,1.6456952369956437,0.9490101,1.7397036771861583,1.1850803,1.6678528925279004,0.9304583,1.8438690812091898,0.874923,1.731715879638484,0.95228434,1.6600016265131587,0.94275016,1.7538024441063043,0.98721725,1.7924706547554898,0.6033262000000001,1.8207536086525589,0.8190119000000002
Alakazam,Counter or Confusion or Psycho Cut,Psychic or Shadow Ball,35,1.8988590459460062,0.9627951,1.9293358661372406,0.73470896,1.714829753606279,1.2531021,1.7310594776796648,0.58412576,1.7342876158183727,1.2300433,1.628744767163467,0.9864148,1.4072683404645494,0.78152275,1.7630805425218352,0.8559619,1.628264161637596,0.8519661,1.6992077695725505,1.0795643000000001,1.654080040145926,0.58108294,1.7440177951523974,1.088552,1.764866628207757,0.8713734,1.767853726619797,0.7102021600000001,1.7475122116578932,0.6285587,1.6823179458550857,0.9882123,1.8321605665974678,1.2732067,1.7281671208611915,0.99272895,1.8653724132047032,0.8826573,1.7069533190298576,0.99917036,1.6585126779910033,0.9854523000000002,1.844519824044781,1.061935,1.8007413600268096,0.6345481,1.8029163194662405,0.8518581
Zarude,Vine Whip or Bite,Dark Pulse,50,1.486270430646923,0.7882814,1.5398320667165812,0.61158687,1.4992308830335557,1.0155946000000002,1.5311225796706742,0.5089362,1.5833576105012312,1.0600371,1.4250461916629806,0.80470794,1.606292078677524,0.71775734,1.481991261588528,0.7034247000000001,1.5262290408923203,0.7276931,1.5330795624742712,0.8916247,1.5532932742606056,0.5306134,1.5679841118885662,0.8996632,1.5689039208934825,0.7175298,1.5209921220388054,0.5726507,1.6389914463797977,0.56462646,1.572672747440228,0.87903714,1.4186940692349888,1.0155916,1.5689827818225035,0.8201381600000002,1.5087777525888624,0.7347767000000001,1.5025789344956157,0.81996465,1.4952696783157409,0.81328356,1.4934921061010111,0.8240991,1.684360637609235,0.5337055,1.5249830959428605,0.6791626000000001
Hoopa (Unbound),Confusion or Astonish,Dark Pulse or Shadow Ball,40,1.2968311084198616,0.7232402,1.4265458506185993,0.57546145,1.3566738911485683,0.96967804,1.3577197676474626,0.47430584,1.4095992496585252,0.99150115,1.2230862298401823,0.7395709,1.2514583082001456,0.5888011,1.4186023439313067,0.6777853,1.2934306172068846,0.6457293,1.274643232103278,0.8094553,1.2253209912357639,0.4351677,1.346380749767464,0.81619215,1.3842179569406146,0.65871835,1.3858637624900045,0.5343134400000001,1.4229824639014772,0.5254251,1.3822538094366608,0.80563253,1.316205796851723,0.9693873,1.3255283243413623,0.7452812,1.3803523183706246,0.6728189,1.3299535572534382,0.77261347,1.3064722794037087,0.7648943,1.376359594574403,0.8027125,1.4203182938323473,0.47985375000000013,1.3518644062921021,0.6531037700000001
Shadow Mismagius,Sucker Punch or Hex,Shadow Ball,35,1.5365423488887355,0.7911409,1.5796570440706443,0.6188266,1.4013443174569682,0.9963247,1.4554777372841072,0.49736238,1.4161225477497814,1.0035043,1.3450894540466478,0.84223235,1.4795127770978442,0.7140538,1.4211849842359283,0.726342,1.3749603144590146,0.6898497,1.3555002525255455,0.8374519000000002,1.5648097455505794,0.5514703,1.38179198216715,0.84224176,1.39877687548137,0.6987989,1.4729990074378263,0.5703872400000001,1.4595722410841458,0.5306387,1.3997938527394915,0.8251135,1.4454972997998008,1.0535936,1.3952202193511916,0.7791454,1.4960382414373876,0.72179383,1.3967304636810136,0.80510116,1.3635401636628517,0.8001302500000003,1.4032861403913115,0.81435287,1.3369540954583121,0.47536746,1.3995294485452046,0.6751342
Alakazam,Counter or Confusion or Psycho Cut,Psychic or Shadow Ball,45,1.744456659626216,0.8811943,1.782900105994224,0.6611064,1.735903829779969,1.1768278,1.674559245320789,0.5366813,1.6388932223955626,1.1036041,1.637853269259135,0.8982835,1.5388829925636838,0.7037567000000001,1.7705594473481145,0.78482074,1.6723819266844504,0.8054065,1.662663322338081,0.95513934,1.5896779008211928,0.5222723000000001,1.7042369495496186,0.9835314,1.7912972424814557,0.79299766,1.7564811341819853,0.6578266600000001,1.7878113236074966,0.5958983,1.6369709426002466,0.88985145,1.7347085942450415,1.1493167,1.7043597006828863,0.91613823,1.7963648224851068,0.83027726,1.69023274055131,0.9396855,1.667862593913959,0.9289006,1.752329927798479,0.9448664000000002,1.7029011996670598,0.56269324,1.815888383339585,0.7854336000000002
Houndoom,Snarl or Fire Fang,Foul Play,30,1.4824009790081762,0.8886653,1.5316412521952407,0.68312204,1.5309039556664703,1.182872,1.526331979207469,0.56847036,1.5704873044144487,1.1891701,1.3101170332625605,0.90244466,1.511183109898906,0.8157286,1.6953242922388172,0.8726156000000003,1.4140460091170137,0.79277563,1.431002825624825,0.96136075,1.5196655087235558,0.60626566,1.4831056083931171,0.99544597,1.5711626560929972,0.793335,1.5225484632455282,0.64608973,1.5265991577623215,0.6210754,1.5373248422547212,0.9572825000000003,1.4510087434316739,1.1767112,1.427083747284591,0.8924613,1.5379713161282798,0.81802183,1.5296473671981854,0.9532261,1.4835989584574687,0.9372367,1.649716884714681,1.0044556,1.6165275202112104,0.5845892,1.498065301642303,0.7803571
Shadow Shiftry,Snarl,Foul Play,40,1.4616405223664075,0.7631893,1.4776491979371615,0.5975698,1.421911194119216,1.0085995,1.4325834120050078,0.4864196,1.4895185080137308,1.0168895,1.326740106062437,0.7766897,1.7583535337047698,0.7216682,1.4865605211683188,0.7269495,1.3606344902415541,0.6749657,1.2979429292777653,0.8317699,1.4685812834117298,0.5233061,1.4309860269002377,0.83853203,1.6366613689657374,0.733658,1.4674079183983813,0.5574291300000002,1.5691408655826051,0.55415744,1.5125172155251267,0.83327186,1.4179059924520263,1.002004,1.400886254140652,0.7809679,1.4254047457506154,0.6990166,1.4184867697647905,0.8070891,1.5254028150397065,0.7997995,1.4947505252524107,0.8523845,1.478177382853448,0.4996090200000001,1.4977870798395303,0.6867356300000002
Hydreigon,Bite,Brutal Swing,35,1.1863871593388031,0.7174528,1.2250523544544776,0.5578475,1.212950550384878,0.93907946,1.272858529839674,0.47424448,1.3577542221954955,1.0149313,1.1393417648704216,0.76446706,1.198664331441593,0.6485321,1.2729804491951116,0.6638446,1.2280357323146691,0.65503794,1.193516201696509,0.8061525000000003,1.211108812848602,0.48330566,1.2622806838761977,0.808318,1.2823579307947475,0.6528688,1.2344178775821912,0.5395708700000001,1.3025324264529494,0.5119586,1.2685229912829201,0.79688907,1.1564726494957611,0.91968256,1.2997221320063679,0.77959055,1.2296831699124382,0.6690274,1.2679137693008549,0.7901792,1.2618738364166224,0.7803632600000002,1.2611685619996371,0.7815173,1.3354258189414763,0.48588207,1.2288016959381756,0.6427026
Banette,Shadow Claw,Shadow Ball,50,1.643682651888446,0.7680351,1.7443312984040078,0.60562706,1.5930147825653622,1.0076928000000003,1.6167851154239539,0.4959894,1.5777561104643334,1.0279592,1.5628341884310772,0.8250946,1.8262957519220573,0.70197797,1.5447675275589032,0.7084120000000002,1.5266633313513571,0.6848373,1.5666435899531992,0.84127164,1.7486214341815185,0.5295416,1.5622831574908493,0.85335374,1.6025062747312402,0.69041777,1.5912672939342483,0.55662274,1.6838666607276531,0.5365509,1.540080013369668,0.80547464,1.5420105925948517,0.9882903,1.58873498239803,0.7864126600000002,1.6343542120220556,0.7066592600000001,1.5881512807960116,0.79877204,1.5565081723625558,0.79096,1.5830344942732402,0.8036949,1.591618904412558,0.49298808,1.584073573651397,0.6602384400000001
Shadow Cacturne,Sucker Punch,Dark Pulse or Payback,40,1.5272262260914682,0.81165963,1.670829703562411,0.609439,1.4970623846980209,1.0381045,1.502643165987754,0.50142246,1.5741093426951858,1.0632533,1.376647965429681,0.8053705,1.7722325772244385,0.74628067,1.671718806982064,0.7586629,1.4257642685989547,0.7065572,1.3814953873949969,0.85764855,1.6941202724212634,0.5433942,1.5077753110047192,0.86935884,1.6529658509142955,0.74657613,1.630141755797621,0.5751688500000001,1.6639290259801565,0.58358306,1.5752830592915934,0.86700904,1.5330145257472934,1.0624626,1.4346995827312912,0.796588,1.493891522856261,0.72719437,1.4646085439905665,0.8322503,1.5771228438268585,0.812642,1.566901365808736,0.89735717,1.5021552424587508,0.5093858000000001,1.5346410139027447,0.7051704500000001
Shadow Shiftry,Snarl,Foul Play,45,1.474084522056228,0.7296221,1.454265744201875,0.5762378,1.389901922140043,0.95255417,1.4379767667487402,0.47268182,1.4939449149394546,0.9998322,1.300932188337037,0.7433507,1.6601978768197636,0.6875310000000001,1.4695514994697585,0.6947821,1.3703065603653612,0.66033584,1.3217653194058192,0.7979015,1.4500668333736682,0.5033045400000001,1.445653067375401,0.8264131,1.6362811535069781,0.704546,1.4219419634540347,0.5361825000000001,1.586226222138621,0.53306454,1.523438212044134,0.7947436,1.399534519221141,0.9563612,1.4175095853481732,0.7561299,1.3916881441116804,0.6707303,1.4101653094240743,0.78483045,1.4866959821666679,0.7788577,1.4866158030773449,0.8107915000000002,1.4319485806605157,0.48505458,1.4642178826295262,0.6545036000000001
Darkrai,Snarl,Dark Pulse or Shadow Ball,40,1.2599433820247192,0.67887,1.3142095067957065,0.53370684,1.2544388622554616,0.893432,1.2483432542539223,0.44114068,1.3215501784239987,0.9137897,1.1566150078280277,0.696176,1.3837327874471708,0.6201257,1.3436461268773,0.64273345,1.2288900565372674,0.60572594,1.1731893841585357,0.7442414,1.262919967383089,0.45686927,1.2788168480199558,0.77103543,1.3382183063178545,0.61902696,1.2890231408523416,0.4936293700000001,1.3235513880665986,0.4858266,1.265145073644459,0.74137187,1.2092962846722086,0.89120233,1.239126416364357,0.701367,1.2989577221011626,0.62925583,1.254993133205389,0.7195047,1.2319578228801746,0.71152335,1.2990038609264918,0.74099183,1.3030499958090995,0.4443966000000001,1.2613783296417371,0.5967081000000001
Hoopa,Confusion or Astonish,Psychic or Shadow Ball,30,1.4355805875012648,0.80489296,1.536543499501789,0.6661668,1.2963419382667853,1.0343058,1.6278454626674976,0.5351494,1.471392551512176,1.0922456,1.191340808233942,0.82163,1.3632932507188766,0.71855474,1.337305536644939,0.7523902000000002,1.254388417981443,0.69791377,1.3406262833007339,0.88553,1.50002693516105,0.56302977,1.3263557900791356,0.87920797,1.3462380639314586,0.70776385,1.5902005382489846,0.59400755,1.4230573396377793,0.5564324,1.4300596658057876,0.8700253400000002,1.2629209232067529,1.0385292,1.317646358718047,0.821622,1.358995115692573,0.72280383,1.3022696965454905,0.83023775,1.298988626719569,0.81892115,1.364384952830265,0.8322454,1.4317446772668723,0.51159334,1.3848158077999781,0.7199639
