Attacker,Fast Move,Charged Move,Level,"Mega Alakazam, Mega Tier","Mega Alakazam, Mega Tier","Mega Banette, Mega Tier","Mega Banette, Mega Tier","Mega Gengar, Mega Tier","Mega Gengar, Mega Tier","Mega Metagross, Mega Tier","Mega Metagross, Mega Tier","Mega Slowbro, Mega Tier","Mega Slowbro, Mega Tier","Mega Latias, Mega Legendary Tier","Mega Latias, Mega Legendary Tier","Mega Latios, Mega Legendary Tier","Mega Latios, Mega Legendary Tier","Mega Mewtwo Y, Mega Legendary Tier","Mega Mewtwo Y, Mega Legendary Tier"
(Boss weights),,,,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Shadow Mewtwo,Confusion or Psycho Cut,Shadow Ball,35,1.2286407110035558,1.3152580000000003,1.2664857375610952,1.0222377,1.1429401837279571,1.1434153,1.0603164408553567,1.8711517,1.254548573911694,1.612025,1.1682792821526207,4.5801272,1.1624824314491096,3.7578723000000007,1.1766183588120374,3.6554654
Mega Absol,Snarl,Dark Pulse or Payback,30,1.0844734316468556,1.3862854,1.3053549577925656,1.1494651,1.4047849874811376,1.4520804,1.122531946914869,1.8843813,1.2253290454289019,1.651243,1.2408863044571212,5.1094236,1.1107959553449436,4.143230400000001,1.3514032346047,4.2019243
Houndoom,Snarl or Fire Fang,Foul Play,50,1.376728534347273,1.4189454,1.4277159641485162,1.140553,1.4766393965732638,1.4428818,1.4651605824025318,1.8726071,1.5625659661536377,1.7210054,1.5679282707204218,5.0705996,1.43682001952154,4.0922475,1.462941790424458,4.0485888
Darkrai,Snarl,Dark Pulse or Shadow Ball,50,1.161471754709513,1.1856884,1.1949905951673554,0.9539753,1.2101843212131327,1.1958224,1.2073688285953725,1.6271228,1.2835444793367303,1.4192653,1.3073479627132412,4.186697,1.2289311256534605,3.4630933,1.2123584610660298,3.361984
Honchkrow,Snarl,Dark Pulse,35,1.3465985494790778,1.6377453000000004,1.6636266692158612,1.3635632,1.4548105192093044,1.6160289,1.2700725760790617,2.1754045,1.5217101824431885,1.954946,1.5820842499302332,5.9213657,1.4131976318506638,4.764009500000001,1.7195866451733055,4.8055153
Shadow Houndoom,Snarl or Fire Fang,Foul Play,45,1.130751955383459,1.2766786000000003,1.1403089408446403,1.0118039,1.254718752303978,1.290602,1.2299897243573845,1.696881,1.3092781543682985,1.5233436,1.3345095977792418,4.449421,1.28295187214426,3.6412868,1.2285566083932804,3.539882
Mewtwo,Confusion or Psycho Cut,Shadow Ball,45,1.207956775391806,1.4403642000000003,1.2563212587588373,1.1019688,1.2177668523735667,1.2246801,1.3411735252179355,2.004407,1.4673718841988257,1.7285565,1.4097539375055346,4.93133,1.3625171060500876,4.2010784,1.3434129749105126,4.045969
Weavile,Snarl,Foul Play,35,1.2729612691549501,1.5403290000000005,1.4901146674039296,1.2286084,1.393177249175731,1.5033989,1.3038758714562686,2.086443,1.3818888259470423,1.7428468,1.3614595011451307,5.2734785,1.3216911312895296,4.3594040000000005,1.4469627575391748,4.3540893
Honchkrow,Snarl,Dark Pulse or Psychic,45,1.3089505031916238,1.4915968000000002,1.6588540251637063,1.2371125,1.4394850125752086,1.4822198,1.342298427641533,1.9915959,1.541584388837561,1.841027,1.6108347783368722,5.359399,1.4041295136384178,4.31933,1.7219610261348144,4.4272175
Hydreigon,Bite,Brutal Swing,40,1.0368775422049583,1.2355763,1.2003745548769271,0.99556845,1.152019142298087,1.2384719,1.079146240033811,1.7528412000000004,1.2476747161555517,1.5534065,1.1853472409515076,4.4907503,1.0091518941620408,3.5651517,1.11296770912842,3.4647684
Espeon,Zen Headbutt or Confusion,Shadow Ball,40,,2.0503676,,1.4972614,,1.543401,,2.9234676000000004,,2.3803656,,6.8864555,,5.620963,,5.734053
Houndoom,Snarl or Fire Fang,Foul Play,35,1.3535799452349115,1.6319222000000004,1.3696534880675872,1.3111594,1.4832887697689,1.6243318,1.2713590428421913,2.0998113,1.5430765553714711,1.9389697,1.4788696706649305,5.715725,1.3763304801984138,4.718297500000001,1.5014644942285331,4.575133
Shadow Mismagius,Sucker Punch or Hex,Shadow Ball,30,1.487712627974311,1.6465226,1.6223414105163194,1.3197879,1.4834916595791927,1.6193863,1.3680554196232972,2.1598501,1.4063322833575105,1.8495313,1.4583148660712746,5.57247,1.4229880154608172,4.681796000000001,1.6616919908399947,4.768252
Krookodile,Snarl,Crunch or Earthquake,35,1.3792649688769785,1.7226874000000005,1.4012577555155206,1.3938386,1.511894312362049,1.5968846,1.3070623559487793,2.334474,1.6903828507734056,2.1241338,1.5240673471315234,6.0683913,1.4385060694227503,5.001217400000001,1.721879226855705,5.08383
Shadow Weavile,Snarl,Foul Play,45,1.0510725700747503,1.1865048000000002,1.2547663011245278,0.9461237,1.16736323884089,1.186557,1.227978227835556,1.6452736,1.1842191404845663,1.3856807,1.2106046299459792,4.1494837,1.1880852586150308,3.358419,1.3694227126060783,3.390636
Darkrai,Snarl,Dark Pulse or Shadow Ball,35,1.1035255365303884,1.3514673000000001,1.1428378949765223,1.0968586,1.2380123472421094,1.3558449,1.0398666293015195,1.8296069,1.29422974562411,1.6229843,1.2327025430996141,4.747249,1.1845380516829391,3.946178000000001,1.2490896238408917,3.82267
Mega Houndoom,Snarl or Fire Fang,Foul Play,45,1.0210363061297887,1.1479880000000002,1.0404921267601552,0.92807394,1.143273416889105,1.1435766,1.116659310715121,1.5364623,1.203000149529225,1.3857737,1.17127399763359,4.00668,1.0718778715936155,3.274052,1.112049779970289,3.1720977
Shadow Shiftry,Snarl,Foul Play,45,1.2833671562274223,1.4446448000000003,1.479201674120802,1.1241199,1.6772043706854802,1.4738485,1.3398985995012476,1.8996825,1.4508103766190603,1.7047677,1.5014745609779137,4.912447,1.4320966704155205,4.0469623,1.744841807788508,4.127084
Alakazam,Counter or Psycho Cut,Shadow Ball,40,,1.8293878,,1.4187032,,1.5568373,,2.3867998000000004,,2.0912995,,6.312285,,5.050844,,5.0057316
Shadow Sharpedo,Bite,Crunch,40,1.329068034449587,1.4582971,1.5314226575623413,1.2097689,1.578797346349252,1.5049025,1.3524965583397115,1.9398323000000004,1.4270760578711053,1.6917049,1.559242326986353,5.261888,1.307532604618479,4.387106,1.5009703890964141,4.266839
Shadow Absol,Snarl,Dark Pulse,35,1.1380797031035594,1.4278913000000002,1.443634302507048,1.1997584,1.5542637424521997,1.4961467,1.1658783764462313,1.9209552,1.3443169385938225,1.7060475,1.5376342866483597,5.3508654,1.2370712039020728,4.287289600000001,1.6350386408181834,4.3607926
Mega Absol,Snarl,Dark Pulse or Payback,35,1.0966240359682105,1.3383598000000003,1.2423627529201484,1.0732226,1.2370953337294854,1.3592715,1.1150562478910615,1.7977741,1.2569777349677331,1.5510314,1.3487117834847622,4.76272,1.1333608037483782,3.886653200000001,1.3008843986243532,3.8745527
Gengar,Shadow Claw or Lick,Shadow Ball,35,1.3945622197602319,1.5345578000000004,1.365579683905465,1.1187963,1.3524118689987021,1.3456357,1.4254209012244712,1.974889,1.660418962559084,1.7030011,1.5751745592286341,4.9346037,1.4229540826347065,4.166890600000001,1.4425033521175914,4.193218
Trevenant,Shadow Claw,Shadow Ball,45,1.542192580572603,,1.6680908982610951,,1.6921326400592451,,1.4267646728089998,,1.5896245225161696,,1.53827609200306,,1.469286846367163,,1.6375512976724171,
Yveltal,Snarl,Dark Pulse,45,1.1191160294506783,1.3518776000000001,1.2184631956790333,1.1090063,1.2105385628001681,1.350064,1.23608990016508,1.8494725,1.3838603741240239,1.660353,1.3877555577010923,4.8778095,1.2460041804028776,3.8722596,1.2894660095728177,3.9589753
Shadow Sharpedo,Bite,Crunch,30,1.3718013707781143,1.6571069,1.5465060910511201,1.3681264,1.545120713456668,1.7533798,1.2757258121800714,2.1128905,1.4102420273350609,1.8984157,1.3698949715586624,5.7259507,1.460537453426378,5.035829500000001,1.4997377700558863,4.814369
Banette,Shadow Claw,Shadow Ball,40,,1.6236349,,1.2787648,,1.5993218,,2.1420890000000004,,1.8696179,,5.4664598,,4.468216,,4.6297626
