Attacker,Fast Move,Charged Move,Level,Reshiram,Reshiram,Zekrom,Zekrom,Arceus (Dragon),Arceus (Dragon),Eternatus,Eternatus,Eternatus (Eternamax),Eternatus (Eternamax),Kyurem (Black),Kyurem (Black),Kyurem (White),Kyurem (White),Kyurem,Kyurem,Necrozma (Ultra),Necrozma (Ultra),Regidrago,Regidrago,Giratina (Altered),Giratina (Altered),Giratina (Origin),Giratina (Origin),Latias,Latias,Latios,Latios,Palkia,Palkia,Naganadel,Naganadel,Mega Ampharos,Mega Ampharos,Mega Charizard X,Mega Charizard X,Mega Latias,Mega Latias,Mega Latios,Mega Latios,Druddigon,Druddigon
Shadow Reshiram,Dragon Breath,Draco Meteor,35,1.1979069384554444,1.0184297439320114,1.2626431822221957,1.0259724237548884,1.0669185628284201,1.020759225156548,1.0514565376407332,1.0697000343253615,1.0423587489805266,1.0237600396609947,1.3234753443096379,1.0421957331709961,1.0530010883746772,0.9951497172202334,1.1982807902424033,0.9927903434254661,1.1366067968602676,1.1155047992270515,1.1036905886290707,1.0742273921986234,1.1436029481515877,1.1470328498886033,1.0930355641018832,1.0910446107495266,1.0437690261447023,1.0458657110486531,1.105301856591054,1.0954623549367637,1.185008067809378,1.0702983824451762,1.0313976410904786,1.0683304547731254,1.1167503453029792,1.0877371787782062,1.0576214493066907,1.0672285326102098,1.3939545383942888,1.1418033246308223,1.1844002136606586,1.0769389196205026,1.12903713063708,1.0996059242469098
Shadow Zekrom,Dragon Breath,Outrage,40,1.0658789767585652,0.9451971955378506,0.9957766377470725,0.9628222892016175,1.0122453776926446,0.9724715527207134,1.0158736223422633,0.9774234640797242,0.986548611369894,0.9785371659087148,1.1718889360200804,0.9004047240605629,1.0455446032710318,0.9105221244569801,1.3105735200014041,0.9380526431671237,0.9962504748818878,1.029641177518563,1.0683087907297317,0.9958229278634112,1.0234722173452064,1.021983624058787,1.0339395567946321,1.0145776088773608,1.0037580635507963,0.9860583571832454,1.0177665492705346,1.0107151859705688,1.0273721356045276,0.9705530844422365,0.9873594773558735,0.9740454307041608,0.974181643881018,0.9630613079514668,1.0102820264781862,1.0007071380790802,1.1162866910320428,0.9964784406545354,1.0578504110316955,1.019227640760363,1.0415143616755398,1.0313990774773296
Kyurem,Dragon Breath,Dragon Claw or Draco Meteor,40,1.3566755723408572,1.2692815326884,1.2719937768060818,1.2700019999336243,1.3182631634701976,1.3212305563962263,1.332277486333395,1.3631455102064187,1.276449515487741,1.2603302315554912,1.243762398046347,1.2164340717589734,1.3194443207627615,1.2256604583771078,1.3812390328666013,1.2574321923932865,1.3782587845611414,1.4075588726202997,1.3348411349318168,1.3267713082215227,1.4113092315005478,1.439414363303133,1.3149658829669564,1.3390126516302787,1.301902903702713,1.3093025634924487,1.323598057206628,1.3358176036388631,1.354040284889086,1.2835565334576742,1.290484208619138,1.316790178890865,1.3746965394009163,1.3356772108852284,1.3436775973968826,1.3568734396195623,1.3254581744830358,1.321128807986262,1.3399747318222768,1.33972744395954,1.4021228758997137,1.4125871313018672
Shadow Exeggutor (Alola),Dragon Tail,Dragon Pulse,30,1.4984080285518304,1.3376918738708565,1.5339456742985484,1.3343355262591081,1.700304083478014,1.3554856581785941,1.7394305676699784,1.5090663362047658,1.6632157481696648,1.4938118140518226,1.559932572895043,1.4068905790035002,1.7041687508538563,1.3656414384269022,1.6377927829636991,1.3807266806008718,1.449784647028321,1.4593762512394939,1.749201657772185,1.4108171853390594,1.4042945048932336,1.4366937223112894,1.5758116145721102,1.4229022260374165,1.5761063551980632,1.4074124042378615,1.4369870973965928,1.4182750284866403,1.4621947718030124,1.3754846710118827,1.8888007924738615,1.505488367268834,1.443904019918259,1.3496171077738457,1.637730464437146,1.4980745412867364,1.6168339761112869,1.492470894020128,1.561887771441041,1.5120671113923478,1.4780265951905425,1.4655296056667473
Shadow Exeggutor (Alola),Dragon Tail,Draco Meteor,30,1.5256052389839077,1.287731705863978,1.469597516799213,1.2418773152112055,1.6976055459738613,1.2698478806132178,1.8416033993558898,1.4436985032299077,1.7055151566038527,1.4363454006595386,1.6203942565462854,1.3232739274992942,1.787909147755496,1.3235233366340053,1.704199139537822,1.2709441004273,1.3423739603899474,1.3601284688332582,1.6646044672684692,1.3125006868437425,1.344050841621494,1.3459507988027521,1.4437145914027945,1.3594258863649127,1.5639636928072393,1.3243160061978647,1.4035577615922283,1.3513472599947454,1.521638046613687,1.3098478175732704,1.9206178433971342,1.4026851682267347,1.3923632098644765,1.266829455418896,1.7017556040582207,1.449500302357914,1.591099840062147,1.4056302033318286,1.4691345417962103,1.4573942091550447,1.4207594192351718,1.4197838313991955
Shadow Exeggutor (Alola),Bullet Seed,Dragon Pulse,30,2.1042669343333666,1.8550302634587452,2.28363310501395,1.814592133597809,2.5067267007219947,1.8309840413485496,2.4162594963807553,2.052485907470109,2.288686569177728,1.998551864250717,2.22071538705482,1.9334829612954738,2.4342726818390426,1.8451221223284486,2.2557112216963024,1.849425201000515,1.795462479778916,1.8925798874428204,2.9897477770876772,1.9223513395403717,1.7826205174621326,1.8761267434748587,2.0451788967639284,1.902775385448334,2.29082958158583,1.8154045487750252,1.8376001186145576,1.8716132439631081,1.8036113285300055,1.64928548522261,2.534761125454678,2.073676042829825,1.8209802011594243,1.7374173394823411,2.2135861258359064,1.9567296062306694,2.3360272475528974,1.9382528304532596,1.919232449049854,1.9736175011874315,1.831040715102333,1.9038148855446824
Shadow Exeggutor (Alola),Bullet Seed,Draco Meteor,30,2.698290766706492,1.9686326576453272,3.3141571493089876,1.8626387673801903,3.7777680923476087,1.8983854993888936,3.876124658317421,2.3224087075258564,2.737869740425205,2.17040984600232,3.120514586230503,2.0731212585486647,4.1216263045672425,1.9659481641740768,3.847172125395335,2.0368038648912306,2.0774613811031872,1.9649024449603918,4.339324033819716,1.9736783298215277,1.9599849688922104,1.9211116311320027,2.173902872495094,2.000878627864793,2.9720267106870892,1.951098031224171,2.046832707004372,1.9803658832926214,2.0503254252752816,1.7141800110209378,4.736408830385517,2.3859008317955848,2.0859250500546933,1.789525938233849,2.8272494840633895,2.149006154798938,3.107200502254084,2.10281617198583,2.345144444406772,2.1038123571190575,2.046460210129977,1.9763685822579913
Shadow Exeggutor (Alola),Dragon Tail,Outrage,30,1.4132260834946202,1.2392302160387476,1.458527427919675,1.239923875073022,1.6474101878687923,1.2541784209067743,1.71502800072505,1.415190354936526,1.5870107883754794,1.3869668725975453,1.5496939292877778,1.3331509448269812,1.6500866182042015,1.2791703852620473,1.6026725267331163,1.2782806141484644,1.327145364002346,1.3336609571944438,1.658016486782716,1.308009699030281,1.3146279198110316,1.3266454162720651,1.48278392263751,1.328865075517583,1.5039702280946483,1.2882414292219901,1.345609950626321,1.308944454387011,1.3836647538758273,1.2681550259869783,1.8442429780527017,1.4046108823361436,1.3469073199087422,1.2384278949691034,1.5643267899548714,1.3769714624897964,1.5395499237539254,1.3612059806374475,1.4889811573614449,1.419611410070962,1.3618121493142343,1.3452761652246956
Shadow Dragonite,Dragon Breath or Dragon Tail,Dragon Claw or Outrage or Draco Meteor,45,1.0168771214209575,0.9389115802211109,1.0050346531960626,0.9612268285156582,0.9796146858565131,0.9545151349379678,0.9748434481431488,0.9651575517331237,0.9957600755106093,0.9814740040764786,1.1127296379977565,0.9297363324914149,1.0247436911300831,0.9386812400130058,1.1202526391934249,0.9405283269981028,0.9758591095621381,1.0087692074318628,1.0338622237820867,0.9666216001847543,1.0089429850375489,1.0069451264987215,0.9968231692687509,0.9939539405367032,0.9849724828325724,0.9796513341269082,0.967072486902844,0.9691790979080153,1.0123556445282158,0.949761798347701,0.9546444600681007,0.9583084700567376,0.986458593221516,0.9717528567643925,0.9955520616811913,0.9829613775244365,1.0748523061929849,1.0171445084935833,1.021556640571422,0.9947664234679048,0.9898000774519161,0.9913367288531614
Tyrantrum,Dragon Tail or Rock Throw,Outrage,45,1.3507727285901527,1.2518311848075665,1.3194567440050804,1.310580821406335,1.3332404949417098,1.3103187792438622,1.2864352260320862,1.287096317411002,1.33641372719481,1.3391112691848506,1.5096457570563855,1.2856131790422862,1.5338055343124724,1.2909812378627543,1.557966214640091,1.277193581630807,1.3183650913614497,1.316542961727901,1.4269702181693529,1.333161253017057,1.353824153858168,1.3724660817392478,1.3493439899762636,1.3551336165276975,1.307290143166885,1.2968355963458869,1.3533092422566788,1.3406773298453647,1.3721363059237566,1.3058061724766232,1.308718591035041,1.2920608849947912,1.36913228365147,1.2988238570829642,1.3048617755118304,1.2972660777062934,1.4761629930736342,1.3833485987495768,1.4638423411191661,1.3650951779329101,1.32414528983123,1.346282602552682
Shadow Garchomp,Dragon Tail,Outrage,45,1.0019517978539432,0.9237525279930955,0.9321735485607895,0.9309352006721571,0.9524373174468451,0.9420126414275655,0.9433461166676862,0.9320050619434522,0.9789385872515941,0.9640477894231373,1.0480642214287095,0.9081870702833683,1.015453465195142,0.9193194758686418,1.2515776481878282,0.9228024446704446,0.9697763475360854,1.0024764406184974,1.0420658445894342,0.9641432126295418,0.9642263303290334,0.9910504113376899,0.980401475831624,0.9792396849347161,0.950664000322847,0.9516393286563608,0.9753188570615986,0.9801255210814853,1.0118193770610089,0.9496310881625419,0.9429896063298128,0.9232434054056539,0.9187417302738209,0.9323795903984643,0.9727433870649187,0.9661073450640125,1.0129722256635623,0.9717213463983374,1.0221172686326612,0.9859859936992913,0.9728643122204212,0.9916685502303951
Mega Charizard X,Dragon Breath,Dragon Claw,45,1.232664478557144,1.1500689964994542,1.1430677472799653,1.1609759981965422,1.1744315674442107,1.1721543153398173,1.1561455942742282,1.181584122411668,1.1988612794444442,1.21581939718873,1.1274602003993712,1.1007512586824824,1.1233579084614125,1.1119879659773773,1.2297358017455657,1.1079377065374818,1.2441933559215819,1.2947893462293953,1.250357209812553,1.2108929556938088,1.2627553991183638,1.3071111604927141,1.212311117920601,1.2216502694513616,1.1751023404691614,1.1853342010611143,1.1979451114403499,1.2180258788398286,1.225933982889641,1.165137314080543,1.1979213316081665,1.2078275831057073,1.2258124403137507,1.223158779110079,1.199714279068085,1.2125313889262088,1.182965656898248,1.1987647680880447,1.1955227119245886,1.2071109053546776,1.215557568804213,1.2435560662168443
Mega Charizard X,Wing Attack,Dragon Claw,45,1.494348596963832,1.4019646390927565,1.462409939899522,1.5290370429204718,1.3563762966485187,1.3909159220645584,1.370310657089081,1.4201237109486173,1.4040064538740462,1.4291218684064422,1.3223789422840209,1.3138716442302605,1.316625591074763,1.3355246167937234,1.4724841346022677,1.3218574342313758,1.4273709830290724,1.512752594864701,1.4666469087170062,1.4606166759900385,1.4554090238008262,1.5286351513042422,1.44391685910395,1.4698242791268425,1.3799502137541837,1.4055632294522649,1.4263952309014765,1.4695453377616523,1.4721871120559027,1.4176344221991084,1.3921338172728055,1.412123826010237,1.5680580322121105,1.5987637253111584,1.4480442789610632,1.4720384159505586,1.4104767877083015,1.4563018368344343,1.370779223381109,1.420461799218776,1.4814085275535782,1.518712850807784
Mega Charizard X,Air Slash,Dragon Claw,45,1.5871914580401452,1.4776177006212101,1.58176998560996,1.6845856912931414,1.4636903288401772,1.4930279692832795,1.4559510652732077,1.5120914367300358,1.4930858593553578,1.534317161540722,1.410329055487384,1.4147244875049358,1.3971920324283962,1.4290217247057142,1.6215934728928,1.4250325527602639,1.534370383458672,1.6542869225095218,1.5765892971830808,1.5835288191055195,1.5586553342875396,1.6379042296216593,1.532647640147489,1.5756222125771855,1.5122005999820174,1.5485327532772315,1.4958854915903026,1.5356833447026714,1.5929222914672803,1.523572146536288,1.4694780714106126,1.5005677032765696,1.7114430963838996,1.753820838552531,1.50981993230756,1.5416304437138875,1.5192944554532852,1.5741431546164502,1.5124695282359093,1.5571710243845003,1.5444101242209578,1.5888093257357976
Mega Charizard X,Ember,Dragon Claw,45,1.7560788069643793,1.6229431877831917,1.473569855010165,1.5430485075412483,1.5274355010435305,1.5664536005550707,1.5242605454129559,1.5931767102562449,1.5139252167604496,1.5554901797999687,1.3296820407574588,1.3250730846180003,1.3176560827242945,1.3336390744536462,1.5047542756795793,1.3312129460556492,1.588280081868496,1.6968307777676885,1.6044050899604956,1.6165701395025092,1.5759101865104717,1.661398773507725,1.5628707702668947,1.590387872256579,1.544567398863603,1.5865799412589345,1.5415644388829364,1.59086026516219,1.6948779893817638,1.6315409638656226,1.5048562656441706,1.526566714653611,1.586904097448377,1.6127367837787883,1.6645596104133533,1.7151095020341607,1.5859289539220556,1.6455340617161978,1.537054035002498,1.592626919578584,1.590820954967652,1.6504296460757109
Mega Charizard X,Fire Spin,Dragon Claw,45,1.8123291189380497,1.673359944351948,1.4744710741438047,1.5473379904648588,1.5174163035554733,1.5567040442104247,1.4889988194198316,1.547335455417109,1.500309674631728,1.5469403533168207,1.292039293961064,1.2809110815673828,1.2773410969713386,1.2922461937836889,1.4637382901151117,1.2975260018050787,1.5463033039367615,1.6500467226987776,1.5977769712456262,1.6113647320639415,1.5676459073511446,1.6544212053921215,1.5716533478212544,1.6072308441383727,1.530589681697615,1.5728417176892482,1.5379635418471556,1.5889797222801105,1.7455223495128227,1.6711903379271609,1.516607881018636,1.5480326993936313,1.5851890650933318,1.6119574407418198,1.6988910535932829,1.7553515404952196,1.5530280694758618,1.610878524790988,1.5300981969839078,1.5714681033178122,1.5616152544931623,1.6159699388277968
Mega Charizard X,Dragon Breath,Outrage,45,1.2327871043368768,1.0871197040959928,1.1187915710776053,1.1013962779007436,1.1502881934154316,1.1196603982110693,1.10625377921112,1.1205319006614547,1.1649909173114488,1.1574983950221867,1.1357223784962251,1.0454345452185785,1.1027324915787253,1.064918530453097,1.2337353353283311,1.0399298219313764,1.2040704395985073,1.2304575674701121,1.2261896041700617,1.1493724893435555,1.2066112241705245,1.2335672728549618,1.1917010202563787,1.1629183792547007,1.1412675159868124,1.1296765360681091,1.146703601324276,1.1579220341362866,1.2069193332788581,1.110978107471828,1.1605020182744261,1.148907230273657,1.1720850788326977,1.1546013941458513,1.1501586262398906,1.1433422397057456,1.1702069781549258,1.1482982275295384,1.1704005397613175,1.147678536258047,1.1645445929996059,1.1791668146309062
Zekrom,Dragon Breath,Outrage,45,1.1816631739033823,1.077238541911549,1.0955555336909286,1.0794863244661113,1.1395195562392668,1.1001297642225305,1.1046262152476665,1.0973265040108167,1.1529123566546082,1.1576426661358408,1.1748984525793778,1.0239644584558845,1.2094551111147793,1.0540770828170378,1.080067654827844,1.0496162629240062,1.1780441897611924,1.209348310123033,1.1726769698607042,1.13475512677532,1.1846032820015062,1.2142569638105638,1.1551798625731082,1.1362145191433484,1.116575762646815,1.1112240509508278,1.1298380543119435,1.131096988974089,1.1602029419661306,1.0844083189793443,1.1462554100192277,1.1225475618890446,1.1162809390183364,1.1270352115341298,1.1421306853083417,1.1256645837565917,1.1451653959676964,1.129099868190361,1.1332963875875854,1.1311448013298,1.1519631165964377,1.1638799236117434
Shadow Flygon,Dragon Tail,Dragon Claw,50,1.255675404881442,1.1915081572057464,1.3641823052418705,1.2055467850646404,1.318714953353099,1.2275330784144547,1.239491481919975,1.2243172143782208,1.2538215453353754,1.2559516256620977,1.3343186631658837,1.1687400260710776,1.3962808905863084,1.1755392949738634,1.3728070294846708,1.181306493064303,1.2935325375398927,1.2820812756581854,1.271705845323157,1.2508582738126632,1.2763978589581053,1.2839949623776823,1.2796529854665692,1.255040066981569,1.2595589509980067,1.228730641124084,1.3205090045634007,1.2748780031232845,1.2903455473292362,1.2287463811089163,1.2429236981325793,1.2195056097460106,1.1754590168813563,1.2052103730154036,1.2686827516772528,1.2656194595908399,1.4108814927312352,1.2752982262885877,1.3510834216651044,1.2820712138495995,1.29265649132722,1.2889944395179134
Palkia,Dragon Tail,Draco Meteor,35,1.320980299768455,1.138646432792418,1.194086191684385,1.1857117054131927,1.2093812932828574,1.174927034200702,1.2059725570271613,1.215542043261127,1.255729829756784,1.2233751751796136,1.355678137954956,1.1530124159418034,1.1218626693132856,1.1054997455535953,1.3434158505282212,1.1078255625028348,1.2718999953338777,1.2677746629311926,1.299012709867276,1.2048408665265593,1.251851032707334,1.2347228547784301,1.2411923960033828,1.207718707018848,1.2007287929513637,1.1975690990039563,1.2535255893449864,1.2356589814581413,1.2985491770644055,1.1643539046649307,1.199709255572164,1.2097412184219976,1.249641101691957,1.2319273987396027,1.2054422301799457,1.2076372327701317,1.3321599024861,1.2601664104448334,1.488370720352657,1.2730553628301342,1.2720814116916042,1.2464359411897268
Palkia,Dragon Breath,Draco Meteor,35,1.4378995778895605,1.2090078170538092,1.2674811557363046,1.2426340578755197,1.2244603063648436,1.1787276154867379,1.2683046204059107,1.2730292312990321,1.250417388572558,1.2304932812633405,1.3602778012017676,1.1504417894266636,1.1425639965830554,1.1157187062958707,1.4506572329745402,1.1755370416206712,1.3452031996837577,1.3227621361192836,1.3559917347522017,1.2572700750484793,1.3110705576341832,1.3045449709466717,1.3556533558109167,1.3034145936821981,1.2952861301688234,1.2907889523945215,1.3314527904512536,1.3389656787341997,1.397493981645164,1.2472685504130248,1.2434743335493075,1.2277029745997423,1.2843589784102505,1.2634440348290277,1.2843400004793857,1.2936162015372714,1.411305820285944,1.3393029435555677,1.4843748468513562,1.2521161867675257,1.3408205762913998,1.306803162906019
Palkia,Dragon Tail,Outrage,35,1.2180414172219127,1.1248248921980013,1.2077177555820093,1.1787623566508192,1.2027767953690867,1.1602366297463822,1.2066031493868217,1.176104744580489,1.2167064392983475,1.2107308745843686,1.3300637927873982,1.1084364809015657,1.1218218362581456,1.1025522179842242,1.2319413783278061,1.0881503666142573,1.1840452800062857,1.2295646226649555,1.29995478372317,1.183488758497406,1.229734916875563,1.2209408802631807,1.2010576197996992,1.1987984840320725,1.1861698779366092,1.1768748117142156,1.2263003624632605,1.2127524680114397,1.1934416051872054,1.1438276461209862,1.181156360633375,1.1850421871543348,1.2013810833125422,1.1954671152880207,1.179715052099581,1.1891270201307484,1.3539027276715239,1.2305094484946548,1.340311003862967,1.2316595040619256,1.2215137591595475,1.2269356289080442
Haxorus,Dragon Tail,Dragon Claw,40,1.2137091596274672,1.136058158332877,1.3156050747436319,1.1594710774574852,1.201592343263806,1.157173794763249,1.2012878294669125,1.1774280445185137,1.1861014817683482,1.1659157901986212,1.302390939142917,1.1199592429659175,1.229098308403812,1.12706209643421,1.2982683188525996,1.1049138723966552,1.2295323637751285,1.231858575153524,1.2237604753118025,1.183593853249977,1.2163083326738444,1.220517147674345,1.1934775451715534,1.1788464173061726,1.1790425977029566,1.1689799039456683,1.222070156333544,1.2053975003912412,1.2053092282843614,1.152878963220238,1.1810961636046269,1.1629451511194875,1.16012817088079,1.1709066945236177,1.1962306842735055,1.1983833204922245,1.3407414897157253,1.215341800201572,1.229361819777296,1.208780830459404,1.2098761795975632,1.213439775581306
Haxorus,Counter,Dragon Claw,40,1.516903488227925,1.4191073406800785,1.7161576742979368,1.448359067970775,1.4706545947793703,1.458802493824691,1.6328827466321905,1.6510771991063677,1.582445387121592,1.617051822033079,1.4077891220691012,1.1999411520935348,1.3180680513271503,1.1995759009390083,1.3772668401848454,1.1675864002882843,1.6900912458213468,1.7533238219372513,1.4780253306746642,1.481466596557198,1.7726312771777157,1.845818778717251,1.7224183344890929,1.795597531570328,1.6218501786727901,1.6638417232461555,1.6308012173921391,1.656624990696975,1.4935372104943496,1.4294637691055931,1.5760222827474792,1.6061477118236285,1.4053604360499616,1.4447483082083084,1.4643203067502188,1.5019267854263574,2.04022564722297,1.720070882065637,1.6478092847453623,1.6805237460150526,1.501868472778479,1.530687957135868
Haxorus,Dragon Tail,Outrage,40,1.2065201792620837,1.1016824337488689,1.3602820523264814,1.1186182400981746,1.2284834317210758,1.1348440971329299,1.2491307919159724,1.1641982291018178,1.188125098173698,1.1510327755101848,1.3673868640767357,1.1140509280254312,1.3202702670416648,1.1101465146489673,1.4123053054149526,1.103122174496002,1.1827783428450223,1.1844292251959143,1.2188460445011013,1.1511405119497329,1.1799305885664002,1.1652354270841905,1.1727595870660528,1.159902810457716,1.189182086097629,1.128053099255748,1.2059339770314577,1.1692569294811452,1.1933686599861355,1.1225726369625055,1.2180165702660815,1.1544013087109761,1.1312729122627294,1.1190764325710272,1.1948575362212575,1.1564380477611407,1.3916051344745806,1.199016577652589,1.226509517793291,1.1865440326815737,1.1749975722644723,1.1696873531051706
Drampa,Dragon Tail,Outrage,35,1.5108810881158563,1.3917004537506077,1.7105402211733884,1.42776811230991,1.8633645039850872,1.4433198971869505,1.606501597707323,1.4584232174621967,1.6040642377923806,1.4780509790954293,1.7248840724917844,1.3925033226073882,1.9446731650591549,1.442987335454191,1.8273433686411333,1.417135666419691,1.511669726577514,1.5087631479126304,1.5524345602858023,1.460343368353615,1.4548469819600502,1.473592052170732,1.431538346031805,1.4432781560987324,1.6206666940564503,1.4521839966716856,1.5508932565503448,1.4951990061441895,1.501100465531664,1.421292654092604,1.6528028379912179,1.5217157663042373,1.5225023819383485,1.4248417154659356,1.5052211024861983,1.476216235483437,1.7616219679698237,1.5086669542914453,1.571828478450695,1.5243428285749245,1.5173882917678647,1.5136351220372581
Dialga,Dragon Breath,Draco Meteor,45,1.1250960073810958,1.084199680860999,1.1185272413339735,1.0931779934298382,1.1225911395384136,1.1007491901059727,1.0994511014419166,1.098542889804418,1.146863606839163,1.146254965289554,1.0597364663090691,1.0414008987873358,1.1140972756315928,1.060635349306153,1.080235755028539,1.0249162496648276,1.198695441128024,1.224819872740729,1.17237894606284,1.1443522488499938,1.1888877766381574,1.2379744586468964,1.169757412702952,1.147647490928796,1.1039350738235139,1.1053989545179888,1.1030985099494501,1.1351926935373369,1.1300159532557532,1.0926613971440853,1.114512210412576,1.1232834492306663,1.1705416415734866,1.1693379956737457,1.1932826393311882,1.1723213684744842,1.1259148908490852,1.107175243738215,1.1218604566580477,1.131619065114411,1.1312440558347197,1.1673198691766116
Dialga,Metal Claw,Draco Meteor,45,1.5129787085014637,1.4461468031353555,1.4743136998104216,1.4499541208191356,1.2895775332448027,1.2545098105190922,1.3213800638636057,1.3208496825672131,1.256489369881701,1.2493362868384272,1.0518920435633814,1.023530613124878,1.0886092500336113,1.037370933337214,1.089689740436955,1.0142504599150821,1.3593657305090003,1.3750399796540667,1.3578128664656066,1.3353299429841052,1.3616129196249769,1.4094126809511107,1.399978474909758,1.378657943522017,1.273694630087155,1.2651058376769067,1.3359236225206679,1.352966553363602,1.5161359444041336,1.4516233288171771,1.2530889872260198,1.2628348008410517,1.5533863759372968,1.544695653867338,1.5908357558377366,1.5528447957069687,1.3128213932855886,1.306185332253155,1.2855733746517457,1.30633242479265,1.3552398947717603,1.4048160214051382
Dialga,Dragon Breath,Outrage,45,1.0722108849425003,1.0608723528530897,1.0735998514655465,1.068580696098233,1.0902663706930675,1.075216752840291,1.053855235232065,1.0799201104444338,1.1065448188580296,1.1246277182616522,1.0242158975797908,1.0023851934801489,1.0426967148721156,1.0382165902531062,1.0381991197272535,0.9991773980185841,1.1555417113592803,1.1705577854781486,1.1173605664306894,1.119644155908566,1.1592810015287915,1.203554741690832,1.1126795001009282,1.1152219163957036,1.0755178240535561,1.0841808603896266,1.0905537334549227,1.1089865138180315,1.0765157584429685,1.0679106796032845,1.0688915278426028,1.0862170467219534,1.1207696021676097,1.1322728119512493,1.13258790336611,1.1300335384225397,1.115163630715431,1.0973861598431274,1.0975687623925183,1.104473404456976,1.110630856123052,1.1563592112830041
Hydreigon,Dragon Breath,Dragon Pulse,35,1.4706227477513742,1.343073922865617,1.4161461171999847,1.3594961492738629,1.4222990729780012,1.378615220332033,1.4674866769279669,1.44430943321818,1.4052801293605042,1.377109171982394,1.6443622197502537,1.3121585658485877,1.6062795374483643,1.3394411692328143,1.790424868912834,1.3548218140768917,1.488447248489409,1.5380418081066767,1.5419634869985432,1.4248351299259157,1.4809333437453978,1.5286184850131785,1.415158950806944,1.412237084299632,1.4189966429902938,1.3991985208788038,1.4126629374393127,1.4012373194692282,1.4416929619253607,1.3649668848326035,1.4480984762996354,1.4252996229972343,1.511388843673193,1.4277567193075347,1.4469688453270997,1.4267095825921798,1.5199807011495134,1.4380704624175003,1.4538621506554221,1.4221684337644251,1.4868587391157928,1.5038104087498787
Hydreigon,Bite,Dragon Pulse,35,1.7410352353126821,1.592516697635924,1.6507916561117446,1.6164944003133008,1.5951358105808404,1.5685508299900113,1.6867871936517354,1.685198898572048,1.761581076497889,1.7674643048688965,1.9987488049340054,1.5217241809987851,1.8728203999337116,1.5564701604847666,2.0950146126110023,1.5517652751210023,1.488447248489409,1.5380418081066767,1.8267148083020646,1.7134207245054531,1.4809333437453978,1.5286184850131785,1.415158950806944,1.412237084299632,1.4189966429902938,1.3991985208788038,1.4126629374393127,1.4012373194692282,1.694028348128367,1.616994909216541,1.6822509356141246,1.693281040036604,1.7962740899121556,1.6919042205412187,1.6889116945955986,1.6876483983875306,1.5199807011495134,1.4380704624175003,1.4538621506554221,1.4221684337644251,1.6990903859821793,1.740770523705891
Hydreigon,Dragon Breath,Outrage,35,1.365339684983077,1.2245243307259044,1.3081503132371184,1.248044227540549,1.311327414600851,1.2696826942151114,1.34521521498876,1.3112471277995488,1.2778438296445183,1.269490397727889,1.5525152514954121,1.1963696544891893,1.4994269254468777,1.2212926246597335,1.701083898740656,1.2470503541196973,1.3474736751944303,1.384066906928068,1.4281532235328416,1.3129746856257465,1.352082631261455,1.397019039927297,1.3013916229330569,1.2965396655010375,1.3147675996592614,1.2914970025950756,1.2996705450061492,1.2927859636486043,1.336009593897132,1.257061994753657,1.3125003036109684,1.2984056649539726,1.4037238524164593,1.3032180878133308,1.3180937927782053,1.3058203699459858,1.4079885265841616,1.3246687747660137,1.3352994408514123,1.3055498448556078,1.3590993631338641,1.3659347892565679
Mega Altaria,Dragon Breath,Dragon Pulse,30,1.6194887838420986,1.5531289650847118,1.6089922276859432,1.5889795857399787,1.7178747582057523,1.6612802528211563,1.700062645879295,1.7098491443656554,1.7265167335151916,1.7020381449333881,1.7281576665089884,1.5087881027184313,1.7093167565609273,1.541820541763419,1.8640554213965606,1.5730564225253574,1.8327906404490297,1.8326016537042722,1.7566810541961688,1.7169402241882488,1.7783805710877585,1.7924981774519757,1.7380959318754392,1.7269509404185033,1.6622466630999215,1.6714734066911905,1.7110590405438884,1.670500752496705,1.6159975238711415,1.5593201547340059,1.9996720345085868,1.7353339490892,1.6944031889497166,1.6768321450893486,1.67804166887417,1.6831066172292093,1.7826656467431357,1.7337667629161764,1.735523796871961,1.6994359814782223,1.7006537298516888,1.7619903627735327
Mega Altaria,Peck,Dragon Pulse,30,2.021447837599791,1.9693177920798137,2.1478145181110735,2.1935030348980002,2.153021811075198,2.0975506563917707,2.029119357576702,2.132319715744672,2.032549091566048,2.080109501704508,2.212218762552043,1.9961652745736473,2.121573036978024,1.9549879640226036,2.3984171703638766,2.0202353947310727,2.169188861046325,2.2619688824074475,2.107109752952366,2.067174666171472,2.0867323220703096,2.1281702246752303,2.09752839796226,2.1461895537985085,2.0606566952671272,2.096831114381285,2.104352697497485,2.1119388495748717,2.0058019991694467,1.9829541694219428,2.524268199097898,2.16408403689021,2.2305304787062243,2.288386410844222,2.0962877948498235,2.126916116441893,2.19533214353745,2.1913230974210363,2.12924620507293,2.1331713104160803,2.0937582204303076,2.162643806514275
