Attacker,Fast Move,Charged Move,Level,Zekrom,Zekrom,Arceus (Dragon),Arceus (Dragon),Eternatus,Eternatus,Eternatus (Eternamax),Eternatus (Eternamax),Kyurem (Black),Kyurem (Black),Kyurem (White),Kyurem (White),Kyurem,Kyurem,Necrozma (Ultra),Necrozma (Ultra),Regidrago,Regidrago,Giratina (Altered),Giratina (Altered),Giratina (Origin),Giratina (Origin),Latias,Latias,Latios,Latios,Palkia,Palkia,Reshiram,Reshiram,Naganadel,Naganadel,Mega Ampharos,Mega Ampharos,Mega Charizard X,Mega Charizard X,Mega Latias,Mega Latias,Mega Latios,Mega Latios,Druddigon,Druddigon
Mega Gyarados,Dragon Breath,Outrage,50,1.1799300466754836,1.1954139069868237,1.1823103208128762,1.2002386374959997,1.1608813211102649,1.170427681714246,1.165621280897297,1.1825813090486785,1.0690397138936074,1.0782610247161208,1.1207332443838802,1.1095435211950706,1.0822600243646818,1.084837946946256,1.2444486753744592,1.2438852279049586,1.2280739561476468,1.2471317507445794,1.2001960647637397,1.269425112536772,1.1893897754411409,1.2292874466660666,1.1796998158659542,1.210502117591629,1.1988250154136157,1.2237447799546461,1.170304549721448,1.1599846073601807,1.1693301502626214,1.1548096376918942,1.1724233932086985,1.1957273238711745,1.2646589795493184,1.277412684000833,1.2410156537109005,1.2315001136108645,1.2131982389669667,1.2319405489510555,1.2325501472230431,1.2205402113243229,1.2084367049376523,1.2663883087662209
Mega Gyarados,Dragon Tail,Dragon Pulse,50,1.2161663153570585,1.2286816277471493,1.1976848114111172,1.2018934594875506,1.2308996400724717,1.2371261321573896,1.2467755394305666,1.256367056657014,1.1195842349209275,1.1303019669708292,1.1662467884693535,1.1557458515896548,1.1404295290303892,1.1266024476014818,1.3086549898852866,1.3182467111886182,1.2567386775775105,1.2642214443871456,1.2763628492649275,1.344584267754972,1.2275696692679285,1.254928152961615,1.2254522479922028,1.253473590889004,1.2619084654072783,1.2842287630070266,1.226856719643286,1.2172969905244884,1.1967901230343645,1.1806236977615183,1.2214775383682208,1.239555224701657,1.3206890957746817,1.3251065671684565,1.2933071658339181,1.2763270956295683,1.2959867863577335,1.3084921302013672,1.2885815145310513,1.2697488316010648,1.2846219069092597,1.332770928973631
Mega Gyarados,Bite,Outrage,50,1.2821180393146268,1.319197767129931,1.2403682094478485,1.267961917833494,1.2556032870792806,1.2749145287328971,1.2834029963673963,1.3155885681239377,1.1494460692550965,1.1704139680991457,1.2063469119893453,1.2078821697034805,1.2089408453540134,1.2245832583437681,1.1986503606467773,1.1925594607156687,1.3154838866764407,1.353893312219331,1.1452058470380384,1.209558694431939,1.10299362072462,1.1314088547547538,1.1255224289988939,1.1492696447378046,1.1040877030386858,1.1168258453146536,1.2844349820535268,1.2809393237709321,1.2783586078969995,1.2760778790943021,1.2526996430847925,1.2851616621732243,1.3698459465527206,1.3983695893806518,1.3515306775426477,1.3592609040559123,1.1495578958275725,1.1598172741568105,1.1250491847945858,1.1068045310114636,1.3697667573077366,1.4421989410192384
Mega Gyarados,Dragon Breath,Dragon Pulse,50,1.2844971089667123,1.3073333635473021,1.288390215566863,1.3042096094298417,1.2666142150566286,1.278697077428687,1.2677737436478964,1.2831515773594588,1.1697553409705688,1.182764700347225,1.2213418198032933,1.211598846509632,1.1869177495912913,1.1808131983333867,1.3551886433720013,1.3598638405537335,1.3372375812625514,1.36556311933645,1.3068327076486221,1.3825039582441276,1.2981256134709467,1.339363374306985,1.2884353743975423,1.3210754638036264,1.309537210702295,1.3403798967734761,1.2777380514783703,1.2654628170104,1.2739869510471042,1.2590089945028227,1.2888978166924983,1.311073824401919,1.387052304904276,1.393849601858959,1.3410155917976228,1.343252341626499,1.3311582743588786,1.3493965257105323,1.3470813528677283,1.328562534116509,1.3270059617106136,1.3854079378284283
Mega Gyarados,Bite,Dragon Pulse,50,1.417187224629965,1.4631136636760105,1.3619473396485626,1.3881512452946836,1.3851749629864236,1.4092145580868067,1.414779805534709,1.448071715267266,1.2759711391429596,1.299382166015031,1.330396484621468,1.334779196340316,1.3458866686056308,1.353680794864869,1.2986488794309652,1.298027178612321,1.4479276846786477,1.49558381432141,1.2394427169618294,1.3084077769735796,1.1940327092075453,1.2198127646135035,1.2201318280612705,1.2467668136757128,1.1926016543059725,1.2116239207502,1.4187297525088565,1.4171770618003667,,,1.388959589216001,1.4249999507657891,1.5203493595314095,1.543724690182666,1.4856713659139278,1.499771761124069,1.2505135467340973,1.2591021143109944,1.2142069543277223,1.1880198385092822,1.5216960454923136,1.601369697249178
Mega Gyarados,Waterfall,Outrage,50,1.460924544385501,,1.4550755392684211,,1.4510901583966007,1.502330521670084,,,1.3349021506196288,1.3808214662209193,1.387017434194165,1.4287362734146623,1.3731179743080102,1.402584746221699,,,1.5148107409982823,1.5953177131823055,,,,,,,,,,,1.269031903433884,1.270767584043694,1.4373020046201384,1.5152316863505042,1.559840023398663,1.6174573024001633,1.352240734390535,1.351102326108378,,,,,1.573397303252863,
Mega Gyarados,Dragon Tail,Twister,50,,1.5058280247747067,,1.4725251666607815,,,,,,,,,,,,,,,,,,,,,,,1.5079317635719782,1.499922170075644,,,,,,,,,,,,,,1.6501337736973496
Mega Gyarados,Dragon Breath,Twister,50,,,,,,,1.5785449490487353,1.583059075919578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gyarados,Dragon Tail,Outrage,30,,,,,,,,,,,,,1.5394601318978358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydreigon,Dragon Breath,Dragon Pulse,36.5,1.3764704011098075,1.3479694352229248,1.410560115924431,1.3701762012896557,1.375372991554397,1.3650145526684827,1.374640737332232,1.3619625918705338,,1.2991783065014777,,,,,1.472432144069256,1.524802666047952,,1.4106427423483971,1.4627303472720479,1.5182993779490295,1.4008412996924684,1.395298765197689,1.4048441109854681,1.3909809480976656,1.3929401024437773,1.3919971673442644,1.4256156592505211,1.342194705671374,1.4537321410169295,1.3246802571790173,1.4412207852397148,,,1.4121305423470607,1.420164553109519,1.4085597052291159,1.4801198158512003,1.421131227839983,1.4167748274949088,1.3945867290593599,1.4873751862035283,1.496296293802955
Hydreigon,Bite,Dragon Pulse,36.5,1.6020750471141638,1.6014931138405755,1.5830833968535274,1.555429141690736,1.5664737575769256,1.5814255386833418,1.527821423635368,1.5284145224902086,,1.5061806763484094,,,,,1.472432144069256,1.524802666047952,,1.6397340851513023,1.4627303472720479,1.5182993779490295,1.4008412996924684,1.395298765197689,1.4048441109854681,1.3909809480976656,1.3929401024437773,1.3919971673442644,1.672254957104865,1.5825148749844002,1.7179096838237427,1.569863081800704,1.607955395117673,,,1.6711934824728654,1.6506766192555424,1.6664107289695853,1.4801198158512003,1.421131227839983,1.4167748274949088,1.3945867290593599,1.7048614120652317,1.7344430959829857
Shadow Flygon,Dragon Tail,Dragon Claw,36.5,,1.31891493175526,,1.348052131607063,,,,,,,,,,,,,1.4819547918120954,1.3997429151531764,,,,,,1.384069704023629,,,,1.3954003140952222,1.3733175561874644,1.2939409882681798,,1.364506597712513,1.3332032284864026,1.3351476360846481,1.4512181304719727,1.4230446703414261,,1.4172507493790596,,,1.444432457704808,1.4457522706690336
Mega Charizard Y,Dragon Breath,Dragon Claw,40,1.2830448502575826,1.276640423506719,1.306243241639322,1.2792899887429212,1.2368355535893183,1.2712329172675,1.236428986866305,1.2618925907808942,1.2853889282671527,1.2094921747471643,1.2126659358708183,1.2074030328968903,1.1780422675268931,1.1728862485868317,1.3004893339874104,1.3475732035296495,1.2768709102668117,1.2800487754040775,,1.346574998571835,1.3053540842096307,1.3166211530069682,1.310378417190557,1.3057805318579774,1.3025850620872415,1.3296763676053345,1.370434819029018,1.2940166548523164,1.3851034685836476,1.268322062697449,1.2241745228056147,1.2405778520886137,1.3783348514783815,1.3163529207726703,1.310109898721376,1.3268324981379582,1.3234877000076322,1.3352124600543165,1.3219035771516245,1.3322553620903976,1.2826721786220934,1.3457808144434191
Mega Charizard Y,Wing Attack,Dragon Claw,40,1.5334792610247805,1.5655105201453676,1.4146558974132382,1.3979142513432605,1.3395195510723115,1.3958324151508628,1.3641919897809731,1.4040920448289997,1.4089965608862893,1.3352835309338624,1.3092236224436715,1.3206581267662196,1.279494098333288,1.2910668877186238,1.425798435332606,1.5050206483240631,1.3961822559122794,1.405846479301277,,1.482749812242177,1.4170508558455777,1.447023604047375,1.4263760337327958,1.4296293752332647,1.4107614017637216,1.4497611067569525,1.514839864492265,1.4297070533750957,1.5269207111872551,1.4144146025415187,1.3404470203783683,1.3727489298123652,1.677012466916502,1.6111951837261709,1.4212236239486573,1.444069358084021,1.4443284730123231,1.4680386444434472,1.42507304130783,1.4447558976290509,1.4013138551245248,1.467703207354196
Mega Charizard Y,Fire Spin,Dragon Claw,40,1.5402126597786634,1.5862320348175036,1.5745112673392565,1.5799849270878146,1.5000687345113441,1.5767155069917327,1.5664516475964014,1.6380395308040172,1.3812005100364302,1.3129345489357354,1.2771284067093922,1.2911422895137459,1.263997078694238,1.2804929101046816,1.5983126551507703,1.7021297248808487,1.5766539473078403,1.6179454611139,,1.6787482252758454,1.5886565241820054,1.6428346593431227,1.5767484512853718,1.6013429587470684,1.572079046623359,1.6297290552973915,1.8893590636842166,1.7820270138724636,1.8799006534942662,1.7659870907307993,1.514450240952229,1.5574384030785169,1.755382647877677,1.6994893116832008,1.7413108473743064,1.7958804143271925,1.5947329815514077,1.6287351838251187,1.597835129301377,1.613449186397349,1.582934559189707,1.6650420726146216
Mega Charizard Y,Ember,Dragon Claw,40,1.552822692451043,1.5837119043359815,1.6000712972965079,1.5915055459923488,1.548383147001642,1.6136455740253373,1.5924180895268654,1.6527983218606705,1.4352878003542555,1.3467455971336681,1.321440742223312,1.3324065894994324,1.3348633618198102,1.3486900956948913,1.6293033198027491,1.7520334663441715,1.608942752508578,1.6524003008263246,,1.7496150768090657,1.6296455480309127,1.6829435278917935,1.595571837192818,1.6204144469023383,1.5791106302811972,1.6412253525220124,1.9145917405892299,1.8080492624593885,1.9173504257333596,1.7814890120860611,1.5685476104667995,1.6163256705207207,1.7616926257834307,1.6956166639047325,1.75917088215011,1.8153648766152402,1.6336981848822019,1.6650004146843345,1.6108657479340536,1.6298023947131006,1.6158038766686793,1.701276273610254
Mega Charizard Y,Air Slash,Dragon Claw,40,1.6140869859481084,1.6771554000425475,1.4334723567449388,1.4306930747982867,1.405059373937806,1.4630229276097957,1.470189559554465,1.5242612267077744,1.4510275708973366,1.379860528018974,1.3501595204114236,1.3667786281526975,1.3271317952493216,1.3516172519463447,1.4866168638586446,1.5741522688684209,1.4471599516805174,1.4752511968852244,,1.5732965137578137,1.4556878053549067,1.4923526007173307,1.474561480301811,1.4880672247319908,1.4550558795988393,1.4960677280264394,1.56667424341523,1.501022911155801,1.5597667081021374,1.4771233733089015,1.412715818164273,1.4472375340618684,1.8537130680137555,1.7907124062519404,1.4676514179865323,1.4938806243016514,1.5134825149022662,1.5337726522610227,1.4563642180657914,1.4606724454498015,1.4542201448697532,1.5178449921580357
Naganadel,Dragon Tail,Dragon Pulse,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38432028232866,,,,,,,,,,
Latias,Dragon Breath,Outrage,50,1.2763522352635657,1.2484343242036675,1.2975353671750685,1.2604803698104712,,,1.263615990248905,1.2521203160237873,,,1.2111332845219047,,1.2324055943885814,,,,,1.299082670902758,,,,,,,,,1.2875627079483065,1.2403875534445088,1.2829274622974787,,,,1.2938002912339892,1.3024602400935064,1.3031922397543916,,,,,,1.3426107893110972,1.36956910513416
Mega Ampharos,Charge Beam,Dragon Pulse,50,,,,,,,,,,,,,,,,,,,,,,,1.334038179961628,,,,1.3469772255162513,1.2632811242418596,,,,,,,,,1.3789255404805336,,1.319862920598188,,,
Mega Ampharos,Volt Switch,Dragon Pulse,50,,,,,,,,,,,,,,,,,,,,,,,1.334177011548073,,,,1.3144798378412148,1.264132168287585,,,,,,,,,1.3789801423080814,,1.3400037048486975,,,
Zekrom,Dragon Breath,Outrage,32.5,1.2325827982971351,1.2109501744295919,1.2963357552660444,1.2515015138543044,1.2393995938491411,1.2308203202788037,1.2303562979989782,1.231929789473138,1.418747088669489,1.1560509263261596,1.3420394438624768,1.1832834576388547,1.4243088877680923,1.159376310024501,1.2740977566137606,1.3104278822659419,1.4009216309349273,1.2845281200671086,1.2743319726022946,1.2924904732230877,1.28985754667079,1.2729450177288255,1.2605192939010939,1.252336793403933,1.2904921581103361,1.2836567357566928,1.2873814972393298,1.22497993380724,1.3369900840678468,1.2056491689021427,1.24200951730123,1.2515154618398758,1.2495819436396458,1.2539040640112171,1.283406878936634,1.2628832465058577,1.3856110068597685,1.278151740547007,1.3346985587768696,1.2873379244278673,1.2936708387813627,1.2805184868904806
Shadow Salamence,Dragon Tail,Outrage,30,1.300523903081269,1.0712858828901473,1.318752714205716,1.0547662238093591,1.3173422953528375,1.0854779701841366,1.2399063287305887,1.131729550507154,1.3927659663047147,1.0933912877060445,1.3388499587216909,1.0550873751361012,1.348071797437752,1.0715296475288663,1.120780093724077,1.0939820894662549,1.199464897147473,1.090688355717937,1.1234534022556095,1.1004886158225995,1.1848683315399675,1.0970954287617034,1.2570668147051072,1.082235214048882,1.131558619448494,1.0957948111616467,1.09810924135037,1.0533226914835325,1.287766475832708,1.0745521970192224,1.4450100470613412,1.1081770147131518,1.1826981620217796,1.1009401721021648,1.1180239546009392,1.079887232924915,1.2846342597926,1.1502791725258497,1.162903799997349,1.1181211177300434,1.116604095324762,1.109090906030899
Shadow Salamence,Dragon Tail,Draco Meteor,30,1.3145405166517286,1.0816523499525965,1.3651701845114503,1.0657392872414908,1.3629358154842852,1.1319407123643639,1.2916054825381715,1.1805134230863028,1.5275286279505995,1.119976713604094,1.3745938685692556,1.0631136225370663,1.500226865760173,1.082623913220907,1.1419703202991611,1.1222892945624803,1.139803045284379,1.0898746629154752,1.1197418506815622,1.1150934229469671,1.1734296024978506,1.1357424240964455,1.3465309275143342,1.1220672168976624,1.2063175438515985,1.127735293743773,1.1717935135784536,1.0848495472663109,1.3822053841422375,1.1034473493106791,1.490897775992217,1.1228065994849445,1.2175286595042554,1.1139547598899586,1.1820049588997552,1.1173271648839918,1.3657903366347448,1.175235310091845,1.183023840793836,1.1703797654849266,1.1300305246719362,1.1279216177184135
Shadow Salamence,Bite,Outrage,30,1.7417655931990224,1.2793675315695614,1.7507416286916666,1.244341695690604,1.6737418246848226,1.2642837213160494,1.395629837634265,1.256945980762908,1.8174083598649844,1.2599442447682077,1.8101084834364405,1.2439370515015595,1.7247564270377647,1.257401260102738,1.1953392871183464,1.1632975447003708,1.452322463301709,1.3094024853673176,1.2049573306261965,1.1744104823633428,1.2877872841704345,1.1602921302531148,1.3878155150492437,1.1427400964296506,1.2064391754642556,1.1741282597443614,1.3240120121107068,1.2698784064619828,1.6512177640625654,1.3107744836936392,1.914243588556919,1.2732790181516689,1.431745754123702,1.345967221294841,1.324341196290121,1.3164361974386123,1.4040518692542694,1.1935849109090522,1.2399814202762485,1.2048468174517482,1.3509821431426527,1.3500300500643667
Shadow Salamence,Fire Fang,Outrage,30,1.9108250855401125,1.3763273520720773,1.951851862465084,1.3629051804192278,1.9601479481728938,1.3682160000871402,1.5649449732000547,1.416729600036227,1.8468982660842979,1.3080099530597407,1.8047292171152187,1.273930233684534,1.6041196250149086,1.245172173241912,1.3773604535166668,1.3873399255047976,1.5183530163174466,1.4299545414639345,1.4285134035239246,1.4390760061487085,1.4922877434585227,1.4188618068057353,1.7171932261481824,1.356950766438721,1.4128717049687567,1.4093563614783926,1.4742532748562651,1.423091033857445,1.902014403924991,1.4869045529638707,2.2033954537785942,1.4260056415841336,1.4652449198481878,1.3921711299151247,1.446403223311375,1.4778446431349628,1.7546643714595422,1.444262547510312,1.4290854047762958,1.439221063266918,1.3872486410150815,1.4182464058153903
Shadow Salamence,Splash,Outrage,30,2.6669396289728033,1.6016117436020858,2.6741500942588528,1.589726903530589,2.1255540166398403,1.6006168510432928,1.7201152187746318,1.6039114052247039,2.464638844206301,1.7493117949216836,2.9824427636767386,1.6476530875762607,2.140170427652819,1.6131971517037118,1.476835921626237,1.541130991993648,1.7440847995566289,1.6576185770101053,1.5384456744423476,1.597663155390104,1.6372417194787263,1.6582234539357195,2.1595071077855095,1.5644288332799352,1.5804190404215182,1.5855483499637926,1.5283430933444568,1.4862775096969272,2.0604547609999906,1.5891956372796863,2.9549933665106267,1.6903831143723855,1.623002175620048,1.605542190898258,1.5621536339069657,1.5575673636362268,2.266549007311888,1.703466031975575,1.6661328129695594,1.7584457142575336,1.5329413164570513,1.5690168941781641
Shadow Salamence,Bite,Draco Meteor,30,2.0517983318524577,1.4558104648170993,2.1273604692587837,1.4135807068203032,2.030507621542921,1.5051646961004548,1.5836027164573787,1.4342415471561587,2.461574685438239,1.4673615555473896,2.160137142594024,1.4002853535523565,2.5721919982335,1.4773806466852952,1.2644726640450905,1.250663400263797,1.532881012599482,1.4883710868954463,1.2273304637264464,1.2420826993940912,1.3323538555642946,1.2752127893814567,1.566024713297743,1.2785865760240946,1.3814980805571548,1.2500243817055292,1.6901113010503055,1.506715442423917,2.283672525867649,1.5049728603034236,2.324481284763456,1.492418916177771,1.7822878035570522,1.558252676901867,1.6451377689833404,1.555690064608274,1.5315918625076346,1.3015823102901902,1.3347674159481715,1.353824300786864,1.5673684407172233,1.5822466306649339
Shadow Salamence,Fire Fang,Draco Meteor,30,2.5659158597387357,1.6622136068795268,2.600136049994814,1.6076596110105283,2.5740999088660264,1.7456285716599875,1.927405945469906,1.7881117960798447,2.43460548962499,1.4785302318507683,2.128725826234065,1.3881237819315035,2.3541607087734695,1.4383796623549332,1.7426841258101389,1.6925115407495646,1.7074089778331165,1.6533316507278746,1.6442022008937953,1.6522379212627807,1.8130731554630843,1.7467753487898834,2.303399761453811,1.6646040671642435,1.8660709354932068,1.7206532218900823,2.1154066226527215,1.8825701500121066,3.6102556211617176,1.9302112886968115,3.146543791204932,1.7588928473194598,1.9508073236933878,1.6679413512213563,2.045212524843808,1.9159575016648038,,1.7614157633407883,1.7817702334208791,1.7851114398145478,1.698691681963785,1.6655864575947397
Shadow Salamence,Splash,Draco Meteor,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Latios,Dragon Breath,Dragon Claw,40,1.2071082932705113,1.0486947387063523,1.072363844163873,1.0621890275928765,1.0538765733737419,1.0629505343333214,1.0453603758926437,1.0436738873765488,1.17660850413316,0.9984419270676792,1.0934451435053831,1.0117857663354484,1.1947230554986115,1.009526508306855,1.1031667398785392,1.1226936723338687,1.109732770905164,1.0989989096700288,1.1509253198172158,1.1608021412515337,1.1213526310310495,1.10655319152936,1.0378798886322893,1.0568868802237774,1.0659053983495972,1.0802529705462138,1.0959291016733357,1.043126846143591,1.1249592421495347,1.0313679461746794,1.0598479253688136,1.0520314363720034,1.0842742280700917,1.0883866313090134,1.0887901853657,1.093215215771753,1.2454239170068768,1.1227721833885111,1.0720897596687458,1.0767307453434336,1.1308075683413865,1.1185530157692574
Shadow Latios,Zen Headbutt,Dragon Claw,40,1.533054753064275,1.2790297910581707,1.281522316063051,1.2814654667990129,1.1034879203495211,1.111531115004484,1.1091387979152507,1.1146591904496628,1.4509180740708327,1.202555694164212,1.3054020937366222,1.2213489330083775,1.4739764728071278,1.2354742629730115,1.4460074881606657,1.5111791689770415,1.3081514594934185,1.3177607353830154,1.3241985636592046,1.3558260479454602,1.3009893786839097,1.3227804189355936,1.3682597560845629,1.4359362828607942,1.3887591080636748,1.4451117304512653,1.318872030720751,1.2640305660432374,1.3647469350096448,1.2432954845534792,1.1027370282624065,1.1011487326129383,1.2668320275081266,1.2859622167440803,1.2977960553635606,1.3265796266222494,1.740490052436369,1.4668509512817265,1.4129469975468474,1.4308543621511176,1.3304564597203754,1.3355810433658362
Shadow Latios,Splash,Dragon Claw,40,2.0480467357417806,1.5877654532087666,1.5756598073484744,1.58623358558384,1.5022094751962258,1.5718947068840365,1.5405312205331498,1.5881404286010112,1.9594727924282147,1.4878350194003735,1.6307884928106675,1.5374411423003738,1.9147991489333602,1.535898284433765,1.5884696540740493,1.6393852474300763,1.6174604319788566,1.6550861917914483,1.6233741587584767,1.694360661683201,1.588066287878343,1.6355154236906178,1.5195613614204329,1.588033755752424,1.531566014397364,1.6010446710294755,1.6113861446903133,1.5468725772085623,1.6752538258035636,1.520512117862445,1.5158318842063874,1.56059845168253,1.5761326470509343,1.6017443174281458,1.5631419467144259,1.6296169947348065,2.0038021175995135,1.6425867522729563,1.5561991951046679,1.5699504715360049,1.6187020795721667,1.645123297829209
Dragonite,Dragon Tail,Dragon Claw,32.5,1.3153466076654807,1.2883909384399221,1.2998499641618544,1.2935723264068437,1.2706600831237924,1.2800718235145763,1.2941942020795607,1.3011040737898278,1.4315990529958267,1.2377487813566093,1.3158786502416426,1.2343854288545915,1.4468246410797154,1.2541931645082898,1.3547337403339692,1.3964393328252704,1.3928456762507226,1.3355648486506875,1.3578428263933253,1.3670462353311743,1.3279555464588289,1.336696824508712,1.3123486141300855,1.3318473464719878,1.3007818444194534,1.3165414193354281,1.3237446298729936,1.2662167677871188,1.3407407623589878,1.2618860961989933,1.3019433071341684,1.3059142760174907,1.314652034908395,1.3234881718802303,1.3231690010478379,1.3268739800340292,1.4098421965818844,1.3561317852336392,1.3409468693257944,1.3271871475654795,1.3449046585762348,1.348923978806921
Dragonite,Dragon Breath,Dragon Claw,32.5,1.3536269583915412,1.32988703765172,1.351989613315928,1.357592085177391,1.296017392261237,1.3211223303931945,1.3108878581600563,1.3188897987563013,1.484568063163632,1.2714957351463996,1.3667816146128475,1.2780523631804868,1.4592171361645803,1.263162891585276,1.4335173260975065,1.484888407952361,1.4484189439205004,1.3881042585701044,1.4574044190827984,1.4989274350735282,1.3654227154089331,1.3786491313944615,1.3319195407188762,1.361316035986532,1.3427501308489258,1.3753112194824515,1.3724501306074808,1.3088955720810058,1.387636342557556,1.2991227199756539,1.343445383833192,1.3518440837874368,1.3877004713904675,1.4086207428708115,1.3724779736880952,1.383072839113837,1.440353811569507,1.3868064301097642,1.3964122454804389,1.3674120645531356,1.4376420351509178,1.4646393798730375
Dragonite,Dragon Tail,Draco Meteor,32.5,1.3103609459609573,1.25791389742813,1.2860609209654725,1.253800165315811,1.2932768375309984,1.2758505022981794,1.2807145111221072,1.2636320754049473,1.6039396767007956,1.2743685665304203,1.4046076844769015,1.2169517233829839,1.724284506867171,1.2702255908168865,1.4109318293548052,1.3741332765202179,1.3669796005059418,1.314218051532257,1.361147364079321,1.322454210937594,1.3492677944466676,1.3161511728706787,1.3344247949569517,1.3315638986496623,1.288086689899043,1.2844393238906902,1.4189279470249505,1.2680569808231776,1.4288962693584695,1.2402821208090866,1.2666771699650305,1.2931461382982423,1.3453022443683187,1.3070470100748734,1.319374336256495,1.2968742551058774,1.4319171570317537,1.3497687074858071,1.4728122051647807,1.3355387765430677,1.3487719360841612,1.3241697607321479
Dragonite,Dragon Tail,Outrage,32.5,1.3378619450356246,1.258432768813026,1.2940649738095902,1.2473693118613818,1.284677566435215,1.2523696090120693,1.2761132602535794,1.2702778628157891,1.53463413297524,1.2516371421731858,1.3831543665413946,1.2337450774991838,1.530973272936974,1.2333478128119115,1.2908446870281736,1.3194862487846568,1.4047165830450157,1.28189206995646,1.3256072845318476,1.3106842455856604,1.2966123361796114,1.295623321730307,1.3021891755271249,1.2876286207692236,1.2667985203983756,1.2781174337923948,1.3031807464348157,1.2267724519041376,1.3302135630855043,1.2261015085839053,1.262712437415112,1.2686291423203493,1.2839320115979178,1.2756495168330377,1.2926989121041077,1.2827704988892314,1.4722440451433019,1.3297854468756278,1.3241009038043123,1.2965257642637444,1.3093422124218939,1.3008998525855426
Dragonite,Dragon Breath,Outrage,32.5,1.3774777599784986,1.264495376676512,1.3437637096853212,1.2832977694197547,1.3101910573635722,1.2622629657838431,1.2775080225305395,1.2735714754050418,1.6018004528134524,1.2348682501472525,1.4197848749585424,1.236314193417929,1.585168789226156,1.2179485137237132,1.348898159855738,1.3834353118219815,1.441600449482801,1.3127266048152557,1.4031640796355218,1.3963723039784743,1.3212794786228361,1.308600472001051,1.311767507378161,1.305788958315816,1.2944760945091345,1.3099718353719814,1.324591665940638,1.2557780389754827,1.372838274056994,1.2373854955993597,1.2919309066775375,1.290893443381642,1.3450450354452268,1.3327823244558286,1.3277618164365068,1.314121259984732,1.505650306731971,1.3323153574051558,1.3671445572166412,1.3089473945389543,1.3736980900074744,1.374458976823499
Dragonite,Dragon Tail,Dragon Pulse,32.5,1.436224268060234,1.363553674563235,1.400036993618647,1.3573309483141283,1.367230367862301,1.36035423549544,1.373347792677905,1.3708958677186958,1.5893254613151215,1.3438058038203453,1.4576951086995475,1.318882160364005,1.5822347398238121,1.3352571403051048,1.4035070155474385,1.447017115302347,1.501003802979756,1.3932816815944793,1.4236668670464974,1.4138979048166105,1.4082256275938496,1.4084065111988042,1.4154495141759893,1.4006259172882585,1.3706266617866334,1.3846371888813938,1.405597411928314,1.3319414460454257,1.4290675026487571,1.3269650617667612,1.370152645748035,1.380492486531161,1.398248884907458,1.3863261489981895,1.3991703797680852,1.3831190971770464,1.5730571935529307,1.4333093485153994,1.4368864229624179,1.4128180367569072,1.4039428781179153,1.4187891751101656
Dragonite,Dragon Breath,Dragon Pulse,32.5,1.475118822209877,1.3817551607132488,1.456128683439449,1.4031533501040203,1.4096076937965498,1.3770604922351788,1.3796718533826233,1.3679744307340633,1.6776640174311301,1.3377283582336834,1.5217064068583896,1.34494396640569,1.657012683339712,1.315789086497053,1.4700924085464866,1.529745243174947,1.5455246569039327,1.4368538230243586,1.5230188208546662,1.5230855384286413,1.4362281603168041,1.4314537496072728,1.4275735928111475,1.4218976674562638,1.4091713295195016,1.426186727100594,1.4370904503960358,1.3596100217287521,1.480845420468049,1.3547116477684422,1.4177337033120183,1.4094655724855596,1.4647618263744233,1.4635817885794093,1.446702795127991,1.4270926488861757,1.5981965264551028,1.439012292236427,1.4901647363130959,1.4320630305107542,1.5051272932844209,1.508436486146929
Dragonite,Steel Wing,Outrage,32.5,,,1.5372232342110184,1.5157224728006313,1.557527713749388,1.5385350360276648,1.5003395100018067,1.5116586248748212,1.712353960864496,1.3227834220742627,1.4897364595525784,1.3325857771084246,1.7025431034807343,1.307635068250593,1.5453915658400723,1.6040341878660558,1.699009466126419,1.5906040756500832,1.6015344517917047,1.633732887571192,1.5450677464616958,1.6031578787822534,1.5191844026903083,1.5223432312177214,1.492413768804044,1.5291820664367057,1.7337001668671572,,,,1.486143589279021,1.5229370373215014,1.7096844303722583,,1.7030691384687802,,,1.5675035517041047,1.5823370259558247,1.5597768707097188,1.5934113698133767,1.6092656861588446
Dragonite,Steel Wing,Dragon Claw,32.5,,,,,,,,,1.5554576468186763,1.3442537212459316,1.428074745341828,1.3530635542611573,1.5686078493989026,1.348496681990508,,,,,1.7326208057155945,1.8088531023671899,1.6764523384919137,1.742733343375242,1.5850504252901594,,,,,,,,1.6048807514584815,,,,,,1.7230429846682622,,,,,
Dragonite,Steel Wing,Draco Meteor,32.5,,,,,,,,,,1.3907705432933035,1.599096286298794,1.3757011393942766,,1.3849383378690074,,,,,,,,,,,,,,,,,,,,,,,,,,,,
