Attacker,Fast Move,Charged Move,Level,Zekrom,Zekrom,Arceus (Dragon),Arceus (Dragon),Eternatus,Eternatus,Eternatus (Eternamax),Eternatus (Eternamax),Kyurem (Black),Kyurem (Black),Kyurem (White),Kyurem (White),Kyurem,Kyurem,Necrozma (Ultra),Necrozma (Ultra),Regidrago,Regidrago,Giratina (Altered),Giratina (Altered),Giratina (Origin),Giratina (Origin),Latias,Latias,Latios,Latios,Palkia,Palkia,Reshiram,Reshiram,Naganadel,Naganadel,Mega Ampharos,Mega Ampharos,Mega Charizard X,Mega Charizard X,Mega Latias,Mega Latias,Mega Latios,Mega Latios,Druddigon,Druddigon
Dragonite,Steel Wing,Dragon Claw,35,,,,,,,,,1.3616358060948788,1.3518145692145038,1.3345178042886432,1.347242483203786,1.4562504337867852,1.3587113062187675,,,,,,,1.5681324083452348,1.6939084702521963,,,,,,,,,,,,,,,1.5987822431739382,,,,,
Dragonite,Steel Wing,Dragon Pulse,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonite,Steel Wing,Draco Meteor,35,,,,,,,,,1.5172626112459138,1.3898862932071636,1.4580441741936911,1.362967240591806,,1.3681852096057747,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giratina (Origin),Dragon Tail or Shadow Claw,Dragon Pulse,35,,,1.504309964891623,,,,,,,,,,1.428080319961133,,1.5709603139425519,1.6547950832963967,,,1.5830109505387648,1.6796495979977029,1.5393762687155408,1.5957061792538787,1.4988446915498141,1.5287960426801848,1.5197384238111264,1.5802125306534596,,,,,,,,,,,1.5018316305952615,1.544755616075426,1.5077882669127478,1.5745939155532953,,
Mega Salamence,Dragon Tail,Draco Meteor,32.5,1.050556510540403,1.100456252419312,1.0881767426544329,1.0897084724114017,1.0897637411509546,1.1184360695820286,1.1136086224976651,1.1286580369757193,1.2053365631949706,1.1011654237370527,1.1691613663938896,1.099970421761535,1.2703641206274294,1.0993068087173794,1.1385736370417616,1.1978054291304958,1.1404917513169215,1.1766033236230813,1.162446642552243,1.1930487221831743,1.0870460700013138,1.1362224378832633,1.107590041290217,1.1262139732635625,1.1133144203490888,1.157895850363033,1.2053577741310084,1.1108152762427854,1.1912231233410178,1.0901512716184318,1.119290177358637,1.1452026817246865,1.101615382365653,1.113612951655515,1.1296705575827495,1.1617657543213797,1.1070227307207003,1.149973543113624,1.0847599193051352,1.1204091323954857,1.168381088682827,1.183368615641492
Mega Salamence,Dragon Tail,Outrage,32.5,1.0590468048571529,1.0854606461649663,1.0748335636748874,1.0803334880031132,1.0701709495436877,1.0977771279339432,1.0957639434473132,1.1148873970320967,1.1619825571268276,1.089999311358932,1.1312046391555513,1.0798471589800134,1.1700183925596892,1.0966151617157136,1.118978173208938,1.1659614490654153,1.1468990083467918,1.1641359636544761,1.1216045044066918,1.1826219959352149,1.0852979442040624,1.1254221988667907,1.0752544867339848,1.1060136543886188,1.096042698466125,1.1232639322979274,1.1154500225132196,1.0986655800782195,1.1288187587828467,1.0819383340834152,1.0907459153180423,1.1172842201265183,1.0787088639679718,1.0999580799989601,1.1088883991937313,1.140196122910604,1.0986999123037473,1.1242437585799867,1.0826796802291967,1.1093074139810477,1.120347456195275,1.162050150570977
Mega Salamence,Bite,Outrage,32.5,1.2806548607301873,1.3542496418042427,1.2891975632025625,1.3182089572096907,1.3226413714954124,1.3864641590817706,1.379178987972607,1.430184136789256,1.3792326108003226,1.2813625371157282,1.3874145601394,1.3053822333380953,1.5658076242365353,1.3371629476679623,1.238278505097242,1.3119079793731958,1.415109504475269,1.4808914313314114,1.2455518793440723,1.3424724331758087,1.1791542885233952,1.2341810507401458,1.155880789828707,1.1979641061281223,1.1759349906236476,1.2274731932490262,1.3819283967982852,1.3701805895114445,1.4232427418095648,1.342595773211973,1.3370493266581285,1.4034132805526447,1.3270799957105115,1.4011289153768414,1.3518481311288408,1.431784744411534,1.1664887456475648,1.2048743575416927,1.1740709930699862,1.2204716630574013,1.3738135702714254,1.4448353657930568
Mega Salamence,Bite,Draco Meteor,32.5,1.414958548357803,1.5248150315634212,1.4101776041484764,1.4538859534893003,1.5073736967584976,1.5975090673522518,1.632281090996146,1.6562962575824502,1.676356926716438,1.4552038985186118,1.6725950578184137,1.468217478525595,2.0344643600777346,1.5131090366463078,1.3202343758445854,1.4229575896476794,1.5897166920743213,1.6651396917875418,1.3606458703573543,1.415552850778195,1.225298452749749,1.294136468234965,1.2219467724132294,1.263969584236131,1.2451757465018993,1.3160571236235994,1.771325228574299,1.5244277734984055,1.7793473369031108,1.5067534924731578,1.552606046493577,1.614836806768347,1.5416681560723884,1.5853981912656916,1.53898153489186,1.6119734786863782,1.2167096513981448,1.2714106515794577,1.22414267319141,1.2845403322769355,1.582943240207917,1.5989643897154555
Mega Salamence,Fire Fang,Outrage,32.5,1.3376799922215108,1.4224783660769813,1.3616645129315577,1.4002088873588223,1.349067677173829,1.410116443892077,1.3772856935729147,1.4486787401415504,1.3429331248506258,1.2859460510485574,1.346862191566379,1.2857660260731165,1.550221665047196,1.330573726401999,1.4076237013653905,1.5140657938833093,1.4696353372677464,1.5353568894993435,1.4336196206835468,1.557822235174677,1.3863781799997457,1.4749562438815598,1.3796639548669312,1.4467470667593312,1.3898639226811558,1.4600605856613933,1.5649980835854442,1.5241170538568307,1.5785556178072504,1.4931381283466663,1.3681113439670896,1.4427635153490899,1.3816279908620896,1.4688768364372549,1.4990991049380715,1.5757497196855292,1.36387839452953,1.4178291662195515,1.3785833044255318,1.4532451392794716,1.439080871025771,1.510669171213612
Mega Salamence,Fire Fang,Draco Meteor,32.5,1.5482495647531707,1.6683428332413002,1.5813355153414128,1.6080385044596452,1.5670070223749355,1.6826528249929937,1.630284955137521,1.7113762884686063,1.6598295410814907,1.4407505377476577,1.6516971268866185,1.4212886856195432,1.9360338006662967,1.461562152970572,1.6674219738164993,1.787446622198679,1.70257195900563,1.782458907521169,1.7172783844479111,1.8015341040044037,1.6249348425839207,1.7088046209851377,1.6417889701974573,1.7336887289971792,1.6523652449872577,1.7265470981391546,2.38545050626835,1.8494926152918718,2.5223784637710445,1.810360314850703,1.6746856444289207,1.7318833197500678,1.7088054749471124,1.70574758959994,1.8538249152575328,1.9302000764788614,1.581506636423177,1.670628415806047,1.6761181144704036,1.7298855026533433,1.794845801405329,1.7870340002186509
Salamence,Dragon Tail,Draco Meteor,35,1.2797063987246213,1.2232848339641125,1.2072308953717148,1.206454220239788,1.2064046171404434,1.2733994549434837,1.2635017348173974,1.2711929272051063,1.5339074709454232,1.262738847052819,1.3138874859905791,1.2077700221534968,1.50892082523598,1.1993228588284288,1.3246191933060183,1.3153068615474426,1.2665577407815496,1.3048578932274766,1.2669500968576963,1.3365181134368387,1.2003648815300445,1.2503739929735938,1.2086603164220597,1.2314279874085279,1.2698773861614656,1.3045400778958502,1.3355660493206962,1.2497032348333463,1.3223784637710443,1.2198609440010286,1.1858603058175186,1.2704670702836962,1.2674626050843436,1.259374319612386,1.281886176121744,1.2949945233357745,1.422257456956681,1.2896103992214645,1.3474661610327325,1.2701942042945205,1.2735024896389278,1.3041036802925947
Salamence,Dragon Tail,Outrage,35,1.2747732955660778,1.211675805779931,1.1811016812438777,1.2021218032833234,1.1959482236924939,1.2200777375686904,1.2340140538754372,1.247799024186288,1.4105576777402853,1.221373798422607,1.300001810912559,1.2102771299852912,1.4206625659355914,1.2045911993337035,1.248386503929687,1.2949632976940788,1.2967790137805082,1.2846286205907658,1.243289009270529,1.30977891302236,1.204729898672272,1.2460407599367709,1.1826793671558808,1.2047291607047954,1.2277905467134682,1.2526460547194307,1.246903036865862,1.229593906173832,1.2311415634155973,1.2018571415450463,1.199392633989211,1.2373069235844296,1.1971702374491842,1.2168466410380563,1.2472406037941293,1.2658969090873737,1.3448183355473244,1.2396919900388899,1.2459801316399537,1.2456051721950732,1.2623214764900563,1.2827057057952433
Salamence,Bite,Draco Meteor,35,1.681912994663296,1.621969095181923,1.6361667839163385,1.6567079285724977,1.6410262658754817,1.760534577784276,1.7306717064601296,1.7555804135912576,,1.753608276655473,1.9342437528547023,1.6696271733465864,2.379387753331483,1.5944418899222657,1.4965286861763656,1.4850412427973751,1.6745694534587114,1.7765082335894224,1.4077547109793007,1.5073895660356154,1.3627837790877537,1.4322723092635834,1.416388536854585,1.432734557049998,1.4048603163917872,1.4925806606722123,1.839086298194105,1.6550360769691626,1.8699394729832746,1.613977240372163,1.5682001203089222,1.7377289750456009,1.6897140016053085,1.698770671597412,1.6722167851656933,1.7225826522609873,1.704839205035319,1.5066789762110038,1.5510612811713105,1.4617401037088429,1.7770257511156167,1.8725165727461561
Salamence,Bite,Outrage,35,1.5472148789289166,1.439684604278536,1.4388513856250238,1.4740495708329384,1.4253430972369452,1.4645794495010418,1.49012553401692,1.5298526838248931,1.8694599838776975,1.4400740491689723,1.6126337308621754,1.4553861569819733,1.7567714117157136,1.4179188645197114,1.3254926973762444,1.3870379779678057,1.5562427361779845,1.5794567793156538,1.3230970843642915,1.4105337744787112,1.3029999957621192,1.3564799315158476,1.2926225420056416,1.3295417194718124,1.3198422849449438,1.3560802038755588,1.4798218292642085,1.4653556902627534,1.478286506792068,1.4321573886128383,1.4126959871153024,1.4928663600729615,1.4238859516002715,1.4812871065125484,1.4558399388169108,1.5236177093932892,1.5135207640304753,1.3579191196332299,1.3452051780327652,1.3663454813457676,1.5455738095948,1.61429977041653
Salamence,Fire Fang,Outrage,35,1.6872845551126139,1.5423551577437244,1.4902549723008045,1.5427612048276929,1.4774768188519696,1.5675837587779686,1.5148985241407682,1.5620934812002443,1.8217553865909433,1.4512543394514368,1.5314384480881793,1.4270715330582087,1.7204959918101057,1.4231156302054415,1.5480848855688045,1.6606739386601224,1.612534526738412,1.6805540881167647,1.566441332045707,1.7152364680179124,1.5174770200917926,1.6325036975509288,1.470752626630146,1.549102653203058,1.5086022022407077,1.577583305284416,1.676708306819831,1.6294547335439529,1.6705162706540406,1.612571984900392,1.4886046105483757,1.6084696511041254,1.508463615713826,1.5682857319264678,1.632457499141233,1.7223493269212073,1.912680249101761,1.5907989239632787,1.543843873173897,1.5959565002138616,1.583877475973245,1.6473458759454167
Salamence,Fire Fang,Draco Meteor,35,1.9467210182482622,1.7854201026246896,1.797723526936657,1.7984403298956726,1.8174771437738868,1.9108597027776761,1.78653653569273,1.8167660238794496,2.3518733062467847,1.6700923184114267,1.8048460020081007,1.576341031053126,2.3197941247917826,1.5751362090505276,2.099458384233684,2.000464859839353,1.8529651487479812,1.9782047605391455,1.93014817227527,2.0197029697312554,1.8362525268363796,1.931886662118008,,1.8591995421282859,1.7685512333509639,1.8901399240275039,,2.0625848897224364,2.5592769822827592,1.9853247242300944,1.761895059572321,1.9299394574455697,1.9048480968644488,1.867237081977974,2.056827682755313,2.11815335956083,,,,,1.9103630599202919,1.9280539073913951
Salamence,Splash,Outrage,35,1.9025505739387591,1.7682156989724689,1.6199331094779312,1.7288572231618826,1.6423218920203237,1.7702456815846441,1.674134192930577,1.7651699581553277,2.364141244333902,1.7992611286422024,1.8303275538394363,1.7903144347840083,2.2409642212659637,1.781024430871738,1.6847731375877015,1.8307845320591127,1.8196647698972124,1.8889257844927778,1.666691428712926,1.8510334344767683,1.6240448876325928,1.8054410150571902,1.6144311352765628,1.7341580475041904,1.6995835937875654,1.769028225224792,1.7415873122192824,1.7345840264055876,1.7947537129053885,1.7157361058809482,1.611380350836341,1.8076852175262932,1.6603797497148465,1.7316015065203474,1.6996584376275998,1.7876285719841079,2.3061348524149774,1.8014586440013174,1.7126901319430645,1.8088739653532984,1.7058648140970214,1.8071399465299105
Mega Sceptile,Fury Cutter,Dragon Claw,30,1.3761394844549462,1.337544235570811,1.393075783202862,1.3179644791703047,,1.4433295561160457,1.4449781335455352,1.4470922841930993,1.4101991793018802,1.3431559204903125,1.483574017026602,1.32001440681547,1.5129116636590785,1.352041834397557,1.3410492859536653,1.4336666630631019,1.3716322279745823,1.4602772704632243,1.4368748773802515,1.5583784288291171,1.3891094941241784,1.4734793424504273,1.2817333714893095,1.2633710804954827,1.2731336250420733,1.3299110448622395,1.337497348649765,1.3526109752875553,1.4791792573270754,1.4002608448065248,,1.467994430861179,1.2974955236588037,1.3772150171092097,1.550560304878444,1.519187768567188,1.321505748359858,1.3116741473667073,1.220522181545484,1.2962022445925572,1.4044942703519285,1.4736177783078406
Mega Sceptile,Bullet Seed,Dragon Claw,30,1.6940999058876192,1.5383833584360833,1.747796787192677,1.5360688263889928,,1.6253223834647235,1.5933775158224115,1.6121730568865003,1.7293782381320815,1.5101554303399052,1.7556797260290509,1.5037455708096992,1.6968524430871739,1.5352126422820656,1.5759353952930237,1.697198949200549,1.535851206737808,1.6598154045854527,1.5418773821564695,1.6620075924243376,1.4679213618853484,1.5594087308818607,1.7594292956134254,1.5851813090225257,1.5164533346155695,1.5872558542097417,1.4444221172845708,1.4412516605825156,1.683979169154183,1.6018883694444188,,1.6735407692009159,1.4683049046401215,1.5597782464441114,1.8776014155070613,1.7324633322747276,1.6881556404971674,1.5781236702176866,1.5073975906049084,1.6186101129032078,1.5468062057107645,1.6164664022978223
Shadow Salamence,Dragon Tail,Outrage,35,1.1449312319182232,1.0256580069822947,1.1512254669613708,1.014908171054798,1.100366349461645,1.032455638004492,1.077929379950299,1.0394270550589568,1.2215601365939814,1.0384221207714401,1.1713062917138677,1.001191178038862,1.2364593455024988,1.030534251804553,1.0436254743191964,1.083257478297532,1.0627405551446727,1.0767625616953196,1.0532917330956177,1.0993319961828354,1.0322629859259982,1.055912479287358,1.134547238461224,1.0274019868361883,1.0536827427032744,1.0589835072366205,1.0291462466183656,1.0199307113805254,1.1014906729612315,1.025658311672805,1.141416346489696,1.0711714596188924,1.0464467112296858,1.038069210246678,1.042915659370929,1.064919535164073,1.131983785443902,1.052405911541493,1.0404697994865078,1.0699894360228255,1.0335629168033236,1.076299233727899
Shadow Salamence,Dragon Tail,Draco Meteor,35,1.1728017053970607,1.045858229696584,1.1849168691510292,1.0276825643916905,1.0874182110611543,1.0949015689667077,1.0797130891888338,1.083058808455254,1.3242284181914667,1.0536107071533605,1.195540326004503,1.0060323509468054,1.381780087451416,1.0658770301221545,1.0869093307099382,1.1381931006151285,1.0306740826830483,1.0743777640257801,1.0966386474589378,1.108583477619872,1.0546284014290135,1.0836854305898707,1.2012624177261764,1.062008912145865,1.1558917151512236,1.0920575082944655,1.1198466124116682,1.0737800998024045,1.1401967357660479,1.059659983283889,1.1733079132223385,1.0970451546551792,1.0880969944334138,1.067348218724917,1.1277942329753516,1.0978572956296868,1.1909188125113321,1.0801190374873728,1.081847809125435,1.1136070986334188,1.0751562857171253,1.096236222507131
Shadow Salamence,Bite,Outrage,35,1.5480661098197923,1.2463579609351065,1.5588601668770508,1.22935033703044,1.3374943646354984,1.2129964705356744,1.255708543933534,1.1973173552548615,1.6336551042481053,1.213689374268319,1.6291291321503378,1.2162994203067685,1.5557112368128818,1.1903564859800113,1.1320937070950583,1.1671808953416718,1.2786703998309512,1.3363508067559204,1.1365455421650028,1.2109269195823975,1.1210063271559159,1.1486584988578912,1.2805527165692328,1.1258705694779445,1.1419570130307255,1.1608231956532191,1.2728192876891762,1.251193572754911,1.3706439376544173,1.274855111731587,1.4446845771723522,1.2697927581790662,1.2491380402886956,1.2368675035502017,1.2602258070788315,1.3177243001860122,1.2641294574303148,1.1430966027877787,1.1062067014458392,1.1618545000185234,1.2577099297335441,1.3338700219644792
Shadow Salamence,Fire Fang,Outrage,35,1.608696130752,1.302399773983522,1.7580465705718291,1.317212750777091,1.4491903351975728,1.3126439302555104,1.3958359324685659,1.3403706675928018,1.6204392719848664,1.2114371128925763,1.5645620509188367,1.2054118115765602,1.469836635896724,1.1914040810660744,1.3255813450665397,1.3860650155133456,1.3117519206677435,1.4077664407649466,1.3262113878745974,1.4443568248961423,1.2861417062555358,1.3713718443680685,1.5371211315972364,1.3048493520297617,1.297148627205847,1.344432370053373,1.3930715101718818,1.3988709899490568,1.5110886596801896,1.4310386950411933,1.5351151666860712,1.3579408739861063,1.3306675678925288,1.3216986374374855,1.3728927805251117,1.466495129333532,1.583331791556738,1.3405325049676042,1.2609201325156074,1.3626621222480053,1.283957979267917,1.38447777214586
Shadow Salamence,Splash,Outrage,35,,1.518177632073793,4.400175625040538,1.5195823583316286,1.5929134529858293,1.5112301137632862,1.4729914725885365,1.4860472800963,2.178319553760588,1.591986243381957,3.320028491690929,1.5392957964695253,1.922215522626319,1.5358806739311495,1.417290623885147,1.5096442200624858,1.4960492355063169,1.6045197953300228,1.427057678424829,1.5713727887968882,1.3992041260006696,1.568927010980349,1.8971603777441644,1.4883855933935652,1.4814482858104534,1.5154108765687357,1.4417819306295143,1.4630839017456116,1.5853026810070079,1.5121357127768031,1.6735771529475685,1.5924874839911514,1.4929792122289416,1.494132824660659,1.4432954611740152,1.5088534003927643,1.9460455280461497,1.5462024192324912,1.452691681176699,1.5491056543659762,1.4464255543297853,1.5244044246996034
Shadow Salamence,Bite,Draco Meteor,35,1.867096073514061,1.472117601950493,1.8816826076327042,1.4058668076988963,1.4736650786107963,1.4872447839878478,1.369875207790325,1.3820914243710656,2.2903310743205747,1.4386339791706333,1.9812993096398899,1.4011292045868402,2.1255031926707386,1.4274274708495283,1.2138355261024205,1.2955622101382687,1.4144755709175434,1.5148747981223492,1.250346192454433,1.2761444351110578,1.2121504278140587,1.2634626875791954,1.4415682106209886,1.2477347614570133,1.3317459248930132,1.2629571572823002,1.6641567217775395,1.5213819767723114,1.7733479063530406,1.482393894027205,1.652430919393022,1.4916972290138548,1.4887709640625355,1.4017820874860674,1.5860776066005144,1.573594700922283,1.4118800670487806,1.252755771486507,1.2109068293137457,1.288012636357819,1.513730284146814,1.5410417722651242
Shadow Salamence,Fire Fang,Draco Meteor,35,2.110210551227038,1.5673839143045316,2.3430575720836013,1.578894061179382,1.747019856790665,1.670713975297811,1.6644949135625968,1.7005332582534487,2.1086371793261853,1.3945751287151174,1.8342652825929047,1.3320911814594747,2.0933660986951694,1.381558856191005,1.621770575453238,1.7547550837288244,1.5237762818287475,1.633748660438018,1.7061240349944857,1.725095571974697,1.6009823407510373,1.639127505117241,2.1156060668002126,1.5802150361800418,1.693703899600904,1.6416637014954079,2.128801664117649,1.841419486400899,2.40655418499775,1.8400525363483564,1.9595825086350758,1.6850647145573796,1.7433878509987684,1.581836615983544,1.9456838052770413,1.881707293361246,,1.6729771582713848,1.5940794577233226,1.659232590487032,1.6098969359054633,1.6436884423109415
Shadow Salamence,Splash,Draco Meteor,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exeggutor (Alola),Dragon Tail,Draco Meteor,40,,1.3748351198786262,1.3912413663495105,1.3805491941371837,,,,,,,,,,,,,1.4216941119647413,1.495513410713477,,,,,,,,,,1.4656012890213634,,,,,1.3717036743368354,1.404430521660292,,,,,,,,1.4936442151922638
Exeggutor (Alola),Dragon Tail,Dragon Pulse,40,,1.4720185362864686,1.4786880011176138,1.4788692807522605,,,,,,,,,,,,,1.5948334415045358,1.590675139238978,,,,,,,,,,1.5238063342152561,,,,,1.451887862372412,1.5038654140493746,,,,,,,,1.580528141367761
Exeggutor (Alola),Bullet Seed,Draco Meteor,40,,1.993054396222296,2.021239653340119,1.9776261016064036,,,,,,,,,,,,,2.1506686489668394,2.1498837788477503,,,,,,,,,,1.897090398949135,,,,,1.9288692323440428,1.9577907834490738,,,,,,,,2.1015732927835256
Exeggutor (Alola),Bullet Seed,Dragon Pulse,40,,1.9435857734368265,1.8838579632484644,1.935996647158317,,,,,,,,,,,,,2.04872232200806,2.1219756086516837,,,,,,,,,,1.8349353070542662,,,,,1.8408892239600427,1.9695121356778205,,,,,,,,2.0404305435463193
Latios,Dragon Breath,Dragon Claw,50,1.1381470684818922,1.2124720001907932,1.1779983069479993,1.2273529348174979,1.1567260867622748,1.2311047751337256,1.1957958074403268,1.2604915147366753,1.1706310787764875,1.1802052150383007,1.1713505584653119,1.1856366464313954,1.1264553546640756,1.173269624514159,1.2301185933125047,1.3293758986389335,1.2325781474046458,1.3019033100387907,1.2828339971466503,,1.1966991147067174,1.2638589294265723,1.1726863169943993,1.236183312211275,1.1932201759869212,1.2763244698754628,1.216240403972746,1.2277891274173802,1.201059911643414,1.2000863359570892,1.1976850234796443,1.2667438002095703,1.1969427645753243,1.2713361431649275,1.2249904401423284,1.291646952835875,1.158610883956026,1.224713322059863,1.1775780987759932,1.24758886482712,1.2247731496665573,1.2963813272111075
Giratina (Origin),Dragon Tail or Shadow Claw,Dragon Pulse,50,,,,,,,,,,,,,,,1.4247564891190365,1.5018345747613537,,,1.4152423728135588,1.5109038718316485,1.3305970750147267,1.4234469226629147,1.343474101631168,1.4017660766117495,1.3790200509688897,1.4542405154589604,1.3508173601110405,,,,,,,,,,1.3987358048628868,1.437355458444187,1.36523295197488,1.4269485822828294,,
Shadow Latios,Dragon Breath,Dragon Claw,45,1.0268119385132446,1.0688139455102157,1.0152690672081772,1.0642295366060128,1.0062283470003615,1.0796221158102943,0.9965404807585316,1.0480227465076053,1.0811887565167726,1.0041764055366742,1.0003299885107657,1.0063140484559958,1.0790728241254859,1.008840574680733,1.0889439033091532,1.1707008572880293,1.0710760267459587,1.118738019410442,1.072768034864961,1.1523837279070166,1.0455805260905127,1.1133103357672895,1.0151588242508482,1.0791120559257594,1.0534115497427512,1.1213521180939559,1.0717353040773114,1.0746043441210726,1.0779742277983413,1.0588186669360837,1.0198485465906004,1.081965304459192,1.0141520623665627,1.0644008202021908,1.0760024888036244,1.13499815284106,1.0278611364990324,1.0558619579576023,1.0403238571876021,1.0914654066233107,1.0854229404573779,1.1468042179750937
Shadow Latios,Zen Headbutt,Dragon Claw,45,1.2022462222042845,1.2498546119652976,1.1999946780290747,1.276439801024812,1.0315945949239074,1.0933439745261215,1.05691853270527,1.1117768643807764,1.3734014412852473,1.2105864386319538,1.2113415441450177,1.2180016781123046,1.3485563575791228,1.2270787062742923,1.3909514491735224,1.5221586793656283,1.2836701734261091,1.3554782424946796,1.2849235328963784,1.386291731190845,1.2140066195696857,1.3058181864413245,1.332215363231266,1.4423008053636401,1.3583959224888205,1.464353512525845,1.25808894396255,1.2590601754170527,1.2746107993423772,1.2405007485511172,1.0381034850778126,1.0990268560561958,1.2240932768767325,1.2921011669358429,1.2493470131115878,1.325890687078313,1.3797867537955457,1.428448923408239,1.3563282264755048,1.4328177079649693,1.2707792917697804,1.3470984028543884
Shadow Latios,Splash,Dragon Claw,45,1.487091193612833,1.5463122806566953,1.4495003168235816,1.554429626081649,1.4254080816203856,1.5502938512588693,1.4486981282854474,1.558983791511702,1.8997561400452885,1.5115590428699321,1.5116109676913076,1.5376720115415492,1.7788533280122156,1.5382599944475293,1.5361715008486394,1.6837504459411248,1.5744381386503252,1.6840633631684603,1.5575308049379328,1.7138250313811316,1.462937614157912,1.591430157606784,1.471594783532971,1.5815706635051716,1.4896783189883156,1.604825696013848,1.5496742095255107,1.5587148486776738,1.5934660212900795,1.5359313720987904,1.4244382349516824,1.5517619435712344,1.499055987573482,1.5973112706309773,1.5423064209837254,1.6299881392952278,1.528270015652116,1.568411402733015,1.499240538729157,1.5618250870321286,1.5425425126966616,1.6276275380899847
Mega Charizard X,Dragon Breath,Dragon Claw,45,1.153014256282873,1.2285683360454087,1.1794635120684005,1.2332536700810437,1.1703260997591516,1.2443717431654704,1.1995048436641231,1.263317968931764,1.1500143804458345,1.1937876473995699,1.1294641509737677,1.1881578391386494,1.2179171293725708,1.1893609453081622,1.3021307877752673,1.410440968205749,1.267640710609331,1.3214760086335713,1.299474092232908,1.4036708781193035,1.2032551161815,1.2810562493908046,1.1733600425166593,1.2416107272801602,1.2099283550512092,1.28831466076838,1.232516903520621,1.237825185780576,1.2260532527531067,1.219635000964391,1.2153408429386423,1.285947141692863,1.2213473543279965,1.2812247139528612,1.23980659921836,1.307189012969,1.165139074416006,1.2266124824700002,1.1981346328933735,1.262938626772778,1.2334595545484361,1.3071548545474423
Mega Charizard X,Wing Attack,Dragon Claw,45,1.475454647188645,1.6035777381107443,1.3634024690618862,1.4521812596772556,1.387800400466263,1.4872935222754282,1.4052400252214463,1.477491207898224,1.3466841932569888,1.4161316195622675,1.3247690583455904,1.420188053208635,1.4633558613270408,1.4099480323431428,1.4941006043177911,1.6132776942951967,1.4866987155298628,1.574879628092313,1.4976790343563868,1.6306778895879404,1.4323422342954735,1.53255328075536,1.3777196353378849,1.464126568823842,1.4413867384718948,1.546015290666923,1.483766294175216,1.4975421518172447,1.489052784334616,1.4795576659900622,1.41252619629759,1.502634183257655,1.5629368697782788,1.6640225653090868,1.4958617158486236,1.582551801466061,1.3904620149416653,1.48265778850032,1.3742993366361198,1.4819070841514521,1.5101324825824662,1.5961020503493446
Mega Charizard X,Fire Spin,Dragon Claw,45,1.4877736459650004,1.6147483090041517,1.5247080815791618,1.6204287180203598,1.5073452660907425,1.6146690061044704,1.5015839270601168,1.5920338331540633,1.316770840506678,1.375094688146867,1.2855487165660267,1.3701746725769486,1.4553047785952251,1.3822572529150474,1.6186268256559386,1.7427854834001792,1.618968197666521,1.7315895129277166,1.6133520762975788,1.7640424611950163,1.5603389457000343,1.6658960786889692,1.5285360369567884,1.6350925963779077,1.554178006443237,1.669377314035678,1.7580312654662096,1.7645135842161863,1.8030970728436675,1.7624199785078574,1.540347149454729,1.6414672837350097,1.5793604112709558,1.6743628322322563,1.753932504164209,1.884617378849058,1.5308019211769799,1.6386664619187348,1.5339849095662932,1.6356718902783345,1.5904469423656042,1.6975560789926156
Mega Charizard X,Ember,Dragon Claw,45,1.4871132082048384,1.6161645810898324,1.5342177783764994,1.6332579941824206,1.5430501232672522,1.6655091323366353,1.5158974350328587,1.6057404079265476,1.354411151124308,1.4213612408501883,1.32687172903919,1.4158700328177596,1.4971413450860633,1.4197472758189895,1.6625722965157133,1.798047588674717,1.6260244819102532,1.7400193198798546,1.6217635529345882,1.7714310748442372,1.550320595676514,1.6543944704132358,1.542654838314051,1.6487011978251094,1.5585209405202671,1.6716430254363608,1.7078249252970443,1.7226929531762245,1.7498002332907776,1.712396557583328,1.5274284938099119,1.621102087941941,1.581150947749481,1.6797409408927986,1.7187587091923702,1.8414100628034038,1.5635649821832296,1.6758883408387018,1.5417097477106705,1.6605898538668535,1.623095500760309,1.7333353210690041
Mega Charizard X,Air Slash,Dragon Claw,45,1.596221195282273,1.7564122085589065,1.4701362590868496,1.5528829282814525,1.473703663088464,1.5763140045407837,1.4945755345226976,1.581965485732012,1.4369711135326073,1.514277149674111,1.4078939690575407,1.5137055898846448,1.6116697320932816,1.5175445065241533,1.6061426362958238,1.7442730348861093,1.5973276681810635,1.7023153668513125,1.6039063080360458,1.7464156938039646,1.520708404141257,1.6322028080197655,1.510425575405748,1.6088205715220147,1.5115026205702744,1.613024955522431,1.605709799018349,1.6093528472710628,1.5789156571176648,1.5544219623979352,1.4912581984709123,1.58855561376955,1.7058125818496144,1.8200657071644206,1.5588595575892308,1.6563571433200899,1.4975097224432101,1.5990172099270679,1.515875715538252,1.6201481202070585,1.5716926563105638,1.6686842183726407
