Attacker,Fast Move,Charged Move,Level,"Arceus (Dragon), Tier 5","Kyurem (Black), Tier 5","Kyurem (White), Tier 5","Kyurem, Tier 5","Giratina, Tier 5","Giratina (Origin), Tier 5","Latias, Tier 5","Latios, Tier 5","Palkia, Tier 5","Reshiram, Tier 5","Zekrom, Tier 5","Mega Ampharos, Mega Tier","Mega Charizard X, Mega Tier","Mega Latias, Mega Tier","Mega Latios, Mega Tier","Druddigon, Tier 3"
(Battle settings),,,,"Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging"
Mega Charizard X,Air Slash,Dragon Claw,35,1.5899712763185643,1.8949025991200712,1.4377497954186462,1.5257797959959276,1.7197587740624398,1.5924863141639485,1.5505218282791193,1.604030651405406,1.6979877397807384,1.6565628594829158,1.652374575658144,1.7274626478992898,1.6360680141999728,1.6159965372409781,1.6501032694084616,1.6937013494051911
Mega Charizard X(Unscaled),Air Slash,Dragon Claw,35,3.5210693,3.417389,2.833068,2.8408256,3.2627702,2.7969205,3.4966562,3.0914664,3.3199637,3.3518767,3.4592085,3.2712302,3.0603287,4.6641755,3.6298645,0.998621
Mega Charizard X,Fire Spin,Dragon Claw,35,1.6131593385380048,1.6890618621650488,1.311762038581823,1.369076135983523,1.741495251882288,1.6355760508986072,1.5733558507024816,1.6115031858112385,1.8849593567870284,1.8579196501874773,1.4931840671586964,1.598085275940758,1.8008185662868903,1.6006834327159214,1.6697899181018174,1.7327574236654286
Mega Charizard X(Unscaled),Fire Spin,Dragon Claw,35,3.5724204,3.0461626,2.5848107,2.5490615,3.3040092,2.8726,3.5481503,3.1058683,3.685537,3.7593005,3.1259468,3.0262332,3.368501,4.619978,3.6731708,1.0216488
Mega Charizard X,Ember,Dragon Claw,35,1.636947477793447,1.733433743791532,1.3268469350858607,1.4259832672748103,1.7594348167890426,1.6511179520442452,1.5998787219286716,1.6276749376190551,1.8399544156909695,1.8074620128058205,1.4983002919735642,1.6021833147722937,1.7698867299625114,1.6316367093755524,1.6944880220305645,1.7259059301146302
Mega Charizard X(Unscaled),Ember,Dragon Claw,35,3.6251004,3.1261857,2.6145353,2.655016,3.3380446,2.8998966,3.6079633,3.1370363,3.5975418,3.6572049,3.1366575,3.0339935,3.3106418,4.709317,3.7275012,1.0176091
Garchomp,Dragon Tail,Outrage,35,1.2048491137473138,1.3730011385865049,1.2093988416572041,1.3270990400907812,1.2492199793856869,1.230242032345871,1.1819629576418045,1.224122589848355,1.278335454647837,1.2233998210134622,1.1072637905968117,1.1233734490829645,1.2573624241314856,1.1293526756867571,1.2686826620223237,1.2525060732231093
Garchomp(Unscaled),Dragon Tail,Outrage,35,2.6681974,2.4761584,2.3831053,2.470905,2.370052,2.1607025,2.6655014,2.3592653,2.4994452,2.4754179,2.3180315,2.1272895,2.3519452,3.259598,2.790823,0.73848844
Garchomp,Mud Shot,Outrage,35,1.3686585846599015,1.5705074711214118,1.4146504354886797,1.5623001621368116,1.441180977169029,1.376410354108535,1.3565334071200648,1.3974846720402667,1.471556962332185,1.280696467971314,1.1637650030294096,1.2061227508458612,1.3084917564928351,1.3171175822607952,1.417381427471708,1.43624821527811
Garchomp(Unscaled),Mud Shot,Outrage,35,3.0309615,2.832354,2.787551,2.9088223,2.7342453,2.4174213,3.0591836,2.693388,2.8772385,2.5913515,2.4363155,2.2839887,2.4475846,3.8015351,3.1179276,0.8468244
Latios,Dragon Breath,Dragon Claw,35,1.2891796027091746,1.5154538692811312,1.2487424558643483,1.2810377486378854,1.3425796775343783,1.3301344724100024,1.2620002323572554,1.2977887381244533,1.358222457442694,1.3450851154724115,1.228914267611799,1.2761016103244196,1.3484185412245928,1.2290139528289512,1.3229204899653155,1.3722564493497018
Latios(Unscaled),Dragon Breath,Dragon Claw,35,2.8549514,2.7330668,2.4606314,2.3851442,2.5471764,2.3361459,2.8459973,2.5012429,2.655643,2.721635,2.572704,2.416505,2.5222692,3.5472457,2.9101343,0.8090943
Latios,Zen Headbutt,Dragon Claw,35,1.4923500450881872,1.91970625200101,1.5283339782667995,1.5927030700724492,1.5935789393511735,1.5846334310583285,1.6234538930482612,1.720215099657227,1.6338591049604185,1.6070169088309314,1.4607912137758174,1.501116962853823,1.593275798395628,1.6114988379052235,1.6922718006098971,1.6516327685615615
Latios(Unscaled),Zen Headbutt,Dragon Claw,35,3.3048823,3.4621215,3.011563,2.965429,3.0233786,2.7831283,3.6611288,3.31539,3.1945772,3.2516258,3.0581331,2.842608,2.9802842,4.651194,3.722626,0.973817
Latios,Splash,Dragon Claw,35,1.8287940343609466,2.6120992032999606,1.870218258172153,2.0517321053874236,1.9848640554325248,1.9354663159643006,1.8042742205833053,1.8812050756927539,2.019213350502973,1.9983218776545766,1.7779059642971033,1.8235460089258806,1.9531393842244813,1.7883557971729023,1.9044493627136019,2.0156837245965193
Latios(Unscaled),Splash,Dragon Claw,35,4.049954,4.7108274,3.6852417,3.820088,3.7657347,3.3993042,4.0689054,3.6256678,3.948035,4.0433893,3.7220056,3.4531796,3.653423,5.161648,4.18937,1.1884646
Kyurem,Dragon Breath,Draco Meteor,35,1.3617040760895334,1.4289469677302162,1.3404100761867304,1.3882239412930255,1.4886157180577637,1.4053027031301928,1.290496765622478,1.3708963362587039,1.607056740312746,1.4181796867478595,1.2274322834755496,1.4623736687103437,1.5218385205375051,1.2622819257657696,1.455183567885555,1.4307054541786166
Kyurem(Unscaled),Dragon Breath,Draco Meteor,35,3.0155604,2.5770547,2.6412613,2.5847125,2.8242397,2.4681656,2.9102612,2.642144,3.1421723,2.869534,2.5696015,2.7692413,2.846658,3.6432655,3.201084,0.84355634
Kyurem,Dragon Breath,Dragon Claw,35,1.3378072916878334,1.3700105607862914,1.2623920730276137,1.2709841169516218,1.4621057960690491,1.3933868432294718,1.315011431622226,1.3389804750275682,1.47563509271677,1.3452274506912252,1.2275551890414664,1.4095999924801783,1.4629395551698796,1.2622965467966187,1.3804104610087862,1.4430996240268992
Kyurem(Unscaled),Dragon Breath,Dragon Claw,35,2.9626398,2.470765,2.4875278,2.3664255,2.7739444,2.4472375,2.9655454,2.5806322,2.8852122,2.721923,2.5698588,2.6693058,2.7364852,3.6433077,3.0365996,0.85086405
Kyurem,Steel Wing,Dragon Claw,35,1.5796638502918654,1.435913005647686,1.3255571527350465,1.293393402941665,1.7368155235105156,1.640322899584934,1.6389366462866293,1.6538220888343258,1.905318145519345,1.850545993945613,1.6388740226069813,1.9856683497724699,1.847716283671849,1.5895390196855201,1.6953222417403337,1.7204192401037792
Kyurem(Unscaled),Steel Wing,Dragon Claw,35,3.498243,2.5896177,2.6119938,2.408149,3.2951307,2.880937,3.6960447,3.18743,3.7253432,3.7443807,3.4309454,3.7601845,3.456225,4.5878124,3.7293363,1.0143741
Kyurem,Steel Wing,Draco Meteor,35,1.7108585992001082,1.513331010396547,1.4461408661562176,1.4013199745376244,1.8586745223485557,1.7480191998841215,1.711516228646634,1.8112111416562544,2.4070960910974244,2.3830776966445066,1.8334555542329287,2.4235342644851223,2.1275654372953934,1.7280038544086254,2.0013081306941483,1.7929034184656747
Kyurem(Unscaled),Steel Wing,Draco Meteor,35,3.7887802,2.7292383,2.8496025,2.6090958,3.5263247,3.0700865,3.8597224,3.4907677,4.7064366,4.8219013,3.8382974,4.5893545,3.9796937,4.987457,4.402438,1.0571114
Mega Altaria,Dragon Breath,Dragon Pulse,35,1.6195949152626563,1.7361399799341735,1.554066189204448,1.5798526482095236,1.6240615045496698,1.5452229717869108,1.5540809294999707,1.5986838763410975,1.5756041399030356,1.5242771990247665,1.4515551447133028,1.5741311582600885,1.6354014148222962,1.5323797626362259,1.6448543359013776,1.6617609439155636
Mega Altaria(Unscaled),Dragon Breath,Dragon Pulse,35,3.5866723,3.1310663,3.062268,2.941503,3.0812109,2.7139108,3.5046825,3.0811615,3.0806751,3.0842109,3.0387976,2.9808722,3.0590818,4.4228363,3.618318,0.97978866
Mega Altaria,Peck,Dragon Pulse,35,1.9573057087470183,2.1682699883923395,1.963387080608225,1.9691829417551379,2.0193246928211748,1.8761899789395242,1.9169612814768695,1.9603290864324823,1.924872580481663,1.862193018022604,1.8924062320812471,2.04725479242097,2.0087026262165746,1.8086074493667117,2.022456607255579,2.027689653885178
Mega Altaria(Unscaled),Peck,Dragon Pulse,35,4.3345494,3.9103973,3.8688297,3.666391,3.8311143,3.2951958,4.3230314,3.7781644,3.7635767,3.7679472,3.9617093,3.8768084,3.7573562,5.2200994,4.44896,1.1955434
Haxorus,Dragon Tail,Dragon Claw,35,1.2448548214557456,1.3760561479401698,1.2963370739474367,1.1883254943217743,1.2382716761924188,1.2369902212184078,1.2514463352294394,1.2483904390536182,1.2652370749243236,1.1947325689273123,1.2273682751357406,1.1775801688780874,1.260464097296458,1.2853924399015,1.274302405303948,1.2707592987056993
Haxorus(Unscaled),Dragon Tail,Dragon Claw,35,2.756792,2.481668,2.554416,2.2125247,2.3492806,2.1725545,2.8221967,2.406037,2.4738348,2.4174128,2.5694675,2.2299387,2.357747,3.7099683,2.8031852,0.7492507
Haxorus,Counter,Dragon Claw,35,1.5515718098809284,1.4860433603284167,1.4058973731119837,1.2696094343988273,1.8179578547726665,1.7887806064840803,1.7286893809186803,1.7021892104300949,1.5299364137554468,1.495331602510714,1.5854209924044071,1.4506103755902782,1.5690336923243722,1.8609521949805237,1.675003711734472,1.5556305506837274
Haxorus(Unscaled),Counter,Dragon Claw,35,3.4360318,2.680026,2.7703032,2.363866,3.449076,3.1416767,3.8984504,3.2806485,2.991384,3.0256426,3.3190427,2.7469656,2.9349384,5.3711796,3.68464,0.91721326
Hydreigon,Dragon Breath,Dragon Pulse,35,1.3800946829354421,1.7230812233478214,1.5076977651469496,1.537469243525538,1.4870675098980062,1.3676416941734695,1.3845177788774838,1.388492767099949,1.4531445900445072,1.4212884263082137,1.3120297178302205,1.4583135458341323,1.4514252257157136,1.3750025552156993,1.4350253720803559,1.4875689327974095
Hydreigon(Unscaled),Dragon Breath,Dragon Pulse,35,3.0562873,3.1075153,2.9708996,2.86259,2.8213024,2.4020207,3.1222925,2.6760578,2.841238,2.8758242,2.7467043,2.7615528,2.7149472,3.9686058,3.1567404,0.87708354
