Attacker,Fast Move,Charged Move,Level,"Arceus (Water), Tier 5","Keldeo, Tier 5","Manaphy, Tier 5","Phione, Tier 5","Kyogre, Tier 5","Suicune, Tier 5","Mega Blastoise, Mega Tier","Mega Gyarados, Mega Tier","Mega Sharpedo, Mega Tier","Mega Slowbro, Mega Tier","Alomomola, Tier 3","Azumarill, Tier 3","Cloyster, Tier 3","Crawdaunt, Tier 3","Dewgong, Tier 3","Floatzel, Tier 3","Lapras, Tier 3","Lumineon, Tier 3","Octillery, Tier 3","Poliwrath, Tier 3","Sharpedo, Tier 3","Slowbro, Tier 3","Slowking, Tier 3","Starmie, Tier 3","Vaporeon, Tier 3","Walrein, Tier 3"
(Battle settings),,,,"Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging"
(Boss weights),,,,12.5,12.5,12.5,12.5,12.5,12.5,8.75,8.75,8.75,8.75,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625
Shadow Mewtwo(Unscaled),Confusion or Psycho Cut,Thunderbolt,40,2.5544257,1.7313755,2.1743095,1.6904395,2.4475586,2.4464166,2.574549,,,2.8942912,0.5503798,0.6257788,1.0393306,,0.7199307,0.49602675,0.7338459,0.6999064,0.5909023,0.63086027,,0.80936885,0.8105818,0.84191924,0.6814774,0.72968674
Tangrowth,Vine Whip,Power Whip,40,1.287569252804185,,1.2899677852593627,1.2764519753242307,1.2878753140280321,,1.3405824355066984,,,,,,,,,1.3044890774669735,,,,,,,,,1.2971183107420923,
Tangrowth(Unscaled),Vine Whip,Power Whip,40,2.91446,,2.519732,1.9389257,2.8147714,,2.9941225,,,,,,,,,0.5833052,,,,,,,,,0.78462064,
Mega Manectric,Thunder Fang,Wild Charge,40,1.0143919923535583,1.0684273862024731,1.0305478942773296,1.0038895423174858,1.030889967579052,1.0,1.0021782453953505,1.0474231984183922,1.059709006239177,1.023638984193801,0.9999999999999999,1.0036235626647945,1.0061143013445581,1.0229409205439748,1.0,0.9999999999999999,1.0331200646017906,1.0,1.0120384098554245,1.0991028171737618,1.012982307274268,1.0038345181335955,1.0038893023062296,1.0387736324009387,1.0262219802703014,1.0170085635509574
Mega Manectric(Unscaled),Thunder Fang,Wild Charge,40,2.2961133,1.849849,2.0129995,1.5249044,2.253106,2.1697733,2.238314,2.4389422,1.5069895,2.4733982,0.49480286,0.5615874,0.94421,0.55363274,0.644271,0.44715223,0.6652725,0.6135643,0.53194267,0.6933803,0.34677476,0.6724128,0.67221284,0.70627123,0.62075675,0.6733249
Shadow Cacturne,Sucker Punch or Poison Jab,Grass Knot,40,,,1.2587145823945514,1.239668538999637,1.3537776084670106,,,,,,,1.2317788018367293,,,,,,,,,,1.1298971027997298,,1.2011834824293321,1.288627682944087,
Shadow Cacturne(Unscaled),Sucker Punch or Poison Jab,Grass Knot,40,,,2.4586842,1.8830518,2.958807,,,,,,,0.6892539,,,,,,,,,,0.7568551,,0.8166951,0.7794847,
Mega Ampharos,Volt Switch,Zap Cannon,40,1.2028464307953506,1.2206591233386401,1.129508622560025,1.1052630019745935,1.1629425440627534,1.135363081479526,1.1869654064185036,1.180271215600147,1.168299065888482,,1.1353703573985,1.1514405788264273,1.2243231789891633,1.128237295990462,1.1648654060170331,1.1055403436096025,1.1549549262747594,1.168697396507587,1.1619474021960177,,1.1409812949193079,1.154198422866258,1.1313301220938747,1.1714775822106704,1.1084768072221436,1.1593564786638346
Mega Ampharos(Unscaled),Volt Switch,Zap Cannon,40,2.7226868,2.1134193,2.2063024,1.6788903,2.5417192,2.4634805,2.6510267,2.748281,1.6614131,,0.5617845,0.64429986,1.1489929,0.6106209,0.750489,0.49434483,0.74372745,0.717071,0.6107371,,0.39059272,0.7731332,0.7575483,0.7964978,0.6705123,0.76756835
Shadow Metagross,Zen Headbutt,Earthquake,40,,1.5709391752395712,,,,,,,,,,,,,,,,,,1.5642557424007697,,,,,,
