Attacker,Fast Move,Charged Move,Level,"Arceus (Ground), Tier 5","Arceus (Rock), Tier 5","Groudon, Tier 5","Regirock, Tier 5","Terrakion, Tier 5","Boldore, Tier 3","Claydol, Tier 3","Donphan, Tier 3","Golem, Tier 3","Golurk, Tier 3","Graveler, Tier 3","Hippowdon, Tier 3","Nosepass, Tier 3","Onix, Tier 3","Piloswine, Tier 3","Rhydon, Tier 3","Stunfisk, Tier 3","Sudowoodo, Tier 3"
(Battle settings),,,,"Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging"
Clawitzer(Unscaled),Water Gun,Crabhammer,40,2.9997861,,2.9264743,,,,,0.86388475,0.60574836,,0.50379294,0.9249109,,0.67866415,,0.528486,,
Shadow Alakazam,Confusion or Counter,Focus Blast,40,,,,1.3495978914479854,1.3077358948415463,,,,,,,,1.2928648849128337,,,,,
Shadow Alakazam(Unscaled),Confusion or Counter,Focus Blast,40,,,,3.3165302,2.3545263,,,,,,,,0.8739073,,,,,
Shadow Exeggutor,Confusion or Bullet Seed,Solar Beam or Seed Bomb,40,1.2446323931357575,,1.2281319639292347,1.345072740893807,1.1608267797770138,1.300805702730393,1.172297858994873,1.1230525195467218,1.1566294940580697,1.1754016245126062,1.1545530551296312,1.134409845620005,1.2901690052768242,1.0846606504822016,,1.0757614130452628,1.1602731827871942,1.3115748277428636
Shadow Exeggutor(Unscaled),Confusion or Bullet Seed,Solar Beam or Seed Bomb,40,2.9234772,,2.8733933,3.30541,2.0900223,0.62377757,0.9673816,0.8178831,0.54817134,0.70467114,0.46081907,0.82489043,0.87208503,0.5985523,,0.45866013,0.6970912,0.7760242
Lucario,Counter,Aura Sphere,40,,1.22514919514409,,1.254304940016383,,1.2205802035610993,,,,,,,1.2030314240176014,,1.1883150303395418,,,1.1745553629568735
Lucario(Unscaled),Counter,Aura Sphere,40,,2.373927,,3.0823553,,0.5853069,,,,,,,0.8131847,,0.56405866,,,0.6949534
Terrakion,Zen Headbutt,Sacred Sword,40,,1.4139983328375472,,,1.106876903298218,,,,,,,,,,,,,
Terrakion(Unscaled),Zen Headbutt,Sacred Sword,40,,2.7398531,,,1.9928877,,,,,,,,,,,,,
Zarude,Vine Whip,Power Whip,40,1.0437692113818229,1.2641342903897248,1.044424723507246,1.3018701313287384,1.1342537388082081,1.2910912876041354,1.1509055003797861,1.0678463927903454,1.0764759855591413,1.0909843486870725,1.094819508333083,1.0800353377786103,1.2980948857849444,1.0909357293691924,1.2618745725723532,1.0649819189761858,1.1884335065692497,1.2642054673387488
