Attacker,Fast Move,Charged Move,Level,[Blanks],[Average],[Average T5/Mega only],"Arceus (Water), Tier 5","Keldeo, Tier 5","Manaphy, Tier 5","Phione, Tier 5","Kyogre, Tier 5","Suicune, Tier 5","Mega Blastoise, Mega Tier","Mega Gyarados, Mega Tier","Mega Sharpedo, Mega Tier","Mega Slowbro, Mega Tier","Alomomola, Tier 3","Azumarill, Tier 3","Cloyster, Tier 3","Crawdaunt, Tier 3","Dewgong, Tier 3","Floatzel, Tier 3","Lapras, Tier 3","Lumineon, Tier 3","Octillery, Tier 3","Poliwrath, Tier 3","Sharpedo, Tier 3","Slowbro, Tier 3","Slowking, Tier 3","Starmie, Tier 3","Vaporeon, Tier 3","Walrein, Tier 3"
Latios,Zen Headbutt,Solar Beam,40,24,1.355446799,1.354254291,,1.354254291,,,,,,,,,,,,,,,,,,1.366046874,,,,,,
Jolteon,Thunder Shock,Thunderbolt,40,25,1.358097275,1.358097275,,,,,,,1.358097275,,,,,,,,,,,,,,,,,,,
Golem (Alola),Volt Switch,Wild Charge,40,25,1.358317703,1.358317703,1.358317703,,,,,,,,,,,,,,,,,,,,,,,,,
Leafeon,Razor Leaf,Leaf Blade,40,24,1.366550604,1.366550604,1.373229281,,,,1.359871927,,,,,,,,,,,,,,,,,,,,,
Shadow Pinsir,Bug Bite,Superpower,40,23,1.405175402,1.415295962,,,,,,,,1.415295962,,,,,,1.353655679,,,,,,,1.36223656,,,,,
Shadow Banette,Shadow Claw,Thunder,40,22,1.429272245,1.435120055,,,,,,,,,,1.435120055,,,,,,,,,,,,1.41547975,1.400933961,1.416823465,,
Shadow Machamp(Unscaled),Karate Chop or Counter,Dynamic Punch,40,18,1.615052618,1.930671,,,,,,,,2.399991,1.461351,,,,0.94428325,0.5441807,0.6486406,,0.6548069,,,,0.34233052,,,,,0.6645306
Shadow Alakazam,Confusion or Counter,Focus Blast,40,22,1.49786299,1.575310497,,1.575310497,,,,,,,,,,,1.235521383,1.328710404,1.240934891,,,,,,,,,,,
Shadow Hariyama(Unscaled),Counter,Dynamic Punch,40,18,1.669149421,1.98947355,,,,,,,,2.485984,1.4929631,,,,1.0023924,0.56949216,0.6973719,,0.70239186,,,,0.3611533,,,,,0.70271116
Shadow Gallade(Unscaled),Low Kick or Confusion,Leaf Blade,40,17,1.623288597,1.965006761,,2.121828,,,,,,,1.8156532,,,,,0.67481726,0.79808897,,0.807819,0.8233762,,0.7831751,0.4260176,,,,,0.82286173
Shadow Metagross,Zen Headbutt,Earthquake,40,24,1.570263322,1.570939175,,1.570939175,,,,,,,,,,,,,,,,,,1.564255742,,,,,,
Conkeldurr(Unscaled),Counter,Dynamic Punch,40,18,1.770298622,2.11157415,,,,,,,,2.6434948,1.5796535,,,,1.0623299,0.6098575,0.7377038,,0.71555936,,,,0.3858696,,,,,0.73999506
Lucario(Unscaled),Counter,Aura Sphere,40,18,1.777893676,2.13320805,,,,,,,,2.6126163,1.6537998,,,,0.97458214,0.5959259,0.6772175,,0.69290316,,,,0.37239262,,,,,0.72180575
Chandelure,Hex,Energy Ball,40,22,1.65108618,1.653881061,,,,,,,,,,1.653881061,,,,,,,,,,,,1.625212081,1.575531453,1.726429446,,
Machamp(Unscaled),Counter,Dynamic Punch,40,18,1.853005186,2.2107363,,,,,,,,2.7337441,1.6877285,,,,1.1103997,0.6387072,0.7590362,,0.7549851,,,,0.40869716,,,,,0.7685583
Shadow Weavile,Feint Attack or Snarl,Avalanche,40,22,1.712971059,1.706669774,,,,,,,,,,1.706669774,,,,,,,,,,,,1.684446894,1.698366955,1.814911326,,
Alakazam,Confusion,Focus Blast,40,24,1.722870707,1.727090513,,1.727090513,,,,,,,,,,,,,,,,,,1.685361324,,,,,,
Shadow Raikou(Unscaled),Thunder Shock or Volt Switch,Wild Charge,40,0,1.828930191,2.044247671,2.2635365,1.8593205,1.9533294,1.5231128,2.1855931,2.1898255,2.233449,2.3285165,1.4220786,2.4698687,0.49556184,0.5595598,0.9384719,0.54121673,0.6461285,0.45417708,0.643945,0.6252149,0.5256151,0.6782497,0.3463035,0.66984427,0.66960853,0.6799087,0.6048952,0.66206414
Darkrai,Feint Attack or Snarl,Focus Blast,40,22,1.774254885,1.774945517,,,,,,,,,,1.774945517,,,,,,,,,,,,1.748163196,1.739486652,1.828668908,,
Metagross,Zen Headbutt,Earthquake,40,24,1.824399025,1.827237535,,1.827237535,,,,,,,,,,,,,,,,,,1.799167825,,,,,,
Exeggutor (Alola)(Unscaled),Bullet Seed,Solar Beam,40,24,1.852362011,1.9942789,,,,1.9942789,,,,,,,,,,,,0.59087855,,,,,,,,,,
Shadow Electivire(Unscaled),Thunder Shock,Wild Charge,40,0,1.913828836,2.141371219,2.3216195,1.9171584,1.987331,1.5189962,2.4331741,2.1733236,2.3776126,2.580297,1.606892,2.473659,0.51064557,0.56802905,0.94882506,0.55987734,0.64902014,0.46357206,0.66479635,0.6316479,0.54652745,0.69530106,0.3597995,0.68716913,0.679933,0.7058544,0.61707366,0.7026803
