Attacker,Fast Move,Charged Move,Level,Terrakion,Terrakion,Terrakion,Arceus (Rock),Arceus (Rock),Arceus (Rock),Arceus (Steel),Arceus (Steel),Arceus (Steel),Cobalion,Cobalion,Cobalion,Melmetal,Melmetal,Melmetal,Meltan,Meltan,Meltan,Zamazenta (Crowned Shield),Zamazenta (Crowned Shield),Zamazenta (Crowned Shield),Dialga,Dialga,Dialga,Regirock,Regirock,Regirock,Registeel,Registeel,Registeel,Stakataka,Stakataka,Stakataka,Mega Aggron,Mega Aggron,Mega Aggron,Mega Lucario,Mega Lucario,Mega Lucario,Mega Houndoom,Mega Houndoom,Mega Houndoom,Mega Steelix,Mega Steelix,Mega Steelix,Aggron,Aggron,Aggron,Boldore,Boldore,Boldore,Excadrill,Excadrill,Excadrill,Lairon,Lairon,Lairon,Nosepass,Nosepass,Nosepass,Stunfisk (Galarian),Stunfisk (Galarian),Stunfisk (Galarian),Sudowoodo,Sudowoodo,Sudowoodo
Torterra,Razor Leaf,Earthquake,50,1.4957985956355428,1.4742263038144185,1.2503191596163044,1.5242637569248394,1.4893391064687904,1.2469087707281292,2.3774004935580084,2.2992424268892453,1.9778629334209115,2.121987903819648,2.1677868524712087,1.7945666082627376,2.1143916604933337,2.156860874747849,1.793473731910476,2.3093117069134776,2.4712593884126988,1.8921373934996952,2.142737432753095,2.200607632170435,1.9073545077015515,2.4564378301490795,2.4701051975181048,2.0291964548724537,1.455386834854983,1.470762215540789,1.2170438693412096,2.22651360123153,2.2682628386833814,1.9760553144258448,2.255189634887849,2.255284472424472,1.911708726351667,2.194424638629457,2.2379688375853557,1.8022521843785886,2.133645906548252,2.1598000486323605,1.8002980747472253,2.984630707386756,2.4801326142004227,2.3389346945250074,1.8375824324034509,1.8748040723364876,1.555795072078787,2.19783788456844,2.2669389115311205,1.886439526108836,1.4753079061355832,1.5262886912106899,1.2329834911380095,1.7005259492174005,1.7783642868176908,1.4155156935718125,2.29192870415582,2.4155004353853666,1.9438845592795897,1.562437668208022,1.6389988139307572,1.2868838936565519,1.9251042166473153,1.9982307430938127,1.6000212500017945,1.4434300777345253,1.504736705089188,1.2321987174450777
Machamp,Counter,Dynamic Punch,35,1.3067197216151891,1.3358183443518281,1.3260161880039825,1.340039275994658,1.3123552104471423,1.3375702367739566,1.3341478088609853,1.3150714541094704,1.3323264190957338,1.280583131950524,1.303833034707788,1.2820557133847583,1.3179794335081998,1.3036997336574234,1.3185904762427614,1.3488215226178488,1.374034985050509,1.3500654629248887,1.426127592515021,1.3595274120805247,1.422621586007799,1.3864643162627206,1.292574707192046,1.3837093614027496,1.2720516892867992,1.272136044874041,1.2717039414859248,1.3132240417830912,1.309552862987235,1.3132461476791757,1.3065887358477852,1.3413129991103572,1.3069337738477147,1.3077825950352617,1.3300149891328354,1.3084066004654784,1.230826729500026,1.2400313504366507,1.2301362399761375,1.3437181464645904,1.3384214627416307,1.3890252698206729,1.2811037710434081,1.3158765087161217,1.3037610771454102,1.291387804905609,1.315348336335524,1.291387804905609,1.267575002022876,1.32452546119708,1.2909005785968912,1.2421957622775466,1.2301610084609553,1.2962899325247133,1.3104244174349629,1.3810260296686012,1.3104244174349629,1.3264196817383231,1.4002928627357254,1.3244636680607038,1.2967352953323728,1.3395778158427207,1.2973387920049655,1.2675575473891754,1.311598818002417,1.2665263302060568
Virizion,Double Kick,Sacred Sword,45,1.2753438045521142,1.300346755051908,1.2737197726310112,1.2924097895523914,1.299252271666205,1.2973315037730484,1.2904442371454228,1.2989403759099905,1.2882537153691263,1.254462625565533,1.2769481868164108,1.256445804223657,1.2338850274343036,1.2758117089398442,1.2350643942396258,1.3342386178246581,1.4086535156577051,1.3341057054710415,1.273432270991265,1.3096552149252136,1.2736782858053273,1.2597100093891178,1.270379553609503,1.2623702172582427,1.2737030160719571,1.313114930517723,1.2749804645804754,1.3303047413568052,1.3550350073181043,1.3285311747873203,1.2942670276345702,1.3218429888538075,1.2946580624579986,1.2707700863326412,1.298967813551366,1.2718041886378886,1.181824002225765,1.2052409335988303,1.1811125149210793,1.3077970962841643,1.331293703497484,1.3897379610688996,1.2339466044576146,1.2657367459315227,1.2369311503280553,1.2813361545496595,1.3363697818962066,1.2832194366188592,1.2647758457916367,1.3266606713061644,1.2629547326103638,1.1681824297466235,1.2334272907118078,1.1652417560977104,1.337695559945828,1.4329193845950254,1.3364713581841443,1.3898248543172878,1.4697603436180406,1.3898248543172878,1.3485660767369996,1.4085447642351996,1.3494139653221253,1.2942172856779355,1.3501640431962807,1.2929454236122901
Torterra,Razor Leaf,Earthquake,30,1.745393420970192,1.7307635746577577,1.5033891059242703,1.8466797462324294,1.810509550131254,1.4900914410276842,2.7413090816769796,2.638710506915985,2.2864384746984556,2.684499537004115,2.63439266713996,2.2284110439770313,2.5489462100539035,2.559236146829137,2.1499162039383295,2.680874544283535,2.798844477896079,2.2367146037222043,2.7863228997607794,2.7372689007694953,2.273661861185176,3.059788693448111,3.1430179747347093,2.474518098118484,1.7006894158862034,1.6861787265646253,1.3986333052930837,2.6921661757052413,2.6823871167679747,2.2179112075629956,2.7027478156145617,2.727929407240667,2.267090014670761,2.4901425725259605,2.50374670787657,2.2088029411448273,2.7694285247727883,2.6763033669379066,2.345701932377022,3.1880317546994816,2.880341444496735,2.7892343823709447,2.068011657201393,2.082740164852765,1.7391334764698145,2.589757492458352,2.6619657554750145,2.1938148353482356,1.6683208214080372,1.724655074138996,1.4312998247108173,2.032676046944063,2.0970478076760757,1.7093269068965238,2.7536603404107036,2.8931347006496444,2.2469304000309527,1.8145064060086606,1.9012793567039736,1.4787819635158457,2.190379070133367,2.242490898859028,1.9085947557934757,1.6888041898838426,1.7329178636880045,1.4034624677158747
Shadow Flygon,Mud Shot,Earth Power,30,1.7914721205876187,1.5360287803811792,1.4803721002547345,2.127338440151289,1.5166848848774739,1.8093790668701735,2.006287123120479,1.5388758570009422,1.7005835351004994,1.534637260307827,1.4969344737448496,1.2896967483816515,1.4817260764903124,1.4671929811920075,1.251607211093448,1.5354730034680732,1.5541575194131032,1.301148413557926,1.729457359303139,1.5654852953369243,1.4484839425705474,1.7070265046984328,1.5386801931542233,1.4276788521627404,1.5216807092191336,1.5166855016080307,1.2677190998457406,1.5712058282089763,1.5273127820080743,1.3138446490257407,1.6570975757077422,1.566023927003536,1.3918709269781881,1.6114916071384704,1.5768578674306621,1.326664311256164,1.950195888672016,1.5928849019769222,1.619031826073882,1.6421597470853986,1.5813115325392717,1.4369088073208398,1.5825891799876068,1.5290313561101618,1.3335097403874594,1.5722908583874118,1.5441299801824917,1.3363801847876366,1.5209002729942285,1.4988293089254856,1.3086039633248554,1.5801050058513333,1.4603513406702755,1.3043431346205372,1.5793322941139958,1.6011240892830068,1.3110915747594398,1.5529425857047503,1.616761541325153,1.3028644913406442,1.5493057727454198,1.5711533928339012,1.2915332847578787,1.5019712273182944,1.5179665014887778,1.2807606037031125
Shadow Dugtrio (Alola),Mud-Slap,Earthquake,40,2.0652116667931235,1.7547895975857257,1.7335997831912302,1.796978390929951,1.528702143862107,1.5058934971757034,1.7765625862532801,1.539517133031236,1.4846321315813074,1.7778036994595208,1.5741644896339824,1.493702051365148,1.6872992666000326,1.46700712355164,1.4429477090386633,1.4400143125502383,1.4277200855668297,1.2170348913379085,1.8674723789683723,1.636309281505582,1.5801344416210117,1.8375567652719007,1.4912002529557289,1.5193637580049433,1.680575771054985,1.460879378853616,1.409536236987088,1.8037688236968468,1.535585439919964,1.5278523764048824,1.5410401093537387,1.4711640102058545,1.2856951733628934,1.5447203220434147,1.4686786498032163,1.2869631595731932,2.76679827150768,2.1848730862256995,2.242648292608575,2.7011646551054196,2.2584931627741653,2.3159281742703692,1.6277201216549226,1.4754934876953356,1.3671527580341667,1.5046397075137394,1.4648102109042749,1.2575694935567538,1.6907421118770307,1.5411023078498445,1.565953091766486,1.9899310297772121,1.7987467068280634,1.7060168498474588,1.4786060061926185,1.4705212743612097,1.233845416775511,1.3744707004564174,1.436904792148355,1.160661502196364,1.5203289628656218,1.5230428651218635,1.337225383211603,1.470219004161396,1.4746412073935145,1.2683040295307146
Bewear,Low Kick,Superpower,35,1.57971408654193,1.5728333910815868,1.5776906849119885,1.5674989605689416,1.562013589855936,1.5661911283172163,1.59182109861494,1.5683637003108324,1.5934283880870612,1.4868900082651466,1.5217043164117372,1.487690002203262,1.5507716752041092,1.5055688667750704,1.5512347180699722,1.6377579535448454,1.6679894926100178,1.637195258102643,1.6353260100009002,1.6180117820062967,1.6345313262211183,1.5543312211995859,1.5199138070774025,1.5528584144215147,1.5297640470224807,1.5281907389046214,1.5326835033162405,1.6382746958649765,1.6301867590314165,1.6367655158126633,1.5402754739867563,1.558674697975831,1.537781506433064,1.482956556829399,1.5038995161397688,1.4867099097942216,1.752821623664649,1.5602098240742182,1.7568664149307722,1.5200873557188324,1.5355674800535832,1.6230446621730583,1.46659667727785,1.506181835322247,1.4800597333514385,1.5313118960830063,1.5817889314311346,1.5313118960830063,1.4839748434607147,1.5402993421029398,1.479507337203066,1.4299520815453193,1.4281132142009736,1.4666159666084917,1.5747182036136913,1.6777308950370402,1.5747182036136913,1.6005768125662878,1.6974430606575708,1.6005768125662878,1.5635524969216634,1.6493481122760227,1.586871806323632,1.5010117301272348,1.5703863481614762,1.5059360050804573
Swampert,Mud Shot or Water Gun,Earthquake,50,1.4564847183319283,1.4449688145307071,1.289521796439412,1.592471460752398,1.5361388663110298,1.3583701870192662,1.63760930656148,1.5584564840921293,1.3612463096698006,1.4553954078113602,1.469055535025454,1.227180792218405,1.4531448313676458,1.485066367189962,1.2346448706550917,1.5598759546570666,1.6750742845266133,1.2790170151456222,1.4997813398590674,1.4869475276712507,1.3327171540584073,1.5075868235142078,1.4637425142407865,1.2736839498648145,1.5075454264901818,1.5160968017453218,1.2776878204361417,1.5207141930800545,1.5371470425258493,1.2668375347167835,1.5188248182538147,1.5514644485976226,1.2898211626191731,1.5226536811861557,1.523981087906233,1.252080185905981,1.508498664297417,1.4747341390356807,1.2726820559152157,1.5954967697916007,1.5787375645961708,1.3414218223331753,1.4630610051107773,1.4693580430893487,1.2296815830691432,1.511788359272106,1.5736384453560326,1.2857158615217312,1.4961521265240072,1.577850789433142,1.2461018242493787,1.384738445580681,1.4410970225087558,1.205220144686824,1.5329858199201631,1.6361554451824207,1.3216712718658201,1.5587633656322069,1.6428261119168521,1.3221338232971136,1.539873440867689,1.5917873810631233,1.325044537588221,1.468551681173653,1.5247743874784585,1.2692593957519172
Rhyperior,Mud-Slap,Earthquake,40,1.3846572654807456,1.367463182028013,1.1698293557470003,1.3306666335963326,1.3218976957405564,1.1082736101438402,1.3190890489051004,1.3302828234126778,1.1027804854756758,1.3751884138728565,1.3549891255225945,1.156589851705313,1.3065589104098696,1.321476302121488,1.0855554186880831,1.341062004397399,1.397153227305293,1.1060852269366295,1.4016337573603075,1.3968552563609462,1.1480463662694231,1.330468540834054,1.3069456127459058,1.119828408186241,1.2957053239782004,1.27754113937746,1.0844440431890168,1.362145947757662,1.3572522497486244,1.1460539922827264,1.392046629898059,1.3766409088576652,1.1597995181461798,1.2881268267160626,1.3037231652781884,1.104484203359492,1.3741426765458726,1.3389163682763279,1.1493440911963617,1.3251528922657336,1.324704767062393,1.1457579205635746,1.3038103923691229,1.30206056207657,1.1114710421579792,1.3087900127937628,1.3445764077129907,1.1191125687913615,1.2771426559528467,1.3358943574543676,1.1117588173860313,1.3241813211939402,1.2962564881188985,1.1640512310799533,1.36853430816424,1.4272833390506576,1.1298882239910555,1.3518590716414491,1.4398172400280842,1.1250330863219122,1.374710166782953,1.4084320953067646,1.153359556871584,1.275574155159069,1.3086143511640556,1.0854532265774208
Zapdos (Galarian),Counter,Close Combat,35,1.3589441611770046,1.3575404633716848,1.3589747254735784,1.41767761962968,1.3888611593309113,1.4194756325563886,1.4311297913151029,1.3845800739055953,1.428342388108024,1.300632281790603,1.3303348861084525,1.3013371701955774,1.3876247519372373,1.3599170949112638,1.388113414563988,1.4255659773719314,1.4247458540129156,1.431847108058097,1.3944415855627195,1.3776238773801666,1.3944829819075126,1.3953302241533525,1.3440339197265614,1.406838160239291,1.321640398953096,1.2976928802803362,1.3246004860864906,1.3973452713593484,1.388614874025867,1.3991282697778296,1.3876138715044115,1.397326496457812,1.385697831781456,1.3698485823150095,1.3677345237189091,1.3737113059531534,1.2493773314332843,1.2335744391014674,1.2507079720512038,1.3769048143681566,1.3822327341959895,1.4468211900466716,1.3063347583903833,1.3288944662240607,1.3156272948065222,1.3903967322006976,1.388987248028069,1.3921153795450096,1.3101499195803061,1.3477283004118839,1.315870663990216,1.2220373143739647,1.2494168790562121,1.2210606227290863,1.356090279466178,1.422414384225783,1.356090279466178,1.4162370707879106,1.499663424289909,1.418953037363381,1.3243927638845239,1.3780550150384303,1.3317497070734547,1.3256618151338555,1.36517749705013,1.3268208063923264
Shadow Mamoswine,Mud-Slap,High Horsepower,30,1.531740061561352,1.3047162065515954,1.363719309929368,1.3035742908115038,1.2003719107171844,1.072313911070204,1.270806311672915,1.2095462830004322,1.0491043867035148,1.3251345855011372,1.2375482667866609,1.0930967566195977,1.319895025317242,1.162642362663499,1.1201650278597746,1.2324311799609624,1.2163416037078636,1.0280013736265252,1.415174615966188,1.2610632716149675,1.205656135019043,1.310570761240672,1.173469536057256,1.0941563286862743,1.2489501867024357,1.1471298989935963,1.0575560818346859,1.3196602260612094,1.2274423857188332,1.095435743002326,1.2955561751662903,1.255920390874082,1.092115934251745,1.277402747407423,1.2561388101978115,1.041994368762355,1.5917426789456188,1.2871892726837433,1.374569475188591,1.3886865650690403,1.299569675613051,1.3424190255727733,1.168608749873988,1.1535605534177344,1.0350305530748214,1.2157566856961857,1.2115219914434423,1.020104305129002,1.1994557103957226,1.1704254807949723,1.0205296462547055,1.1985106602366522,1.1517373650101366,0.9887018472428201,1.2511206277843678,1.2535855022917288,1.0306391877556917,1.1707127897208658,1.2418204012709122,0.9776334334994379,1.21097020362924,1.1999769594575134,1.0364034659124546,1.189744899106225,1.158390361239809,0.9997840773832338
Ursaluna,Rock Smash,High Horsepower,45,1.45611834224453,1.4378918522195356,1.3718324075439916,1.4227107131191723,1.4219000547991596,1.2966560950381725,1.4208559120399973,1.424397324678017,1.2960120559521024,1.3755728675474272,1.4070999632012502,1.2518186140277454,1.3699070860484275,1.4010700939501795,1.2489772397017997,1.4454789658521758,1.5491560153932613,1.3206284149111354,1.4640411694723423,1.4392373540764076,1.3388390865784265,1.3876688842323939,1.371237396206849,1.2696160579489002,1.4195874866407474,1.4335586804191744,1.2948398125419796,1.487873126472674,1.4921844499126713,1.3593621206838764,1.4358075379149222,1.4670939095630737,1.3118244602946643,1.3374240611684116,1.3808182709894607,1.2202470488472672,1.3258016605869969,1.3470909730727834,1.190043227306414,1.453471281506363,1.4721511308128556,1.3424162030331763,1.3462741832395446,1.3721748827931959,1.2451755662104476,1.409901005726433,1.4628972805945,1.2839686241620065,1.4112880995708068,1.4658384420929815,1.3012107076530295,1.2890788203190193,1.3320876170602116,1.1898809110831117,1.4680087541748288,1.5852089715446902,1.3367804895704265,1.4873250114994927,1.572611721066375,1.3757666624136402,1.4525749537647763,1.5269078147726192,1.332213626031556,1.384499075814657,1.4484613448070491,1.269697802872184
Shadow Torterra,Razor Leaf,Earthquake,50,1.2484417434620512,1.251924886857019,1.0604328458054966,1.280150424019804,1.2374566383116523,1.0736238879206594,2.0402879360121493,1.975419926094405,1.6323105106427087,1.8056902641077741,1.8264715516909744,1.5316426017609774,1.8338012942782955,1.8396089738244965,1.5615284291849796,1.8864265816575603,2.0122669595113614,1.6016293264711225,2.0546677923636545,2.0052118825233967,1.7124188443566364,2.1348716071930536,2.0881181449906463,1.8806730773564364,1.231316737784925,1.2320929359259485,1.00316976463151,1.9960884774806185,2.0053969966297984,1.6621903279757062,2.001366736259531,1.9332639259401685,1.6452456656958288,1.8270943433959532,1.86927241576689,1.5248943128918337,1.9499276982663898,1.9280434174113223,1.597381051790089,2.3571891871142414,2.06176751569285,2.0626769379509833,1.5797526944748714,1.6087994759282647,1.2902099417885393,1.8925074609357972,1.9459297162718976,1.5682047999299777,1.2363051687488846,1.2736709638931314,1.0243957776286903,1.4228916512413528,1.4749203371502757,1.2264446929190236,1.9231873187278665,2.0454162759618875,1.6217325184775455,1.2695421477518403,1.359663256818124,1.0923270105165184,1.6007531757392883,1.6481547000130656,1.3456878332506614,1.2376991673633044,1.2788686671735578,1.033084699261025
Shadow Swampert,Mud Shot or Water Gun,Earthquake,40,1.433200091455607,1.3932788264394838,1.227145377749,1.4758768075354112,1.3710942777723436,1.281112136685161,1.4985425947082849,1.4028849502074738,1.265105541987951,1.3926989551408864,1.388464913149899,1.1837242666187933,1.449860355147073,1.3849252411946085,1.1757344607858107,1.3747725767984262,1.465877310915494,1.1569543091079963,1.4601962328538487,1.4247130664155314,1.219735421820285,1.3755932257977774,1.339133510157247,1.1695386246919772,1.340307175857319,1.2920535433950227,1.1576443774950922,1.466699046541122,1.4398115819737154,1.2170277717425173,1.400508376182301,1.383615980928629,1.1964448288503948,1.328043728017631,1.3460753907412577,1.1784992675156616,1.417151849763878,1.3404964512813051,1.1864786665359306,1.4488598163128865,1.4409491786692028,1.245105763381237,1.2758854175686287,1.2700525161257914,1.1664853854334527,1.3602759851224302,1.3913566500393786,1.1657298444426947,1.3393461404836544,1.404404843395624,1.1459343956025894,1.2989733621536586,1.2897705732926963,1.1436433396567856,1.4058463180375935,1.4707478858820477,1.1739080715503314,1.3421648680244276,1.4495558662456787,1.184135979709232,1.3625191015641132,1.4139774842886388,1.2190073157945367,1.3031905466250255,1.3432239979478613,1.150054143509734
Infernape,Fire Spin,Close Combat,40,3.1740414095937206,2.546617755506079,2.9481117112045716,2.744288956892353,2.469108220834366,2.5687794724977127,1.794535318279698,1.6088784540617218,1.5869134689627946,1.5395544300915072,1.5192890341668812,1.3820492726321052,1.5149525045089067,1.4988224059906323,1.3808427780467472,1.558462863216704,1.5687617476345963,1.4054775401655497,1.549067371074117,1.5288245190825924,1.4069135834562718,2.304734832746241,1.9611787497944657,2.0680862713129455,2.411967564065235,2.283366483501102,2.2262638642023402,1.5883818147214321,1.5383893096728665,1.3827053153521869,2.4798263125323414,2.4727240691361936,2.2494285945682946,1.5379341047734232,1.530169937632251,1.384194205954816,1.5134692327204669,1.4869582221029014,1.3488033233487637,2.437686981487716,2.446933903461243,2.3568231037285186,1.53429099674898,1.4930713830982048,1.3866325007738476,2.452384262003636,2.442277314898931,2.248687755958211,2.482471129472128,2.4131613618135668,2.3133117523006623,1.556394934542877,1.5219130813433113,1.4191756423529986,2.3696043565964735,2.4578911871658464,2.2084665287691063,2.4478089084487102,2.5862239128987765,2.186165042308624,1.5522024959630485,1.5681975310977643,1.4257877217726114,2.317788996891683,2.3232475969075876,2.276317078311193
Shadow Torterra,Razor Leaf,Earthquake,30,1.5389335749701802,1.5259696805567742,1.2571531329449162,1.5561536136908196,1.490109856603737,1.3288371043926324,2.332393500127524,2.2349311429513095,1.9564418171040328,2.219864854940261,2.2062959960084823,1.8685790650475216,2.1998985274470564,2.1628899822274352,1.8652458336149793,2.271062558806535,2.347914293606637,1.9053898489477064,2.26563900536124,2.3175731028529802,1.8911368692744002,3.711843763781927,2.467826256401562,3.010386012204486,1.4217028623457346,1.407608247732417,1.194493306031894,2.2940477453670254,2.2518049779951594,1.9161399147428222,2.3508741560293864,2.3134822624749387,1.9911882698208292,2.2292080798059564,2.2904518021393043,1.8391934094072242,2.205979418050255,2.254005561037268,1.7884331099756896,2.892451268383436,2.5336740264073043,2.5477706359162897,1.780058861733531,1.7693415167550768,1.526900479699503,2.2305036810990044,2.2622249668318153,1.8816518643685363,1.4224616659063505,1.4680656956773561,1.1870813794694222,1.739451979391346,1.707521809777419,1.5383892905837802,2.2845986450059006,2.3777790544034008,1.9196137749831719,1.4791609039105087,1.5600114562054894,1.2780953433902504,1.9039123229655677,1.9633309090651103,1.5375187109390802,1.4090266298999756,1.4460518136427343,1.1945084634436576
Rhyperior,Mud-Slap,Earthquake,45,1.3305881774024089,1.2984441982100847,1.117522375635657,1.2677528717342539,1.2947231588783077,1.056283501779131,1.2846561223669823,1.3056621747996595,1.0756361459618036,1.2989187792918242,1.3021999201851826,1.097297331954643,1.2555004997568981,1.2651663551692616,1.0481454781522344,1.2842031380706125,1.33848639942025,1.0773639390157022,1.333389736345459,1.318361917883595,1.1246389586869598,1.2673328124527625,1.249245404277206,1.067863557648733,1.2530693710454124,1.2559576273274526,1.053475291771364,1.3319504305807492,1.3389347568688283,1.092309000847182,1.3100738607594546,1.3162700780153114,1.0973088148831873,1.2673943239669807,1.2925738003213694,1.0548399859872062,1.3187297205026645,1.2854557371467803,1.0985725821102281,1.2604468305985121,1.2794438392710472,1.07069219772906,1.2768164431176992,1.2754157760776896,1.0672384977114868,1.2622568212028145,1.3004267158448413,1.082783250555613,1.242625665542376,1.2942798645048272,1.048939183676687,1.2778819974034106,1.259692974604867,1.1031729254023006,1.29010384166026,1.3626157581461975,1.0845189339262824,1.304677018599161,1.369369169267565,1.0914720102844706,1.3156202124679233,1.3512295566916854,1.1159215469528332,1.2505568428204896,1.3042830292687952,1.0411747270759573
Sirfetch'd,Counter,Close Combat,35,1.5140850843351426,1.4417343097110116,1.6696765625120935,1.7031697728692783,1.4893245138730828,1.7020743025135534,1.6784127416693164,1.4836374223647695,1.6824413768847617,1.4128559851592624,1.3981287622058576,1.4123191100531307,1.4504143252893005,1.4174403777267748,1.451099024836414,1.457077253587512,1.4511525445578446,1.4583133495245548,1.5721765753012706,1.4471401171741065,1.5742067292495896,1.5446561912246461,1.3860718074834322,1.5687040004245636,1.4568964382894147,1.400839298953256,1.457244297918288,1.4888804395241633,1.4326576929360504,1.489564459108724,1.4755721627718776,1.4405790901160616,1.471551088313283,1.4127898905366982,1.4004234675980607,1.4112851088635179,1.466032902397628,1.410237674255802,1.4667982902556986,1.6085060429631926,1.4539609921264318,1.6179574108881913,1.407610508821863,1.3880256558437336,1.4675293084388557,1.4326261758630316,1.4257867052123687,1.4336114372975584,1.3512419293266833,1.3741166990247267,1.383160132722034,1.4201869666863052,1.3502139100362731,1.4225772546608468,1.4513236709530026,1.4868505701905916,1.446973823105779,1.4321051643331082,1.510166317932694,1.4321051643331082,1.421379511940837,1.4610453936693744,1.420636437553753,1.3588620385557715,1.3924389746519716,1.3615821233232732
Mega Blaziken,Counter or Fire Spin,Focus Blast,30,1.351483704512516,1.1373754398984746,1.348234962719185,1.3903256405333635,1.124809119057585,1.3994877392824376,1.3708323288647586,1.1220757852615055,1.240824071841922,1.096076843327866,1.0803943392098645,1.0112015666086513,1.0976624141294813,1.0754328681631125,1.0199404088936714,1.098754983577977,1.0971507104778486,1.0204900026597938,1.0863153964271133,1.0627683204919982,1.0248881835886534,1.2931186794933127,1.073865027518405,1.293125971618744,1.1104054350196757,1.0596793973276015,1.110451359051263,1.117832552679403,1.0520544588224,1.0449688664770194,1.1211331292739488,1.1065292614604116,1.1215768997028137,1.1545186686418978,1.1169631037659586,1.063487230700607,1.0969634396764691,1.048625048440193,1.0460100748102186,1.1298399262526855,1.0955105061509725,1.1338519781204257,1.1706042387925706,1.0787141502694504,1.070029854060197,1.1321249717283488,1.0923310422459627,1.1321249717283488,1.1661274589871586,1.0969225430104252,1.1888565281777586,1.1629129713313402,1.0777224992113252,1.1194640883744944,1.1092249150801778,1.1375945944634023,1.1092249150801778,1.0887868698714427,1.1290425453554043,1.0887868698714427,1.1164766145672815,1.0890266122488692,1.1176234052046794,1.1479396430349504,1.090077624895703,1.1855241600963724
Rhydon,Mud-Slap,Earthquake,40,1.5857889240977785,1.5151152310703193,1.4950272567425205,1.509842729115641,1.475244290775139,1.2546550613415846,1.5119161300766426,1.4746393870470722,1.2579452008529541,1.507860826895495,1.4791513419497586,1.2487465304452336,1.45039579671223,1.4541854625928046,1.19878646970103,1.4981262893630762,1.5179740922334837,1.2512690478152357,1.5516344171022438,1.5189355191863785,1.2874845379137936,1.4894499402931909,1.4692835167733316,1.2403220708988036,1.4664743572993284,1.4313197347752982,1.2179843428127566,1.5223532294819389,1.4834969169643595,1.276240751314143,1.5202069486115328,1.4860951107973217,1.2918915760898126,1.4192147991120783,1.4405661293005299,1.2142631900255327,1.6581366306848446,1.5673906901464352,1.3590931733402427,1.4964048372307275,1.4845709636319537,1.2626556560024222,1.4456089208716592,1.439897701876169,1.343124087309966,1.433762602071646,1.4617707191967244,1.212781548427343,1.443895655530787,1.4448102492833943,1.24011409267877,1.4600067003806718,1.4379223338483833,1.244266632219248,1.4816668051423212,1.5368281069730791,1.2330784910014936,1.463635843673888,1.535292053052223,1.2204462328286425,1.4972002953716463,1.5215784393225031,1.2563615081386408,1.3914584095146405,1.441464355727983,1.1781906558574013
Shadow Swampert,Mud Shot or Water Gun,Earthquake,45,1.3213358959132597,1.2853450525471442,1.1931790094354413,1.4140656491509207,1.326552547284439,1.2449104243069937,1.4474435721581111,1.3504517138854244,1.2263443050416754,1.3431465923075456,1.3558880622446772,1.0815909785941635,1.327072332705535,1.2857617263875876,1.1297419003526263,1.344053140016237,1.4344199509331341,1.113202501174059,1.4320418737222422,1.3804204742146264,1.1943806529790892,1.35485902928948,1.3003451757956734,1.1488879837875794,1.2936524601246515,1.2638632704403967,1.1091011477913988,1.4228190112390589,1.4020504166014016,1.1803106783688966,1.3515291161747458,1.3567116722503763,1.155662957039338,1.286306187601255,1.3098533311079479,1.0755545959012522,1.3968076248941441,1.3153239554494585,1.1160222066530343,1.3896695615260004,1.3979471293172863,1.2053047561862071,1.2475386829188237,1.2423070258022986,1.0791450850441033,1.3190955295726403,1.3617896955055742,1.1065899985525631,1.2569903268644764,1.3041729346867172,1.1002921320943364,1.2635577296442395,1.2661927463396103,1.09956439859292,1.364366890013838,1.4554930920127602,1.142035280140805,1.326444887661204,1.425556024066547,1.1519883087663105,1.3218153143425093,1.3976531585855707,1.1308217171302124,1.281156271173703,1.3107051621155428,1.0843935692556699
Mega Swampert,Mud Shot or Water Gun,Earthquake,45,1.1588123674782098,1.1776446068338264,1.0284925909263811,1.1575823173918471,1.1410293719579916,1.0115850290970763,1.1996917067580646,1.1682810602063909,1.0159033753637923,1.1414020615071476,1.1750884607747478,0.9685365347079822,1.1649757624480872,1.2071625302762097,0.9570301138558187,1.197949981070762,1.2704995761057132,0.9945327613704861,1.1783286393186894,1.1763772605269702,0.9963026092498183,1.153113061518345,1.1199331312097953,0.9868730601490459,1.0840800057762887,1.0980283120909213,0.9398609523205297,1.184864156110575,1.2176882538110565,1.0029504844770294,1.1481165722721998,1.2012020997797224,0.9820447937345403,1.1699235366091718,1.1866750273958866,0.9772279441897737,1.1291543499996344,1.1211445402863986,0.942243822855972,1.2030932023273535,1.1962375359003516,0.999291636645822,1.1306372318241003,1.1583832382371435,0.9816900028981296,1.155752807928725,1.2065323701212456,0.9910840046038174,1.1331181720066548,1.1736541414305073,0.9618338923736902,1.066096112130947,1.1219976602332022,0.9495368189367782,1.1882407495160145,1.261986293219426,0.9862912872076346,1.2356807720960217,1.332455549369192,1.006054034061774,1.195976621281809,1.2525929267392673,1.0087388183056432,1.1244004234879637,1.189925867362661,0.9750846113984739
