Attacker,Fast Move,Charged Move,Level,Terrakion,Terrakion,Terrakion,Arceus (Rock),Arceus (Rock),Arceus (Rock),Arceus (Steel),Arceus (Steel),Arceus (Steel),Cobalion,Cobalion,Cobalion,Melmetal,Melmetal,Melmetal,Meltan,Meltan,Meltan,Zamazenta (Crowned Shield),Zamazenta (Crowned Shield),Zamazenta (Crowned Shield),Dialga,Dialga,Dialga,Regirock,Regirock,Regirock,Registeel,Registeel,Registeel,Stakataka,Stakataka,Stakataka,Mega Aggron,Mega Aggron,Mega Aggron,Mega Lucario,Mega Lucario,Mega Lucario,Mega Houndoom,Mega Houndoom,Mega Houndoom,Mega Steelix,Mega Steelix,Mega Steelix,Aggron,Aggron,Aggron,Boldore,Boldore,Boldore,Excadrill,Excadrill,Excadrill,Lairon,Lairon,Lairon,Nosepass,Nosepass,Nosepass,Stunfisk (Galarian),Stunfisk (Galarian),Stunfisk (Galarian),Sudowoodo,Sudowoodo,Sudowoodo
Ursaluna,Rock Smash,High Horsepower,30,1.664724071821724,1.6940237893999053,1.5308973592529223,1.66319195367348,1.6872052723799795,1.5230549027052362,1.6568700534238618,1.685840158223279,1.5158441540998029,1.6521120436569614,1.6923393085345215,1.5050098435395296,1.590113722330539,1.6804068335906284,1.453163088113792,1.66876616461281,1.7646964856230032,1.5274456108321923,1.637493152801382,1.673855639984831,1.5028863575712461,1.6677741790858742,1.6928178501732891,1.523042893472312,1.6690412878533452,1.6870807700463202,1.532867364960706,1.6955224276310652,1.724303559934425,1.5453980383463664,1.6182914147734284,1.7067830516241607,1.4758468900364843,1.554251409874879,1.6238203087749299,1.4222082011147468,1.6118562532302543,1.6887462456764288,1.4781390843606899,1.5739924828419878,1.6446194191046788,1.4443908657942888,1.5766153128300004,1.6230036264213035,1.4464795880778332,1.6065631469979296,1.6690683229813663,1.464886128364389,1.5878234398782343,1.6555446836268755,1.4545009784735812,1.5486013583515599,1.6075860481178774,1.4133187521583976,1.6502658160552897,1.733599149388623,1.4898059542796385,1.6800857931078474,1.7832687493023331,1.5386228452056325,1.6546455938697318,1.7300766283524904,1.5005172413793102,1.590984117668635,1.6608682096614458,1.4609085573854674
Shadow Hitmonlee,Double Kick,Close Combat,40,1.5288029025541654,1.4471129068832589,1.5246078047372653,1.5873905717400836,1.4574861445469405,1.5910008013399344,1.567201241072238,1.455924474575816,1.5669158213205197,1.3322470901115602,1.3789935412565193,1.332732359341001,1.3940733997994945,1.4037255492889023,1.3942907166741498,1.3576296972463107,1.4201430092803895,1.3606914650844364,1.4530879110074864,1.4447687402559097,1.4534250038625223,1.4370866594362104,1.4108784260177363,1.449733136635159,1.3195755446943744,1.3303739468627473,1.3185890825375126,1.379351231446554,1.3629604207878134,1.379112616122442,1.410569822161905,1.4086552866735993,1.4092038704901564,1.394604659574818,1.4236941188076488,1.3942717153614708,1.5318471452683777,1.511672286857428,1.5315616178920852,1.408747118312669,1.4025609860820283,1.4118682581727626,1.3625418511939358,1.3886676380782423,1.3681677158457421,1.3543788819875775,1.3794513457556934,1.3525569358178053,1.314405305501196,1.3409871711241574,1.3165796912372254,1.3387705767238403,1.3516634050880627,1.3441464256935651,1.3279904306220096,1.3858187134502924,1.3372408293460925,1.351113875201327,1.4341641550654611,1.3498700346042833,1.3150383141762452,1.34544061302682,1.326992337164751,1.3293107875142134,1.3531159446869383,1.3290081795840516
Rhyperior,Mud-Slap or Smack Down,Earthquake,30,1.5385619163454205,1.5625265414665321,1.4294522665897051,1.4957337468269796,1.53616193450516,1.238550666691306,1.5209414150775502,1.5356287797130357,1.255868733777245,1.4705833592373847,1.504963216247021,1.2189203191379132,1.4734248114366082,1.5206666297638012,1.2149099877605496,1.499535980526396,1.5511600486840105,1.2485737106344135,1.5283382726800288,1.544534179810947,1.2737081618607526,1.5046033697894672,1.5528620142463552,1.2540085314422527,1.4773133459505663,1.490399444736388,1.2246960603414554,1.512807898461815,1.5298305978492215,1.2688090002165213,1.5094757389357916,1.5419633572448315,1.276122724148263,1.4180505088702917,1.484306407326417,1.2106180431101101,1.6613175461994139,1.6475833179726833,1.3598982221402989,1.4715365255933468,1.5123326309392484,1.2485120915270136,1.4452107499242792,1.4801467759231821,1.2988195712145647,1.4483643892339544,1.49379917184265,1.2208385093167702,1.425820830615351,1.4662861491628614,1.2284409654272668,1.470265914585012,1.4967998158167377,1.2592609646598365,1.4702286018075492,1.5496012759170654,1.223032961190856,1.4655153167806856,1.5370441244478465,1.2184694381986638,1.5015613026819923,1.547432950191571,1.2523850574712643,1.4270164692073506,1.4800828962329897,1.2052690459597255
Infernape,Fire Spin,Close Combat,50,2.7215630089261786,2.3072357706817295,2.539440103898246,2.3451641570895063,2.3469415525835235,2.2083416631247554,1.503210132736974,1.499670927815666,1.3489407569331815,1.4006614167789175,1.4436517804717992,1.2612803509135495,1.4328521609702993,1.4617389040258977,1.3090430471926147,1.4518484710178001,1.527852578731173,1.2911379887418226,1.4336966445215389,1.4574335997303258,1.3108361307358456,1.8730496836520376,1.8594749051700241,1.720142277519296,2.1925287015708324,2.2071149076953267,2.0388210394334627,1.4525987712783741,1.4824183221218499,1.3291521644030124,2.2508746496994907,2.312366709554612,2.149928618009412,1.4594486279410073,1.5088332977096728,1.3204834678811597,1.4676793852848589,1.4934021490452905,1.3071949284555138,2.19243065785041,2.3185973696552544,2.0267658385462424,1.4843564534745701,1.4862719897838064,1.2727858774220484,2.199430641821946,2.2659523809523807,2.036066252587992,2.105762122200478,2.2188845401174166,2.101163296368776,1.411764705882353,1.446183953033268,1.2754345573845978,2.2415603402445505,2.3623870281765016,2.106578947368421,2.219561785389657,2.3529796360968924,2.1041477299909106,1.4493965517241378,1.4947892720306513,1.2995402298850574,2.2108627076990794,2.2617741994644756,2.103372702930712
Pheromosa,Low Kick,Close Combat or Focus Blast,45,1.2492485930445898,1.259327135170793,1.2968665608443795,1.435638291617178,1.2168775293866643,1.4426806752758912,1.392974308864466,1.2212993650249995,1.399883145795767,1.200431734189894,1.1963613442475738,1.1940403412427039,1.278637136173624,1.1740933683500525,1.2847261089823625,1.204122927126122,1.2067472995588011,1.2017685988133273,1.2473475005969352,1.1463741449780187,1.256425130272343,1.3920017263799411,1.2062205487581412,1.4388837316595384,1.2217524783380023,1.1499053707530433,1.2395522594461323,1.1816289767379518,1.1356498658893501,1.1823256745669941,1.1957562965965773,1.2069835380792078,1.1991601600366604,1.237489929465152,1.2223430229690404,1.2503740484372174,1.4115208489198752,1.2089662824697034,1.4100787549560685,1.3698765415788674,1.2268523717360142,1.3611571667316216,1.167425240874598,1.1474983423243479,1.179245900834159,1.2028364389233954,1.21351966873706,1.2028364389233954,1.151108936725375,1.160524026962383,1.1645031528593173,1.130229077932543,1.129054909635087,1.171935075400023,1.211190855927698,1.2371345029239766,1.211190855927698,1.1335454241018037,1.1779888054346268,1.1335454241018037,1.1436015325670497,1.1591187739463602,1.1499521072796934,1.1561915416498552,1.1542841946961082,1.1674063749403953
Mega Swampert,Mud Shot or Water Gun,Earthquake,40,1.2509493083757655,1.2926034344142325,1.0751138963903606,1.1999670728244964,1.2489613660073953,1.0515595889478928,1.2424372160493207,1.2739290883021555,1.0516861591567694,1.2267640658999068,1.2733171001277934,1.0438106586536802,1.2496601861134518,1.316761896561268,1.027101054396874,1.283607180891526,1.366476494751255,1.0672257720979765,1.2223787519137044,1.2757391463123446,1.0289843673188477,1.2896913909822691,1.3139760501989615,1.0485544358476842,1.2328314097979793,1.2794032233210717,1.0614253785499137,1.2563656529443217,1.3000145820475846,1.0557328804551955,1.235928494633132,1.3019612422228881,1.0609456791864216,1.2364335509116917,1.2879104256753424,1.0329224281087126,1.256421655263643,1.2975375974497707,1.0717035141552909,1.2291147852853943,1.273685983604933,1.0260953714651853,1.1924888874335908,1.2574636334613087,1.036820864610876,1.2289648033126293,1.2654968944099378,1.0367701863354037,1.2110784953250706,1.2862687540769733,1.0444118286584039,1.201853344077357,1.2440543340623922,1.0417865776447566,1.2912812333864965,1.3374534821903243,1.0759170653907495,1.26385367331643,1.344679392112775,1.047106475944442,1.2121360153256704,1.2714272030651341,1.0905268199233715,1.178391959798995,1.2345578256244727,1.0386604555624839
Shadow Swampert,Mud Shot or Water Gun,Earthquake,30,1.5484734791481993,1.5675771506318417,1.4608505638129008,1.5113237564531385,1.5006375440358974,1.344791206428191,1.5806495481973224,1.5518674846460963,1.3382845265557894,1.5142334127724244,1.533310883155459,1.2881204020308776,1.5291645396265021,1.5681257649656497,1.2906695204882659,1.5404267457781835,1.6422295755362848,1.2972881484862315,1.5488967231765385,1.5571049341966656,1.302797870696799,1.8288130579806936,1.5946634768324648,1.5793939439038138,1.4153334940120825,1.428279986671566,1.2871671677999788,1.567084047092649,1.5875755062842734,1.3068386857303618,1.5763368701200275,1.6311423762271535,1.283985758852248,1.5629305667450388,1.6043266306045612,1.267796073724536,1.6369645909910693,1.6613320032817578,1.3135560446868415,1.5229412036700642,1.5330807797234902,1.3437613533526658,1.5134189867304089,1.560709812621256,1.326296056778461,1.5422981366459627,1.5747515527950309,1.2713871635610765,1.4242878886714503,1.479702109154164,1.2984235703413785,1.472211350293542,1.5280534131460803,1.278853459191896,1.5472488038277512,1.6613902179691653,1.3248405103668262,1.531462788435472,1.6283468082731347,1.322792581607106,1.5308812260536397,1.595287356321839,1.284051724137931,1.5229431830686277,1.5467850199904631,1.2663041484796245
Infernape,Fire Spin,Close Combat,30,3.2188109422993674,2.808144880331485,2.9850584427631985,3.100683238891698,2.6892464212696114,2.839923528314851,1.9412522203977745,1.7921976313518488,1.6843509386951954,1.6502348633993025,1.68220737056609,1.5177356405208442,1.711153071035966,1.7383217806862703,1.5358747106712838,1.6732428115015976,1.7341738931994524,1.4936748820934125,1.6976852957287527,1.733539334522522,1.5295433796367826,2.5452570129534307,2.267901425193613,2.256056747299276,2.742354259764856,2.672377347457259,2.509053984108608,1.7692030100881255,1.7551291247678287,1.5886654775178704,2.6739627579886145,2.7385744752101804,2.53781482982886,1.7115141151904771,1.7323272389470743,1.518593495667615,1.6724278139807216,1.714967778777726,1.5289846429642802,2.459986656714249,2.6257010179209574,2.4319855733979803,1.695386750055256,1.6884224658027653,1.509399634902054,2.548343685300207,2.6519875776397512,2.43407867494824,2.6349641226353553,2.6804305283757337,2.4160904544466186,1.65634856682399,1.6835386209278231,1.6106711177621733,2.5970095693779904,2.7100611376927164,2.414739500265816,2.5896043630100944,2.709563220590346,2.43131767369915,1.6870689655172413,1.701168582375479,1.528419540229885,2.6122492022154566,2.6584290063455964,2.4768917580603746
Shadow Camerupt,Incinerate,Earthquake or Earth Power,40,2.6144447422127852,2.3041909748706426,2.153858046960358,2.186925559383993,2.104224590216261,1.807300425197353,1.5756714919394106,1.5730321987058733,1.3073735674446874,1.4314975995579042,1.4835664697958761,1.2068645736193142,1.5811709279225532,1.504316610184781,1.324296231602384,1.3999391449870684,1.4940932603073178,1.1642020386429333,1.569643383850443,1.5487351995168337,1.3074848659353626,1.798530716726724,1.749691651427519,1.5192124879776612,1.8988290206893645,1.93816238826571,1.5739392239216414,1.456239864372228,1.516792185200842,1.2240156013179815,1.9654876888097716,2.0621926608738566,1.6496730528579235,1.52015751138587,1.5332862004899626,1.287466500057546,1.9520928433828129,1.7891000827667964,1.630495046642162,2.0645299794566245,2.086262360704684,1.8339388454755032,1.4592007138237872,1.4783970071791683,1.2319845447326845,1.9670910973084885,1.9646583850931676,1.6587370600414078,1.9359969558599694,2.003544248749728,1.6587845183735594,1.6311154598825832,1.5581788879935536,1.3944169448601358,1.864712918660287,1.9967703349282295,1.5732987772461455,1.897135977291936,2.0271492130316227,1.5819340126616597,1.542911877394636,1.5266954022988506,1.2884865900383142,1.9856673880350657,1.967024905549646,1.66738803506584
Shadow Hitmonlee,Double Kick,Close Combat,45,1.4368240944979283,1.358617988414521,1.4354985672761755,1.4691366528182135,1.368157741330157,1.4661345679904176,1.4579962861853484,1.376618078151286,1.4618209108583748,1.2957914551169136,1.3345214658239215,1.2953942596622112,1.3507658369672406,1.3210036759354364,1.3514300885463757,1.3134109234748212,1.3696105279172373,1.3112886048988286,1.3723724314226724,1.3620110397910026,1.3725732825821313,1.4226114845193203,1.3702619893180241,1.4219640920413512,1.2944767338488223,1.3058467309118256,1.2950114516534765,1.3439669355753354,1.329926927739326,1.340045985002585,1.351565116238081,1.376647954597529,1.3514637714366287,1.2942774699528126,1.3149878331497347,1.2936341888492462,1.4375435971389434,1.4207480817258866,1.4355955052930993,1.3720398713231652,1.3683638621546104,1.3938581252022961,1.2543918172218176,1.2955431036599843,1.2661592678394553,1.2864906832298135,1.3284886128364388,1.2982298136645962,1.266699282452707,1.2863448575777343,1.2670363122417916,1.2785656728444803,1.2881662253942674,1.289904454932658,1.2779372674109515,1.3403375863902178,1.2820839978734715,1.2800236010779953,1.3629622542218822,1.28039037458738,1.2898467432950191,1.321714559386973,1.3010057471264367,1.2580603748670358,1.2907145215126727,1.2619025785863625
Donphan,Mud-Slap,Earthquake,45,1.5323445133892681,1.5502381001463648,1.2578428745181307,1.5444256475817846,1.5359989785855763,1.2760490077328464,1.528615848519343,1.523120678828906,1.2664225488319616,1.4414637515974167,1.4805443304666184,1.1995924429247402,1.4818386647723196,1.524369217269721,1.2193424319398403,1.4700935645823825,1.5372052335311122,1.2314658451239922,1.5423262216104612,1.5415677626866302,1.2839375254575334,1.5134845528062044,1.5270016612686288,1.2560827918242514,1.4649963978985328,1.4982898249523562,1.209701572149368,1.5195627742419175,1.5724190144008767,1.266913334030522,1.489552672858981,1.5652043639952766,1.229098736274389,1.4949462356751781,1.548825652324033,1.2290019072359877,1.5601541124977862,1.5699524000563827,1.295506377380449,1.4913698005773284,1.5454035022822303,1.2660961641356259,1.4275759461030297,1.4649248111068363,1.224154585417366,1.4782091097308487,1.517246376811594,1.2251552795031055,1.4393889976081757,1.4887258099586866,1.2120895846923243,1.4493611143087373,1.4738574882007598,1.2094393921952342,1.4681419457735247,1.5512227538543328,1.228056884635832,1.4665518506115551,1.537945111546987,1.2226793602194264,1.4784961685823754,1.520919540229885,1.2274616858237548,1.4260261159813667,1.474360855371749,1.207680739463742
Shadow Flygon,Mud Shot,Earth Power,35,1.5089096868622318,1.5119586056195757,1.3660722752478922,1.7187313629666714,1.4886224848929783,1.466255524961655,1.6628168578979003,1.4951176433058995,1.39937946388097,1.4346630746382067,1.4506303319172453,1.2026784789141023,1.4246412733948792,1.484335758671661,1.2061988613415833,1.4897116993762363,1.544888178913738,1.230887722501141,1.555618916527382,1.5124864811719596,1.290558590951866,1.60211593162196,1.5263579894370847,1.286791147093896,1.408723275633858,1.4267232466590014,1.223880813245197,1.5110830926313525,1.5179130880505274,1.2575940799832674,1.5288898778574829,1.5290330824682308,1.2501894707157588,1.497724881208793,1.5204657930648955,1.2304343894378587,1.5706065830324454,1.5358372999953014,1.3237916589863417,1.4568093693646087,1.4959210500241105,1.2510453341436187,1.4730453752895818,1.496578230011706,1.2513179544691755,1.4788509316770184,1.5124844720496893,1.21583850931677,1.442585344640139,1.4514677103718199,1.192585344640139,1.4612639576378497,1.4291354898123634,1.208863819500403,1.4755316321105794,1.5326687931951088,1.2282163742690058,1.5049514423766925,1.5754038495271812,1.2521009743418012,1.4438218390804598,1.4861685823754789,1.2234961685823755,1.4671807944833657,1.49822103216814,1.2061952096247661
Rhydon,Mud-Slap,Earthquake,30,1.9353790018347112,1.7103382877404194,1.6261332948525018,1.6490618274918396,1.661315440661366,1.3982978666214199,1.6457000674933766,1.6478575050284245,1.386223292266468,1.5889717818533486,1.633188270645529,1.3475252996235279,1.607876301594819,1.6377307197903919,1.3424155385665697,1.6095352198387343,1.6713981439221057,1.3500266240681578,1.7238577468151748,1.718089245333371,1.4353287357613382,1.7412699682442827,1.6731914402808343,1.4343817494851554,1.6160989570368731,1.6309867650758154,1.3291016872585704,1.7020224858119621,1.7009398792488626,1.4169714412807457,1.6733877363977652,1.692061617639283,1.4015214939104994,1.5842533828776246,1.6176855033623256,1.349359185149866,2.1039247364293177,1.8897647471275585,1.7365341313642788,1.6247498133921672,1.6650571052996626,1.3595024671867466,1.68376050884503,1.619825391497966,1.4401067461259507,1.5815942028985506,1.6273913043478259,1.3430227743271221,1.5818982387475538,1.615873015873016,1.3052076538377908,1.566720386784851,1.6266490157706919,1.3332565903073559,1.6333200425305687,1.6799043062200956,1.3446172248803827,1.6144971216252852,1.6866398762538075,1.3189813264443702,1.6326532567049807,1.6507471264367815,1.3743295019157087,1.5596412720536992,1.6150552030224112,1.3243957011334042
Shadow Mamoswine,Mud-Slap,High Horsepower,50,1.0710569172730835,1.065043600156672,0.9015770269434539,1.026652532620583,1.021385864497953,0.8590364097283004,1.0315120195294267,1.0265121370552068,0.8621338652214354,0.9869944392636342,1.0094584326321971,0.8280834455842228,1.0038912021518471,1.0096480491710182,0.8429106520121288,0.9943899284953598,1.0528069374714744,0.8260649627263046,1.0458319873028359,1.0536356868969199,0.877407755944773,1.0541707516263876,1.0183427868757917,0.8887377893035135,1.001638396426083,1.019115502996922,0.8354438882150039,1.0637692089018245,1.0424558524827041,0.8944053544100383,1.0269467014470275,1.0600401854169237,0.8616951900875972,0.9895985761496853,1.0207185840416961,0.8223043849986025,1.1793545635587555,1.0791850542682728,0.9888319038893166,1.0514145864572255,1.032733986405702,0.8659230977560821,0.9819497540091193,1.0136973125189304,0.8131185585998576,0.9993064182194616,1.0309627329192546,0.8240269151138716,0.9701565557729941,1.009491193737769,0.8096434007392911,0.9716127546909175,0.9842753539772073,0.8360884079659261,1.001967038809144,1.0544125465178096,0.8345295055821371,0.9947934108341706,1.0495064504297629,0.8402222966400358,1.0210919540229884,1.0441954022988504,0.8588505747126437,0.9945713971316436,1.0230440523786817,0.8275776693687414
Groudon,Mud Shot,Earthquake,50,1.2585808818982045,1.3126759982683627,1.0683275268506875,1.2330286449627301,1.2702145138285736,1.048246711902334,1.2323736513916732,1.26350455160557,1.0460130218564372,1.2075726176907402,1.255533105377681,1.0258125237453806,1.2325864603386454,1.2956473070133896,1.0101564886513439,1.220926517571885,1.3105469344287237,1.0343602616765557,1.2181398092616262,1.2698962034917203,1.0245417644001855,1.2144748028522474,1.237258181236408,1.0378854822236816,1.2436284949274246,1.2886119595036871,1.0394650714691174,1.2364059229626008,1.2853102809327208,1.0421052941670337,1.2350736732643601,1.2950191233234045,1.0624019599203343,1.2212126568126143,1.286206655595929,1.018262606665461,1.2545530773706906,1.2857478467982983,1.0405015161865108,1.239363353524411,1.2989523539009293,1.0297416554922154,1.2144868572925451,1.264321499029953,1.0261298799106084,1.209710144927536,1.251583850931677,1.0378985507246377,1.2285061969993476,1.2988584474885845,1.0285170689280279,1.2009209163117303,1.238782088177737,1.0202371359502707,1.2719564061669324,1.3200558213716107,1.0150983519404573,1.2926772871517647,1.3591191057105043,1.0235133712864184,1.2244444444444444,1.288984674329502,1.0331896551724138,1.2014818618640648,1.2501558889337197,1.0513424788174448
Mega Blaziken,Counter or Fire Spin,Focus Blast,50,1.0892906470964152,0.9815065245624524,1.0911150508153127,0.9521447182962539,0.9545840172162089,0.954056510424979,0.955919437756668,0.9588172877064677,0.8968140439949364,0.9088591855766243,0.9248385314129797,0.86225607018271,0.9266555548038306,0.9486537629646943,0.865671519393481,0.9344211166894874,0.9668111973223794,0.8712650235813175,0.9322176496200683,0.9374650617301291,0.8719777518715677,0.9512446492453599,0.9454609043775265,0.9516557806753345,0.9356573802251873,0.9271967221535167,0.935724549210501,0.9356858054813769,0.9542933819597977,0.872012337296017,0.9427049368137195,0.9711057158468019,0.9438770114739942,0.9333022311372717,0.9514641324542511,0.885471301030894,0.9634524958345532,0.9591695851901648,0.8952295242535628,0.9223975638595124,0.9401005370342236,0.9296934347070752,0.9334965086485647,0.9389054429063762,0.9058419764405407,0.9487370600414078,0.9707246376811594,0.9487370600414078,0.9362252663622527,0.949706457925636,0.958969341161122,1.000805801772764,0.9462760446644412,0.9205364337515829,0.9429027113237639,0.9726874003189793,0.9429027113237639,0.9512829099491302,0.9975761055031974,0.9512829099491302,0.9442528735632184,0.9556417624521072,0.8718007662835249,0.9495194952866522,0.9558650918827715,0.9491710376701024
Golurk,Mud-Slap,Earth Power,35,1.5320847677750522,1.5831474571728958,1.2776742460162032,1.550596133072828,1.5578535513470744,1.3033785634007724,1.5400343175277948,1.557431490864889,1.300882786502668,1.4841277242427384,1.5227351224398162,1.2334300417918695,1.4802969450577839,1.5321475212550255,1.2321723281812833,1.5077552107104824,1.5710558344743648,1.2648714437851818,1.5679242102897595,1.5747348905150498,1.3251274632358105,1.613681561034414,1.5583555486930298,1.3348098098563643,1.4673868235523437,1.5089064757487036,1.2191473753389728,1.5184978428880114,1.5694304311130816,1.2638776168515444,1.5261998343232812,1.5651647073338386,1.293970424943159,1.5134410812055048,1.555385886453692,1.25498799756663,1.6422161261525006,1.591417553066528,1.3505553326755362,1.7049119144972817,1.6624776235740188,1.447647420187995,1.5065222374118978,1.546871290694914,1.2539149796576594,1.5113043478260868,1.5476811594202897,1.2688716356107659,1.4639595564253098,1.5149706457925636,1.2458469232441836,1.4853574306434902,1.5196845861632324,1.2693334868193853,1.4940590111642742,1.5583864965443912,1.2722753854332802,1.5302189478384285,1.6116586135961346,1.263167966320624,1.5412547892720305,1.5685057471264368,1.2762164750957854,1.4818251843157393,1.52007299270073,1.2417562263874116
Excadrill,Mud-Slap or Metal Claw,Earthquake or Drill Run,35,1.6059267352450062,1.4492918839802924,1.385650085551135,1.333727003475833,1.3752622834324228,1.108372406354945,1.326968472870013,1.3729898894250303,1.1026302269590709,1.3031948330052154,1.3654060028321764,1.091108002624944,1.3103920519428334,1.3610678869214194,1.110339567867445,1.3157424311577666,1.3879849383842995,1.0972387037882245,1.4180597497085552,1.4082686068233212,1.1931738696855205,1.3159833389453084,1.3605566831181248,1.0944448888549896,1.324796287003855,1.3478075911489715,1.105198484351602,1.368815333833149,1.40687005922668,1.1588765637036633,1.3271057687223506,1.3994549412200152,1.1103028006415567,1.3000094539714901,1.3460174117492314,1.0814500748096876,1.6272530459265364,1.5120156425630962,1.3548310147787526,1.4222786632934137,1.4356813993275512,1.1972890670929472,1.3470129094049559,1.3612955246850418,1.1287522818621634,1.3253002070393374,1.3718840579710143,1.112256728778468,1.310524026962383,1.3577408132202653,1.1018156120895846,1.3199033037872683,1.3551283527109474,1.127293657188903,1.3264354066985646,1.399946836788942,1.1058346624136097,1.328708797780223,1.3873367459216381,1.1159801623371446,1.3374233716475095,1.388544061302682,1.1298467432950192,1.3194714448153175,1.3615431170450794,1.1238033231852693
Pheromosa,Low Kick,Close Combat or Focus Blast,40,1.2665402296481065,1.291795336947783,1.3423488424828383,1.4776825988277253,1.240659013898292,1.4852894483522132,1.4328793480341295,1.2525226069232758,1.4401928094369845,1.2272493351293476,1.2235312402859808,1.2186612786239768,1.383943563217684,1.1994271855209557,1.385067050456468,1.2243382017343678,1.2329986307622092,1.2260421420964553,1.3753416576541146,1.2407137941205388,1.3874980687388514,1.4095259710422088,1.2639910258008227,1.4685372836676645,1.3057532211479574,1.1758075753445045,1.2948665773714274,1.2731026031164339,1.243321348559544,1.2678515930518752,1.3989878738741917,1.2976122283518692,1.398538431711229,1.322368096545601,1.2620188750596013,1.3527358971407903,1.4274236394981947,1.2695739859260304,1.4266501855927947,1.3858587593386487,1.2746768216557565,1.38125136240232,1.1829234849663144,1.186756604097938,1.2014689871397115,1.2176915113871636,1.234399585921325,1.2176915113871636,1.1699717329854316,1.1814524896716678,1.2035116329636877,1.1654771497640153,1.1473926556924139,1.191757799010015,1.256087187666135,1.2507177033492822,1.256087187666135,1.2168986907780384,1.2643878869061858,1.2168986907780384,1.1741091954022989,1.1797892720306513,1.1742241379310345,1.2306147525950921,1.2292025822543373,1.2315409162601327
Groudon,Mud Shot,Earthquake,30,1.528054587808448,1.536185037828032,1.2428064895174091,1.5116463083764382,1.4941327469160173,1.2737105062889225,1.5029314287441196,1.4892077755056128,1.2659104722185845,1.431784271059994,1.4711204365696129,1.2022484716609678,1.4571896007725,1.500497163604754,1.1830751157827406,1.436954206602769,1.5266354784725393,1.2095428267153507,1.5099372164557496,1.4982906583142548,1.2577889517816763,1.4414416760768016,1.4526687266645706,1.2215979804331205,1.3875149977807895,1.41262039382098,1.1542963785380604,1.478612260408857,1.5145724735129624,1.2332199665054786,1.4206073638013996,1.4856817420730741,1.2133616511271306,1.374484141990431,1.4143716808339226,1.2210749576626496,1.4655578084508876,1.4894806654595003,1.2548747474528428,1.4934274409295383,1.5224358762641443,1.252439113001777,1.3551948689822282,1.404182254275166,1.2154221138025034,1.4095962732919254,1.4554347826086955,1.210776397515528,1.409784735812133,1.475516416612307,1.1665362035225049,1.4029929780131232,1.4428456314032463,1.1991481524116496,1.4425039872408294,1.5103269537480064,1.202379053694843,1.4908545822768664,1.5753639828413786,1.2058556188106972,1.4417911877394636,1.4832950191570882,1.2438122605363984,1.4074569929941678,1.4431463888787,1.2000055019623665
Swampert,Mud Shot or Water Gun,Earthquake,35,1.7518769712836795,1.7785112041064546,1.55550104104393,1.7692880170280536,1.7518886927071347,1.522267002434259,1.822576366572982,1.7868636398741466,1.5219521367865767,1.7224121852657757,1.77915414637516,1.4375505129002177,1.7427337232736122,1.7999270143326631,1.466649035297591,1.804058268674882,1.9082534611288606,1.4964437851818044,1.8339382277343148,1.8356335238844335,1.5062376223717293,1.7058270903986859,1.7279742382441525,1.4391758024039096,1.6541495286976198,1.7016972680661522,1.4116892472990823,1.8217131107337126,1.8610360323868749,1.493905735163503,1.7841399792022843,1.8619331300562245,1.5047852371468355,1.6777141119021393,1.737613242136762,1.4929588464510615,1.8649491652842083,1.8876684701876891,1.5040714758151084,1.7105861137349971,1.7411006229068546,1.490028866415214,1.5994625856465754,1.6606758405029511,1.4422064686187674,1.745455486542443,1.8169047619047618,1.476231884057971,1.6251793868232225,1.6780713198521418,1.4283322461404653,1.6592724761137332,1.7107286750316566,1.430781627719581,1.732017543859649,1.8387825624667729,1.4646198830409356,1.7689964757849752,1.8884928798099159,1.502439841171124,1.6365900383141763,1.7049425287356321,1.4773371647509579,1.7365385320764406,1.8002695961559623,1.414004328210395
Donphan,Mud-Slap,Earthquake,40,1.555713372776186,1.5742707538807232,1.3097177843286814,1.5834275509741236,1.5678694605487078,1.3386627198854941,1.5840141433881676,1.560101005013314,1.3411454398318374,1.5085327945290645,1.5480761924498325,1.2483663178254414,1.4896846240110546,1.5468861157068847,1.2506668142781288,1.5117526243724326,1.5818804198995893,1.274669100867184,1.5643243395086872,1.562610784162254,1.304580249167802,1.5434059913569382,1.5474019656175064,1.2891928243613044,1.4893958610734657,1.51960478295857,1.2314893471306332,1.5531221047639108,1.6000821897227495,1.2905215217765942,1.5662839064455294,1.592919964044627,1.3208223910323071,1.5328155571266504,1.5671067558902354,1.262214120122984,1.6298047209602395,1.650214506959278,1.3540250324380785,1.5738669766888835,1.6095536604860392,1.3205592289958847,1.5169226172447385,1.545856220172071,1.2536202817639308,1.5099999999999998,1.553416149068323,1.2596997929606624,1.4738421395955643,1.5109045444661882,1.2504348771472058,1.4980660757453668,1.520720617013929,1.2584206285253827,1.5062466772993088,1.596863370547581,1.2559542796384902,1.533503962748569,1.6116107735731715,1.257164043438741,1.5071455938697318,1.5549904214559387,1.2869444444444444,1.4949657044345817,1.540017606279573,1.2687433517954736
