Attacker,Fast Move,Charged Move,Level,Arceus (Fire),Arceus (Fire),Arceus (Fire),Victini,Victini,Victini,Volcanion,Volcanion,Volcanion,Entei,Entei,Entei,Reshiram,Reshiram,Reshiram,Blacephalon,Blacephalon,Blacephalon,Mega Charizard X,Mega Charizard X,Mega Charizard X,Mega Houndoom,Mega Houndoom,Mega Houndoom,Arcanine,Arcanine,Arcanine,Flareon,Flareon,Flareon,Lampent,Lampent,Lampent,Magmar,Magmar,Magmar,Marowak (Alola),Marowak (Alola),Marowak (Alola),Ninetales,Ninetales,Ninetales,Torracat,Torracat,Torracat,Typhlosion,Typhlosion,Typhlosion
Swampert,Mud Shot or Water Gun,Earthquake,50,1.468076902642105,1.4832099946110464,1.2498015195330585,1.3933115206021132,1.4489629854555255,1.193197907888407,1.3739787988997458,1.394557920025829,1.1792740095021952,1.377787224175909,1.4546569499840338,1.1642161399169757,1.4286323202372129,1.453800795201833,1.2302277781521667,1.4206534172308845,1.4206421366350885,1.2049323277058201,1.4285124669884854,1.486852562976349,1.2222473207338804,1.4438905903474497,1.485358236651932,1.210778027548542,1.4422114153165497,1.4935203345961292,1.200077021592914,1.3519795059114457,1.3952789248684776,1.2016841356682804,1.4287451929574524,1.4592153923652493,1.2413411802287722,1.3414658978369722,1.410827170663532,1.1775219125718464,1.392135485404661,1.4698707281684713,1.222500020493315,1.3408432918565971,1.3808827152888998,1.1982182456572625,1.4018845572515966,1.467503642478792,1.182872860469233,1.42902036369731,1.4240258107768375,1.2332104248722033
Landorus (Therian),Mud Shot,Bulldoze or Earthquake,45,1.1398182935992895,1.1406486478281,0.9665049980645307,1.1308985639762403,1.1363096679984033,0.9782105827001614,1.1081040873366317,1.0808462081430203,0.9850946579431324,1.1235338026249686,1.165328690586845,0.943497883713031,1.1284065637846217,1.1202658534941707,1.0584355414785362,1.1263313923188167,1.110441545080645,1.0857257596917238,1.1239336618449638,1.133270308181836,1.0178422530655042,1.1409199945687432,1.176962418719732,0.9771736342651962,1.1087168739980475,1.134671359610235,0.9473835048407175,1.0896454748955497,1.1168308510380387,0.9410956579362065,1.1031317958988094,1.1535796341118798,0.9283581722794904,1.0952398582046037,1.1463213720463148,0.9252057051359182,1.1048765892565844,1.137780655950029,0.9500946791156725,1.1120872859430824,1.1500708389799186,0.9098496981643464,1.1386320619834147,1.1703590735167964,0.9394599599667751,1.1246794603201207,1.1287605799044667,0.9326489566747675
Shadow Swampert,Mud Shot or Water Gun,Earthquake,40,1.3220833238457392,1.2974140613733482,1.1479761064432148,1.2831941890338143,1.2719250360797132,1.1331042882828786,1.2452955904370313,1.2402817739541097,1.0513172346776314,1.2513693322458674,1.2856672151453332,1.0665171062292667,1.3088314576453939,1.2863754296111598,1.1115489588247187,1.2435841611410547,1.2896744194441374,1.0761124359544174,1.3137760153045146,1.3165284854163704,1.1138552150524141,1.2885204351040238,1.3258482567174088,1.0932939064315135,1.2912043132092033,1.344617892295154,1.086998575996131,1.222945944417058,1.2360133502501152,1.089491930856695,1.284933223575088,1.3236230050005529,1.109901586170461,1.2010773488333348,1.2570920837074129,1.0839850800144386,1.2982105237271602,1.3702896115287193,1.0797845742718726,1.2700736109400024,1.3075951706295428,1.0690603055316004,1.2975803047427117,1.3644112801100232,1.0672667111480276,1.2745076678119502,1.2729405849325401,1.1296991536076428
Shadow Golurk,Mud-Slap,Earth Power,45,1.0712252658423844,1.0980941321128492,0.8934930285159125,1.106969952337249,1.1256836380633297,1.0241247897482437,1.2342534826083242,1.0843343557214167,1.0423388947446721,1.122451760657198,1.1117798166630395,0.9970487915503098,1.2442314172114024,1.118712514320372,1.0411281083630972,1.4636505361667183,1.1483059929293227,1.1888168685517295,1.2483135194527408,1.1191147476065781,1.0419173031928095,1.2124436129927734,1.186651177526666,1.0357467223873391,1.0965546271169744,1.1333190037346517,0.9323195142266046,1.1669346952958957,1.106082768318208,0.991846003410294,1.1057365064933469,1.1151724392131808,0.9366023270386161,1.051470247956832,1.0939625889692066,0.8983923067667503,1.10836045282029,1.1383134821421252,0.9298308891639547,1.0947702353086115,1.1090304299618086,0.9163253049156092,1.0810196217268753,1.1392039651956045,0.9251759964051798,1.129967317522836,1.0982736947959442,0.9729657252995895
Rhyperior,Mud-Slap,Rock Wrecker or Earthquake,50,1.0162579411161965,1.0781337523054852,0.9403678150450471,1.0225843651164614,1.0715981862907324,0.9629496316969236,1.1109211938200914,1.074806838288592,1.0563468776014713,1.011204829324151,1.0757388699169959,0.930708635793216,1.0287536222117393,1.0762871487296988,0.9600394231417212,0.9798009651677764,1.0553065050683716,0.9381597738466155,1.0188936018316337,1.0753373658275398,0.9391082219935469,1.0102137803056592,1.0766621909086795,0.9373232955659823,1.0522940791889448,1.1090124219708573,0.9699884467610629,1.0140614014530116,1.0591710238154886,0.9338629255796288,1.0523276529345997,1.0925040852182675,0.9781425464731973,1.0145497625945226,1.075886452616088,0.9275381098266431,1.0706773450500446,1.1260092957677206,0.9778754170389619,1.039900825428114,1.0845524824442527,0.9798108907231735,1.0429880581162598,1.1069867509089175,0.9870096270374052,1.0747590714824438,1.0733176904382804,1.0068381798374257
Terrakion,Smack Down or Double Kick,Rock Slide,30,1.232573566804047,1.2876592967036302,1.2311785109790436,1.2617220685019839,1.2953623494972721,1.2662699888434361,1.316633272876329,1.282853317380281,1.3012104062014327,1.222402336559798,1.2778142752251034,1.2231264097562762,1.2251853224610822,1.26731585686367,1.2239032279803221,1.2240958038439758,1.2768867360498513,1.225050142248313,1.257477264931523,1.308547158709044,1.2507620187011799,1.2248872259855468,1.2761824298839823,1.2226875669477846,1.2718056189938831,1.326750673938938,1.272925118890889,1.2499616139902865,1.2812522728558384,1.248498904988565,1.2689978007396396,1.3189541841235517,1.2723028344657272,1.212063715372583,1.2689947520894458,1.221800579398943,1.272618471854481,1.330196489904993,1.2717413579690304,1.2418150178637428,1.2924494887273623,1.274377848958975,1.2619316711828865,1.3480439548468797,1.2625171911382236,1.2827704684488395,1.2833738372580241,1.2846224754881421
Shadow Nidoking,Double Kick or Fury Cutter,Earth Power,50,1.4232043779553856,1.3184522318616176,1.2092431936000485,1.247228770969734,1.2570581471915825,1.1345645357743577,1.4608738727617456,1.2678704257629136,1.30525247921197,1.3266973516412663,1.3154213353455517,1.189564803534128,1.4795319765482848,1.3114883078374553,1.2444992924051486,1.554732322742358,1.3360060824972533,1.343385848266962,1.4594254671809073,1.3244428827592747,1.2700265207606523,1.2822473334037385,1.2343828734366278,1.1022434108293229,1.2972585686522118,1.3341931092542338,1.1392389191900194,1.4057280007758015,1.3143046475356184,1.2101209765400873,1.3681365261515401,1.4088904178594686,1.126979641483702,1.2619512601464231,1.308414242477532,1.0933332099256778,1.3828479150101236,1.4610012214015788,1.1485191530522743,1.2704509055069606,1.316642540347419,1.0983583836392756,1.2847533326978853,1.376271463391386,1.0938602105148492,1.321687756641247,1.2896421687756643,1.204592307047683
Nihilego,Acid or Poison Jab,Rock Slide,40,1.3191763250373811,1.3935742423207413,1.3193159824213858,1.3380933534856585,1.4390073728851147,1.3349459742546084,1.2772349308542796,1.370815093360175,1.2756712784915503,1.3298356801304958,1.4233367164094104,1.3242363163386304,1.3413050070759485,1.4276770671878158,1.3538142731990026,1.4110942403533986,1.5309911808302068,1.4319069395969217,1.3474386968852747,1.4289670289218517,1.3597397563213391,1.3208786566691308,1.4133910655824269,1.3217868835146267,1.3960432395640219,1.4707452286914389,1.3933474838120314,1.3627760762224934,1.4268928343421448,1.3573616285365637,1.5367055325527392,1.6287673084247645,1.5418658082588985,1.3416232425978545,1.4301805762520479,1.3362920318761975,1.599478650064349,1.7131755621316327,1.593306063562066,1.3608014044597758,1.4433673155106566,1.3554961808549957,1.3703890303517205,1.4729775732240362,1.3666171924998978,1.3542780524595661,1.4008799128467277,1.3498282074918295
Terrakion,Smack Down or Double Kick,Rock Slide,40,1.1510455328612306,1.1973783880198252,1.1517225675706446,1.1713675490701156,1.2012190337119286,1.1652365566818264,1.104215530803002,1.1406084316946636,1.126051271337999,1.1404376575011745,1.2035560943166355,1.145176675893854,1.1386245703888402,1.183501246714738,1.138830109845677,1.1460431054126554,1.1787320159101524,1.1413323286082677,1.1465446321255373,1.1864707867267916,1.1497377205531711,1.1167840924520616,1.1644856147126714,1.1136309460947755,1.1643515408796583,1.2200578557546773,1.1693579444190692,1.141009996525056,1.1760261186491359,1.1535359575895203,1.1649690997776168,1.2155398016979764,1.1634578761779557,1.117194080134761,1.1736808492914859,1.11661097896208,1.1987687616299563,1.2584043085145624,1.197604741333377,1.1363650363434765,1.184142848342984,1.138228409510903,1.170822042783807,1.224962213537766,1.1711216111330491,1.1576803821335793,1.1772395876979804,1.180558116148496
Landorus,Mud Shot or Rock Throw,Earth Power,35,1.2461537293834581,1.2592329469985046,1.0453673975909101,1.2338408944357064,1.273332400776524,1.0583996642795486,1.3080141931522156,1.2229439079280975,1.1611733090239202,1.2131704033047026,1.2675267408773896,1.036856546048818,1.2898106341397668,1.2640996697890694,1.1564846013882337,1.3847969154338855,1.2559386696567767,1.1536733004090345,1.2505640193314314,1.263199725589606,1.11123939239292,1.2401520751927342,1.2880406740793267,1.0808472760738048,1.2669872914371691,1.3136301351460276,1.0583572906311292,1.2298796699611292,1.2466725390527142,1.1574876962737286,1.2574608986251552,1.2955240751434434,1.0483714415598777,1.2149421989393112,1.2720676027137343,1.0478513184565406,1.2852013673139822,1.3365986015361788,1.0759564230148126,1.2361632992484908,1.277850498952815,1.0228763705802637,1.2537207750650199,1.3248682580100493,1.0339737741526982,1.2474231123774409,1.2640995558535155,1.093924411296405
Shadow Golem,Rock Throw or Mud-Slap,Earthquake or Stone Edge,35,1.2330638856631069,1.2203064872372884,1.070520906862187,1.3391305386197931,1.2641495593669076,1.170417364662693,1.2797117688579958,1.2059653021109307,1.1793642202154295,1.2011520085912504,1.2426967251959167,1.0232679701340146,1.3264724711907812,1.2458622548689264,1.1677673697688524,1.2071297877668707,1.2228910362129686,1.0964084839104862,1.210618343665554,1.2461243714914372,1.039217818827788,1.2482899084229744,1.2748698761371695,1.0601813436326057,1.2215535076170774,1.245913825375928,1.059279758546262,1.2170951084101729,1.2241662154626929,1.041408402899558,1.200562715779386,1.2537012691820963,1.024290154931135,1.180918708292069,1.2086484085040217,1.0270910655942542,1.2381733078669737,1.2646998549073292,1.0593076538433164,1.235454909449304,1.2428314032277934,1.0494332881606505,1.215852612372173,1.2575470798894322,1.0517436239600213,1.2499371490823767,1.224285594569681,1.068323137517808
Nihilego,Acid or Poison Jab,Rock Slide,45,1.284746225835098,1.3581604693702514,1.2744055073585778,1.2607752958877656,1.3580011668332759,1.2673310565300016,1.2169266950909545,1.2935187559151324,1.2193196529578036,1.302544629146387,1.389071376125517,1.296477465255673,1.277260934025204,1.3494305546195835,1.2749730440056608,1.339124039175253,1.4754883933949856,1.3495788953589374,1.2777847495865717,1.3552945310343096,1.2814128788829489,1.2871324472338308,1.3816363170043602,1.276653138813874,1.3562786032223686,1.439246979589278,1.357881727074881,1.3007362032599825,1.3583798679521266,1.2845332665282079,1.500129006892654,1.6176358565443354,1.4935926576648524,1.3185120738965042,1.3913071647399646,1.3145044102810919,1.5622955791820707,1.6740333303276471,1.5638366764761336,1.333212701737095,1.4117438708882593,1.3244733275840828,1.363417257860265,1.4603412355832732,1.346055910347363,1.3123020196094863,1.3707282326321966,1.3211262884438113
Mega Aerodactyl,Rock Throw,Rock Slide or Earth Power,30,1.0969920531912472,1.1246943097206092,1.0974762999901329,1.0800935513696643,1.1206751256392846,1.0854705374597835,1.1489030693799518,1.1162879399354915,1.1320162569201113,1.0758507351580249,1.1232897330081784,1.0771931180503718,1.1093200350427928,1.1514707864411349,1.1055849450771615,1.067322595710215,1.1068994380007176,1.0629479806605466,1.1092817084835758,1.1424173213195123,1.0991000789208756,1.0834452272830137,1.1248344220991808,1.0838163631700437,1.137841783318556,1.1713103522394477,1.1321368118434134,1.0856614111505298,1.112499292889295,1.0754062856080748,1.1028492093720437,1.1442297059871485,1.0998636212849087,1.0890108567885008,1.13425210332923,1.0892607572910786,1.134214819126001,1.1859563410415521,1.1268946069792034,1.075405014167796,1.1113172970309226,1.0787159664900825,1.1020574898895683,1.1504377782921882,1.1043995697109166,1.1014078605547641,1.130478504986173,1.1102572697561386
Aerodactyl,Rock Throw,Rock Slide,30,1.4773732267686772,1.51301621999074,1.4775402084234655,1.4434256450848002,1.4634579888843777,1.4422485764292854,1.472833914163715,1.4664463626090838,1.4932500229483394,1.4222160300856481,1.4840592031533795,1.4336506916322764,1.5530409731113957,1.4937226228182492,1.5769442010917178,1.4266298768835775,1.4756982124767901,1.5339512091670633,1.4000117126387739,1.459380847604626,1.424998675356329,1.4236561410919844,1.4601903957274114,1.4274489688155334,1.4432950912168516,1.499082010084455,1.4469491388806792,1.3959415886151136,1.4316042119554238,1.3926040260863242,1.4596945608236782,1.5082257252030322,1.4633927584130924,1.3936580805790286,1.4440639375063633,1.3972307322084725,1.465067095113574,1.539097146510808,1.4818880081317474,1.4107428853024515,1.4548478501909572,1.4057610570407786,1.4407875924236442,1.4975966448344884,1.4394259181089066,1.439495516634543,1.455258526774491,1.4617447414732256
Rhydon,Mud-Slap,Earthquake,45,1.2832676791827007,1.3192400816692094,1.067135733315117,1.2984875520724937,1.3373069351520466,1.092432301493342,1.3811434287034663,1.294245189553283,1.164337014563491,1.2698291309291119,1.3271387108649624,1.078159226950167,1.307294965968057,1.3003083091852552,1.0910893591212345,1.2987440184640793,1.3091560083837388,1.069323773404416,1.2865050880260578,1.3097937181214043,1.0960520041161559,1.2810856479036858,1.3157853446585097,1.0934568441380144,1.2777792704443072,1.3364500210465982,1.0787053207591104,1.2526365127724397,1.2822705122714013,1.071616172227924,1.2922067550466267,1.3300979223747098,1.0883390055411533,1.2276686134224337,1.2784076710198717,1.0377719981859075,1.3111622988581124,1.382561008598995,1.085153822822995,1.2621658248121226,1.291787298262905,1.0851299741283724,1.2672422010103623,1.3614292133607484,1.0603357888860143,1.312905388418671,1.2951395290371241,1.1052040559792173
Hippowdon,Thunder Fang or Bite,Earth Power,45,1.5443571585794413,1.6078663539555675,1.3226799037578463,1.4364280572225956,1.5127413417217954,1.2626210760113408,1.3487609479405054,1.4070703042158474,1.1719321235601896,1.5320493915547844,1.6021949994203346,1.288921476702538,1.574924186265921,1.6447166251095087,1.3416604892512973,1.4001407818355334,1.4761291312361955,1.2267444877368643,1.5943857418143994,1.6577539063044673,1.3589979558656617,1.5049711087307456,1.5871067996318815,1.2831978033583273,1.5933439014123612,1.6573434715244006,1.3432207564236904,1.5424306829477223,1.5897141656497742,1.3059324567854345,1.526642994925729,1.588529444287452,1.309985133491418,1.5126014642318337,1.5791582980850216,1.3068778171653879,1.5685665335967407,1.6439737357673927,1.347894516808617,1.5254943328816064,1.5839133916471602,1.3028289392632746,1.5397949318482005,1.6535628208445103,1.340445812170645,1.5640576552417667,1.581060923489483,1.3719936311070142
Swampert,Mud Shot or Water Gun,Earthquake,30,1.6408862171824121,1.6297667569885617,1.4301933192157934,1.6945899195157983,1.7139057867424539,1.4773354577432352,1.651471700740994,1.651780316338901,1.3917360656100934,1.644866504089183,1.6964404480304598,1.3653864537294853,1.7686855583260328,1.7247338095559,1.4838415661432711,1.6036878523776112,1.6599554642077976,1.3710932476609685,1.737291089749489,1.7478408308165103,1.4535496267293573,1.6175670986527466,1.6329435903625364,1.4198059834346666,1.7044788951879417,1.7749357407059119,1.4058679706601467,1.6398099286424284,1.6361329529751178,1.4106575725495585,1.6204125763290782,1.6748534850290573,1.4448403386123774,1.572457262386272,1.6391529298520033,1.3780161602325,1.632563057930503,1.7037486371945472,1.4095793952012854,1.591305285203893,1.619787175064679,1.3901456819021805,1.6002396546793938,1.6918258690886314,1.4107218235542422,1.7047766697393782,1.6815302103410712,1.4630771809268417
Golurk,Mud-Slap,Earth Power,35,1.3927029016857557,1.4093722248787486,1.1768958110374874,1.4033490162094295,1.4285416972306475,1.2277969027741291,1.542247101387346,1.4066319118024102,1.3256812491493288,1.412142056652626,1.4217034838903884,1.2718874513640441,1.5904424152570928,1.416000067389986,1.3182475234180202,1.895259668034627,1.4641401140242623,1.5947942306520861,1.5121072431515923,1.428844325087078,1.338863372068703,1.5575728316461235,1.518805726958647,1.3225412247484272,1.4092354263503408,1.4490269306895223,1.1891775705956635,1.4449787058661905,1.4057845696322218,1.252014255351818,1.4126254745610693,1.434532073570788,1.2025899669496627,1.3517673518876743,1.3998315485501143,1.1531427302092685,1.420039183218434,1.453582641342394,1.1931535932978663,1.4079401256621904,1.4204293458174202,1.1579786251077984,1.403287081795776,1.4483448848704368,1.186917033184003,1.4545043157630102,1.417137350205313,1.2508170619291044
Tyrantrum,Rock Throw or Dragon Tail,Meteor Beam,30,1.2396839492679372,1.2631494258108098,1.2399693360961206,1.2632846697895947,1.2755415368763667,1.2654409230947694,1.1671477904705834,1.2121107091195118,1.1726015820110343,1.197932323563091,1.2435875792972015,1.1926177076574809,1.3542202978637374,1.2638958150818789,1.3750353797425703,1.2173861054645463,1.2493868996184903,1.2391238135633371,1.2057269226157112,1.2490413762908303,1.2250918187218165,1.225590272015449,1.2748698761371695,1.2331638580028061,1.24217021772034,1.2942851769257637,1.2498634210125652,1.2077289220400347,1.2317383609577917,1.2063874320163566,1.244621641213402,1.296113820938433,1.2512562814070352,1.2033357089307035,1.2605814351693307,1.2086854308006998,1.279414055135215,1.3290816535646073,1.2843078587764671,1.209544782555131,1.2478825304915608,1.2163591844277442,1.2456460463786272,1.298029657266575,1.2360053922302863,1.2429313667979554,1.2711137182602867,1.2672504818570351
Mega Aerodactyl,Rock Throw,Rock Slide or Earth Power,40,1.0,1.043304415146754,1.0004144181068835,1.0,1.0386675582819573,1.0000119412762154,1.0,1.0183301838715906,0.9887474005070792,1.0022942543978293,1.0467474672692474,1.002042049127146,1.0,1.0356425635150617,0.9956954646539524,1.0,1.0309562109832393,0.9909868039590379,1.0,1.0280155164576519,0.9950165510740768,1.0,1.0411809966356382,1.002718645806617,1.0280143654226783,1.0676625737750431,1.0303966612035071,1.0,1.0343130520514292,1.006683206322782,1.014620781167451,1.0550183681242398,1.0164883095182513,1.0,1.0476291846764714,0.9875605083161334,1.0367650072546335,1.0823667319720307,1.027370871621677,1.0041810397930269,1.0487402981397067,0.9939709868177898,1.017987717697681,1.0771252331867265,1.0045071419817808,1.0,1.0314422190563983,1.002706779518981
Aerodactyl,Rock Throw,Rock Slide or Earth Power,40,1.3358395761701998,1.372103437545066,1.3328779288202746,1.3024213496371557,1.3540486044059896,1.3073394495412844,1.3636156453864343,1.3478303532145084,1.365954793354161,1.2849553454296947,1.3287007564124207,1.279290896406685,1.3437731653076352,1.3495265853494172,1.340668171709684,1.2895819185586106,1.328730098208867,1.2960908223328724,1.2991798364134786,1.3295044159436902,1.2911287916182126,1.2883574973975227,1.350949715613355,1.292153342486007,1.3430058124434652,1.3864871884431786,1.339817476736792,1.2889456373289803,1.3225798631033676,1.2794097443895818,1.334250715681095,1.3792188325490533,1.3308596773599046,1.27803744805309,1.3354127523300907,1.2865710874374092,1.3551327556950923,1.4213589527096262,1.351263617807871,1.2931501786374275,1.342945361586793,1.2843646051496858,1.340187094050845,1.4116341453451164,1.3395471071229184,1.3156624486717508,1.3447582334702088,1.3288192407609152
Excadrill,Mud-Slap,Earthquake or Drill Run,35,1.2061555510015103,1.2422387685861966,1.002774931499571,1.3859539885568455,1.3076209224806465,1.1513914998584105,1.312524728813935,1.2543514799304902,1.1323533601116715,1.3282878719773503,1.2855004342405265,1.1062313007080051,1.296822562167262,1.2615321113282567,1.0513174742233304,1.3129823864777241,1.2599951719049993,1.0766178066460759,1.320583289410938,1.2796057860435543,1.0858034451890337,1.29936484468114,1.3116093115881902,1.0938189279302386,1.2794809102877562,1.3089192795794262,1.057748282687158,1.2309948845591268,1.2800158392797978,1.0620641167581197,1.233932498679215,1.281775626297748,1.0672187342580874,1.2648667660098294,1.27276177077645,1.060457410475459,1.2533465583526653,1.2968333729537425,1.0659884745595987,1.2448949735123813,1.2595709621781446,1.0374522606874461,1.232682906902327,1.3056686501722519,1.081918326774602,1.264359339646359,1.2727981228525937,1.062281069303612
Shadow Sudowoodo,Rock Throw,Meteor Beam,45,1.2442592466091338,1.2496891864198374,1.2456436763288323,1.393494051538548,1.2883613498418633,1.4036833719434598,1.3218686595321072,1.243234987829467,1.4970056373782552,1.2266084696224853,1.2532995161319846,1.2396173801974115,1.3892074937664263,1.2804484803558192,1.4024327784891166,1.2344829764528844,1.262361840902989,1.3720024636821218,1.2405441357327511,1.2815355827177226,1.2541084869222812,1.2808593455335455,1.3003153146357287,1.266185899853658,1.2733908308480435,1.3043696319979938,1.284800773798329,1.222145899161973,1.2459775502452666,1.2356739371115943,1.2683097639788183,1.2954503569190696,1.2617979874924745,1.2210786446137185,1.267393537758115,1.2235591384911564,1.2803649449549557,1.3263437466698362,1.2990138616783204,1.245988357767648,1.2641754958728595,1.2334760379450536,1.2616729530630864,1.3049333460422936,1.265812442979888,1.2615519986591806,1.2736947959440208,1.2629933797033437
Garchomp,Mud Shot or Dragon Tail,Earth Power,45,1.1793352612124386,1.197811022307231,0.9622894702886505,1.12691188361691,1.1850283690604946,0.9239255410251074,1.0790261674374144,1.1154681302959228,0.9051283999151704,1.1001865098654973,1.1530519888622899,0.9287601466858396,1.1111901071500776,1.0818855718040299,1.0081845137812522,1.091476607428498,1.1321025451280236,0.9202574683184467,1.055793991416309,1.0930513376112352,0.9497165262544376,1.1080005431256883,1.1611725480138195,0.9359805681698173,1.1482038743652436,1.2041609572171919,0.9820611336503757,1.1252030417882224,1.1645668845914516,0.9284646404241049,1.1390202847980735,1.167647528596528,0.9697386688945953,1.1244504502836834,1.1997723128754292,0.9349795914589561,1.1728324220639228,1.217639006156192,0.9870482248690476,1.114974744363681,1.1755035727485523,0.938855180485401,1.1481229319571344,1.1983278639415025,0.9641334985498169,1.1491242772144474,1.1896337886533144,0.9533478588787397
Krookodile,Snarl or Mud-Slap,Earthquake,45,1.2870854870171762,1.2970542918080317,1.0722377818764184,1.2519438691782014,1.256809086287662,1.081910331251002,1.3401323723518408,1.282655486868802,1.1716630740645784,1.2764515531980238,1.3094375619072414,1.0974549640709184,1.2697755913471258,1.2795505087943932,1.2006637913606037,1.335489431209799,1.2443489855360201,1.1895072410144414,1.3168659209619982,1.3349201170148388,1.200776938371999,1.278729085889293,1.322520103193881,1.10623236727366,1.2592582641482397,1.298996032492365,1.0652713219950383,1.2536224271271912,1.271692136120831,1.0958842116321732,1.229509405216793,1.2721799707584376,1.0754014571635684,1.2517701285599252,1.2920596429199485,1.056523791453403,1.2502069824823143,1.304538859424056,1.0665786820339205,1.2463117531107553,1.2930577799679683,1.0570330787236664,1.2855022535709908,1.3567995206906411,1.0799711325045276,1.2891309813123273,1.284748177323389,1.111028241012319
Tyrantrum,Rock Throw or Dragon Tail,Meteor Beam,40,1.1295808001457295,1.158561225341743,1.1296749170784282,1.1514938536545423,1.1799311500131353,1.153467576023282,1.085747656895422,1.1106711360535821,1.0829669512260744,1.1099981084604698,1.159155763195522,1.106855712144294,1.2517100208908956,1.166193813599299,1.25093166655435,1.1318837015695822,1.1612200189965234,1.1413729387531333,1.119028297177533,1.1645291100904382,1.122865580737729,1.1349546640918486,1.1752123470573148,1.129870404176033,1.162972317006547,1.2078866528744279,1.1621483650823503,1.11537622330152,1.1345773094235634,1.1194653434941775,1.1324102173458983,1.1497340000737182,1.1268076322934968,1.1114278574271355,1.1653600881130661,1.117906759345816,1.1400021313047684,1.183874220229361,1.136354321220418,1.134794258962671,1.1727162128865345,1.1367038314648268,1.1592205776222444,1.225724751154019,1.160446084505508,1.1182267661107854,1.1346434257940168,1.110357831224336
Shadow Mamoswine,Mud-Slap,High Horsepower,30,1.133407716070466,1.1010330092371214,0.9333409234085509,1.3281616234676783,1.1333652904630145,1.244081391738684,1.2338277513476215,1.1052537453272433,1.0350254963963195,1.185401382654379,1.1133866083069093,1.0138041707429681,1.2179863872228587,1.1100832266325225,1.0132168609744592,1.1960815722443197,1.1159938543314103,1.0032646044233473,1.2254264655439266,1.1370239300365044,1.0139017867351576,1.147187061539158,1.1328575954618831,1.0764841663775027,1.079905424648701,1.105456890297966,0.9203184753307002,1.0777498525169102,1.0628641620132049,0.9598603557372943,1.1217087884409824,1.121524492880048,0.937364082023811,1.0666493895948834,1.0913802837759041,0.9014836685393779,1.0907689911550853,1.1142953168676377,0.9353722815617546,1.0733568436614513,1.079316557841567,0.9026734015030183,1.0996609430956303,1.1285692887975054,0.924454309018369,1.1299421771557865,1.1224335875303781,0.9482192240006705
Shadow Golem,Rock Throw or Mud-Slap,Earthquake or Stone Edge,50,1.110015104249683,1.120285994034201,0.9474478372080667,1.0871167276809017,1.1081862566146141,0.9499404642085834,1.1784937659649224,1.0957816204376327,1.0232696160821964,1.0634621681924408,1.105450277934276,0.9227377288915375,1.0953686232225892,1.0926106880517554,0.937492418626592,1.0778992823284954,1.0856061853762868,0.9215976030990053,1.0801618575129606,1.0913530049890263,0.9499758775415729,1.0920779083626269,1.1271728799239624,0.9459952023897531,1.1111081257780524,1.1461977305498088,0.9393589295789785,1.0802792885254116,1.0925870554293982,0.9295960175525081,1.082687275005836,1.1251489722450885,0.9372780774287084,1.0560054792999083,1.0938885443758504,0.8969854594929797,1.1226811813986277,1.1695616889770557,0.9377085194809452,1.100352654921769,1.0950012319822595,0.9422123321424171,1.0914364302346165,1.1488582360870927,0.9213905418102099,1.1163663789491327,1.086080616777005,0.9765943182770469
Shadow Flygon,Mud Shot or Dragon Tail,Earth Power,30,1.7536474106458395,1.3953852342676716,1.4834452869427934,1.4312967202431925,1.4291182902821893,1.210857349514331,1.4907399494186948,1.3726462125744239,1.2899957901667158,1.3875947549439351,1.426017414367158,1.150023491700616,1.3592863400498687,1.308417009232428,1.3052277781521666,1.7393753708495867,1.4181062587001596,1.4634001069400482,1.3418835596382468,1.3492569446187397,1.2789476472934045,1.4073171099678652,1.4163450658539898,1.2148424181162591,1.3845795606186804,1.4207886652874429,1.1775168596684489,1.3608527351042081,1.3937273219495245,1.2162708193594791,1.3895148112199138,1.4163359585212125,1.1758548242434668,1.3660209361087716,1.393287857612247,1.1312718084466369,1.4217032404029806,1.4530908017804591,1.1938667606626718,1.3480349882961684,1.3913314648269064,1.1856443267216952,1.3860074347417586,1.4753605032748267,1.172496902190934,1.4421017346853264,1.4093103159306126,1.2099472052291964
Golem (Alola),Rock Throw,Stone Edge,45,1.3926300369636662,1.4198298305136203,1.3912623054094466,1.3621362601969969,1.4015066478790588,1.3737704750239679,1.388645161698747,1.396593200327924,1.527354420483213,1.3617559181797287,1.4302052422085858,1.3786129930460498,1.3542556776063077,1.3763612777141316,1.3542068198665678,1.3410800944862704,1.3747459045796964,1.3387743407055788,1.4014367503562595,1.4372523264925945,1.4229127101651762,1.3481978787924507,1.4018255057857973,1.3523859813225112,1.3693543620193986,1.4319030602649185,1.3771998172976168,1.3902119715862717,1.4228360392102988,1.3963779769360691,1.3854480225086312,1.428057156196631,1.3893550884004373,1.3312847662504743,1.3848004960987754,1.3315254111788826,1.4095875925273176,1.4764039970161733,1.4087186759678993,1.3364851546137735,1.387042626586177,1.3375785388690402,1.394803850814962,1.4748158335489319,1.4022522093165757,1.373996480348613,1.3962457051872958,1.398080951981899
