Attacker,Fast Move,Charged Move,Level,"Arceus (Water), Tier 5","Arceus (Water), Tier 5","Keldeo, Tier 5","Keldeo, Tier 5","Manaphy, Tier 5","Manaphy, Tier 5","Phione, Tier 5","Phione, Tier 5","Kyogre, Tier 5","Kyogre, Tier 5","Suicune, Tier 5","Suicune, Tier 5","Mega Blastoise, Mega Tier","Mega Blastoise, Mega Tier","Mega Gyarados, Mega Tier","Mega Gyarados, Mega Tier","Mega Sharpedo, Mega Tier","Mega Sharpedo, Mega Tier","Mega Slowbro, Mega Tier","Mega Slowbro, Mega Tier","Alomomola, Tier 3","Alomomola, Tier 3","Azumarill, Tier 3","Azumarill, Tier 3","Cloyster, Tier 3","Cloyster, Tier 3","Crawdaunt, Tier 3","Crawdaunt, Tier 3","Dewgong, Tier 3","Dewgong, Tier 3","Floatzel, Tier 3","Floatzel, Tier 3","Lapras, Tier 3","Lapras, Tier 3","Lumineon, Tier 3","Lumineon, Tier 3","Octillery, Tier 3","Octillery, Tier 3","Poliwrath, Tier 3","Poliwrath, Tier 3","Sharpedo, Tier 3","Sharpedo, Tier 3","Slowbro, Tier 3","Slowbro, Tier 3","Slowking, Tier 3","Slowking, Tier 3","Starmie, Tier 3","Starmie, Tier 3","Vaporeon, Tier 3","Vaporeon, Tier 3","Walrein, Tier 3","Walrein, Tier 3"
Shadow Magneton,Spark,Zap Cannon,40,1.367743851324226,1.255528819606868,1.8339452485813292,1.400313396231614,1.4092193566415927,1.3266375384123092,1.4243232751836539,1.3489919912177901,1.6509005613037566,1.4537651878791613,1.3605550558686061,1.2825776588870021,1.5557055014264016,1.307963769600274,1.6518600699662964,1.4049025115362326,1.6562142976188434,1.4076250449097618,1.3993387795322692,1.3262327862916925,1.3376151625778376,1.2617586421512579,1.3190624657117898,1.2788243937173533,1.3056671540774911,1.3029895952109465,1.4109238592640174,1.3629683874367504,1.2948250498741896,1.235932667762905,1.4095295932258778,1.3229481321410028,1.3265338233699824,1.2586062893127332,1.3295237556644528,1.290176079270562,1.3420606298881987,1.278952970176145,1.552113962222046,1.4260156406154327,1.45100405558722,1.3772979398064311,1.3076539898028454,1.2689856603174794,1.3278027978629978,1.2608218877954542,1.4162393483969782,1.3472962022620305,1.4199043462121974,1.2943587357548085,1.3752799752488103,1.2960658287843323
Shadow Magneton,Thunder Shock,Zap Cannon,40,1.4240060994591717,1.3074564116745513,1.780171223180233,1.343184453342434,1.4189486339014574,1.3666582389619701,1.4306315278397963,1.3541857579250225,1.629056190432554,1.4063369688504301,1.332696100344595,1.2653822910732184,1.6101903556651576,1.340309076111069,1.6061080495791167,1.3589102424772044,1.6952935180144466,1.3895228722766026,1.372372626843693,1.2988925527333208,1.3229035535544464,1.2593486999700032,1.3142643055360035,1.2762696510353342,1.294389538432913,1.2903122948412287,1.4232576582383158,1.3428229254046915,1.2921768531464546,1.2447004635073629,1.39513381575681,1.32132680641868,1.3430534443044748,1.2558946551212202,1.2975448095211164,1.2628918233687727,1.346595084413874,1.2617120181803771,1.4798767650608244,1.3812250726350601,1.3654328468643526,1.3508962317051652,1.3299141673531236,1.2784570886803412,1.3620049613137961,1.2723996396407644,1.368397865389914,1.3099151385360592,1.4328594723163197,1.2843151414301457,1.3913078158204364,1.3003411949590686
Shadow Magneton,Charge Beam,Zap Cannon,40,1.4885521011880112,1.368109929042992,2.034931382854268,1.524906150705751,1.5361534328611726,1.4421749008798228,1.5332513837898474,1.4402621526652013,1.8399455545030896,1.61529730386408,1.47953633728552,1.4112652349679145,1.7172169665676265,1.4492233424209928,1.676388624963717,1.4827652941382705,1.7949010711171054,1.5203220637883355,1.5066520696546717,1.4026079610223532,1.3804585002672014,1.3179362677568562,1.3437446046575072,1.3119774881280233,1.4021694944264962,1.4057855853287724,1.5024017821149551,1.4475915005867266,1.3824372136268486,1.3190004344822779,1.481186990624916,1.4005487496595772,1.4068569252777063,1.3288621220018768,1.3814351012901305,1.3520765491254187,1.4126294454220312,1.343364592188766,1.6083545478302486,1.4986599306068842,1.4459277092921607,1.427559091003252,1.3742383164762386,1.340433445170774,1.421246577534761,1.3335544182726686,1.4783171821413503,1.4243270109544353,1.5408753575601797,1.3959930194594965,1.4571211987765926,1.3759486695554461
Torterra,Razor Leaf,Frenzy Plant,40,1.3328076792646602,,1.334198861930019,,1.3207279654614852,,1.3513891409244752,,1.4217344612832934,,1.3710206621306806,,1.3892775437825922,,1.328927030608282,,1.3287228633798014,,1.3784704781007149,,1.3518771356438108,,1.3708322168445912,,1.3998767794779499,,1.3299746245485389,,1.4532667974686024,,1.3512973080076833,,1.3870762347727448,,1.3974939943890257,,1.401104002931488,,1.3503803928132037,,1.3390798802341712,,1.3527304311199169,,1.3479883009704312,,1.3773492964517935,,1.343697392183749,,1.3939584815355974,
Torterra,Razor Leaf,Solar Beam,40,1.4953924915353847,,1.464349915434305,,1.4627489181286775,,1.4725982331502236,,1.6485584794398245,,1.5177725225754153,,1.4870138090968519,,1.4697879577182278,,1.4811674813894422,,1.4980026528631456,,1.480572171000476,,1.517587072735659,,1.530060495783774,,1.46514659765847,,1.5537039981385818,,1.4582294164557914,,1.4991839549031067,,1.5133672483360092,,1.4955342522224724,,1.4911966444391591,,1.491267667311826,,1.4446772481872678,,1.459953626464564,,1.4978581870981174,,1.4825218813506638,,1.4668030692077285,
Torterra,Bite,Frenzy Plant,40,1.5925547851760964,,1.6828520370184188,,1.552426750719404,,1.585136683386711,,1.7787368118990776,,1.6491600165612867,,1.6638934503736296,,1.7307983293909845,,1.7450113277990456,,1.3891651793538993,,1.6823085663228479,,1.8453948530673356,,1.6499140617756765,,1.7572203883237263,,1.7722043466861674,,1.6369187453577623,,1.6909143453619817,,1.7238066435048016,,1.6907992121626212,,1.7299045127419113,,1.7363158676085189,,1.4593405083341984,,1.4801501872558995,,1.4636872677933708,,1.5840117965947857,,1.7210336181075125,
Torterra,Bite,Solar Beam,40,1.9434339533057954,,2.0185684732541236,,1.7983099439606038,,1.7885171903679042,,2.2445723812411478,,1.877367569796636,,1.8758681389804486,,2.122146318409138,,2.1274860099363107,,1.5076307693377635,,1.8922798217239147,,2.1209474682100447,,1.87363509800747,,2.0727634081631425,,2.0478976426069315,,1.7819927335011536,,1.9040771768837046,,1.9169175868713364,,1.9030661531473416,,2.027238533160681,,1.9703929593050333,,1.616140540597057,,1.6031570584110197,,1.6159678227381182,,1.7539032591754935,,1.8890634821340522,
Luxray,Spark,Wild Charge,40,1.2664291289528857,1.2635297767139266,1.2527380058227613,1.2567973173197786,1.2907821435736502,1.2870285279450013,1.2783908329900053,1.2817559679829011,1.3255000010039906,1.2625341708854627,1.2571879665128909,1.244852820293526,1.2429870694408487,1.2410784155382242,1.316070643651112,1.3020318785684613,1.3183445983641089,1.2899106838882772,1.2873210081144892,1.2918991931184018,1.2803695767818315,1.237892821809937,1.2643618924572375,1.2425577152244427,1.2627146473073347,1.2969147360146507,1.2830951050759267,1.2872095415131792,1.2460055962747283,1.243907265151601,1.2937821236011444,1.2749609424319863,1.276083415938489,1.2462547567001374,1.2801716076186633,1.2773487399289876,1.2874725459285528,1.2722765038626866,1.2883058352345633,1.270928784601864,1.2773485447855442,1.2918205293599547,1.285995200899775,1.288409200272586,1.2991411317599244,1.2848542101341447,1.3080941495860872,1.2813423955586742,1.2985444532739305,1.2951001892591596,1.2637213654406245,1.242585441221961
Luxray,Hidden Power Electric,Wild Charge,40,1.3532055383788621,1.355954040904206,1.3109324505748399,1.3522042130967193,1.3272288812284678,1.3302035438827458,1.3117362204204168,1.3353047542763077,1.366883032723339,1.3309807280999695,1.3233912455980072,1.3318953500074913,1.3152830535010622,1.3354134438764684,1.3747777963325172,1.3710735929976137,1.3736055255938557,1.3557906358908518,1.3245592850168704,1.3517306085132168,1.3155088401923913,1.286777870971704,1.3007963129305005,1.2961668500390873,1.2900172110627248,1.3419082141252894,1.3165277374823954,1.3346989666437528,1.3071501545809128,1.3068966164618125,1.3348111275746946,1.3319797683604515,1.3172783492262385,1.3066998882800978,1.3377054672984134,1.343495081423068,1.3242246061767364,1.3221548709742414,1.3240998887156492,1.3171695122949165,1.3240138888880864,1.3351281825993968,1.3321961073964843,1.3360220281071757,1.3377006203808954,1.3325718135876716,1.3356865557101203,1.3244474695330792,1.3498364052567606,1.3395865848435862,1.318634905651145,1.30864260222696
Luxray,Snarl,Wild Charge,40,1.415271305888328,1.4308456480808927,1.4766059040885042,1.5248930086250203,1.3856903367576383,1.3876453470428387,1.3831836318270552,1.4037874309132825,1.4665464859507946,1.4160431139766503,1.388609331261993,1.3967829358340473,1.3944129755937382,1.4007655086256443,1.5327784399900275,1.548784421686333,1.5316390022543178,1.5279218835149064,1.282383173883083,1.2894392416751328,1.398814517426431,1.3915576852075062,1.4792847411525873,1.4893334784217134,1.3936716852205309,1.4435553151238727,1.486401207291236,1.5139149470954556,1.4002577480321365,1.3760463483522751,1.3924920178032971,1.4136938401339545,1.398777977716906,1.382376272208312,1.4195819389906965,1.427988535264889,1.387181229316406,1.4035267030870788,1.473969298438789,1.4837642229514794,1.4926662702056295,1.5354869181530046,1.2621721716413952,1.2611788308256056,1.2747759137942962,1.2609514262683807,1.300661707459687,1.2790172631697916,1.419063400972758,1.387967525815962,1.4026069446357743,1.3961763391442958
Luxray,Hidden Power Grass,Wild Charge,40,1.4367867869657749,1.443834380973502,1.3722172559613723,1.4269262156954596,1.3982029964129599,1.4070525567796028,1.3909519173668095,1.4170939749356983,1.4460473711966784,1.412987522374551,1.3777260162251526,1.3876891121582364,1.39158264014885,1.424167566831635,1.4301413849811968,1.433774433375715,1.4400042607476375,1.4287017154829895,1.4096411233031616,1.446157744071144,1.3957554284347993,1.3711414959121297,1.3770502480552502,1.3703870906044116,1.3775368860568893,1.4380247745413082,1.3850085475127685,1.4055003022421444,1.398542367830373,1.3954694643590433,1.4089230677162385,1.4132165313025038,1.399728876735272,1.384573083096451,1.404540135348563,1.4105752861626049,1.3983691689918811,1.395127567216482,1.3915603005558344,1.390807415838287,1.400862617698046,1.4045889863470475,1.3987197918448155,1.4093070419245142,1.4073978744441833,1.4053111665730986,1.4069778741796917,1.3966915367108153,1.4144639528268945,1.402744407717373,1.4030339177113278,1.3990778138252475
Luxray,Hidden Power Rock,Wild Charge,40,1.5702792999714745,1.583274733720426,,,1.5337925009071218,1.551455532088568,1.5518962895840696,1.5939414834029284,1.6050353048726949,1.5727481289143228,1.535910752882726,1.5604855607365338,1.5110209841353313,1.557109412798893,1.5958892081583695,1.616073216324199,1.5994755992097942,1.6021805799786673,1.5407107523916297,1.5939676900172686,1.5630709213457286,1.5326737932643115,1.5307152432674587,1.5480968408432123,1.3775368860568893,1.4380247745413082,1.54470465111194,1.5707755012415094,1.398542367830373,1.3954694643590433,1.553109692428041,1.5554740110991712,1.399728876735272,1.384573083096451,1.5777244492090459,1.591991973365252,1.5699532984964673,1.587845637870444,,,1.5521204010293346,1.5885802658300454,1.5560730723875487,1.580986238995495,1.5703490597008836,1.577314550774994,1.569721792704719,1.5673355630281203,1.5788745211279445,1.577683556260363,1.4030339177113278,1.3990778138252475
Luxray,Hidden Power Psychic,Wild Charge,40,1.5702792999714745,1.583274733720426,1.3722172559613723,1.4269262156954596,1.5337925009071218,1.551455532088568,1.5518962895840696,1.5939414834029284,1.6050353048726949,1.5727481289143228,1.535910752882726,1.5604855607365338,1.5110209841353313,1.557109412798893,,,,,,,1.5630709213457286,1.5326737932643115,1.5307152432674587,1.5480968408432123,1.51664514884658,1.5878021232853046,,,1.550610506600315,1.5640330921728227,1.553109692428041,1.5554740110991712,1.5709769474453892,1.5583086261923922,1.5777244492090459,1.591991973365252,1.5699532984964673,1.587845637870444,1.3915603005558344,1.390807415838287,,,,,,,,,1.5788745211279445,1.577683556260363,1.5555211789033747,1.5561462526672831
Luxray,Hidden Power Poison,Wild Charge,40,1.5702792999714745,1.583274733720426,1.5183452211157786,1.5983296309406974,1.5337925009071218,1.551455532088568,1.5518962895840696,1.5939414834029284,1.6050353048726949,1.5727481289143228,1.535910752882726,1.5604855607365338,1.5110209841353313,1.557109412798893,1.5958892081583695,1.616073216324199,1.5994755992097942,1.6021805799786673,1.5407107523916297,1.5939676900172686,1.5630709213457286,1.5326737932643115,1.3770502480552502,1.3703870906044116,1.51664514884658,1.5878021232853046,1.54470465111194,1.5707755012415094,1.550610506600315,1.5640330921728227,1.553109692428041,1.5554740110991712,1.5709769474453892,1.5583086261923922,1.5777244492090459,1.591991973365252,1.5699532984964673,1.587845637870444,1.5419450977628613,1.5607511300295045,1.5521204010293346,1.5885802658300454,1.5560730723875487,1.580986238995495,1.5703490597008836,1.577314550774994,1.569721792704719,1.5673355630281203,1.5788745211279445,1.577683556260363,1.5555211789033747,1.5561462526672831
Luxray,Hidden Power Ground,Wild Charge,40,1.5702792999714745,1.583274733720426,1.5183452211157786,1.5983296309406974,1.5337925009071218,1.551455532088568,1.5518962895840696,1.5939414834029284,1.6050353048726949,1.5727481289143228,1.535910752882726,1.5604855607365338,1.5110209841353313,1.557109412798893,1.5958892081583695,1.616073216324199,1.5994755992097942,1.6021805799786673,,,1.5630709213457286,1.5326737932643115,1.5307152432674587,1.5480968408432123,,,1.54470465111194,1.5707755012415094,,,1.553109692428041,1.5554740110991712,,,1.5777244492090459,1.591991973365252,1.5699532984964673,1.587845637870444,1.5419450977628613,1.5607511300295045,1.5521204010293346,1.5885802658300454,,,,,,,1.5788745211279445,1.577683556260363,,
Luxray,Hidden Power Ghost,Wild Charge,40,1.5702792999714745,1.583274733720426,1.5183452211157786,1.5983296309406974,1.5337925009071218,1.551455532088568,1.5518962895840696,1.5939414834029284,1.6050353048726949,1.5727481289143228,1.535910752882726,1.5604855607365338,1.5110209841353313,1.557109412798893,,,,,1.4096411233031616,1.446157744071144,1.5630709213457286,1.5326737932643115,1.5307152432674587,1.5480968408432123,,,,,,,1.553109692428041,1.5554740110991712,,,1.5777244492090459,1.591991973365252,1.5699532984964673,1.587845637870444,1.5419450977628613,1.5607511300295045,,,1.3987197918448155,1.4093070419245142,1.4073978744441833,1.4053111665730986,1.4069778741796917,1.3966915367108153,1.5788745211279445,1.577683556260363,,
Luxray,Hidden Power Flying,Wild Charge,40,,1.583274733720426,1.3722172559613723,1.4269262156954596,,,,,,1.5727481289143228,,1.5604855607365338,1.5110209841353313,,,,,,,,,,,,,,,1.5707755012415094,,,1.553109692428041,1.5554740110991712,,,1.5777244492090459,1.591991973365252,,,1.3915603005558344,1.390807415838287,,,,,,,,,,,,
Breloom,Bullet Seed,Grass Knot,40,1.6313423688790893,1.4224190207519845,1.3399009349361963,1.3414768837159021,1.331526362214511,1.334016010334473,1.2897342006177681,1.2933058640296513,1.4030721929472765,1.3417090346711635,1.337427804606047,1.3381501402871687,1.4089799737802016,1.3672749245596296,1.3345347420432692,1.3309729455220864,1.347810858217439,1.3318694132239033,1.5202512015171707,1.495021157806069,1.3598917492797393,1.3050620410478044,1.3840457368706611,1.3188883924187498,1.4379859405554656,1.4228652689955426,1.306358626017223,1.3089621421206923,1.411957332561541,1.311869024751186,1.3416253586205535,1.2906291512525194,1.4084812384287324,1.3206126163333864,1.3593507629236403,1.3251498078838049,1.4090724398147971,1.316707454662377,1.3617012998834304,1.320297197640872,1.3474042906900403,1.3431550584784668,1.4208416573251252,1.419822125821766,1.5059286369955138,1.4389025066549184,1.3605389345864283,1.3681106796053202,1.2957384265417475,1.2935109832423621,1.348123825203004,1.3256315217491452
Breloom,Counter,Grass Knot,40,1.7148146102515263,1.4803323926868404,1.439911734235036,1.4296529854780007,1.3796040397999476,1.3879775829639216,1.3800877262645386,1.3957102630676932,1.500692616598447,1.3878241842704708,1.3947216482754243,1.401163739102754,1.4888469437090532,1.4215309626513586,1.2085922945793075,1.191770010208125,1.219690232966776,1.1834736441515195,1.8318965520810055,1.7583909155762618,1.4802932869900145,1.3958279830846643,1.6725700066870237,1.584119740036097,1.2841938279249254,1.2736288915379566,1.1840680716315177,1.171503893091554,1.2789773314890869,1.1941803512690876,1.437925986244262,1.3847336075110546,1.284564483272281,1.197623993467986,1.4471342150578348,1.437595633757129,1.519125859311482,1.415161955905391,1.4207479247964434,1.3856032849436546,1.2247695996404229,1.1853285587645552,1.6472311820528887,1.6718535820744307,1.7669914388123806,1.684981756850861,1.581676124510333,1.6273253406756536,1.3735123387691917,1.3945448991433576,1.2420231236934676,1.1952720941713213
Breloom,Bullet Seed,Seed Bomb,40,1.779344452952217,1.6111030703743046,1.5029611634199709,1.5253908179249502,1.4893260702573683,1.5160120628107612,1.455994717479483,1.4741744092578954,1.5715412661124517,1.5104375111149762,1.5131729005032772,1.5229531758273436,1.5646768557606576,1.5490752973538584,1.5120990763365436,1.5112466796249104,1.5252439460706266,1.505882249417853,1.6857698423888652,1.6680518368315287,1.563468543383084,1.4966879502482713,1.5739685976539062,1.5077501423986515,1.6092221236188387,1.621165258629626,1.481522836732307,1.4863993739179722,1.5738262501017624,1.4957271439376014,1.5101897071274177,1.4831196952529628,1.565840055161009,1.4906189850169134,1.517192480343969,1.512816023597099,1.5859960379108566,1.5206782124695606,1.5377010238747508,1.5171671421599875,1.527965412309173,1.49967262344839,1.5786850047162024,1.6074039816999712,1.6376065254680128,1.6164152520366821,1.5227945695453824,1.5638609774554022,1.4507243653811828,1.4808927207077962,1.5197876275668631,1.5038799724597451
Breloom,Counter,Seed Bomb,40,1.8251766665222953,1.6164254295983114,1.581188982813556,1.5829714138547206,1.524408374862597,1.5500539982133925,1.5314390171497443,1.549306075754671,1.606023961787023,1.5393706800130553,1.5350168772452306,1.560543078247952,1.5858824417894775,1.5648687673079578,1.340770371450953,1.3241382625871982,1.3478221705586273,1.3130813584463743,1.8547747852320915,1.8893412437103163,1.6281607142356451,1.5542953910334476,1.8385169302254631,1.7836672320946911,1.430446454051657,1.4142227937873604,1.3107624404869611,1.2961528622322074,1.4046059484361877,1.3180499076501662,1.5872756874159673,1.54714399301886,1.4057472034920788,1.3290203201610722,1.601980314873507,1.611970706052163,1.6664393491180725,1.5919902363232636,1.5815289999970634,1.5563341258406005,1.361900959209568,1.3162233475270317,1.7996803587151913,1.874583632761847,1.8699200962795526,1.8874795975047158,1.762041512228244,1.8202480097746268,1.5194126046282783,1.5495566823004199,1.362783740997771,1.3331134200579455
Breloom,Splash,Grass Knot,40,2.490039879686764,2.005706279466283,1.8283288568555909,1.8621524502561646,1.7856939982999256,1.8420988540132253,1.751623607068184,1.7964553702911548,1.9963943959800947,1.8631137272874707,1.8111057407083235,1.836945369293846,1.9272136672302789,1.9110838385441336,1.815418519208101,1.8556171163282393,1.8068955253999297,1.8378348825538526,2.0619613519186646,2.0442681316900866,1.9116913760554815,1.8051233427237225,1.8652988708813474,1.8040267504846006,1.8952291325843664,1.92856598337998,1.773876059670723,1.8077990552161152,1.9596835308124105,1.819267292424453,1.8165671567514,1.83168457669831,1.9246179022235963,1.8190514963689146,1.843527914309295,1.8351979689495972,1.9530849329918354,1.8386755445442344,1.8249435503524982,1.8265070447508978,1.811613318848694,1.8032330773895877,1.8660626840457921,1.9331085671628538,1.9987824593454535,1.9563054765417938,1.8205621944110248,1.8770221294732303,1.732568363634783,1.7888514890757403,1.8480111350242128,1.8141976370734976
Breloom,Splash,Seed Bomb,40,,2.202205925264843,1.994269618676704,2.0480343050700878,1.9697912590340292,2.039779227057673,1.9732745752795153,2.0346726121387593,2.093030269951164,2.01297545034586,2.000517804463119,2.058016451920962,2.0612714346493743,2.083844972834774,,,,,2.1848347747786088,2.204280250206866,2.1096120627107453,2.0323757603978656,2.12584046911635,2.0548045386407825,,,,,,,2.0324472291941604,2.0412946383351875,,,2.0548472308621606,2.0735550108631147,2.1783151960241693,2.086583066994082,2.0540725961552577,2.0555058529589316,,,2.054736030817004,2.111394928131995,2.156791980609006,2.1273430819395127,2.0217282014539735,2.0959381181815515,1.968096080001229,2.0397492464404006,,
Shadow Cacturne,Sucker Punch,Grass Knot,40,1.4135979634679696,1.2563650761869791,2.256444936730641,1.5224678707921495,1.2514554503455453,1.256689729278093,1.234480273692548,1.256266220258285,1.330758858072057,1.2801012682066741,1.286406991734385,1.264572446334067,1.632936454637116,1.3058249494554364,1.6642831717684736,1.3881938554285465,1.5225837893167093,1.4005236578862157,1.3515561540223762,1.1680977152545344,1.3636662938054227,1.2671278019711127,1.4581552077508944,1.3887040134545214,1.5068442421709038,1.409664489824125,1.3932023903392048,1.3405545138282315,1.3772586808486624,1.2803401537316308,1.3087879956973951,1.273900346177023,1.3622628021400556,1.2823402398604111,1.423345389633221,1.3124360346110904,1.374783096613139,1.2629010588063614,1.517539764335568,1.4050468005892738,1.3588941869146012,1.4043594870267309,1.1312223067794571,1.1416261353643495,1.2693284205338797,1.1327415587811105,1.2090013530167356,1.1690644518960798,1.300101273805392,1.2655721366511223,1.3397302511779021,1.2968989932248705
Shadow Cacturne,Poison Jab,Grass Knot,40,1.506831714803573,1.3632259446045112,1.9345463627297017,1.503049704621137,1.3663885674444647,1.3607055964074275,1.3429295982727927,1.3775942512793489,1.4833793008903207,1.392511345208843,1.3743115032051532,1.3749502357398242,1.9003348982127295,1.4286727655375109,1.7416339985953848,1.4342002417916884,1.5133221437181654,1.4189250811377092,1.7805137424056805,1.4366274316597492,1.4621294572018293,1.36573738432018,1.2326675028147336,1.1964772632610108,1.623755141151684,1.5057806183269409,1.3932994294467353,1.3732153065589878,1.5296725806969032,1.396561779029108,1.417210603547429,1.3785769280509605,1.444158733175729,1.3528915770499756,1.4966733300057615,1.397867862279846,1.490370367542932,1.3957609728408533,1.5418900428400706,1.4368818453035395,1.4023365466479212,1.3951499410322181,1.3695909114332252,1.4134683916305224,1.5695712861236975,1.397094741154187,1.460285445246742,1.4462816681922919,1.3983722058406438,1.3738269389581041,1.4197859564099031,1.3655643511862097
Shadow Cacturne,Splash,Grass Knot,40,2.0229034797849015,1.7259725276155915,3.323552017424093,2.075832084482382,1.5877398341982458,1.614248861889508,1.5797824008699883,1.6416086542473114,1.838842807749128,1.7869521895000628,1.6728188136142454,1.7045756705936144,4.061289642219894,1.9703972831779557,2.5355189110116836,1.784250286150971,1.964465687912602,1.8420841458359383,2.87301324005729,1.7973500457544271,1.764883712113193,1.6523657480175902,1.6903157531939756,1.6607574657945725,2.014323853464231,1.8426193592135722,1.633764906050735,1.6533040123298208,1.7795882010378452,1.6779791984904575,1.6504996865574038,1.6731012689069342,1.7214663023070285,1.6549630219350502,1.7955640028882665,1.7471622627465575,1.7799827660573395,1.647198970847001,1.862423767283575,1.7783694027503325,1.6568530039320375,1.7300202797737292,1.6296870577393145,1.695563158856406,1.8492982629424584,1.6979743987980493,1.7537162576628738,1.7360149560768483,1.6371585933058808,1.6320659919362652,1.6844420556435047,1.6834270444499124
Venusaur,Vine Whip,Frenzy Plant,40,1.3232623735660907,1.319410912277457,1.2907195558230558,1.289959344337353,1.3223624881095228,1.2651043644481887,1.3157151845382393,1.3434217815462712,1.3391996807675015,1.2849031629300318,1.3032015132556243,1.3022904994095688,1.3403129020324627,1.285675726086596,1.3149884544733876,1.2801573490127829,1.3386501102707344,1.3200511625105482,1.3995874078334556,1.3639956882548758,1.3794248048777031,,1.3363885204966022,,1.3792200979739402,,1.3094443228856885,,1.340532825486505,,1.2797114276432013,,1.3193821481716406,,1.3676511852629558,,1.3748594374444143,,1.3221420622546385,,1.317863358938799,,1.3923447405939204,,1.418171420698699,,1.3644542798340775,,1.3275349801794498,,1.3067643465437537,
Venusaur,Razor Leaf,Frenzy Plant,40,1.3900725818511068,1.416700261184281,1.3241588094429413,1.3408950816822711,1.3755475594930697,1.3225710556737134,1.3529892307283706,1.3765767090758492,1.381829121166878,1.3457300734894877,1.3789283593834125,1.3871566083886309,1.4089403297104004,1.3724579549719664,1.3825071035859913,1.361964243539521,1.3795490015488772,1.3624970011841102,1.448260682344352,1.4180883742422827,1.4400135041139965,,1.3867816304894467,,1.436040022826027,,1.3416089531619193,,1.4386465316919947,,1.349645771817965,,1.3785655991223764,,1.4224379133339724,,1.4141774466282164,,1.3597507406722278,,1.3634310865403634,,1.4423714993491414,,1.4657823707345543,,1.4121436545974608,,1.3646388931299698,,1.3492671976730268,
Venusaur,Vine Whip,Solar Beam,40,1.519781763053283,1.4541754917743563,1.4203768344829444,1.4129997965097179,1.4012685718383155,1.3721617111927655,1.4368067231508397,1.4603068712045406,1.516781793963242,1.4290728029301634,1.4440111917825578,1.4209307271479465,1.4581344496338013,1.4059775122264213,1.44510550502055,1.4020287286714772,1.5372755694744973,1.4625602142107823,1.5888841209143263,1.518986516703466,1.4926879603257324,,1.4146016795870746,,1.5518766806971582,,1.4285335589483412,,1.46199972728132,,1.3925138814541627,,1.4142248955893124,,1.4524068915154298,,1.4981572468442608,,1.445415393062786,,1.488569336002116,,1.5614448383533694,,1.5669441896279224,,1.4929451933063003,,1.4180894548446883,,1.4088932650116188,
Venusaur,Vine Whip,Petal Blizzard,40,1.6109551941496196,1.5670273924758458,1.549165091026096,1.54829672274661,1.5382274931479578,1.4984938276116297,1.581832883899551,1.6200635084909265,1.618788789404577,1.5508592273172457,1.5580259255186053,1.5504885800643304,1.591277712673505,1.5269241939861524,1.5546218469472868,1.509807265731287,1.654400388301381,1.6129188817999622,1.6712387890617788,1.6680751066983324,1.6382116525240955,,1.5771184345291032,,1.6878653651871585,,1.5822304444369113,,1.5982816381572615,,1.5339335421783384,,1.5770940581993438,,1.6099751743491766,,1.6565034754163437,,1.5999878145104223,,1.5947162600090181,,1.7084892393657658,,1.7369590681898974,,1.6577557197237984,,1.5948717936805796,,1.5454603623399508,
Venusaur,Razor Leaf,Solar Beam,40,1.541668813477442,1.5514544705249635,1.4830692223170454,1.4484973514467947,1.5135456468457722,1.4393611668157151,1.4660933382230055,1.476569387562842,1.5206391258053145,1.4580584549954816,1.517726932620022,1.5079928392292197,1.5762911331329033,1.5219376792881156,1.543122685856106,1.4883066963545517,1.5363632748286213,1.480535647010601,1.6588831298784403,1.5674692221912694,1.572362110996324,,1.502190138580466,,1.542903488931176,,1.4727909680034363,,1.569750300056893,,1.4524613633485792,,1.4932606480547517,,1.537331992469525,,1.5253045999167885,,1.483362108706312,,1.5062375868756177,,1.5782546839024019,,1.608923192281617,,1.5308454729570868,,1.468825909104047,,1.4693423244588875,
Venusaur,Razor Leaf,Petal Blizzard,40,1.7134335872993927,1.661096560968887,1.5552972991866598,1.5652152439657714,1.596061909560414,1.544365100018913,1.5804523975900004,1.6028838390124855,1.627078557152347,1.5678544111539425,1.6416805064198425,1.6289166897784142,1.6780319876518588,1.6298529430154627,1.6348590660909152,1.5883359781021535,1.6440361056204487,1.6067567201613813,1.762639081371829,1.6912973178068627,1.6970220039606163,,1.6109932834818983,,1.6937777361933355,,1.569629393523555,,1.707450753945386,,1.5799497930663808,,1.6195955968872542,,1.6606195020280974,,1.6615289923391976,,1.6033944663196003,,1.6191405386572915,,1.7160006601936815,,1.743720244183546,,1.6608748903107784,,1.594004799115398,,1.5981918382801834,
Luxray,Hidden Power,Wild Charge,40,1.5641300392050697,,1.5025462628942627,1.5808639116343448,1.5354623167544295,1.5619619499009167,1.5468047200948385,1.581825828224426,1.587982068362997,,1.5294118863583963,,,1.5528802959950248,1.5914557771247362,1.602448491659323,1.5826597689022193,1.5908512803554011,1.5336491456434451,1.5778329926206003,1.5517310740545345,1.5397869843060905,,,1.4899562394706116,1.5603265047855983,1.5337724343777164,,1.524331322130637,1.5373836538111965,,,1.542645491749413,1.5270726411831772,,,1.5577311695797054,1.5737712570598543,1.536060533988707,1.5555948626130265,1.5365455037279028,1.5688654684527723,1.5417264064776648,1.5562975991793508,1.5525771202473813,1.5563306559076155,1.5555521558525367,1.557399668262566,1.577966710421791,1.568697672912021,1.5342240148266248,1.5316762301555467
