Attacker,Fast Move,Charged Move,Level,"Arceus (Dragon), Tier 5","Arceus (Dragon), Tier 5","Kyurem (Black), Tier 5","Kyurem (Black), Tier 5","Kyurem (White), Tier 5","Kyurem (White), Tier 5","Kyurem, Tier 5","Kyurem, Tier 5","Giratina, Tier 5","Giratina, Tier 5","Giratina (Origin), Tier 5","Giratina (Origin), Tier 5","Latias, Tier 5","Latias, Tier 5","Latios, Tier 5","Latios, Tier 5","Palkia, Tier 5","Palkia, Tier 5","Reshiram, Tier 5","Reshiram, Tier 5","Zekrom, Tier 5","Zekrom, Tier 5","Mega Ampharos, Mega Tier","Mega Ampharos, Mega Tier","Mega Charizard X, Mega Tier","Mega Charizard X, Mega Tier","Mega Latias, Mega Tier","Mega Latias, Mega Tier","Mega Latios, Mega Tier","Mega Latios, Mega Tier","Druddigon, Tier 3","Druddigon, Tier 3"
(Boss weights),,,,6.25,0.0,2.083333333333333,0.0,2.083333333333333,0.0,2.083333333333333,0.0,3.125,0.0,3.125,0.0,6.25,0.0,6.25,0.0,6.25,0.0,6.25,0.0,6.25,0.0,8.75,0.0,8.75,0.0,8.75,0.0,8.75,0.0,15.0,0.0
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,No Friend,No Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Mega Ampharos,Volt Switch,Dragon Pulse,40,1.4125438394469791,1.51566506080749,1.4166192881334903,1.4631125623297858,1.4813998361934522,1.5393210913494462,1.4365509000949388,1.5130211353291878,1.4939138183108889,1.5369953520035495,1.444896087383674,1.5740802612714306,1.4184819388430372,1.5370777697993279,1.4629876744519437,1.5400285510150273,1.407216229263152,1.4342697662211632,1.5000188368776528,1.5361328330430128,1.3753271303993724,1.5781936003536792,1.408998297730116,1.5139923997390932,1.4741666150589763,1.5231708411316307,1.3754452153935368,1.4972255891953303,1.4979077502322555,1.554281889996145,1.5027841391903762,1.5488147588390988
Exeggutor (Alola),Dragon Tail,Dragon Pulse,40,1.476020865219315,1.5042301877826934,1.574346723157127,1.4502026558540337,1.5076805244170417,1.520676681566427,1.5242291947022655,1.533105359434552,1.5005319407412416,1.5069415950240337,1.4684156208236225,1.5043625070050028,1.4734143087244014,1.519712131947198,1.4950523926837809,1.5164463928949443,1.5438975521335814,1.5304028367871159,1.5214636417735135,1.4964681657997907,1.509279277899353,1.4689238667989328,1.3762125522335487,1.4619653541640898,1.6338386541084806,1.5410225585071335,1.5696435126730492,1.490454284868018,1.521579057044971,1.5090414328174264,1.5601079690423514,1.5389982329184235
Exeggutor (Alola),Bullet Seed,Dragon Pulse,40,1.8648826988778548,1.9348451015068762,2.181012308452066,1.8816803709472205,1.9379064094438134,1.9612363123766172,1.989036920784929,1.9547795122526324,1.8954763117085067,1.9609746705798736,1.8475093435422318,1.9528716736783305,1.8351441164561568,1.9326758146308973,1.9080343517998677,1.9673762034244238,1.8234659801259085,1.8325497669302013,2.0809700331831826,2.006537339060205,2.1948274495550546,1.936861301515081,1.7382943793746821,1.895975026920323,2.1647287021562645,2.050569438879782,2.1117661617038586,1.9203268691194209,1.8850722051935898,1.9559947760528977,1.959081332123264,1.9777301563085727
Giratina,Dragon Breath,Dragon Claw,40,1.5345772644185083,1.6372307701691209,1.4031299980739622,1.5658711188052727,1.4370973239554077,1.6645754776180919,1.4419454830781122,1.7213524534116005,1.7080208909941392,1.801011074556274,1.6041735486193387,1.7224941924715722,1.6516205186016273,1.804955749860398,1.6423436497776915,1.7605958371755885,1.6140059618833429,1.7496243818074597,1.56277522254195,1.7358850145156741,1.5176941847720773,1.7359064615327244,1.6388548766738615,1.7967073019340511,1.700601995916518,1.770892999542538,1.4333431568901533,1.5878469183677215,1.55936607259873,1.6199637558673923,1.793390971504626,1.89147984300075
Giratina,Shadow Claw,Dragon Claw,40,1.8128851705703568,1.9692923866721852,1.5402864538756338,1.7411032173581384,1.5811090966160979,1.8616579283907326,1.5833947823235905,1.9119435876645354,1.626391148370849,1.6976094690661494,1.567206838791725,1.6712303315952934,1.5347764005401134,1.658408612084398,1.570449355914278,1.6712906118625912,1.788061211692207,1.9447792179892474,1.7227371437565477,1.9342306178939452,1.6843764787820996,1.9392735098807685,1.8192067384216735,2.004599432597724,1.887440982220006,1.9830881128342797,1.4118239347879014,1.5555274589606858,1.5628404642421105,1.6210253337987344,1.9890976768689268,2.0944079411251115
Arceus (Dragon),Shadow Claw,Outrage,40,1.4982701779328453,1.559373252709679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arceus (Dragon),Iron Tail,Outrage,40,1.5862573987567186,1.638973736192386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flygon,Dragon Tail,Dragon Claw,40,1.56992949420068,1.6218613817377683,1.5985466762644636,1.5311344050695344,1.5324562011850102,1.5832504983043214,1.5293862428719438,1.6256870138226605,1.6197695927016738,1.6394099926437045,1.5550426911453743,1.6084619545090015,1.5459883468926534,1.6094769013887589,1.661918622458807,1.6429407609970907,1.6165402026279134,1.6403095533086811,1.5329293687571197,1.607544264415271,1.5577412204511392,1.579850331629652,1.4455606169685193,1.554703240741204,1.6080462258142718,1.6289742805734497,1.5814830659427461,1.5538256740467973,1.706690997059006,1.6179505084226027,1.6635941278922506,1.6490758925306228
Flygon,Mud Shot,Dragon Claw,40,1.899240902068025,2.0060401029902413,2.0092983018726414,1.8222709294300932,1.856490169190275,1.914703828295495,1.9064848827973833,1.994020104703412,1.9100691084565427,1.9624776944526305,1.854643640021171,1.9753891643523884,1.8887291459679678,2.0112991355105487,1.9372365077550688,1.9529882095121252,1.9265481659095627,1.9503198211319264,1.6484120363230592,1.7343529695267998,1.689347357764573,1.6988871306527762,1.5599109194142429,1.6931946735269732,1.7285265209115874,1.756555626372009,1.937786635822831,1.8464203427834502,2.0760286490052136,1.973700106272281,2.055927029480615,2.0774485059395698
Flygon,Splash,Dragon Claw,40,2.353462908291685,2.4941210992093517,2.781469474545531,2.3525550796932277,2.468457266838343,2.471202571361884,2.448870363176139,2.498330998754622,2.450831952995263,2.5688293524753476,2.3189382122019406,2.50481929387204,2.3314307029857853,2.506239396488532,2.47830245894168,2.5226430337382886,2.4774936322595607,2.510780791101255,,,,,,,,,2.671665508029367,2.3946963714202587,2.6359303883702045,2.4607450636694885,2.527163428671146,2.5608326275245568
Druddigon,Dragon Tail,Dragon Claw,40,1.516036442503681,1.5385419544568286,1.5642532891515741,1.4652126803598216,1.4874774793981238,1.5240341604335728,1.4618083394460462,1.5387076636242136,1.5461050697845404,1.5617028656160568,1.5257869794928023,1.5833883520237022,1.5307309011581758,1.5909611782219073,1.5964880787356457,1.6109632372091465,1.5697520511245315,1.5916574795972982,1.5268444864608017,1.5820384077501717,1.5528769414230386,1.5720198979380222,1.4422787117987401,1.538978815937009,1.5866378953124596,1.5988824998676674,1.5746137155165167,1.549404485744317,1.5455926659940729,1.5319497817447798,1.5863638284096908,1.5727013472618212
Druddigon,Bite,Dragon Claw,40,2.000501728189988,2.098418874695238,2.1669529810104646,1.8924816800685,1.9717727543113956,1.995455126382998,1.8733477034385364,1.9159086055229264,1.6900077960930802,1.7266872344723017,1.7112751537448414,1.802009684592073,1.6858935059746034,1.7677349856055682,1.7122031577704255,1.7436717667308337,1.960884718870447,1.998313018599814,1.935444357476585,1.9982901388748309,2.0069504697197673,1.976886119641997,1.8301784047462766,2.0020682720948084,1.9501517266098674,2.0297308247955517,1.7944409609218772,1.740427604960628,1.7174825223061372,1.7281110287510348,2.0004749355221016,2.020005712087378
Kingdra,Dragon Breath,Outrage,40,1.6164208877057324,1.6227335795093754,1.7408608267111774,1.5462598996112797,1.4830068133327357,1.6060285303741029,1.4997063537558555,1.5935866654690318,1.716402166426516,1.712037227654694,1.6723151549077073,1.6854668062782587,1.5867320819873605,1.6424232731337285,1.7441369390261026,1.7657461341601042,1.7151450036961895,1.7167358111038002,1.708153379933965,1.6989927160151588,1.6979437804056208,1.7103783069272145,1.5780767252029773,1.6503681046436767,1.7038177205331084,1.6906888114641747,1.8047298270374834,1.6013452664601924,1.816603609497294,1.6506509188664304,1.6832004254739672,1.6845115376189148
Kingdra,Water Gun,Outrage,40,2.0042128484487995,2.0695190322950476,2.2522642902401717,1.81115971990361,1.7084355385820797,1.9178303162056836,1.8948854270031592,1.9634869524096394,2.10485005725586,2.1229088360656005,1.9199448322722656,2.000008881144531,1.9634595351956663,2.0660642806868865,2.1183358183992556,2.1498069458228315,2.0581425845469825,2.0888234175157265,1.8574172948149048,1.8326427390664892,2.096705770335695,2.0888042607170405,2.0046558786345328,2.13210068317439,1.8220988601014454,1.8258805710397812,2.2302858216938213,1.9534125754666924,2.2538986956305496,2.0462126429301732,2.0887477783414954,2.0741977410612025
Kingdra,Waterfall,Outrage,40,2.1576699084585194,2.299299449453747,2.6980289384044185,2.13741614785263,1.9307934889110538,2.2880790260556187,2.2712608946565287,2.211833715250616,2.258529644168565,2.339712219783075,2.1984166782335723,2.3241505259265773,2.1323506616746015,2.252608128093086,2.242505384309498,2.3006746926670587,2.4841825054182602,2.4761830683303665,2.0932426932893216,2.0164760941941644,2.2035815294249512,2.248945433545694,2.1235947059978484,2.2759383937205437,1.9694019918128383,2.0250146749288094,2.5909551257931023,2.224814448265132,2.5603405649859448,2.288974097425203,2.267591417002678,2.3169930187295713
Dragalge,Dragon Tail,Outrage,40,1.7138937045284741,1.7947487632984667,1.960056520360062,1.749103162917635,1.7930504179092037,1.7922883415942126,1.7956291877714847,1.7985814127447393,1.8133016348555082,1.823783406211116,1.7791368171618487,1.8101141434298922,1.7796131268249789,1.8440309500643337,1.8870539117211118,1.8878820708289181,1.821230602849877,1.8318061236017331,1.7866252311612483,1.8017608079639793,1.7398949661201581,1.7808844167197222,1.687136054296415,1.7592599075623518,1.8303344322609922,1.8081432729222604,2.004455856892427,1.8383850286963468,2.050516407449453,1.9104008259251244,1.8479151452203784,1.808701582804818
Dragalge,Acid,Outrage,40,1.9917221875657363,2.0723857916009605,2.4194189944189755,2.005739908550756,2.073523770699123,2.0683566431354214,2.1804338690311997,2.0406612587602724,2.3121570986702276,2.350015391464292,2.1834653575684473,2.2845490288024397,2.0098567575714874,2.076808236480637,2.1100214782953017,2.10690491282331,2.17379318121613,2.137306274536883,2.026001244574098,2.025899278881165,2.025582843839608,2.017872049556585,1.8887028013003926,1.9925554985419294,2.0400697604172415,2.054433011962434,2.4078886823654897,2.1218728433741525,2.345119741761786,2.1257690727054257,2.1367704893700665,2.0819099075188277
Dragalge,Water Gun,Outrage,40,2.1683626533247256,2.249153319159484,2.953771358648893,2.1702331317342445,2.3172322361557796,2.2538107468542723,2.561474310137855,2.314203980243507,2.2978506340399822,2.33527213804739,2.2150731935747094,2.351071051228514,2.189247497872902,2.26002736921365,2.3362482598749534,2.3273591751441716,2.527743842476227,2.494979613833544,2.1590566094583163,2.117529186441932,2.3252062081637526,2.278717703976828,2.120067849338631,2.256288975287316,2.1409869381692492,2.1484445436161694,2.5244855862483373,2.168621657943741,2.549677147776865,2.272094133629036,2.455089623608438,2.396463494993099
Noivern,Air Slash,Draco Meteor,40,1.9713585150985409,2.024849488227093,2.7964960566060726,2.131983763335898,2.3326034103247175,2.154246972356203,2.755044637555027,2.184623065911559,2.1226902225583864,2.1197650710734925,2.025492130276326,2.066526285375449,2.0965497312810926,2.1708687353010734,2.060393838215367,2.167010969278046,2.41106445703062,2.19981829577416,2.413765146375941,2.1301310620542453,2.4883247044153616,2.479301056031112,2.501084701958743,2.5224049103291244,2.1633701597619135,2.151294320113991,2.6190791020471687,2.181948955065045,2.349833600228861,2.160805449186087,2.1698272609549125,2.140594053693282
Noivern,Bite,Draco Meteor,40,2.1395873833063734,2.1708580350409648,2.9184433928062865,2.1166388325190844,2.4186185369644173,2.1668755516663385,2.953067026123143,2.2383722822979673,1.8831611784143298,1.887602355337693,1.7798281523570978,1.8137073360918168,1.7457227049193487,1.7737531056608307,1.6789507969577993,1.7592064447343523,2.3516141613405197,2.1017591286663286,2.31481763395812,2.0830117129019845,2.0151878213417214,2.078544932691187,2.124363237324634,2.1366547716015236,2.094431226523065,2.0547105338016114,2.0666234643419843,1.833268739873337,1.94923481881176,1.7502758472313291,2.2951040629694868,2.2592893966450736
Shadow Flygon,Dragon Tail,Dragon Claw,40,1.5321209406576186,1.3637322497699187,1.3223822768655469,1.2705069761076402,1.4220568259232589,1.327927726978812,1.3072016070828718,1.3744262759588437,1.3471951495201917,1.379912949889246,1.3561658258214948,1.3734174910589076,1.431261248646595,1.3606131130594836,1.4678409734637903,1.3980860866524705,1.425398566447345,1.413657660031605,1.3138652175986967,1.3656850934035192,1.3097280761137033,1.342820692529141,1.2057654993505025,1.2901456781504115,1.384742358646536,1.374309342335104,1.3596145350348068,1.3487346609255253,1.4356814603390582,1.386560636794719,1.396133125486539,1.3874087504223398
Shadow Flygon,Mud Shot,Dragon Claw,40,1.875513651431514,1.6261383148227972,1.6574832293945738,1.5350388369261725,1.8122736459768765,1.5867408429858527,1.6088879862422925,1.6605032668228943,1.6315613419421358,1.71752428598753,1.5788340159945367,1.6313075146620297,1.78729409068126,1.639978563933261,1.8004859403790479,1.7139110257845913,1.7736804380726046,1.7267114471810314,1.4038293510916529,1.4740706122757687,1.4265950280616984,1.4444338972643331,1.337821939647257,1.4368906390849636,1.4753201872026,1.4875902174600666,1.710047822734265,1.6540817637122556,1.6898672758976094,1.637358640601397,1.6711439305793176,1.7138709200618318
Shadow Flygon,Splash,Dragon Claw,40,2.8269360080080657,2.1150209858293594,2.3267808684909954,1.973843606475957,2.6602296334359115,2.1339845330387814,2.1058938030557446,2.1140059347661255,2.0299982147158127,2.1473646993681856,1.9788070534658961,2.0979638792010404,2.4940613834965744,2.1193743543374532,2.314514879555875,2.15028473086084,2.240776405283359,2.1797432594425743,,,2.3174539006493196,,1.8659294082213471,2.0721055109949056,2.070680218570102,,2.2801842980851923,2.0823940320885335,2.19735081834852,2.102255586347213,2.070116089462659,2.1403955052015466
Altaria,Dragon Breath,Dragon Pulse,40,2.440252908726906,2.4763880471928377,2.7387408397972703,2.379641120424446,2.444434273881963,2.4859767322625004,2.342790952519967,2.3620381628455953,2.3995462842848516,2.3802395230016415,2.402282409401201,2.5086551194025475,2.41375576813652,2.5108160613094346,2.3437627687234084,2.3954314506381413,2.3881277866298047,2.393040262513397,2.3482984839515013,2.392922650141292,2.256350510956867,2.385913398128216,2.337383663927827,2.4072201589513225,2.3903073864470956,2.366741640777539,2.3167513641311346,2.242578585901251,2.509820708648468,2.4640704344432467,2.4683652137185765,2.439014133767719
Altaria,Peck,Dragon Pulse,40,2.70566276902097,2.826093132462273,3.1791994909081303,2.8442216320420384,2.747856112987747,2.873649269450836,3.0245938653576716,2.912731947600115,2.8873756639355697,2.9263778195742356,2.721384106871939,2.884705869814855,2.840191715288171,2.997866593846803,2.8160628093307123,2.917098706519278,2.897973376705736,2.902886763714925,2.848148310108712,2.925232008039302,2.9874255476381784,3.2429331347685424,2.9900913257096553,3.2011013409982763,2.87659610029671,2.8856251756365197,2.794884550838958,2.8096657279083814,2.853395484715799,2.8281959238448238,2.9235162858087933,2.9397140596259788
Altaria,Splash,Dragon Pulse,40,3.346342647666852,3.65960938081487,,,,,4.257264686845109,3.8030670033738563,3.4992314826943636,3.678165662979383,3.381581286751052,3.744533522324089,3.36031776256058,3.6466602325400546,3.381608028162818,3.634928160800624,3.576146615888726,3.627113720441646,3.6094488359380423,3.632741110678555,3.3249189036313984,3.641879651577908,3.3295526294107414,3.6051908072696044,3.4066359172106133,3.59777935190178,,3.620967261787745,3.6538615656281648,3.7178349580392562,3.531167626435068,3.6103073479742203
Kyurem (Black),Dragon Tail,Outrage,40,0.9839658242722741,1.020281266627104,0.898893387960047,0.9585339431677871,0.9298327523646855,1.000588693337763,0.9318327656208376,0.9946143158321161,1.026541629869389,1.0384475260275359,0.992080598009504,1.0261363794474923,0.9884845074140733,1.0309097301644092,1.0097884862611957,1.027804079542556,1.042463159320395,1.027692750535813,1.0247219252470297,1.0393040034484127,0.9147475692562105,1.0183905329217604,0.9713606382760159,1.006191646470173,1.030022424365256,1.0422749302725707,0.9268759858471244,0.9892555800324204,0.991299816918502,0.998701798403965,1.0270203699996816,1.0378908074933217
Necrozma (Ultra),Psycho Cut,Outrage,40,1.0354118913253203,1.071909999711237,1.0910501041380907,1.011816451682487,1.0367706877763447,1.044720332415313,1.0449364047206986,1.059194657801679,1.1003907025779929,1.1156826971536844,1.105377827395924,1.1172774081741463,1.0780992752705472,1.1396519601049213,1.0733038661984091,1.1271868070706168,1.086450446412439,1.0739727745266974,1.076745559348797,1.0743011309309671,0.9678381161831661,1.0660236229877982,0.996693101941545,1.0456907534234015,1.0685728615006505,1.0642811372080023,1.0490195717100756,1.0824612092869295,1.1176481052353757,1.1281676407452854,1.1230812745970258,1.1023125468901112
Necrozma (Ultra),Confusion,Dragon Pulse,40,1.1661716783571856,1.265629537236755,1.3033219290973959,1.212835580066264,1.1748050529593175,1.260428384693352,1.2191248998604078,1.2692361536077472,1.2348888370088356,1.281965377894707,1.2173744140424039,1.3127965747201775,1.2852105603944184,1.3926715715886113,1.334671437656422,1.4198727081769604,1.236660288550781,1.2562443366248042,1.2317402033717662,1.2555239289294278,1.1037898955935999,1.2594331739408398,1.1432826422481908,1.223771703659397,1.234567452658471,1.2690096273557887,1.257416431908461,1.362308049768044,1.3506511228308762,1.3906148835598164,1.2808992796077263,1.2868813581124114
Drampa,Dragon Breath,Outrage,40,1.5150332581368187,1.3949276629550293,1.6167639029147451,1.356918043170671,,1.4212197173788832,1.4706650406153419,1.41216440936777,1.444044017290847,1.4614148879851598,1.362579031418186,1.4395711236098419,1.551489904980709,1.491921140803777,1.5401889155323882,1.5151623926313833,1.5030403094697053,1.5008467448672127,1.4758106446575163,1.4694174177061088,1.56699652051832,1.4514844870550523,1.4073954698906646,1.3933313395234797,1.5014448105043086,1.4860085204960556,1.6191045881272141,1.462994650163693,1.4568759209892426,1.406077898873448,1.4692424888520552,1.4601516401378165
Drampa,Dragon Tail,Outrage,40,1.4925193673337636,1.398835684591862,1.5451295540637275,1.3550835386283995,1.5754422163676192,1.4234107379275303,1.4520360456397288,1.4078508698134211,1.3900819540516445,1.3963145856740145,1.31390682194727,1.379293078657633,1.4802822930917925,1.4404298012798193,1.4680795334770271,1.4393543527936774,1.4588368588087997,1.4583540422708372,1.3914044572470134,1.3993125227790126,1.44633510645227,1.3940872449437147,1.3947416550756848,1.38821600584762,1.4344626592132872,1.410745447652033,1.511620887570644,1.4117760804988038,1.4616394252918212,1.4103595644732396,1.4437496950799722,1.4334861704187525
Naganadel,Dragon Tail,Outrage,40,1.7255253933309636,1.3320562796285877,1.349415124902172,1.2196730480514133,1.417329617454164,1.278444989123984,1.327463627079355,1.3020878871001345,1.2617913266879917,1.2670595729736283,1.2925600806937747,1.2958276679032181,1.3804759169709413,1.3159285622908836,1.4519398670884438,1.3638439477749245,1.2749888577827944,1.28530500144321,1.26001755825323,1.2695355942460584,1.3021586204458042,1.2546153256542212,1.1789051865115496,1.2138147128274768,1.3069979333591275,1.2786855050865196,1.6109091966085227,1.331365573146196,1.5737601882875036,1.367000144071618,1.3217751812678606,1.2845496860812586
Naganadel,Dragon Tail,Dragon Pulse,40,1.7380889990642747,1.4171001844747844,1.4019683955408615,1.3158850799859536,1.484108337826557,1.3767677048874256,1.3956945903109184,1.3872679839280393,1.354340881528964,1.3650327142777712,1.3978957256981683,1.3965836605295,1.482444976392335,1.4271274332336148,1.5299529910994434,1.4529804166178046,1.3711130667562295,1.389234051075608,1.3512371361374156,1.3733591282705766,1.3823880651569078,1.3677756443869435,1.2728035222181484,1.31578964039072,1.401139978704681,1.3815413172405453,1.6708338203967776,1.4090331987917093,1.6177267943384506,1.488282892544097,1.40511167418625,1.3942585885374392
Dragonite,Steel Wing,Dragon Claw,40,,,1.229440420030692,1.2609824804195116,1.2287846886212759,1.3248888959955165,1.299814853736383,1.3369305328846308,1.5740259109174881,1.6416402979879892,1.498743620269551,1.611799488623698,1.4846834682130416,,,,,,,,,,,,,,1.3916618725252339,,,,,
Dragonite,Steel Wing,Draco Meteor,40,,,1.361637864554952,1.300146211637673,1.3475153827496145,1.3280204454605387,,1.3491449764976613,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Dragonite,Steel Wing,Dragon Pulse,40,,,1.2787789768379643,,,,1.1820472604157246,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonite,Steel Wing,Dragon Pulse,40,,,,,,,1.415157853899782,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Dragonite,Steel Wing,Draco Meteor,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Salamence,Splash,Draco Meteor,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mega Latias,Dragon Breath,Outrage,40,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0626129683447112,,,,
Mega Latias,Charm,Outrage,40,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0654316337119716,1.158693399746644,,,,
Mega Latias,Zen Headbutt,Outrage,40,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2781050094646194,1.3781331853487804,,,,
Mega Latios,Dragon Breath,Dragon Claw,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.028818307738258,,
Mega Latios,Zen Headbutt,Dragon Claw,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3073132581427338,1.3769918725472676,,
