Attacker,Fast Move,Charged Move,Level,"Arceus (Fighting), Tier 5","Arceus (Fighting), Tier 5","Arceus (Poison), Tier 5","Arceus (Poison), Tier 5","Keldeo, Tier 5","Keldeo, Tier 5","Terrakion, Tier 5","Terrakion, Tier 5","Mega Beedrill, Mega Tier","Mega Beedrill, Mega Tier","Mega Blaziken, Mega Tier","Mega Blaziken, Mega Tier","Mega Gengar, Mega Tier","Mega Gengar, Mega Tier","Mega Lopunny, Mega Tier","Mega Lopunny, Mega Tier","Mega Venusaur, Mega Tier","Mega Venusaur, Mega Tier","Vileplume, Tier 3","Vileplume, Tier 3","Amoonguss, Tier 3","Amoonguss, Tier 3","Ariados, Tier 3","Ariados, Tier 3","Blaziken, Tier 3","Blaziken, Tier 3","Combusken, Tier 3","Combusken, Tier 3","Garbodor, Tier 3","Garbodor, Tier 3","Gengar, Tier 3","Gengar, Tier 3","Gloom, Tier 3","Gloom, Tier 3","Hariyama, Tier 3","Hariyama, Tier 3","Haunter, Tier 3","Haunter, Tier 3","Hitmonchan, Tier 3","Hitmonchan, Tier 3","Hitmonlee, Tier 3","Hitmonlee, Tier 3","Hitmontop, Tier 3","Hitmontop, Tier 3","Machamp, Tier 3","Machamp, Tier 3","Machoke, Tier 3","Machoke, Tier 3","Monferno, Tier 3","Monferno, Tier 3","Nidoking, Tier 3","Nidoking, Tier 3","Nidoqueen, Tier 3","Nidoqueen, Tier 3","Nidorino, Tier 3","Nidorino, Tier 3","Poliwrath, Tier 3","Poliwrath, Tier 3","Primeape, Tier 3","Primeape, Tier 3","Seviper, Tier 3","Seviper, Tier 3","Toxicroak, Tier 3","Toxicroak, Tier 3","Venusaur, Tier 3","Venusaur, Tier 3","Weezing (Galarian), Tier 3","Weezing (Galarian), Tier 3"
Deoxys,Charge Beam,Hyper Beam,40,3.777692637827629,,3.810904983974759,,,,,4.239471235159442,5.76241865088954,3.809344907429432,4.36761992504488,,,5.677695603419778,4.134614094240653,3.025101015968589,4.432642254091579,,3.4702857745646964,3.236178805171726,3.4579748168341835,3.212723139610362,3.153665873730216,2.7154447244592186,3.0574870780147836,,,,,,,5.105896852944679,3.454618700002743,2.987663750359616,,,,,,,2.9814443999466027,,,,3.1373526811885433,,,,,,3.721239928021142,,3.727702998943701,,,,,,3.0753401177276536,,3.1868846369838044,,4.965826157438162,4.6924514482476205,,,,
Deoxys,Splash,Thunderbolt,40,4.826572469864476,,4.922740509393138,,,,,4.06677615890235,5.8914385442823,4.922018597515583,4.921606700320657,,,4.723800582062367,4.875733668975614,3.835980350212225,,,,,,,4.061171851138617,3.7604443854692815,3.9759838435675303,,,,,,,3.9508995299228893,,,,,,,,,3.9557574990139455,,,,4.046421355505936,,,,,,,,,,,,,,4.052358265887393,,3.9782071320581314,,6.212452225068206,6.347106451217246,,,,
Mew,Pound,Psychic,40,2.0260946955667856,2.017051424990072,2.029182705324454,2.0132217922822915,2.0533655995582127,2.016891570158961,,,1.9282405721477525,2.0382464268959817,1.9626302835703706,2.0682861231960215,,,2.021932585338085,2.063251544528313,1.9030474032956295,2.0169006862418124,2.0604172490067896,2.171498469626806,2.078145738083011,2.1838463893001543,2.1083091153480584,2.1010658793306622,2.0175369323342287,2.1082899110703543,2.1365558513261553,2.1768132599299883,2.1181371783512546,2.2162780074644197,,,2.1376958686786574,2.1553709892274173,2.1391646642672435,2.1786869198667316,,,,,,,,,2.1653575133116503,,,,2.107965052382467,2.146278560527844,2.072905030371977,2.1828159467769397,2.107118488995403,2.1843089341377566,2.1950040219760445,,2.1078928129635397,2.149761308807236,2.1437014903498564,,2.132598144768575,2.1628956104785937,,,2.0141946160433326,2.0892021114737127,2.041390668103491,2.130390411583577
Mew,Volt Switch,Psychic,40,2.026950695108559,2.0343333290929166,2.0298882676787042,2.033117675249673,1.8982054027555133,1.8752037265090615,2.031023399541211,2.0538118407354773,1.9180202446207995,2.0487126402435987,1.939605742772296,2.047144862187217,1.7555252909239774,2.0555312129324146,1.9834200365200139,2.028971642657481,,,,,2.119620410924936,2.25158066207671,2.0859988590988165,2.0627786675347624,1.9768163514856143,2.046681385436739,2.0271630392092983,2.093530448284385,2.035838331424657,2.100707820768898,1.9630148988440403,2.015628740451429,2.167915751823692,2.1462914716171277,2.0472737866913002,2.098224455435187,2.0754562284107005,2.0546175973713967,,,,,,,2.0841908745276894,,,,2.073820117958111,2.0916508603364146,,,,,2.1270588728006357,,1.898743525642886,1.9440380973366727,2.0643709635405223,,2.078934686386369,2.1099247651037394,,,2.0987835292411674,2.181335286646951,2.016293428289713,2.100400486478152
Mew,Charge Beam,Psychic,40,2.0441172613519027,2.033172184072224,2.049207784515926,2.0288780681956453,1.941008865839053,1.9055004644432243,2.0538195611448473,2.0657833501300913,1.8861502139700272,2.008555854905332,1.926197411343164,2.040315770925872,1.7462017366761868,2.062694858016969,1.9675340734385343,2.005964479268584,1.9756473720123107,2.1314674455011895,2.078560607086756,2.192105858691677,2.152192251016581,2.269726933628126,2.053334035564877,2.0623103865725163,1.981755847690989,2.0603774539459234,2.0775308860425037,2.134324873713916,2.0436028304693963,2.1097594354339133,1.9874632605908007,2.0459511509167214,2.1714793056180115,,2.10101388850921,2.1459950313738756,2.0832309293641016,2.1140917909664503,,,,,,,2.0983405571346765,,,,2.0305536669021067,2.05009630527005,,,,,2.091989947916807,,1.95112002554052,1.9918359358328586,2.0619613632489653,,2.059199585948236,2.0635906253407925,,,2.117248625716119,2.2106632337908674,2.04475788799777,2.137396028232452
Mew,Shadow Claw,Psychic,40,2.073971274499576,2.0598430612231153,2.0784797171758846,2.0566743032485557,2.121631726295003,2.084843652056235,2.1065872505693166,,1.9871126196370505,2.12587442378311,1.955166017392858,2.059935851160974,1.5579878902138922,1.795247311688564,,,1.9320107045515071,2.0740541837744124,2.047990675169756,2.149096776710913,2.0974079999968147,2.212371930096053,2.2084136848272298,2.2311650200373387,2.0411959800468478,2.1176357390460883,2.1960048552075717,2.231052334016068,2.127095766673528,2.2027190154088347,1.8212672324766288,1.8417235702425117,2.175434997808517,2.1802436812584065,2.1934758608102793,2.2230344501930586,1.8830871489933878,1.8737619855880934,,,,,,,2.1610729358079266,,,,2.159408801207047,2.204091738045282,2.0968529937872145,2.1741118000977764,,,2.2464777178257456,,,,2.1639889989850283,,2.1713361011810717,2.1976891951329462,,,2.0776169310606476,2.1652408570527917,2.1133052878375733,2.2024877873980433
Mew,Snarl,Psychic,40,2.0783832946714322,2.0836777904305923,1.9745019177390017,1.956964170876668,2.1127054787194117,2.0944510495345585,2.0927465011632878,,1.8429823480683478,1.9404236800787766,1.9654681183643838,2.0851532153947017,1.5413594071926862,1.7879727636295282,2.0087920137041433,2.0590234953885886,1.853829718354057,1.9842678647588259,1.9050768155364035,1.9938844435752454,1.9566447424808218,2.0683282787683615,2.014224577698882,2.0149150296002847,2.054274575191997,2.1492515436859763,2.139696014509431,2.195370258587809,1.9651044867034386,2.0201880327392,1.751720808383316,1.7694657389044435,2.0168921971289757,1.9846447180905367,2.1662765356757228,2.1683751797781237,1.8327209071470012,1.808749183874777,,,,,,,2.13170156635764,,,,2.12126501252983,2.1241853961076305,1.9498577065674634,2.0047887936620454,1.9963801865903028,2.074340373617481,2.047433824821673,,2.1594819573012076,2.1952082397579757,2.17415564681786,,2.006992956724485,2.019267576642458,,,1.9196800617074843,1.9876334475803143,2.1041522698331407,2.1929133320931347
Mew,Infestation,Psychic,40,2.0783832946714322,2.0836777904305923,2.0864357524556536,2.0793294898028707,2.1660597652769926,2.1467128598635004,,,2.003486670011047,2.1341965304283748,,,1.8584200057544449,2.222331166263717,2.0669879091838492,2.123552242082037,1.9066762898674756,2.046937915969719,1.9828800007880831,2.105429130594134,2.042431875436195,2.151341651528633,2.2150183469244396,2.1828023678117314,,,,,2.156308880865499,2.2223393640501405,2.1796628358860417,2.245529980601487,2.046175253469504,2.0653013493300447,2.177574973249225,2.2338372088266456,2.2563458712890503,2.287665306472844,,,,,,,2.1945875958991605,,,,,,2.1108121376984643,2.182063371055511,2.1441349836665458,2.2332066102517296,2.195440408417524,,,,2.2175964131745576,,2.2007436928724844,2.2338037596732625,,,2.0101831228555547,2.097813272693149,2.2259067737255176,2.3316149807917332
Mew,Cut,Psychic,40,2.0806182085616185,2.0719011366638105,2.083428797146518,2.0672455440090824,,,,,2.016414805759323,2.1462598949787157,1.981143213848094,2.095455252279859,,,2.0781048242229914,2.127193853645025,1.9491767510751346,2.067809869232998,2.0766550465441114,2.2046692836225903,,,2.1680667408061125,2.218090033089111,2.1137345336984583,2.2280836071530477,2.190826036872558,2.318608031957578,2.156832675921208,2.2532733932980813,,,2.1502766650745855,2.166367510029017,2.1956826990287617,2.31905043254865,,,,,,,,,2.188473482782538,,,,2.1528468360513764,2.2028792462934526,2.1120435674720186,2.212037306073243,2.1377409279104125,2.222138069200561,2.287126141613616,,2.141274923774569,2.1914729966193485,2.2593459885396756,,2.2083022940831643,2.2274515396169643,,,,,2.2156606891403072,2.3273228610255265
Mew,Dragon Tail,Psychic,40,2.1210131421452045,2.091886450240026,2.1260641303339503,2.0882324520528632,,,,,1.9680090645422361,2.112445856248506,1.9890661567629375,2.106029667969002,1.8062207469371234,2.126535691831033,2.0523699346757747,2.085814419833706,,,2.0742148618535308,2.1750984141136622,2.162174776836887,2.2503898240453974,2.1728219962327078,2.190505485437546,2.0912151207314986,2.1733866859197444,2.1581074852810453,2.228312250717994,2.1562922548532875,2.229199909936225,2.067690807614874,2.1020622299896266,2.1907258079122123,2.165811454489008,2.1669683201918097,2.2299724393780274,2.1895163122414076,2.1837546386006705,,,,,,,2.202504830616946,,,,2.1964582279257616,2.1876848950986107,2.12134074159847,2.204078551141308,2.1769027548267417,2.253807671213792,2.2407363792018598,,2.172616773752252,2.2129929004622664,2.2157235643235063,,2.2173592345086033,2.20877879389464,,,2.1389217784165293,2.21761608276802,,
Mew,Poison Jab,Psychic,40,2.1238622986304594,2.1190928286861532,,,2.1813719116324113,,,,,,2.0049849242633546,2.124997537698702,,,2.0335464199995834,2.083959353187657,1.9825122145815457,2.137486350328033,2.1020594419960505,2.218260027381015,2.15491797518117,2.283871570359671,,,2.101768416470833,2.1793713576895173,2.1879760981753815,2.22166672546387,,,,,2.1555237800526887,2.176461679364266,2.1958496395559406,2.2217960923058757,,,,,,,,,2.2311329659769994,,,,2.1619000764047147,2.1843305273824654,,,,,,,2.150514536368179,2.192727979654046,2.2312512259336095,,,,,,2.14321858719833,,2.1788201239934493,2.2764516808468453
Mew,Steel Wing,Psychic,40,2.1299808488038763,2.1096214265448276,2.139587585711761,2.1074025744078413,,,1.8737269549560915,1.859159011198793,1.99791211607406,2.130752965118537,,,1.78545447793337,2.1150575904692146,,,1.9845255519837974,2.1129561990913017,,,,,2.240455502940707,,,,,,2.2167814492101376,2.2922809937014206,2.0753536183639327,2.127124871980365,,,,,2.220162102705978,2.2175358379212073,,,,,,,2.254410049679473,,,,,,,,2.1730124732472813,2.2578000020223477,2.2884579051278298,,,,2.275480880728691,,2.20038533352196,2.2344488443610944,,,,,1.8366421425757609,1.908251532719665
Mr. Rime,Confusion,Return,40,2.4162933479144155,2.379526455220309,,2.3704681325426282,,,2.8197068957203264,2.7106329601247277,,,2.5145718217012494,2.4405571884636528,2.779045745522807,2.8888792382631467,,2.370448828672416,,,,,,,,,2.4452567374638745,2.3968015871496102,2.487227432580344,,,2.3361358782653747,,2.8700083289118425,,,2.524200826960731,2.410033357936857,,,2.3940877906507896,2.3534975589955893,,2.359311413372156,2.414056666667265,2.327943659812909,,2.4074272700481827,2.4470762307580007,2.3862308006722435,2.445432045170292,,,2.341803826694068,,,,2.3914985166373985,2.3981987501147204,2.365182013902768,,2.332337095063566,,,,,,,,2.3175262647092003
Mr. Rime,Zen Headbutt,Return,40,2.588366192322797,2.51491295988541,,2.5101547887159366,,,,,,,2.8315775120078435,2.6828744414824732,,,,2.5419653986070356,,,,,,,,,2.680800688969444,2.595768105375613,2.7640954052472346,,,2.594969333728488,,,,,2.818303055318769,2.649331906212068,,,2.622091340401276,2.563197170545564,,2.597414508104135,2.697299068576923,2.5868799577618913,,2.6136651188848474,2.6531117641903514,2.566619759044868,2.7067531905084197,,,,,,,2.6134664834663965,2.5933703681333378,2.5387394931598255,,2.548070502472863,,,,,,,,2.5241101191024136
Mr. Rime,Confusion,Ice Punch,40,2.64264730149026,2.5830609249430725,,2.577793345338765,,,2.714476578523645,2.609780458374762,,,3.0049031693819326,2.9554494570847725,2.5827450182808325,2.579186797943984,,2.588090923480644,,,,1.9981584114501363,2.0291147069302133,2.02588688929231,,,2.93093530686597,2.8867519958165215,2.9986074604729795,,,2.5094508428106694,,2.5890212935258554,,,2.7396203967023864,2.588936186874575,,,2.609882384110619,2.5474066258446824,,2.535185629503198,2.61008435736184,2.503692172750459,,2.596778017402219,2.6210797680855764,2.5428963834902385,2.9010734325287344,,,1.9882645645226142,,,,2.5539985805689582,2.8512050952396266,2.8118721207069948,,2.520496864208455,,,,,,,,2.5105641379389763
Mr. Rime,Zen Headbutt,Ice Punch,40,2.7883626403598725,2.6895456136526525,,2.686111493789183,,,2.9575500220982978,2.8267413158979373,,,,,2.792563022103941,2.7204159347675314,,2.728443848838418,,,,2.114134338467791,2.131822945965126,2.1155163320707397,,,,,,,,2.7234069707946365,,2.704839846116775,,,2.965520577883032,2.7822740961127015,,,2.803788159303192,2.7209880184904702,,2.7278773362117392,2.8389990972921098,2.7160093502910256,,2.7592282889669435,2.8097769111187896,2.7122754446785318,,,,2.1000091062315382,,,,2.7467299383519257,,,,2.6844705743021557,,,,,,,,2.6753863707497225
Shadow Gardevoir,Splash,Psychic,40,,,2.059823655410989,1.9785787730905684,1.9914973372749951,,,,2.2279213017763566,2.233609313998144,2.2843636508696465,2.0971695547239997,,,,2.003597674446898,2.1693043930609757,2.120468193930151,2.0928661641815367,2.0423888567897563,2.031569916777154,2.0786360441335097,2.024292991256542,1.9984617507234204,2.011056422987329,2.028279613132282,1.9959294745532008,2.0472983792360044,2.143197400080856,2.0613053588595567,2.2306889264204135,2.1359242199948447,2.1052802071533954,2.00126248254906,,,2.050610360270974,2.0939142166439124,,,,,,,,,,,2.0234751318379343,2.0580260561220207,2.1218961026048437,2.0476174708766584,2.0538276667660296,2.0399020814611237,2.0062505607879717,2.0478214080166266,,,,,2.067929454233793,1.976370053367731,1.98253837700665,2.0899654333615407,2.0894301716981145,2.053184065188198,1.9964881755703843,2.042240415432836
Shadow Gardevoir,Splash,Synchronoise,40,,,2.197495005952519,,,,,,,,,,,,,,,,2.2234956743673067,,2.1528003482890505,2.2007848908965304,2.160037330808901,,,,2.1446552366241183,,,,,,,,,,2.173357072912462,,,,,,,,,,,,2.0901096730595268,,2.2637189459979106,2.150951973456217,2.23063794684789,,2.153611983134009,,,,,,2.2130257201493935,2.115145680749513,2.1676822605279935,,,,2.1479703181677006,
Gardevoir,Splash,Psychic,40,,,2.310661746601798,2.3337392912536568,,,,,2.286127224188993,2.5169789781712386,2.519199087318233,2.4215832933378354,,,,,2.438008131288036,2.500440097506879,2.367381811121906,2.4495838235376266,2.3678080894283005,2.472634844135186,2.3181401206262735,2.3360194878323717,2.332220236592381,2.3701212750057743,2.323868288895013,2.4227792468169906,2.3556639991466035,2.4342332234175785,2.319113334827587,2.4403691992364958,2.390677062284183,2.3765499299999964,,,2.375663031939826,2.4638549769812057,,,,,,,,,,,2.3991975822302023,2.4238405102413694,2.3913460126356587,2.421943018153446,2.3788716894501656,2.409432935342819,2.400189159394763,2.4117153303667087,,,,,2.367613706767895,2.3049363775408196,2.355009428822432,2.4654093428193327,2.410244056278556,2.4339430149905885,2.3696510468021112,2.418400497993942
Gardevoir,Splash,Synchronoise,40,,,2.4651788996282114,,,,,,2.4349588294032323,2.6530640093938174,,,,,,,,,2.549825739207672,2.6021555103050655,2.503400218143542,,,,,,,,,,2.488153590492752,,2.607935860688928,,,,2.5501266792390918,,,,,,,,,,,,,,2.6176745998708855,,2.5619655466106472,,,,,,,,2.5875591444650716,,2.521743142604374,2.6699633411724046,,,2.5731319025088797,
Starmie,Hidden Power Psychic,Psychic,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starmie,Hidden Power Ground,Psychic,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starmie,Quick Attack,Psychic,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starmie,Tackle,Psychic,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starmie,Water Gun,Psychic,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starmie,Hidden Power Water,Psychic,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starmie,Hidden Power Steel,Psychic,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starmie,Hidden Power Rock,Psychic,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starmie,Hidden Power Ice,Psychic,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starmie,Hidden Power Ghost,Psychic,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mew,Frost Breath,Psychic,40,,,2.181930939693585,,,,,,2.022239507572844,2.156241211404001,,,1.8380719578636735,2.160304253981423,2.0867131770481926,2.1500115264012583,1.8012000682662899,1.928967348117322,1.8940011681691555,1.989160302281557,1.9434893350663505,2.0240939569257703,,2.245166755349248,,,,,,,2.101918337660459,2.166507672508115,2.008656229996569,1.9805094045701939,2.221564714404136,2.297324644373887,2.2254033106054107,2.248540410603785,,,,,,,,,,,,,1.898585648167548,1.962123279740233,1.9376687485077706,1.9978718603655667,,,,,,,2.225846111350299,2.2177399782661444,,,1.9113120894881896,1.9635548485726415,,
Lugia,Extrasensory,Aeroblast++,40,,,1.9795634017423334,1.9320089901707207,,,2.068855467706211,1.9910155065732658,,,,,,1.947104596218539,,,,,,,,,,,,,,,1.9716054953013356,2.002591626812441,1.9908768187516601,1.995400773216924,,,,,2.0375632945200124,2.0144207176353475,,,,,,,,,,,,,1.9392136163619527,1.9810201796311389,2.0016905283560917,2.0396833950657607,2.067361615737439,2.090375758115472,,,,,2.0208873064722512,2.008860206657764,2.026517782934192,2.065846166551098,,,1.9869421206425761,2.009624783572455
Lugia,Extrasensory,Aeroblast,40,,,2.235107541939059,2.1751362100945126,,,2.3268485797085052,2.24274149839282,,,,,,2.1897212193493605,,,,,,,,,,,,,,,2.2603723020322453,2.2854254741631377,2.2487999020098672,2.2579629209508285,,,,,2.3053612674442703,2.2667641065760273,,,,,,,,,,,,,2.1577639903081014,2.21086631827875,2.2812596860646086,2.2981807458706793,2.3213137228591965,2.334690437373096,,,,,2.310668037333243,2.2735321702798994,2.2200360674343615,2.295147901271757,,,2.2351278726229844,2.2535990575818645
Lugia,Extrasensory,Sky Attack,40,,,2.346668190549251,2.303330995901202,,,2.4060240068365135,2.3704525718189884,,,,,,2.2888106612047006,,,,,,,,,,,,,,,2.420982823037634,2.451372859987919,2.368857659740289,2.396475032509292,,,,,2.4010948882568095,2.3999037705982507,,,,,,,,,,,,,2.323475211097076,2.3911305174200814,2.4347597835518116,2.475241489969397,2.497289851830164,2.5145852707102905,,,,,2.456113500337118,2.425313317859672,2.388039453777142,2.474366009388191,,,2.3839379748934193,2.429897095042445
Lugia,Extrasensory,Return,40,,,2.597389277752193,2.548730174578949,,,,,,,,,,3.2260774311474663,,,,,,,,,,,,,,,2.655381705025875,2.6889888447959507,3.369091058830352,3.3951952411923,,,,,3.3919395912080432,3.3980191888475817,,,,,,,,,,,,,2.543499439527233,2.6219934061130874,2.7115682018633662,2.7615348847735364,2.7403318269943124,2.768081063411984,,,,,2.724126316427064,2.6944260329673013,3.0664929415145235,3.1748466195336174,,,2.598263272585657,2.661279527960658
Lugia,Dragon Tail,Aeroblast++,40,,,2.6242623927657567,2.5339227737395187,,,2.576362254004614,2.5642446056639034,,,,,,2.4721778077379293,,,,,,,,,,,,,,,2.6116094578702795,2.6326924928375064,2.5311834745065243,2.560898900689604,,,,,2.6495159612294445,2.6394140127130687,,,,,,,,,,,,,2.563586027052141,2.638688962152364,2.666652481750048,2.6835709778997536,2.635562506204379,2.6412419630508683,,,,,2.6880460052801736,2.6817832138753057,2.9662028983716104,3.1183394683352375,,,3.3431891353672696,3.3828594644972814
Lugia,Extrasensory,Hydro Pump,40,,,2.7042337338655833,2.6492321920360395,,,2.2389468810582236,2.2216738301071213,,,,,,2.647890056326525,,,,,,,,,,,,,,,2.768456316709577,2.7964167669161264,2.7202510699479543,2.746894260827575,,,,,2.756971180144415,2.7819081223532676,,,,,,,,,,,,,2.148003817893015,2.2293498131089113,2.2559541357999815,2.2979658714400064,2.837690113009019,2.857701586736172,,,,,2.813637052212109,2.7881133272521756,3.1856228738803596,3.2824964156833554,,,2.6850498849720323,2.736202715153166
Lugia,Dragon Tail,Aeroblast,40,,,2.9890027456424715,2.8863300205221414,,,2.921844974005948,2.8987140024971945,,,,,,2.8005336435937487,,,,,,,,,,,,,,,2.9668141553219356,2.9846826029955733,2.8800043129770443,2.9005224212634086,,,,,3.037030722536112,3.028824587386078,,,,,,,,,,,,,2.9168696927910704,2.988171673559255,3.023628115677722,3.059588591905185,3.0350595378661303,3.04991896486833,,,,,3.083003143274625,3.0367422526294243,3.499370581044102,3.5988105815351057,,,3.860822535745613,3.9927716025735944
Lugia,Dragon Tail,Sky Attack,40,,,3.0414390499747976,3.015976270104052,,,2.992681638399336,2.9684759804488277,,,,,,2.8469564879212332,,,,,,,,,,,,,,,3.119463864940741,3.1584819818101915,2.9435316424449423,3.013512270289895,,,,,3.098763269888023,3.147049706200873,,,,,,,,,,,,,,,,,3.2210097655750873,3.264738932093252,,,,,3.201053147543474,3.1765586336042047,3.70863939672015,3.8562416122438745,,,4.028101062223602,4.184162255775505
Delphox,Zen Headbutt,Return,40,,,,,2.5163202724982767,2.3552241810714327,2.981722405498506,,,,,,2.9792359869607568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delphox,Zen Headbutt,Flamethrower,40,,,,,3.045675659897842,2.8270027074956534,3.191581980696348,,,,,,2.5141856783737344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delphox,Zen Headbutt,Flame Charge,40,,,,,3.080136510207626,2.908388478357669,3.2476361710158077,,,,,,3.1796286867521553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delphox,Zen Headbutt,Fire Blast,40,,,,,3.0856405025728013,2.836497202801727,3.2913411291921957,,,,,,2.6744174087343775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delphox,Scratch,Return,40,,,,,3.6952865035539864,3.444323890245732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delphox,Fire Spin,Return,40,,,,,4.020948848920315,3.756620898505121,5.0634865421548145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delphox,Scratch,Flamethrower,40,,,,,4.482598828306723,4.058823353456076,5.290949197119353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mew,Volt Switch,Grass Knot,40,,,,,2.1398636420827666,2.0883376369025792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.136835336595973,2.161687877916755,,,,,,,,,,
Mew,Volt Switch,Wild Charge,40,,,,,2.1398636420827666,2.0883376369025792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.136835336595973,2.161687877916755,,,,,,,,,,
Mew,Volt Switch,Psyshock,40,,,,,2.157903817013665,2.0968544119184624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1487399957798528,2.1662490597027864,,,,,,,,,,
Mewtwo (Armored),Confusion,Dynamic Punch,40,,2.6812670157508065,,,2.7250485425628077,2.662447687095004,,,,,,2.7488036305638066,,,,2.1025880600351208,,3.142968438705818,,3.150160847333559,3.1433748778952624,3.2335004372090688,3.18694506546171,3.161803458119442,,2.7450475452207375,2.7845902155791067,2.819634396318043,3.1691488322777617,3.2315303132648228,3.136974395888295,3.161578262455262,3.13150556202105,3.074778382381743,2.831126672495496,2.8479180802004747,3.1897343799523497,3.1928527344265567,2.8030938137383874,2.7923578674022482,2.8728604431217613,2.84301571136465,2.8240623576907824,2.76118692492091,2.809286384222126,2.824224321452659,2.819812488117346,2.8075991145892463,2.7764072905862998,2.7512265862454544,,3.21026205897011,3.1467353243909706,3.202064784781289,3.209127810430716,3.265285283677115,2.788555517293583,2.791207297439628,2.8509864946759857,2.797176608107178,,3.2105442306033387,,,,3.0537988487840075,3.039260580426438,3.116715872974012
Mewtwo (Armored),Confusion,Earthquake,40,,2.6771697372175476,,,2.747862078568064,2.659182984787006,,,,,,2.302422047017093,,,,2.642506316827203,,2.7445948905912334,,2.778663478405497,2.7757003782422274,2.8345748128401183,2.8188710772659515,2.779473724059026,,2.280103442740651,2.3144586790272608,2.3727108320712933,2.3222833339275315,2.351662476053903,2.316866220867422,2.302993385781701,2.779830953059823,2.7198040843736524,2.837490877186719,2.845562833367521,2.343693241472565,2.3424837389635194,2.7941189622948466,2.776797407818846,2.84572268366013,2.8137039552328837,2.813623374054134,2.7643752208772074,2.8204584995861204,2.8180224770271205,2.7906236948126364,2.777964659967213,2.2976931807724164,2.3007646521545944,,2.3481048251554566,2.3173526608278,2.338199353073479,2.3608714944904485,2.4043922335039283,2.784763659981629,2.779228648884325,2.8410595478574416,2.7817703802378935,,2.3240900050787556,,,,2.7078114323510274,2.2580420330355797,2.3312645311321205
Mewtwo (Armored),Confusion,Rock Slide,40,,3.032443734229032,,,3.0739003636477027,3.0055436844799583,,,,,,2.9013845047051,,,,2.9907076466530476,,2.884327137318235,,2.946698333535919,2.923101066637706,2.9931158452499154,2.3739481438017154,2.3486023194298213,,2.894839990704432,2.9528555279843953,2.984498499182299,2.9425899041881185,2.9772959660396485,2.8934415737691617,2.907780935912919,2.936039215909497,2.8737712222467744,3.234629924019558,3.2595405861716507,2.9588966214120114,2.9537654754220024,3.1520996609475618,3.155117301455303,3.2417579865379555,3.224259866780765,3.1759179129494015,3.1285288619980496,3.1825489660701565,3.201742807882406,3.16660794822529,3.165804223921982,2.896557037614599,2.868918956600771,,3.21026205897011,3.1467353243909706,3.202064784781289,2.9708906383555047,3.00896967297428,3.158606943475911,3.1669969731877345,3.221181316692137,3.181511467411791,,2.9497244104952327,,,,2.8749496639097973,2.840240550093616,2.905750864697215
