Attacker,Fast Move,Charged Move,Level,"Arceus (Dark), Tier 5","Arceus (Dark), Tier 5","Darkrai, Tier 5","Darkrai, Tier 5","Mega Absol, Mega Tier","Mega Absol, Mega Tier","Mega Gyarados, Mega Tier","Mega Gyarados, Mega Tier","Mega Sharpedo, Mega Tier","Mega Sharpedo, Mega Tier","Absol, Tier 3","Absol, Tier 3","Crawdaunt, Tier 3","Crawdaunt, Tier 3","Sharpedo, Tier 3","Sharpedo, Tier 3","Umbreon, Tier 3","Umbreon, Tier 3"
(Boss weights),,,,25.0,0.0,25.0,0.0,11.666666666666666,0.0,11.666666666666666,0.0,11.666666666666666,0.0,3.75,0.0,3.75,0.0,3.75,0.0,3.75,0.0
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Terrakion,Zen Headbutt,Sacred Sword,40,1.334848253903023,1.4117115730211969,1.4167399036921418,1.4527255654056117,1.391248664029026,1.4671111640568626,1.562525566248137,1.4952850500607142,1.6250104883181833,1.4727539978949231,1.43246125745558,1.4840173121381557,1.457191500423334,1.4959628936491438,1.4643698257131263,1.4972265689251878,1.5555889952157615,1.5989243012306111
Terrakion,Smack Down,Close Combat,40,1.6123729554340842,1.590061175624637,1.707295479809937,1.6406726492624095,1.6013034921109655,1.6305039036321471,1.8026738025831595,1.6425668736320669,1.8855119298161012,1.695087697642881,1.6058609926469394,1.6418602004898384,1.6978724622909673,1.6731137652638004,1.6931780265403604,1.6925243639572032,1.6361477652681802,1.6472592171148142
Terrakion,Zen Headbutt,Close Combat,40,2.339707211171248,2.31467328303132,2.371002987764333,2.288512810349935,2.3067123943981964,2.390421342526543,2.9387545581860732,2.455726127893763,3.3586674152581777,2.4684839942418972,2.2197522454714713,2.2801669627777983,2.324456293063124,2.399640824420365,2.280614031816993,2.3082685139075694,2.3235094098183757,2.3907681020556946
Shadow Scyther,Fury Cutter,Bug Buzz,40,1.2454995759917877,1.1675453555219897,1.241572628454084,1.2048729797957758,1.3614525111704388,1.2521265017792844,1.313153235864312,1.2195592867420206,1.3718180784849976,1.215854999891577,1.2797356118647205,1.2395370224845743,1.2751299925319923,1.2240395654293594,1.2983616661296806,1.2311525097856004,1.237233046366907,1.2153407711988637
Shadow Scyther,Fury Cutter,X-Scissor,40,1.318436314977048,1.2429188284485213,1.3035020784170082,1.2807860409978433,1.4515479518600007,1.3313682766223356,1.3904849818339051,1.294829372653307,1.4507558822415032,1.3170659029229212,1.4027364009878838,1.3349393021179532,1.378679388959832,1.325109353934311,1.4009843868968637,1.3599364667555618,1.3262566276438779,1.3148868040867623
Shadow Scyther,Steel Wing,Bug Buzz,40,1.4947243188710182,1.4216215580629894,1.4771703919063621,1.49396358177415,1.7682302879539742,1.5619602109653035,1.7287330887860082,1.6185607239135147,1.978485548854207,1.6557232240706055,1.5515473353783575,1.476436592359502,1.6812242025129809,1.6444051853673392,1.704279315356593,1.6433041837891798,1.4792435046500612,1.4747462330425616
Shadow Scyther,Air Slash,Bug Buzz,40,1.4517673605467727,1.3941742286576693,1.4450256723107886,1.4570653175620623,1.7408962497871014,1.5964663447692626,1.6052272199001427,1.5013555149643567,1.6591064435129148,1.4905067697742966,1.5389019227272325,1.4990149937686823,1.4856489786746891,1.4507657634795388,1.5099407061153245,1.4668998113235958,1.4671428463817842,1.460865861218028
Shadow Scyther,Air Slash,X-Scissor,40,1.5730885735050026,1.4932426955872347,1.5315634775483742,1.5576731950172533,1.743595946261776,1.6790900378956866,1.6934008046234608,1.6104395242461065,1.7067213414025066,1.5767853038266697,1.692328685101945,1.6229197318529862,1.6207304034559913,1.572173489418099,1.6501792914058766,1.6064499097371268,1.606023234770425,1.5966930718688368
Shadow Scyther,Steel Wing,X-Scissor,40,1.6180552549649383,1.5386564862535927,1.576403272884603,1.6149792505343317,1.775178777827136,1.66901752858806,1.8741912734428436,1.7835633815829106,1.9931329588079483,1.8434217676975764,1.7021674985369917,1.6297324466244054,1.8875923495879379,1.8631831984890963,1.9253080384566168,1.8671818070981587,1.6121184073127945,1.6133158654043913
Zacian (Hero),Quick Attack,Play Rough,40,1.2156181972366622,1.2459838236110703,1.2424756709706979,1.2718685198029944,1.2595751221767921,1.3044633520576856,1.2456750031033572,1.277457577754955,1.2841894028375291,1.2859351829765657,1.2788135397508287,1.321631198023572,1.3073889216476025,1.348542388365699,1.295830283723714,1.3318564039773853,1.3613873773691678,1.3691892251211357
