Attacker,Fast Move,Charged Move,Level,Arceus (Ice),Arceus (Ice),Calyrex (Ice Rider),Calyrex (Ice Rider),Glastrier,Glastrier,Regice,Regice,Mega Glalie,Mega Glalie,Cryogonal,Cryogonal,Glaceon,Glaceon,Glalie,Glalie,Jynx,Jynx,Piloswine,Piloswine
(Boss weights),,,,12.5,0.0,12.5,0.0,12.5,0.0,12.5,0.0,35.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Shadow Magmortar,Fire Spin,Fire Blast or Fire Punch,30,1.5424552726932494,1.4135201344424817,1.498140547147338,1.4623304959497128,1.3950126668137786,1.3944750963959884,1.5372913773570738,1.3982935994197718,1.4247458579143146,1.399412075914227,1.4334101077280148,1.4335895029367025,1.4852109877800326,1.4544710829392067,1.4656130640942118,1.4786419406140676,1.4454377335260553,1.4030457454660752,1.5118897493757706,1.4680950199033314
Chandelure,Fire Spin,Overheat,35,1.4164759936190123,1.3693375486851502,1.4565754588142854,1.399320873789435,1.3621085700976632,1.3323425687023955,1.3588420850258716,1.3227470569839852,1.431840537949247,1.3923247927753695,1.4460903838953165,1.389093829207119,1.4404483208900691,1.3843849214656376,1.4247488155765546,1.4480980260205478,1.342813037280512,1.331693107453606,1.42911955210104,1.3796143406494112
Shadow Entei,Fire Fang,Overheat,45,1.1531480536755627,1.1232688186199151,1.1297023303961735,1.111053224327914,1.1294928826157584,1.1155182923130547,1.1247282655781612,1.085983842394448,1.1094461180737167,1.120413519365661,1.1356129438113047,1.1912970675886347,1.127795089420079,1.1863546199913262,1.1642324987747341,1.2361378037277488,1.0988999625093294,1.1119254888267758,1.1468288773054307,1.1639235609575693
Shadow Magmortar,Fire Spin,Fire Blast or Fire Punch,35,1.4350032348954294,1.3685896052578876,1.3938497496242805,1.3671075524292366,1.354867681826076,1.3596402382250656,1.4583885135943533,1.3558038907963037,1.3505796466068325,1.3329135105598322,1.386479114240627,1.38548820901151,1.4068306686500054,1.374522999433595,1.4012596883433015,1.4030762216584034,1.3675120417835172,1.3296134083704587,1.4044910522276313,1.392460815247865
Shadow Moltres,Fire Spin,Overheat,50,1.1250607157424781,1.091586249681349,1.0920279123716161,1.0821763667770439,1.055379043158538,1.056382704670496,1.0700508772320674,1.0467797418512677,1.1049137463212182,1.079973537897821,1.0892794376884003,1.1150520775052861,1.170603509498143,1.1536484924704495,1.1041546541610736,1.1564913639144263,1.0658387248332997,1.0868244024577793,1.0881281457271135,1.0977616761127773
Mega Alakazam,Counter,Fire Punch,50,1.2014669689283404,1.1986411576195681,1.3625124626619023,1.3711420001371921,1.1636637153575293,1.1451961468054153,1.1682979808356373,1.1402643454238957,1.2163404244127627,1.1817707370807338,1.189897278363105,1.206042400146973,1.2702196655446532,1.2336446058430546,1.2543042697277704,1.2608054317923538,1.3612462430142618,1.3972506670594207,1.1757960780120442,1.1905938920699952
Lucario,Counter,Flash Cannon,50,1.5233072896047508,1.4712512447180022,1.9815706009640868,1.918854170953922,1.5117718467426469,1.471552158211067,1.618500384095873,1.503047105583871,1.5653138878719786,1.4979173628163434,1.4959382034165847,1.542309331873537,1.540102806034384,1.5424455259941907,1.5839003871958646,1.6133216683010168,2.022658676840426,1.9277713824162266,1.538773606623221,1.5387610137730436
Mega Houndoom,Fire Fang,Flamethrower,35,1.2903000643667084,1.2598214602683322,1.2361608640612625,1.2379024563635344,1.2930520020822998,1.2707370097532116,1.3010660620147747,1.2811172527944934,1.2355998283920109,1.2488493130162124,1.3059425854872553,1.3357391313546916,1.3133934601964328,1.3518272283527888,1.3061175436176677,1.3655077687604764,1.250746946894348,1.2523972902753007,1.3392062262586115,1.32197540726824
Shadow Houndoom,Fire Fang,Flamethrower,50,1.2540379267813426,1.221425564750849,1.2109255857170473,1.2181666884926945,1.2360172398510565,1.2247656948211043,1.3867182865115926,1.2725330607119016,1.2086613895879412,1.210069617707277,1.2620307358824239,1.272641291979261,1.3008700989589053,1.2854920572977355,1.2535866595701293,1.3133426558194055,1.2911951116759985,1.2308396120223781,1.3053253616909593,1.2827583113915808
Shadow Metagross,Bullet Punch,Meteor Mash,50,0.9307703398125428,0.9265112592059452,0.9262331643375177,0.9396478651026758,0.9390577014107548,0.9540053504568938,0.9652731536375241,0.9393218459375364,0.9789208421753637,0.9476946223156605,0.984960602338783,1.0402816743175345,0.9784255841198092,1.0290816104856784,1.0231550361498079,1.0567065456015448,0.9271546621692335,0.9645831870061762,0.9840173754821184,0.9902092357288764
Entei,Fire Fang,Overheat,45,1.3796125204891374,1.3417546702088539,1.3222129846157684,1.3404730136755654,1.3037957597459708,1.3357998071806991,1.3375857408429646,1.2895308089446893,1.3299617967929407,1.3294619779581889,1.3533471733856182,1.4184347946841205,1.3529621709499882,1.4198309633069197,1.3651367110253236,1.4447436998689471,1.2822897897197099,1.3358456575582778,1.3504806713005413,1.3787463176959593
