Attacker,Fast Move,Charged Move,Level,Arceus (Ice),Arceus (Ice),Arceus (Steel),Arceus (Steel),Glastrier,Glastrier,Melmetal,Melmetal,Meltan,Meltan,Zamazenta (Crowned Shield),Zamazenta (Crowned Shield),Cobalion,Cobalion,Regice,Regice,Registeel,Registeel,Mega Lucario,Mega Lucario,Mega Aggron,Mega Aggron,Mega Glalie,Mega Glalie,Mega Steelix,Mega Steelix,Cryogonal,Cryogonal,Excadrill,Excadrill,Glaceon,Glaceon,Glalie,Glalie,Piloswine,Piloswine,Stunfisk (Galarian),Stunfisk (Galarian)
Shadow Ho-Oh,Incinerate,Sacred Fire+,35,1.263496970124799,1.3409826381277563,1.2622887956860396,1.316795870396829,1.2392964755071796,1.337650534415578,1.24269563572638,1.3389849434725043,1.252390629743313,1.3623385165446755,1.2494959732861912,1.3284761343547438,1.2435390825574562,1.3214954066008846,1.215398629521094,1.3067365525967778,1.269945392391891,1.3400567633848612,1.216302716063075,1.2828912188417219,1.378620758637308,1.3496978817624246,1.233481361862468,1.3437668214237652,1.1935080867031689,1.2770496387367967,1.2530557580483834,1.3545018393883397,1.1711492382404571,1.2673782402009148,1.2843095990758238,1.348822839334808,1.2464301700984781,1.3528424350940018,1.2557710417143877,1.3346695171922325,1.264081541266406,1.3431066284264284
Volcanion,Incinerate,Overheat,30,1.599723948832077,1.6713820763654872,1.591619117850394,1.6530432778725168,1.5490317704908378,1.6484929382551259,1.61644709705501,1.6861715582719747,1.5473530205417072,1.6539489661685836,1.5680392850127676,1.6363323512080141,1.5384117201274397,1.589633146710384,1.5510224405303246,1.6118797294190181,1.5154591885526634,1.6136653553708826,1.5951374667770466,1.63624876713631,1.6369443547763778,1.6806503384906362,1.4940578320549052,1.6102980756291212,1.5834220329962747,1.5608757813838952,1.542356790479258,1.6351568989777407,1.6478351677921146,1.636495265430596,1.5361207876991412,1.634807060277432,1.5115264100268577,1.6206020590868397,1.5715940037158638,1.6180041230816218,1.534762722164767,1.619992963227533
Lucario,Counter,Aura Sphere,40,1.2248312298209567,1.2842565381028634,1.2117951790570125,1.2661160529105406,1.2138800828368683,1.2803046512312661,1.2248520440369817,1.2887061231093884,1.2655875805309136,1.3322427227038147,1.342299744647417,1.3342588882341386,1.225832456927217,1.2763115159763678,1.3323447959732113,1.2979612698384801,1.2633743255093226,1.312158094617528,1.4713044787115632,1.340622908092735,1.2017804289215128,1.2557116032498736,1.2202765442067016,1.2842021598708115,1.2151229918546649,1.2436248996491102,1.2528607998372523,1.3017359757234646,1.2392911600015377,1.2545391643068564,1.2490888086901233,1.3044587926603204,1.2638205013428827,1.337914055505819,1.2506935430505715,1.307436817591815,1.2693804441696075,1.3213459426609662
Shadow Magmortar,Fire Spin,Fire Blast or Fire Punch,30,1.4714418936441354,1.4365398119285313,1.4669935935843665,1.4201281283126699,1.3728424627283167,1.435205669025489,1.4184037391781923,1.4440570356849045,1.4247099200593651,1.4594773501534724,1.4174519740718916,1.4494252602632096,1.4030127749079773,1.4629956849887098,1.4752916917462255,1.423413251087025,1.4185351415923897,1.436001795940332,1.4809455717912865,1.4826725712090183,1.5069607678213386,1.4962741023973956,1.3957492262145068,1.4477736845646616,1.4046350835731232,1.423733323711675,1.411226202383576,1.451684269415295,1.4184488038645362,1.4408082723626718,1.409440568834123,1.4674433807660276,1.4236571172784245,1.481971799462847,1.4539461963299485,1.4812297981726097,1.4770825114880641,1.4837247982258803
Darmanitan,Fire Fang,Overheat,30,1.5047890976507785,1.4913432137111604,1.5600258100198183,1.4910706549292527,1.3973794497826024,1.4703544122410122,1.4462561501140578,1.4761823373509901,1.439353054271933,1.4836239754443956,1.4776161854252603,1.4703390296601846,1.3943208883664822,1.4386966809984842,1.5788772265888724,1.3932958128486423,1.4697340290170793,1.4720000259341564,1.459532363414547,1.4979897885217914,1.5983918853178265,1.4817728816487608,1.4421385076032835,1.4714330170905665,1.4744590072252641,1.4230207196399094,1.4162781629850645,1.4668486276637225,1.3892469536025012,1.4509308970695642,1.412995782102143,1.466359801911039,1.4097358997314235,1.469326320501343,1.475363314754015,1.4954951515614263,1.4670604416107813,1.4628063928011685
Shadow Alakazam,Counter,Fire Punch or Focus Blast,30,1.626290622805616,1.5801514380296708,1.6135189196663133,1.5764502004885468,1.571458576658455,1.539383827181093,1.6267157080578745,1.5215228354675,1.5421754309036326,1.5391186292036292,1.70547083087802,1.6708151640149282,1.5110523833091032,1.5398075257508739,1.5794381300095046,1.4793117436773882,1.4980200892459157,1.4850124889172003,1.6870249266223296,1.6083117788490102,1.6728802847958826,1.633884526726893,1.7652822634907819,1.627405463598439,1.5900451917265765,1.5669148753844906,1.5510451455405427,1.5398053808466272,1.5530668990172085,1.5295157797624386,1.5821684114375778,1.556269981283638,1.5878021486123546,1.5840420769919428,1.547097299636049,1.54508666106742,1.532342498907168,1.5303807320375722
Machamp,Counter,Dynamic Punch,40,1.3696893588405108,1.4478233569754007,1.3716679725307646,1.4368272111351799,1.3524865782680813,1.440128770108061,1.3858294991260516,1.4416847267514865,1.4161382264647349,1.5004427092117245,1.4185928108426635,1.460220781771754,1.3844980512852239,1.4526837359646139,1.401397425702264,1.4406621296463087,1.4025256626582185,1.4735755259365877,1.3533496262789102,1.4241407583745607,1.3398295953115977,1.40376772586123,1.3680106984255147,1.4374074821692908,1.3179882916444918,1.3859946238983953,1.4001474901249427,1.467018156542967,1.3181963789193136,1.390374537114155,1.3865869057107292,1.4662433843481064,1.413249776186213,1.4887197851387646,1.3906874347815021,1.4525845613499275,1.4110328062861834,1.4758457454181015
Shadow Machamp,Counter,Dynamic Punch,45,1.1507209653988624,1.1811553280104623,1.143804212563949,1.1700032262524773,1.118366425549874,1.169071618557814,1.095970265238268,1.1617613881083744,1.1352286909299423,1.2011375518602219,1.191968571989786,1.2100082498526812,1.0983830307154567,1.1475455473413962,1.1199117785324832,1.1458993273552451,1.1273415706697658,1.1762047631320032,1.092699466452244,1.1613991864089899,1.1023701164371416,1.149849736527436,1.1097009150854529,1.16978283541919,1.0758630176527364,1.1388946518613399,1.1382677539118788,1.1911099055724141,1.07384390656433,1.1286854682674936,1.1615875773505153,1.2019665612938468,1.1448522829006267,1.2124328558639212,1.1222162836272938,1.1648850881881347,1.1431450108217032,1.1929461686906273
Reshiram,Fire Fang,Fusion Flare,30,1.304958518017633,1.2953115885760143,1.2843250218924274,1.2784311195096096,1.2551905542414636,1.2912422585805845,1.2579868873529272,1.2936786284818362,1.2533772388437276,1.311878098964482,1.2745488116283639,1.2793698683952073,1.286260014228711,1.3078099384453585,1.279411915463214,1.2765122058735228,1.250178702546572,1.2913070328569554,1.2694871683151059,1.2970953929517826,1.301529459369757,1.3185130963368448,1.2646851029471136,1.314173731664648,1.2865254688303371,1.2891571427282813,1.2459016393442623,1.2914031905335073,1.273977166433889,1.2684801968145767,1.2636320488595556,1.3058647586126608,1.2893017009847807,1.3527417188898836,1.2824947188923672,1.310096459749052,1.258388152633992,1.291588924546608
Reshiram,Fire Fang,Overheat,30,1.373445586710904,1.395329050762949,1.361994745817394,1.3790957275199336,1.3707460225543986,1.3734490170482987,1.3487567597131354,1.3769259342818012,1.3346965966202313,1.39675599554761,1.3510225888823415,1.3670901591043016,1.356808128924495,1.3818765659315166,1.3602962390180822,1.3626028261917,1.3318340149153818,1.3707838760866007,1.3715900673767432,1.398928943480379,1.4127835342150608,1.413531441665492,1.369078858834612,1.391081281119634,1.3683937543410216,1.3811259144333896,1.3333022530388052,1.387983793039144,1.379957203080353,1.3610445523621593,1.368183975570222,1.4151898054035659,1.386750223813787,1.4374440465532676,1.3992771881601385,1.420465246494108,1.3421044214387001,1.3767445331741175
Reshiram,Dragon Breath,Fusion Flare,30,1.6742651948891523,1.6769736915434714,2.010805180439692,2.008609485182283,1.6668426786538029,1.7285836269592785,1.9073432190933268,1.9847178638736775,2.0127711066887035,2.135696697810908,1.9096664702416029,1.9419917501473187,1.9786569334034458,2.0445304525348758,1.6389305050913334,1.6321117940561811,1.8506322261069428,1.9365796413630345,1.9191082979153213,1.9968708038073206,2.045922426766448,2.091053753858884,1.743527957206298,1.7827765442067016,2.0583478409900686,2.047818890322115,1.67036804719684,1.7424008679878618,1.970234357982138,1.9562164447804415,1.70459491165698,1.8052961035937207,1.733079677708147,1.8155326768128917,1.7369372120841924,1.8027919879870709,1.9629290032305182,2.0491081423986865
Reshiram,Dragon Breath,Overheat,30,1.7123699159957346,1.75943422514332,2.017416232658893,2.089549707332811,1.7741478304396048,1.8022004769990283,1.974993904009225,2.056905789026305,2.0349276486659695,2.172783080918811,1.9559049302691023,1.9814763307798076,2.0222652262674377,2.0726050914040024,1.719283215221425,1.7093641581249714,1.9097799324739402,2.015664230476848,2.080083656485556,2.051980305869025,2.206379264095441,2.1312066088648627,1.7883822836764904,1.8444733212219082,2.120100847006612,2.1284468839357396,1.7509959821655618,1.8229864207367725,1.9756672603564702,2.044501108363338,1.8262960409073405,1.8851495965683684,1.7760407341092213,1.89117054610564,1.8265760606754728,1.8410959252755086,2.0087853038073202,2.099900845478874
Shadow Entei,Fire Fang,Flamethrower or Overheat,35,1.2790940468803988,1.2709276879692961,1.2643499101258238,1.254866571415403,1.1916279800170777,1.2684307124559562,1.2823321095774283,1.2818148049396896,1.2235681519209363,1.2969060950517757,1.2735588293066196,1.297726969161265,1.2174112252157505,1.2333663274459463,1.243748416509599,1.242193117729674,1.2236399561064402,1.2616529458770365,1.228938331068957,1.2630307255378057,1.3236847967919543,1.2881421433345304,1.2157599919257167,1.269479208720226,1.2629103111103093,1.2497790025347058,1.235306084391476,1.2768999949141335,1.2586650948835898,1.2536422228771318,1.2346172100978803,1.2833424377837679,1.2336951656222024,1.2970008952551477,1.276959100048357,1.2856252067903593,1.2506477029202605,1.2844455343149277
Shadow Typhlosion,Ember or Incinerate,Blast Burn,40,1.2862331090494996,1.322348255453218,1.2950122136700926,1.3127731944508456,1.2679988614838007,1.3207455318146575,1.2781799992251826,1.3412114044023309,1.2499451883833101,1.3259267379498767,1.2710650166961304,1.3222675309369476,1.2689265056141545,1.3110558631569178,1.274611285142503,1.2961789735906752,1.2630760827105083,1.3076228590138212,1.3024427535342091,1.3353072355730191,1.3844448889959853,1.3738491545690552,1.275215314224196,1.316066141838245,1.2476005989482326,1.285409206122983,1.261481343346839,1.3277925644633564,1.297195136014761,1.332585882141896,1.2663992047784933,1.326963203094916,1.2771038495971352,1.3511414503133394,1.2667786515996031,1.3240054974421624,1.2699988272045888,1.315748510016739
Shadow Moltres,Fire Spin,Overheat,30,1.2911355251474068,1.312383662823747,1.2731382218739917,1.3094584504770244,1.2685857862141392,1.3051360821302032,1.4902680640728512,1.3585331337038786,1.2952195837690152,1.3264706378385671,1.3091243370654095,1.3052241209978392,1.541920566673884,1.3578559497664635,1.2454721327656932,1.268217279047255,1.2759993970308632,1.2974404608499595,1.222355136040814,1.2629633884045455,1.5403369902749298,1.4149954307174,1.318084712690082,1.3500243910644598,1.247936605298527,1.2778344052462092,1.3081441673589096,1.3222489701120586,1.4662173417218713,1.2885076175954282,1.313915480849311,1.3787421530084985,1.2818598925693823,1.3547112802148613,1.342113970120384,1.3097274184927847,1.2489311569093642,1.2938492211572292
Shadow Machamp,Counter or Karate Chop,Dynamic Punch,30,1.3987769038427957,1.3590467132077293,1.3777333271880905,1.3417449416970086,1.2592362126669743,1.3383061627096686,1.2299703974130212,1.2953353706476336,1.294081188653152,1.351401490875974,1.3263500294637596,1.3573333333333333,1.2475737727736707,1.3077461412354232,1.2507223645227854,1.3201015777056266,1.294952402718548,1.3399692356069484,1.3098537992006685,1.3399851858306826,1.2339950078882638,1.284041155369248,1.2498317857623469,1.3203934531018706,1.2301395441138,1.271747954645908,1.2776798277586587,1.3459575838744129,1.2571018541060697,1.2801404354009969,1.2864051152086113,1.3586466906068937,1.2885743061772605,1.361123545210385,1.2712071466748112,1.3186353108854445,1.2837631806211551,1.3342466921838516
Mega Houndoom,Fire Fang,Flamethrower,30,1.3429554937154704,1.3589724060292845,1.3326174125455132,1.3479559386090243,1.374556125904188,1.41236664147536,1.371910130283287,1.3951387037302907,1.3720949843154449,1.4305663304887508,1.408144568846985,1.4405657041838538,1.3666464319960407,1.4020248847783723,1.3323140414775632,1.3514052607761555,1.3858645880440297,1.4308571076607877,1.6049211561389678,1.4414582846459452,1.3709984678127003,1.3900848840857114,1.3272229511505853,1.387750639214103,1.3393844544068698,1.3517693327680609,1.338667842066896,1.382126570261244,1.3485386261419987,1.353241161923555,1.375974997089561,1.4278255885803326,1.37794315129812,1.441483885407341,1.3872006311878038,1.4173602097172382,1.3833121874766774,1.4276225304660264
Mega Alakazam,Counter,Fire Punch or Focus Blast,40,1.2685888695277407,1.2493934676559428,1.249400377932433,1.2394377102825276,1.3014437563182741,1.2491642702209311,1.2153650871783654,1.2198316822883553,1.2125004216278206,1.2523105204573817,1.2535517580043214,1.2534983303869573,1.2050925639518697,1.2160154195923165,1.220695725271555,1.1983943224272033,1.215469075949798,1.230914486981864,1.235592824238199,1.2244980412816235,1.249751076395677,1.263308888050303,1.2689703606513256,1.254091811330911,1.206504090708184,1.2297967725349763,1.2245833827792565,1.2254055978435927,1.2185846264238944,1.207859769614187,1.2362649663732348,1.2457574753508198,1.2604073410922114,1.2722470904207699,1.2431600111984933,1.2564836731058004,1.2047274316846672,1.2428219589948077
Machamp,Counter,Dynamic Punch,30,1.621271172901658,1.594347824471583,1.6222814213946628,1.5906659906899572,1.4873889701335794,1.5545319815089267,1.4882535385232436,1.5659540624366188,1.5471295577967414,1.6191731035180623,1.577055981143194,1.601689255549008,1.5149014816418696,1.5808909957004547,1.487697469490808,1.5214058612210706,1.5414598012471088,1.601960946402203,1.4686466424517053,1.5583159379072409,1.4751258257671165,1.5404688402205984,1.5257409837168618,1.6016140156102814,1.4398548632972823,1.517188190617079,1.5098241985522234,1.5960381100920542,1.4705226605845496,1.5269915303102135,1.5263954435956908,1.5886698845675087,1.5249328558639212,1.6118285586392123,1.5298668906365327,1.5849685678654146,1.5327689699657758,1.5838175556811276
Shadow Arcanine,Fire Fang,Flamethrower,50,1.2107221543137174,1.245453329518898,1.1941005668986495,1.2328358759275475,1.2055905071304485,1.2538635939815679,1.2108027793160185,1.2396100389003972,1.2257985630923869,1.2919140216548048,1.237047338440385,1.2769766254174033,1.1950609360017321,1.235639828018188,1.1848989568367976,1.2182690491149295,1.1995503665630922,1.2494201284713273,1.1856524374061734,1.221400533151655,1.2395099728570973,1.2511968792481825,1.1886985264432781,1.2469300901628315,1.2091109587681872,1.219288117552611,1.2192516995270144,1.2732381711224507,1.223325602552439,1.2244403726150968,1.2166620398148065,1.2685842728827674,1.2379700089525516,1.3016562220232766,1.2180397546511925,1.25809981929704,1.244911667181986,1.2832940624566866
Mega Charizard X,Fire Spin,Blast Burn,50,1.1660914052602052,1.164237441158003,1.155005761165138,1.152273586210075,1.0968190249982825,1.1461049986750027,1.1000084318377077,1.1458480035915073,1.1326441123891118,1.1686637771106687,1.1388898055391867,1.180759772146926,1.1144792601070246,1.1499698413189396,1.1449547249889063,1.1639771127972385,1.1198044564606036,1.1597446782300587,1.1060005307750502,1.1423031676179687,1.1140979417768826,1.1534642436586995,1.1288226685506662,1.1646565065267125,1.0803235583298003,1.1201031020827883,1.1184159221523386,1.1545764320952074,1.1273528695719026,1.1447407198595647,1.1402294321509487,1.1765158909973403,1.1291405550581917,1.1931065353625783,1.1482273294138607,1.156842533913619,1.160875545083322,1.1777211518983293
Shadow Typhlosion,Ember or Incinerate,Blast Burn,30,1.5149097353549839,1.4275820815669897,1.4967359542793934,1.4268368898926118,1.3485037345294297,1.4465456829624976,1.4084063143070056,1.4530904964073537,1.3654416973049548,1.440714912132762,1.3912787271655864,1.4486442742093892,1.3681659655417735,1.4421281975934919,1.5486133383712126,1.4311677774897593,1.3697221965582131,1.4218952357333774,1.581626469038782,1.5268972237296057,1.556368125048307,1.4800201866813367,1.3852736845646616,1.4285762346925044,1.384544609916923,1.3969069375163494,1.3765151643582485,1.4341973655212166,1.4480478710454494,1.4409876606486167,1.3740317193083005,1.4426912158471168,1.3707811101163832,1.4432520143240823,1.4288513909037694,1.4517319487923444,1.4555563848048363,1.4659089697525403
Shadow Arcanine,Fire Fang,Flamethrower,35,1.3401931243567784,1.3646308976678692,1.3293192607272895,1.354439784301977,1.3612708196335155,1.413092936292167,1.33249014956257,1.388208644684638,1.3530331905420445,1.415914763719769,1.3642993517972895,1.4088344136711846,1.3506545980389124,1.3862089764607628,1.3944600901838973,1.4043601087830446,1.3898568272477214,1.433016126182638,1.3375887760881877,1.381405444801375,1.3857633884526726,1.3891051025928973,1.3395993136859103,1.377430695734087,1.3324049936406852,1.346460883448643,1.382279146252564,1.428441860070863,1.3385056955780787,1.3541381033532796,1.375733206766547,1.4301897606275802,1.3738249776186213,1.439984333034915,1.377847344175511,1.4099284823496476,1.383184246159095,1.4286140756772894
Shadow Mewtwo,Confusion or Psycho Cut,Flamethrower or Focus Blast,50,1.255417922148369,1.3177597871842408,1.3514421348573535,1.417760980780753,1.2363540000196296,1.3344234298781985,1.3520041566681025,1.4568939388760134,1.4460695854555266,1.5426813842884608,1.279349440188568,1.3460601060695345,1.2607739954839308,1.3244571437409136,1.2406627154462258,1.2895345380308627,1.4383585624048743,1.5218389910316446,1.2248901810576682,1.298953105628196,1.3422006210587094,1.4249887472891196,1.249032768133495,1.335991118288252,1.3250421699245,1.4150422601275472,1.2897757132927594,1.3582738569515316,1.3386722704150276,1.401406916699768,1.2796528965585177,1.3699481494085093,1.2857990152193375,1.3855080572963294,1.2698327861342293,1.3335242167417476,1.4092203042871003,1.4761016280532662
Mega Charizard X,Fire Spin,Blast Burn,35,1.2845872050469436,1.284219384513641,1.266805549154261,1.2709923030833756,1.25762069743932,1.286807934280134,1.2222495687228958,1.267173032704136,1.2376041420717103,1.2905310824029412,1.2799497151836574,1.2964997053624043,1.2680623434068483,1.2820397321290482,1.2690915854235405,1.2856213945845727,1.2592491737539853,1.3011879464524505,1.2759119230296956,1.2804433159973223,1.3044824434977516,1.3259580717172772,1.2436415018167137,1.2960991118288252,1.2264276887273253,1.2368799668052788,1.2445454083103056,1.3005916557885635,1.2827543789961944,1.2582166241687276,1.2764469359792956,1.313834884074973,1.2699753804834377,1.3274283795881827,1.2731032551983916,1.287012292891502,1.2828462678451484,1.3173584382629835
Mega Lopunny,Double Kick,Focus Blast,40,1.398678446831356,1.3651807707883619,1.3836216988523757,1.3596423468682306,1.3399530852807522,1.3537330572104391,1.3774569121698765,1.3524348640537087,1.3360458056464397,1.4005253482645799,1.4173074052249066,1.392543704576704,1.3669576850505738,1.382299947415633,1.3846611220704512,1.348643214166985,1.3498420447785628,1.3645807500482212,1.6865258396346365,1.5005644436170338,1.3212455727970829,1.33900212323878,1.334203842013188,1.3610424236307361,1.287326020872985,1.3177740594077267,1.3299031990099512,1.3580280400766271,1.3210153376984484,1.3224888843329958,1.402106262369366,1.3847600454924016,1.3296665174574753,1.3790957923008058,1.3184571530375915,1.3381690463464917,1.3419764801211178,1.3780665934558016
Shadow Houndoom,Fire Fang,Flamethrower,50,1.2346360620167711,1.2613940769748062,1.2410748029681522,1.2486684795132967,1.220915327765073,1.27185411288977,1.2553661810383923,1.2949867027640476,1.2627078625156,1.3224440921509764,1.3359874287959144,1.329145550972304,1.2676737604008785,1.3048926660274056,1.323109660279983,1.295108424242158,1.2822122483778995,1.317874955223058,1.44086413347012,1.3071682358859387,1.2764188645446402,1.2713153623372901,1.2100112703539228,1.2638650585385547,1.2208576505714364,1.2409639097608718,1.2505297777476392,1.2887076813535185,1.2411362966569712,1.2535653421831554,1.2497783588705706,1.296954337449739,1.2526186213070725,1.3163048343777977,1.274986638161411,1.3011631162352701,1.2778778800123678,1.3069098973270927
Primal Groudon,Mud Shot,Fire Blast or Fire Punch,45,1.252265440102841,1.3403175888806738,1.1263234548555099,1.1908927501497903,1.213104714045953,1.325048337864497,1.1360784662259322,1.1961313817047354,1.1514402806354773,1.2338179242419132,1.1569184835985071,1.2071200157140052,1.1180673698536916,1.1712665099446318,1.2548317509413072,1.3323506539723824,1.1662817065323277,1.2160023470411558,1.0824602611888567,1.1542456062520547,1.1412431176601634,1.199261640304255,1.2379768873637464,1.3435481429148164,1.124013404172793,1.1834346614228628,1.2607608456100496,1.3552053842372047,1.0929103186704765,1.1561703163640558,1.2728738123169783,1.369580986325414,1.3094673231871083,1.4132162041181737,1.2581634470998448,1.3366292535186175,1.1561630398857057,1.1985436013348545
Shadow Ho-Oh,Incinerate,Sacred Fire+,30,1.3385472203542224,1.4006178641887699,1.3425395215928468,1.3842356086094851,1.270829448310383,1.385760695672657,1.2931111885928632,1.3837147030739747,1.3158709144264173,1.4318269976726143,1.2993895109015912,1.383984285994893,1.2963438398960685,1.3765543320238796,1.2857561285655077,1.3642913944527677,1.315147006144774,1.3901550700465355,1.257279342155818,1.3518404822923142,1.4986201221203288,1.4655917107303122,1.3154689812945768,1.400770421208451,1.2415412092620488,1.3290584605947988,1.3121789546849305,1.4043263769983216,1.2325128454826186,1.3160693463859667,1.355592968379199,1.4445897176426339,1.3101723366159357,1.429800805729633,1.3033519126517523,1.3890840141508234,1.3196187348736046,1.4009467657501093
Emboar,Ember or Low Kick,Blast Burn,50,1.2889787592930415,1.3696150516620658,1.2832723417984053,1.353591740793658,1.300136425648022,1.351191025351615,1.2827970000888762,1.3617987616592946,1.3434833204034133,1.430342867743785,1.3392905126694166,1.3811604792771557,1.3008734418014785,1.3535950694422965,1.2877288097863733,1.331739957558796,1.338798956798558,1.4033782480504808,1.312095729637449,1.3533179382161995,1.2960190409507744,1.3432258680500302,1.2743574216121654,1.3709250100928543,1.325804385672148,1.325256402161265,1.3250885788394053,1.3735992676352415,1.328690593647092,1.3251284548261857,1.3269990238835108,1.4002973125453357,1.3383840644583707,1.4088518352730528,1.3372655315466646,1.3749968186098598,1.3721386457411535,1.4098493490985469
Mega Alakazam,Counter,Fire Punch or Focus Blast,30,1.4204541654746556,1.3720894807042834,1.4321850947135548,1.3673761349495321,1.3808670389745503,1.364988663911981,1.3038446901071756,1.3224152429394755,1.3611368772557086,1.3619295375586062,1.3590210174818307,1.3585920251424082,1.3224658974914163,1.3173949859259488,1.3249842200147328,1.312787865740517,1.3242272026608444,1.3341826769560432,1.4495466626528453,1.371693053580553,1.4033130708761654,1.39912115191387,1.4183403983313148,1.4134790068631409,1.368923697242493,1.3531629698451213,1.3956125926051504,1.3660043738450844,1.3751521597068284,1.3373140448214447,1.423186796457324,1.4190853161632353,1.388854073410922,1.4016674127126232,1.3296810974523428,1.3392761701152938,1.3383301525700213,1.3545573763500476
Mega Lopunny,Double Kick,Focus Blast,45,1.3549115187272667,1.3286792270567298,1.3425321473014702,1.312754758722404,1.284662420132107,1.3211538272792407,1.3189422373539528,1.3184477214667754,1.3099723412149626,1.3478303032347285,1.3410929090551955,1.3584191710862306,1.292885257818058,1.3114270469238145,1.3499466189825533,1.3195802157793994,1.328159469127818,1.3331145138885512,1.5063356320382157,1.4169832172097867,1.274263799915434,1.2912042446589405,1.3272734154218813,1.3307512447853587,1.2588331333832457,1.287287684577985,1.29609066404462,1.3327682370691847,1.25019540509719,1.2615481209077049,1.3249751493279125,1.3529870060089373,1.278816025067144,1.3517681289167414,1.2786134229212798,1.3306482400549744,1.2571940336698901,1.2942330451099762
Volcanion,Incinerate,Overheat,40,1.461142918711662,1.5274657908327234,1.451726966861778,1.5067336498133381,1.387386025695133,1.5011669791043019,1.42745543090109,1.5314541729620592,1.4057451006847235,1.5211319863729886,1.419603221371047,1.4987310940876055,1.4191090042995453,1.475594667326549,1.3985123611105008,1.4659716150650164,1.4081323030989696,1.4890695635119386,1.3937479452271835,1.481147583191067,1.4376008765748112,1.5087975739609996,1.386732943076302,1.4821356479612435,1.401175796718413,1.4663587735993722,1.4163798803126113,1.4954990082560564,1.4662814089668517,1.5016593416449906,1.3952107605648938,1.4853895958519527,1.4061101163831693,1.509098030438675,1.4106411137410604,1.4728818304446312,1.422398259998081,1.493075176185856
Shadow Magmortar,Fire Spin,Fire Blast or Fire Punch,40,1.3004499299654844,1.3313802929932046,1.2904567451721436,1.3170908420518965,1.2794605788765987,1.3390285316085468,1.283649299359864,1.3427017886890316,1.291644179849563,1.3433188855533442,1.2977631113730113,1.3428355922215676,1.288954963036283,1.3164882922453525,1.312967999215028,1.3127995817388591,1.317824707794997,1.3354729012378697,1.296988445740134,1.3347685385069377,1.3680250242103777,1.3638421983477838,1.2888827210335083,1.3354233952361727,1.289535995525929,1.306762522438008,1.306787936324953,1.346101683421771,1.2971054418717887,1.3262175979908513,1.3149990597042993,1.3493153751779845,1.3246978513876455,1.37132945389436,1.315899315364842,1.3593189279987785,1.313392257417931,1.3534485515976673
Darmanitan,Fire Fang,Overheat,40,1.3350101986602416,1.338380029202721,1.3231211688251832,1.3467059962206755,1.2713869286562565,1.3491750664952349,1.2709719174226837,1.3290786736035625,1.3081593415859951,1.3751391371808277,1.3221889609114124,1.336160282852092,1.2937455535277924,1.3202909926072566,1.3474481823360822,1.335647243005915,1.3247604737522023,1.3478191805779103,1.2681008155715139,1.3106974938703402,1.4138633398045892,1.3416391221521546,1.2689787713632081,1.3374083232404792,1.3166284807100783,1.2801999801553297,1.3145693118822792,1.3516198484411819,1.293120459234012,1.312071550299194,1.332828857227292,1.3637332425873356,1.319427036705461,1.3611906893464638,1.3283958158356877,1.3501819755160216,1.323520945059866,1.3643555489215613
Shadow Entei,Fire Fang,Flamethrower or Overheat,30,1.3285361857382232,1.3462287249259715,1.3228096050145182,1.3234548555099783,1.2932071805038916,1.3410405645469983,1.3046263442514239,1.3199289902532514,1.294203460721152,1.3693038081424764,1.3002899233942251,1.3366615596150069,1.3090433511707755,1.30830678338334,1.3407100187895322,1.336074876945405,1.3037619114769987,1.3413145699711644,1.288757471451036,1.3163617350798735,1.355910742133332,1.3256307201280306,1.2711319136051675,1.3180889180460234,1.2938431910229928,1.2850032924112176,1.3090341939749437,1.3443131537457407,1.3161846674269313,1.3213997411683303,1.288634959298629,1.3534079002749246,1.294930617726052,1.3614704565801254,1.3241454786083329,1.3359420732483267,1.3212073395669186,1.3541842141737657
Mega Blaziken,Counter or Fire Spin,Blast Burn,45,0.9603125359925395,1.0006984874773828,0.9579794441627875,0.9909240908881412,0.9741988673726776,0.9950042694357475,0.9638274162342502,0.9904925332658787,0.9669528114143082,1.0056287314062131,0.9827994500098213,1.0022549597328618,0.9468511243774939,0.9756913297658448,0.9703731691921965,0.9901585613925635,0.9774972566525163,1.0108988292349261,0.9662997453071959,0.975081299685892,0.9465962254543139,0.9702496510522989,0.9453724263221639,0.9836075225407078,0.9679756632179035,0.9555389181046536,0.9731042433078475,1.0096800990048655,0.9771279935420217,0.9662365618953653,0.9648060752057457,0.9955134462285188,0.9603625783348254,1.0121418979409131,0.9725255147489248,1.0092260314066834,0.9840713059609992,1.0086786860426684
Shadow Hariyama,Counter,Dynamic Punch,50,1.1443342634115168,1.2185095466147506,1.1439535419643267,1.208769876019726,1.124206228468794,1.221533659838841,1.1631925216436159,1.2342751923940267,1.184441090160893,1.2769757479677537,1.2196362207817717,1.259614221174622,1.1404041263262086,1.2209026725231216,1.1601313363414159,1.2098847878013024,1.1617886139328013,1.2376038784530925,1.1112092560831177,1.1757419957934097,1.1270487890264471,1.2022350839065774,1.1381501480285292,1.223148802314628,1.112090816427779,1.1886822236855161,1.180878837710004,1.2474952108091613,1.097279704778135,1.1761721102469151,1.1466503085065418,1.2385395864489956,1.1644583706356313,1.262063563115488,1.1594130971469294,1.236339110737828,1.1829454223662748,1.2549230752828036
