Attacker,Fast Move,Charged Move,Level,Arceus (Dragon),Arceus (Dragon),Eternatus,Eternatus,Eternatus (Eternamax),Eternatus (Eternamax),Kyurem (Black),Kyurem (Black),Kyurem (White),Kyurem (White),Kyurem,Kyurem,Necrozma (Ultra),Necrozma (Ultra),Regidrago,Regidrago,Giratina,Giratina,Giratina (Altered),Giratina (Altered),Giratina (Origin),Giratina (Origin),Latias,Latias,Latios,Latios,Palkia,Palkia,Reshiram,Reshiram,Zekrom,Zekrom,Naganadel,Naganadel,Mega Ampharos,Mega Ampharos,Mega Charizard X,Mega Charizard X,Mega Latias,Mega Latias,Mega Latios,Mega Latios,Druddigon,Druddigon
Giratina,Dragon Breath or Shadow Claw,Dragon Claw,50,1.5368714778860453,1.6462081502151105,1.5712559946579252,1.6991541714725107,1.6057725786877877,1.7208590668005315,1.5068032178368445,1.612356542164129,1.5024862922287792,1.6265235323439085,1.494920496605037,1.581727160568387,1.6822170583257807,1.797545669700575,1.6830109739628452,1.8190790344728451,1.626001029413991,1.754081702166311,1.626001029413991,1.754081702166311,1.499903285117599,1.6214281918568196,1.545841256150393,1.647663340717072,1.6094711775206205,1.7192462760064018,1.6265019840160957,1.7279084930792303,1.4800015327292433,1.573516263352079,1.476744398052765,1.5929567706529073,1.6032450486830019,1.733066386792933,1.5841830976239315,1.6894033820455192,1.7288892352553424,1.8529317214304502,1.5466836767758314,1.626140822225226,1.566922769962287,1.6782788060003484,1.664420485175202,1.7924128980732754
Shadow Rayquaza,Dragon Tail,Outrage,50,0.8747281138919535,0.8845863113304763,0.8714381108480544,0.8798437847791335,0.8836695163629357,0.9136023135612414,1.0533466395673852,0.8998929010429978,0.969607740669872,0.8787847116142208,1.087667267723261,0.8829449472421856,0.8999390068424014,0.9530825168697623,0.96000801957988,0.9413851932832236,0.9013541335513269,0.9493959762023707,0.9013541335513269,0.9493959762023707,0.8935498613044819,0.9246282853832992,0.8699677859891922,0.885478538150406,0.8911828296195987,0.9156927089745169,0.9153057992883623,0.901967249762477,0.9063392951635094,0.8683020644403167,0.9336116834102138,0.8818969132313527,0.8890483242721788,0.9071593220010326,0.8918648359521449,0.9067042231404148,0.904779532340344,0.9303900843943512,1.008284095979973,0.9109691133202857,0.9147709964422812,0.9189548287742451,0.9183587900569032,0.9367575122292103
Shadow Dragonite,Dragon Breath or Dragon Tail,Draco Meteor or Dragon Claw or Outrage,35,1.0515620115354143,1.0573975351198284,1.0635868795402579,1.0860802525344504,1.088044797360566,1.1087473505937713,1.1828836394172844,1.0714560995695759,1.1001732565805342,1.0614578475985272,1.1422002122391228,1.0555962970312407,1.0862795462452697,1.1316313951540506,1.0930536063521126,1.1286310350175712,1.09527945562166,1.1370520913756301,1.09527945562166,1.1370520913756301,1.0741346143626915,1.1006791297786187,1.0718460653820268,1.0698400407739204,1.093424919980303,1.0965026006401577,1.1043033588554183,1.0780398293559865,1.0811762602136332,1.0448396290795232,1.1411107262019802,1.0464601527886668,1.0663261967147155,1.0928746118812218,1.0810441223137144,1.0766963388981037,1.1039034416919136,1.1173597784120615,1.1651653208559616,1.0868885757613351,1.0897691698094119,1.116251412127718,1.0836278326844364,1.1247778776080664
Mega Latias,Dragon Breath,Outrage,35,1.157989192372137,1.1686793819770318,1.195390436876505,1.2232663550456302,1.1928717028202867,1.2219238999259687,1.1530500890462918,1.1419933387694168,1.1258039748516668,1.1454269910437203,1.0658286384774,1.1234114419318937,1.2271136061989665,1.2974275491488876,1.2475780490480533,1.2719507628057938,1.2451538065610004,1.3229370089468186,1.2451538065610004,1.3229370089468186,1.192806963471533,1.237166147665558,1.1467991819078796,1.1800113043080522,1.1807156376954329,1.229546888464853,1.212546806013525,1.1909163732558357,1.1472916309333956,1.1569478251666843,1.1259011431801194,1.1680274217368316,1.2165224072696073,1.2247659168086638,1.1771468202948903,1.2220313864816323,1.2119697751973477,1.2385187638614232,1.2048073308879759,1.2490413297510883,1.1763796698571853,1.2117601434328333,1.2555755216132574,1.2936707597084955
Shadow Dialga,Dragon Breath,Outrage,35,1.0094049850059463,1.0248390186131369,1.0095995467330379,1.03948683704648,1.0063399826246278,1.0331932148157164,1.0171784292964328,1.009983732317516,1.0819009181392807,1.0149680018009037,0.9520261934136852,0.997152889816836,1.0624750336106659,1.1178392100097503,1.074094109013327,1.116212034665769,1.0912942610170004,1.1549305902478164,1.0912942610170004,1.1549305902478164,1.055391057593181,1.0926889925710217,1.0087199994772573,1.0356379746339168,1.0433433614428167,1.07347000800197,1.0471189850779634,1.0433465601073046,1.0259980074519837,1.019555070596779,0.994147355370394,1.0278848432913377,1.027978485918651,1.0568707628094347,1.113588704268941,1.0869687541915707,1.123909351569527,1.1001919086631662,1.059232026900167,1.0811291478342662,1.0172715163300978,1.0531477099644229,1.0734651093141658,1.113447139862234
Shadow Dialga,Dragon Breath,Draco Meteor,35,1.0436870320044065,1.0397999910680762,1.0545073757057002,1.0840607863372387,1.0133154847018975,1.0407560653232868,1.0366063423677794,1.045590078742074,1.1430974739110162,1.0488233828045859,1.019968595511919,1.0442337391184313,1.087937529261682,1.142416875346308,1.135235839956422,1.1530302285201985,1.126394628881118,1.1944892289991977,1.126394628881118,1.1944892289991977,1.0833448470098097,1.1362957137239482,1.0311309535477884,1.0639902247139617,1.0901318016742585,1.1121160593376833,1.1174071797164626,1.08352987201699,1.1357651420876502,1.0493228621164072,1.021751417579813,1.052393020584535,1.023021715260794,1.0800597236327676,1.1717914241689649,1.114478544065063,1.177471676424459,1.1373721826606789,1.079730257688341,1.1331630470808467,1.073293503369435,1.0982290091781277,1.1007886592792253,1.1423879405011481
Guzzlord,Snarl or Dragon Tail,Dragon Claw,30,1.6871312480047902,1.7579514798047549,1.6465347336044842,1.7514397296586333,1.6813782659108043,1.7704000054086761,1.712483925014503,1.6454030612451875,1.757141306619929,1.6621577077069032,1.7763206708826906,1.66766459316521,1.7210894580629088,1.8689935699466953,1.818704535223735,1.9075932559872595,1.7703820185597288,1.9262966074753622,1.7703820185597288,1.9262966074753622,1.7037038611556898,1.8267804572169497,1.652144224674756,1.7441469167989858,1.6977082820386558,1.8175204665763882,1.7456118780156114,1.762678142290281,1.7143211651661734,1.7038037230723193,1.6331795722646636,1.7252939996718144,1.6586663499504324,1.7411547700131131,1.7774386354045009,1.8091817072492502,1.7361012342552093,1.8315814767550227,1.7141357340053438,1.7819120078656325,1.7113672768557184,1.8144129763999033,1.7985524608166117,1.9120994309673554
Shadow Haxorus,Dragon Tail,Outrage,50,0.9803398431620334,0.9070550620024381,0.928903862886744,0.9132337764827293,0.9374520402540726,0.934229652391142,1.0262514148015627,0.8925318761384335,1.0784739753340518,0.9036215047193324,1.1077976308592234,0.8922670761903941,0.9223368110887278,0.9625300133583605,0.9614719711900376,0.9538685015868933,0.9221108285268783,0.9609712066851356,0.9221108285268783,0.9609712066851356,0.9360257622939495,0.942938219383363,0.9532488450656368,0.9059079711707473,0.9248661208912964,0.9298827403668596,0.9335531585908828,0.9136310288939808,0.9152948131712533,0.8805055087018878,0.9880321621966561,0.8880740970335661,0.986591268812096,0.9402254664090924,0.8798029266569177,0.9109473195211877,0.9298770290850406,0.9500258151247407,1.0204037987597927,0.9340410797839543,0.9261422075841796,0.944964956750954,0.9236697614056104,0.9561445542577618
Zekrom,Dragon Breath,Outrage,40,1.1647394111215685,1.177254028876579,1.1765454582245696,1.2272466055565674,1.1872838642287058,1.2215157138945512,1.2779988722155284,1.1484111626322002,1.204119165152514,1.15266276470872,1.250077648459541,1.1768939753423004,1.2296177618947395,1.3033937108322988,1.262001944369839,1.2990319761833609,1.2403776284118262,1.3245530375281953,1.2403776284118262,1.3245530375281953,1.1956063810566366,1.2348237344698219,1.1457389946353542,1.1831526604329614,1.1842049581435432,1.2289678997907179,1.26842154287524,1.2320199705657706,1.1940198014020824,1.1588911068859686,1.1241581125676883,1.164313453789633,1.1808191154406436,1.2314508916127562,1.175576514772322,1.2150696986649132,1.2071217272429122,1.2460749645244984,1.2124766928792696,1.250111559406078,1.1882151267683212,1.2117174283257364,1.2461715084356593,1.3009583707696915
Shadow Zekrom,Dragon Breath,Outrage,35,1.0264351864869916,1.0361279779282238,1.0469293186830977,1.0379894372609726,1.021251026803371,1.0343594606197668,1.2139321950012374,1.0354481320562594,1.1189400395555629,1.0286436140277533,1.2361181809554214,1.0102323414461596,1.0903300073449507,1.1194628306838534,1.1230551573085987,1.1254458999897865,1.0977016061885947,1.1478798613318801,1.0977016061885947,1.1478798613318801,1.0552805262990084,1.0961154626903742,1.021875142937421,1.0367978097086363,1.0740932383355903,1.0789348147236244,1.0757428417071853,1.057970528512081,1.075842727382208,1.0208797865856996,1.1555983007274784,1.0324283917078418,1.0463003584872275,1.0532252943158324,1.0392020230769483,1.0781226997477698,1.0759159498504671,1.0996139096438162,1.201104114088703,1.0903899672450474,1.0631216874715468,1.0731529931487216,1.088000399321154,1.1100129779375063
Guzzlord,Snarl or Dragon Tail,Dragon Claw,50,1.4412552330322392,1.5147120364290168,1.4126510046743155,1.5032497622371963,1.4813096433316093,1.5698902376775146,1.3829193390696184,1.4334282619543126,1.4021140518724575,1.4460372079561352,1.3747918589903976,1.447662781367821,1.4919914265955938,1.6272136865209414,1.5309680616448462,1.6419068442574891,1.5393069621690358,1.6798730641718516,1.5393069621690358,1.6798730641718516,1.463021968094717,1.5957275403598645,1.4428430008037165,1.5172325354974874,1.454802335959621,1.5643062138372523,1.504271689114924,1.5339480988841074,1.4201229102878976,1.4707796117815788,1.3966342735245318,1.4870293726183748,1.4458209212079494,1.5312494697830898,1.475710972182692,1.5693371674959844,1.466318568380856,1.5752746307138288,1.4782611915840695,1.5614197022243372,1.4370688443877409,1.5508045615238053,1.5253169611660178,1.6292003593890385
Giratina (Origin),Dragon Tail or Shadow Claw,Dragon Pulse,45,1.3927681189864582,1.4130551645541565,1.4175114834375442,1.4518262206843522,1.390672061821169,1.4653988391628723,1.3583190331885064,1.3957347029018137,1.3279493817433392,1.394663214934637,1.3047443208779455,1.3682391917658123,1.4751238118146321,1.5461786927705925,1.455239774089948,1.5256040218949662,1.4532278940914665,1.553084835823607,1.4532278940914665,1.553084835823607,1.3998512078732293,1.4911415544526045,1.3828876952933564,1.4189749018224111,1.4162351501908164,1.4768789240428415,1.4132398144525793,1.4316101268652546,1.3463037504424844,1.3858627623430322,1.3608365088336645,1.4022626579393587,1.3874934253103133,1.4534415016227669,1.4143152977201128,1.4729138654706173,1.4392597715929718,1.4971473475365227,1.4267077847171947,1.4666451262889508,1.3919841729287388,1.4626911641552807,1.4589298193071778,1.5348807028052311
Mega Charizard X,Dragon Breath,Dragon Claw,45,1.174017033509601,1.2254864176865325,1.1663004107731845,1.2384386571966248,1.2024704128510146,1.2657713617356443,1.1495004077062567,1.1968085322169078,1.1271546526024667,1.1867874772877105,1.2095861337106475,1.180536982235758,1.2915816556635582,1.4004716231481917,1.2753174732270867,1.3239948099700023,1.2911084366531935,1.3946913271871264,1.2911084366531935,1.3946913271871264,1.2101284926294757,1.2859402068210564,1.1741892589470657,1.2395255457759133,1.207810768804629,1.2873630432106367,1.2258723150580302,1.2385793326999386,1.2161878104232888,1.2141459961097871,1.1471511659707916,1.2223093332360933,1.2137883058994055,1.2832558105713738,1.2355883574931381,1.2911510012333443,1.2444124055474917,1.3082942859276723,1.1655726747038815,1.2291383910633973,1.2020638141218392,1.2651124362786148,1.2369172406908255,1.3131276829390037
Guzzlord,Snarl or Dragon Tail,Dragon Claw,40,1.562985776738293,1.62019474902121,1.5180517614682612,1.614089722576337,1.5366226535641487,1.616869661045024,1.5282818325280627,1.5244928012462424,1.5709929893392935,1.541185621713753,1.5073593484431485,1.5411817232781455,1.600913608776142,1.7459549080163048,1.6324157471260021,1.7556789595729954,1.648640567994308,1.7941399094721227,1.648640567994308,1.7941399094721227,1.5742143244306046,1.696053820237855,1.526681107430132,1.6121478838727383,1.5554136402806846,1.6673354210267144,1.6326906238938879,1.6445537360979154,1.5704398567992963,1.5704872984187344,1.4921399529600525,1.5860247597863146,1.541015156326124,1.6230527405245694,1.5724287064935405,1.6631531080599202,1.5741381157881407,1.687763630872941,1.53620172162549,1.622433902209154,1.555973089482529,1.6627923315141944,1.6124688030348406,1.7133373265448737
Haxorus,Dragon Tail,Dragon Claw,50,1.071395844670536,1.108989319734755,1.0509156397337056,1.1045650458325746,1.0930858525932912,1.1407126268926142,1.1566707640131277,1.0819104182133135,1.0685489057902269,1.071855252367706,1.1525447125712858,1.0729593553452337,1.1427089552559349,1.208048949156619,1.1541310293433402,1.1771457104704695,1.1488506138637844,1.2174296440952512,1.1488506138637844,1.2174296440952512,1.0924870603989756,1.1484116440467207,1.063699449160018,1.1096795588052717,1.0948098762772376,1.14321986950634,1.1248626092140315,1.1241621490713314,1.0919601052474082,1.0727371259866945,1.0404926431710029,1.0805021240906523,1.0843038827632845,1.1285948706513125,1.067761954768658,1.1072387813120557,1.11922366289019,1.1605733230722273,1.1220996868930198,1.1305208018945658,1.1060987056198468,1.1418939653670408,1.1361984626135568,1.1852051512428872
Salamence,Dragon Tail,Draco Meteor or Outrage,50,1.0504240182740545,1.0702049214900433,1.0525911086828952,1.0867459883850341,1.0690459771280605,1.1015943763289286,1.1689526614496493,1.0891152571389162,1.1264953932241,1.071226142046277,1.259658605606219,1.0562088571009518,1.105168096283283,1.1482004870862021,1.1311352623197013,1.1365446959179581,1.1044817354708814,1.1673592503443997,1.1044817354708814,1.1673592503443997,1.0766194428797653,1.119074087851123,1.0604208731107756,1.0865040937277426,1.0757301797365506,1.1158400529361074,1.1092065798543191,1.0872855306544458,1.1099933946668321,1.0689509198200138,1.036341094316918,1.0706583769394862,1.049172619235179,1.0937665882147627,1.0742427365190907,1.1006107834188823,1.1042898567666475,1.1297542854730662,1.1002016401547203,1.1110428073345913,1.0939968413302383,1.1035459159299248,1.1024458420684835,1.1384845762204252
Mega Latios,Dragon Breath,Dragon Claw,45,0.961490175710791,0.9954794540940466,0.9594224893259677,1.0205528238127037,0.9867157842073416,1.0358916371724793,0.9564788783818321,0.989131889931481,0.9523886092843017,0.986342477207313,0.9230093954636045,0.9797294382565334,1.0608621511685343,1.1473929720419391,1.0504552624710142,1.1074850673152943,1.0487798416519067,1.1296134399079583,1.0487798416519067,1.1296134399079583,1.0011478249779469,1.0592596528892244,0.9994919595658622,1.055583870778037,0.9892184999384465,1.0552501384956299,1.0533691015108329,1.0637735427262058,0.980532513931414,0.9887216673174684,0.9427808266632632,0.9984010064360859,0.9799717379237797,1.0358438750554455,0.998727398232752,1.0572376362976121,1.0154273783198413,1.0736396728135889,0.9805627408248175,1.037907052961555,1.0174064061419827,1.0855336297162255,1.0375361884795846,1.0980832584606168
Palkia,Dragon Tail,Draco Meteor,45,1.0665428327100284,1.084681254372921,1.1085554139096299,1.124917541836136,1.135889608918907,1.1383657684883763,1.0590281581007785,1.1002064900345232,1.0467652071843194,1.0791754433921308,1.2176227492731242,1.0673406265367926,1.2301761499572617,1.2306078268825194,1.1596539475625396,1.188236940757245,1.1488619676945668,1.1906894802973191,1.1488619676945668,1.1906894802973191,1.1588717305587144,1.1871889978850263,1.104192395402479,1.1366841131999033,1.1481807060199434,1.1723693524559893,1.2381098753702566,1.1599154231636208,1.1999646012531886,1.0910952080315013,1.0599194121829818,1.0967965431108355,1.130679380561218,1.151684453676615,1.1231577535470911,1.1298838955354251,1.1436554866069835,1.1689056010702723,1.1426395788701855,1.1604613097166854,1.163320087903194,1.191372672448194,1.1787461315763201,1.1998602375960867
Shadow Zekrom,Dragon Breath,Outrage,40,0.9957292171499554,1.0048100064012122,0.9985592585847549,1.0093567251461988,0.9743299157260641,1.0046717440614426,1.1465572147780334,0.9623956900783364,1.0199988744352078,0.9648060008682929,1.2481752612007904,0.9899380537844997,1.018390296074532,1.0755305760417158,1.071374260931406,1.072656637148056,1.0340558154321269,1.0821619964576048,1.0340558154321269,1.0821619964576048,1.0172237514746363,1.0555122168964088,0.9917096295715471,1.0134753232836073,1.01690223747384,1.0529457251015635,1.0365189366418897,1.0239777194060993,1.0440860372015284,0.9851142795625153,0.9873776140901052,1.0045891297609715,0.9854569076053102,1.0272222451141269,0.9738478701095615,1.0119441363810346,1.0365470728246293,1.0670576278011035,1.0686724523257127,1.014617522510929,1.028232437627513,1.0433906802380806,1.057412398921833,1.0782569631626235
Druddigon,Dragon Tail,Dragon Claw,50,1.377185219981706,1.42256104721845,1.3866771889354297,1.4573079180072441,1.4084725222347299,1.4663216945382511,1.506860012738285,1.4115155719449415,1.3894072293418662,1.3954651798491744,1.521571173440776,1.4115087958449448,1.4723834150154844,1.5539703538891727,1.5007130617015885,1.5329994363597161,1.461194498690525,1.5422532812570962,1.461194498690525,1.5422532812570962,1.404978159441392,1.474381184172769,1.3962715386274087,1.4615130783656454,1.455912224547581,1.5131224609134557,1.4716853890720767,1.4702285810093332,1.4540765123840873,1.4256188394320144,1.3847630681714589,1.4406986708479954,1.3900045325971297,1.4508067780505955,1.4146522591134971,1.4713108452496624,1.4760276530317349,1.5327787140495976,1.4471736123583752,1.4647074180987314,1.417770608634072,1.4552441224574675,1.4804132973944295,1.5357092941998602
Latias,Dragon Breath,Outrage,40,1.3524454449669436,1.3760141455208883,1.3871021267123982,1.436135899148101,1.4637787716220283,1.5119489488575861,1.4914685944478927,1.4015825493608545,1.4664641989998555,1.4003493270730494,1.376178746753863,1.3758357993908912,1.4848977505551664,1.5409148114581228,1.4901627747746384,1.5261676621789804,1.4754889716457,1.5567445539458347,1.4754889716457,1.5567445539458347,1.474213261629699,1.5015399985120788,1.4162844111631674,1.4740441978841994,1.44322448602733,1.5020947463991137,1.4968367518023808,1.4651595596043145,1.4828808740935915,1.4289488761810227,1.3859171878133718,1.4328513865844987,1.4375507493328357,1.4742938722680197,1.3756890533347728,1.4257098271682485,1.475517844907926,1.5333924321094692,1.4577824026840915,1.503543978476904,1.383682829088988,1.4273264277243527,1.4640610961365679,1.5107816711590296
Dragonite,Dragon Tail,Draco Meteor or Outrage or Dragon Claw,50,1.108456712423479,1.122064663820581,1.1060644691313057,1.1345777939658837,1.0953743987073263,1.1303076860669121,1.1434720345962086,1.1261272773741282,1.1404865655802288,1.1088481452300174,1.1637951115980918,1.1121718274133574,1.152298196406558,1.21169135744138,1.1701096639720374,1.1964343132099882,1.148133430219356,1.218901857486716,1.148133430219356,1.218901857486716,1.1188572764663995,1.1635544313483757,1.1190546200641667,1.146132685132548,1.1328384679305676,1.1652445217284255,1.1627340300676243,1.1450492743903575,1.1604311348400305,1.1112779677469975,1.083785804146079,1.1253286414936094,1.114774085178892,1.1537859305276477,1.1135559895705542,1.1465422199540032,1.1581346867602507,1.1844206533986668,1.1158727278450427,1.1418239453701458,1.117197888974444,1.1493196495113054,1.16785464709993,1.207307577118898
Shadow Dialga,Dragon Breath,Outrage,50,0.8834549343090082,0.9250776994672273,0.8940569416621138,0.9395981302737814,0.9207561329317392,0.9637720107767873,0.8833027046543421,0.9024040470424055,0.9756777507999551,0.9094020839028156,0.8688107707040991,0.8962336183319386,0.9552881497167254,1.0087924643383315,0.9491286272521969,1.0055342666812936,0.9744500961291007,1.0401017303238114,0.9744500961291007,1.0401017303238114,0.9189826869732494,0.9813372160993081,0.927410660027836,0.9697936473709315,0.9313811861381264,0.9708408992982889,0.9210100784291809,0.9478641554425381,0.8756701128745608,0.9220369971644509,0.8958174558316773,0.9216912502051161,0.9044640022105501,0.9528222082716262,0.9376097987064609,0.97405070123956,0.9458759120532279,0.9891901194639546,0.93279031831,0.9629826448744703,0.9089066618705844,0.9471198214958156,0.9701407607067984,1.0030847559149445
Shadow Dialga,Dragon Breath,Draco Meteor,50,0.9248825203904243,0.9490334500548321,0.9253465266395516,0.9666444080212064,0.9599048072990085,0.9805904584191116,0.9095886020746367,0.9515843749112579,1.0450346513161068,0.9456191410332686,0.9237729386490895,0.9357157031068012,0.9783173620029808,1.0361234123524028,1.0162131695119783,1.0339394673031894,1.0077944048321905,1.0674095856608687,1.0077944048321905,1.0674095856608687,0.9771774133551563,1.0133955426130024,0.9658959480916629,1.0093913969641726,0.9657800381632403,1.0030949926135666,0.9646081335345293,0.9794910486409956,0.9306002094729966,0.9547881366756562,0.9093459988695827,0.9473371378562182,0.9516951186110377,0.9808394757699962,1.0050740497197987,1.0073509927275226,1.0161125344607562,1.0256202936105132,0.9565112735177412,0.9968957785180097,0.9602693299910635,0.9742450385841066,1.0044324648098233,1.0463412199261255
Salamence,Dragon Tail,Draco Meteor or Outrage,45,1.101962872969848,1.113253486344908,1.0665776320848257,1.1089297638560067,1.0963242974636689,1.1317122516657032,1.260875209431199,1.1290055618435626,1.160023154475728,1.099903925005226,1.3006462077355123,1.1095360935922767,1.1500002147646393,1.2044902990812367,1.1938884748801792,1.1855133098546262,1.1560110964772847,1.2133346957930273,1.1560110964772847,1.2133346957930273,1.1030895622323071,1.1578705721057274,1.088193205653461,1.1122556995275714,1.1062453834790102,1.1373318816939555,1.1523761620000372,1.1326477765979248,1.1335061911313367,1.0861649289652984,1.0730377231206811,1.0949222382263388,1.0845074860568102,1.1380090991281417,1.1205634779650149,1.1401464964193764,1.1545238164820641,1.1738088511782412,1.1723143808869574,1.1426293950239876,1.1497445524187428,1.1522759845551165,1.1509034641110112,1.1771388639313167
Exeggutor (Alola),Dragon Tail,Draco Meteor or Dragon Pulse,30,1.725467395996844,1.512991814057194,1.6169873935126167,1.6124405592990552,1.6810833240371712,1.686679613685303,1.7550212778041467,1.5022231147135305,1.8450820858323553,1.497368992297921,1.8230003364766583,1.5617822909746608,1.59218557382964,1.6504834352033604,1.5460842131543808,1.6291398244014632,1.6310875456045537,1.673473288220779,1.6310875456045537,1.673473288220779,1.5850272608432263,1.6160865545057446,1.6291892916184763,1.5764854056809048,1.6775033085067095,1.6295376554228735,1.655058775312506,1.580137483932264,1.7295389769397236,1.5302075388382643,1.6819990154429596,1.5178988823454336,1.8142968293634731,1.6794993298058256,1.4894871316733895,1.517389497927524,1.848541526631792,1.696306975928614,1.7531074617966897,1.6095050465586933,1.5749284802976569,1.591349066731114,1.5841968653289407,1.5980133772586602
Mega Charizard X,Dragon Breath,Dragon Claw,35,1.3118366185721162,1.3666869013336687,1.2777069548149498,1.3522046176571765,1.2580056858708477,1.3204158933949923,1.3397450720281054,1.306203625948779,1.2257601582222508,1.2941221398594653,1.3025248690760698,1.278496984651488,1.3506397838608668,1.4600000859058557,1.3830030300393792,1.4159097872919921,1.3505078946970042,1.4447011671738046,1.3505078946970042,1.4447011671738046,1.3140279091517786,1.4046827007896612,1.2925969850822339,1.3698518024817203,1.3318278345438879,1.4177201311091963,1.3522196762234766,1.372292702919205,1.3368519201083129,1.3364139974673475,1.2700184148631648,1.3445931409192846,1.2737034227167952,1.3342341971122267,1.2759484808929804,1.335086841166868,1.3568786754080902,1.43233677210278,1.3617107750647601,1.385208611460345,1.3489689360004047,1.402972072188531,1.3654487371468502,1.4330937406409103
Reshiram,Dragon Breath,Draco Meteor,50,1.1166509255292578,1.1517004563551465,1.1247313786195594,1.1694065035715009,1.175592672595928,1.2221436273962971,1.085090932693985,1.1301475450403853,1.110641009149234,1.1330417584537957,1.125665404160232,1.1229498649779566,1.1657789728236825,1.2556901891217414,1.2069543375713536,1.2547616255537104,1.190413203748278,1.2286566904340193,1.190413203748278,1.2286566904340193,1.167121191187255,1.2122796016622206,1.1332340122452447,1.1644727814478661,1.172015419180106,1.2151452665271452,1.277678421729168,1.1799046181933344,1.213777411220308,1.1414690844862254,1.089122467956315,1.148141192772622,1.1519753155245087,1.1749994546340352,1.1719615406005766,1.2167545056318354,1.189664857984342,1.2354241960780494,1.1145358665805052,1.1658920771528187,1.1588383739033177,1.1945987871157748,1.2089547768793052,1.2450234601177996
Dialga,Dragon Breath or Metal Claw,Draco Meteor,50,1.1282921996185737,1.1474346356850207,1.1100548372083612,1.157783443614804,1.1603630235852087,1.1981916429191979,1.0657786378148568,1.0679692982989928,1.0610880191667607,1.0585776076924316,1.0771243324389381,1.0581543823927806,1.1693848711197399,1.2429589412962334,1.2103437449168348,1.2433148101213152,1.1558880966438076,1.2335558684166705,1.1558880966438076,1.2335558684166705,1.1647490195661647,1.2174958285064459,1.1141980148850945,1.1618770378792334,1.1440566139357382,1.2101459590052936,1.166817563665493,1.1709662996702621,1.11745085230694,1.1300812711434525,1.08915710977811,1.1430816635367478,1.1043563833268293,1.156231593898688,1.1652779277201455,1.2129890438475104,1.2142817712747476,1.2341837712162984,1.1157033056764758,1.159995630204177,1.1445546669064708,1.1936208359796092,1.170849555755216,1.2393530997304583
Mega Ampharos,Charge Beam or Volt Switch,Dragon Pulse,30,1.613313859533919,1.6679176873595083,1.5734494829923713,1.659481171209454,1.5978226697901772,1.688346162037178,2.030403527774735,1.666384720548801,1.653673763084691,1.6586383077937323,1.9594373074965277,1.6519170541899972,1.6528436985907142,1.7691688178924714,1.727334284082269,1.7822154467700386,1.6694521398186415,1.7906372526757195,1.6694521398186415,1.7906372526757195,1.6074268527276787,1.7436651752027295,1.5848639889178575,1.6492479041290127,1.6124334451557307,1.6835759571586855,1.5865552636971627,1.5778982469867173,1.6709631743552502,1.5893562902113343,1.6041588418691999,1.683922548179481,1.5957553560997366,1.6999953946874085,1.6335692063087026,1.7308103757937405,1.6428095947837213,1.7201478118840496,1.6869522710902827,1.6555397345904521,1.6470664276119444,1.7143764437425177,1.6526105620445242,1.7362783268443645
Dragonite,Dragon Breath or Dragon Tail,Outrage or Dragon Claw,45,1.1508469614091268,1.1707750759627042,1.1459742204415306,1.1841194682207248,1.1681836313175873,1.2077489427728254,1.1872467048815218,1.1548959233431102,1.1774111205801483,1.1569981990963323,1.2665865737185849,1.1483236560345795,1.1863813446843603,1.2552628074892724,1.200406274942974,1.233400037071643,1.2125210045869477,1.2729536612319663,1.2125210045869477,1.2729536612319663,1.1705285308903084,1.2172535098999906,1.1534543482380308,1.172264912865348,1.1616070878985598,1.1945017235011697,1.2150244974757354,1.1915479051398126,1.1797617700833147,1.1341594257374434,1.1058088865389173,1.1468867941728809,1.1443377681685643,1.1829205922916763,1.1665603438969094,1.1996381754358416,1.2005786484564505,1.2316120002987412,1.1841535649942323,1.203395479483253,1.1757479359048577,1.2025179431551851,1.1968253968253968,1.2299490865528602
Latias,Dragon Breath,Outrage,45,1.3234596980017301,1.3552590009808576,1.3713713349116736,1.4035391246281794,1.3026940278073564,1.3290165336470365,1.3492845870807826,1.3017736236364152,1.2724831567268577,1.3072409995015357,1.279603475199945,1.3405122210047713,1.4211770820357967,1.4879388178495185,1.4712827166705127,1.494713508074431,1.4301209561439363,1.518765989978352,1.4301209561439363,1.518765989978352,1.4220169835584702,1.470523216885781,1.322262625866609,1.364253556283039,1.4055325156961715,1.47214314292749,1.4640995547607072,1.4296708209914493,1.329476572963386,1.327626349805307,1.2912046237715828,1.3351176910314146,1.3588047517130553,1.3879442611745487,1.3455130155427533,1.398232751993143,1.4439032468607835,1.5003068590299358,1.3266533474302453,1.3698745164987567,1.3551884804100651,1.400487851486317,1.4247778776080662,1.4863432165318957
