Attacker,Fast Move,Charged Move,Level,Arceus (Grass),Arceus (Grass),Arceus (Grass),Shaymin,Shaymin,Shaymin,Mega Venusaur,Mega Venusaur,Mega Venusaur,Amoonguss,Amoonguss,Amoonguss,Bellossom,Bellossom,Bellossom,Gloom,Gloom,Gloom,Grotle,Grotle,Grotle,Meganium,Meganium,Meganium,Tangela,Tangela,Tangela,Venusaur,Venusaur,Venusaur,Vileplume,Vileplume,Vileplume
Shadow Ho-Oh,Incinerate,Sacred Fire+,30,1.2988304052663238,1.310134605815099,1.0878539010805637,1.258483701971195,1.317868551794572,1.0628398013921347,1.2616123618497728,1.2857122506692786,1.0687014674685607,1.2701039091470954,1.3702651252788316,1.068350644864527,1.2861877229599525,1.3671406901945578,1.0733383246859987,1.2852404031622267,1.3659071064165371,1.0740746257318914,1.2679265544400573,1.3434787372637649,1.0613856106095276,1.2665888704769233,1.3212363827506741,1.0669804294376766,1.2488238571381827,1.3422205279931927,1.0569071849065643,1.2358198408296361,1.3053057826280636,1.032320427541021,1.2591005699500757,1.3111973611922672,1.0506196478021659
Reshiram,Fire Fang,Overheat,30,1.3293844064693925,1.2993041385967259,1.1037260160635667,1.2915417345237945,1.2910648339602593,1.0969064822331462,1.2846776218167169,1.2689373028490296,1.1039800739884904,1.3355800583947828,1.3853442947870935,1.0987750504383162,1.310920334602007,1.3636653862836872,1.103944345269818,1.3205321646063584,1.3507468519636052,1.1188437174069688,1.3009238016884548,1.356976546847725,1.0972108173434016,1.3124630250666303,1.3409745266071647,1.1227114485633545,1.3102908400784967,1.362704874654806,1.1193750876491626,1.270322749465467,1.3047275804848826,1.0746661188398379,1.2989589301905877,1.3153514647485942,1.0827347842602357
Darmanitan,Fire Fang,Overheat,50,1.2103978520625036,1.1773396391193216,1.0110812730946246,1.1974125566911349,1.220221782738945,1.0653402924690412,1.1981781415193282,1.1866372576327235,1.029140132672485,1.1843194112924997,1.2420594284131112,0.9904579230780161,1.1835088371221638,1.2385223139465547,0.9916744857445968,1.182794924002919,1.2309170326290364,0.985346648638659,1.1730555499428472,1.2136483164057421,1.0084121827317845,1.2292328794064775,1.2486180409518826,1.0327458701843653,1.200062086607129,1.2234241576700267,1.03240557359202,1.1860657972593682,1.180327551694462,1.0051779144685142,1.1689452443946005,1.1833590254302682,0.9711203485682757
Darmanitan (Galarian Standard),Ice Fang,Avalanche,35,1.4583324506831712,1.4081727243113829,1.462720953981618,1.6033929233255266,1.4755063666764712,1.6510802822776594,1.5521034967388285,1.4681262751651871,1.5982744901266561,1.4301984321498091,1.449606638854553,1.4393612449028885,1.4523968910577012,1.4568450438123788,1.4520520365734821,1.4409941176005547,1.452624955301395,1.454446722069831,1.4063253406728478,1.4489613594081743,1.4572988328967993,1.475655057216225,1.4468340813492235,1.5363981058642475,1.4866175381644189,1.4690246518791181,1.5613718566091408,1.4993641022479645,1.4320058315357083,1.5148604312234404,1.4830898469176448,1.4306061192466921,1.4998974450581555
Frosmoth,Powder Snow,Ice Beam,35,1.8708787898166819,1.8499211610213693,1.8681845251775124,1.81129255697646,1.8662537884253068,1.8574701504065014,1.8089304382830944,1.8789365252224197,1.876859306900062,1.7878316230481794,1.8591956242984813,1.7970321757384597,1.7984368846727188,1.8566929613834267,1.8161252489721262,1.8293639215201916,1.8628181048341406,1.8446694113510225,1.7550748302174994,1.8171252793791821,1.7581762394081326,1.8158073506433619,1.8547903758531912,1.832615172069564,1.8083798742977648,1.8439922711996288,1.8437329811504604,1.7547530016390536,1.7926896269722297,1.7814333268134068,1.754225444329675,1.7804982792255029,1.788280106746677
Ho-Oh,Incinerate,Sacred Fire++,35,1.3173322348502259,1.3661748806423826,1.0944536928417403,1.3206806826439546,1.404473957878459,1.1113471703630156,1.3121711636612403,1.3804268365646737,1.0982995451219517,1.363137893738545,1.4512975878408139,1.140275439381669,1.37073007314662,1.4519629085557904,1.1522048594399847,1.390783190597602,1.4444148713419185,1.1767734304044009,1.3667342764359935,1.460492208602082,1.128601490664033,1.38230753127084,1.4413056807462785,1.1564186871728497,1.3683064240878424,1.4549297163086499,1.128422391091923,1.31905950419158,1.3925996815018762,1.0926390305957239,1.3235763362237396,1.4022713970166467,1.1017274017172023
Emboar,Ember,Blast Burn,50,1.2584086916726451,1.2685611336825298,1.0625230571537627,1.3126526167221024,1.340658536379223,1.1066479974522143,1.3104737924749208,1.319720426474566,1.0968170268049904,1.3222345728016711,1.3770994505065146,1.1042627259068243,1.3285401825987877,1.3781575399702828,1.1067257386596394,1.3275394393222382,1.375149191082713,1.1108740119760754,1.3270773917515966,1.3876342847697813,1.1081491307495006,1.3566553009447941,1.3901340500679824,1.132954321486207,1.295705492566702,1.3768594394100215,1.103879590668697,1.2955586513819484,1.3367385601937023,1.0946145682478061,1.311501475721487,1.3291514940426672,1.090171911952725
Kyurem (Black),Dragon Tail,Glaciate,30,1.3547239436676013,1.2897448374957783,1.3542318245677845,1.3117615751337475,1.3312568337914619,1.3333422847097565,1.3217972258170696,1.2944269478457229,1.3137389024805954,1.2742381416677324,1.3664847601693593,1.2827328687325066,1.3084733434733098,1.3577589331638018,1.3174692464429294,1.329545167847344,1.3787501485179543,1.3486551921246588,1.2860169662393133,1.3373118209447947,1.2893614297900917,1.3241420485062103,1.3618117711707065,1.3271520979476004,1.3254981638294259,1.369994801215698,1.3496193827177012,1.2430546799926745,1.289489807846898,1.2594237226833263,1.2622138220356272,1.2905576080712493,1.256528210553598
Kyurem (Black),Shadow Claw,Avalanche,30,1.3824317478271817,1.3959020717964294,1.384455331573362,1.4186437070255256,1.4582564249253553,1.4255866982866046,1.416820767457131,1.4335921958466025,1.3923303894132841,1.4390858321611755,1.5293398263785292,1.4305012396459373,1.4283625809035645,1.508886455967987,1.4278993769476307,1.4775311956448636,1.5235337797713333,1.4765843471414262,1.4293840255421493,1.532205797558677,1.4141363373010893,1.4757993850376976,1.5253988100227562,1.4720850803315755,1.461407000007169,1.5525450814230028,1.4587080502617016,1.373488154529138,1.4631217833140495,1.38589951454695,1.3759165108282296,1.4506052044261537,1.3886976876452242
Kyurem (Black),Shadow Claw,Glaciate,30,1.4108060361280368,1.3349483499771175,1.414432429299722,1.375060893836096,1.3979189728199648,1.4142719386996956,1.4224000707908364,1.3735692256950625,1.395992608525,1.3936370909878806,1.4889842451302162,1.3918328333901655,1.3605341103220956,1.4400712232045552,1.3799185070988158,1.426880987765558,1.4881700422587287,1.4357430268743883,1.371937907469979,1.4501795580074563,1.3698353821067764,1.4054509409093519,1.45388726103949,1.4132232601748775,1.3969514828615395,1.449722746870611,1.4234969884439244,1.304024051477796,1.3664712765551048,1.3203922088138362,1.320704247418554,1.376335390749924,1.3150498455180757
Kyurem (Black),Shadow Claw,Blizzard,30,1.6751961981426373,1.6291051725964103,1.671129295924954,1.6439477536131242,1.6718423005644822,1.675016302794214,1.6632823987903886,1.633171489795159,1.6463147202370958,1.6315523190969412,1.7468413892559285,1.6361229584913972,1.61201003482295,1.6879595383595727,1.627027881950836,1.6906083146451822,1.7384821390618432,1.6918680677060842,1.6046359535219186,1.7028564946874052,1.595542715605976,1.6618316577706438,1.7192991260377937,1.6759228909504456,1.6797841653072287,1.7652898760200304,1.7071660600540215,1.5431996486125918,1.6007032010979707,1.5495432144045227,1.563378027496834,1.6057267325368036,1.5488433345608614
Kyurem (Black),Dragon Tail,Ice Beam,30,1.4268556137549535,1.442858427577055,1.4260202603185135,1.4378070654293067,1.4769636827273342,1.4415688613903137,1.434734586317727,1.4495880925255,1.413264801636502,1.4420725263913161,1.5233223931915378,1.443090616697214,1.4549622833165472,1.5399836621593537,1.4713007266447484,1.4780677278534666,1.527921890956371,1.476667757803394,1.445490089599927,1.5374236506656493,1.4435464785583603,1.4672162175577264,1.5399231879271116,1.4704184568288716,1.4746143093447326,1.5479486102175672,1.4783807889631706,1.404046562438568,1.4812648307144598,1.420434476298811,1.40860264868985,1.470567227080787,1.4112767282039742
Kyurem (Black),Shadow Claw,Ice Beam,30,1.4714221192796775,1.500238315543769,1.4727720744144033,1.508707061790812,1.5581949661335261,1.5046561643443939,1.506734430792405,1.531891070600787,1.4778407420703037,1.510102093190117,1.6317344919938055,1.5079437461816063,1.5135166874821455,1.6122450806965005,1.5260197503967798,1.5724135734353542,1.633705354815551,1.5699695952096615,1.5066652959132092,1.6284607441734378,1.5004833987216264,1.5650428405289165,1.6441673837636137,1.5706402282179242,1.5438167160305623,1.6608991565490392,1.5514663934223722,1.460725095589606,1.5527889572014661,1.4732759809360199,1.4657186415307646,1.5360368011055936,1.4634141047456306
Kyurem (Black),Dragon Tail,Avalanche,30,1.3403108993638921,1.3362636319488714,1.3416602549626586,1.346825095639363,1.3832174160057684,1.3510919050804835,1.3559786916901548,1.3566150382930828,1.3280156410207422,1.3643138257817942,1.4278512966554424,1.358139572055752,1.377480866146627,1.4368454811871179,1.384896141579925,1.3891995337710636,1.4361619363006066,1.3924067195537624,1.3606943181344178,1.4479848059697322,1.3563897779370726,1.3775843831556305,1.4431909729930232,1.3832784785480319,1.3850904684244085,1.4530160880067309,1.3805023705188195,1.3291187721246427,1.3867166640625217,1.3428204545115456,1.320247772886279,1.3818876138381415,1.3304222616018684
Kyurem (Black),Dragon Tail,Blizzard,30,1.577327148786839,1.5381785498024527,1.5774751842074235,1.5357895710430485,1.5590052655073157,1.549469951637991,1.5317042055857055,1.518821161633378,1.524810730040554,1.491307160464885,1.5906179182117843,1.5046251403037667,1.539334367305584,1.5894986669541171,1.5511021585132152,1.553997232553394,1.6038906719954775,1.5698404461737134,1.50584306063867,1.5852152358986626,1.5051439460234173,1.5150487313616745,1.5681733835437193,1.53375434269514,1.5561929236132834,1.6143153847981933,1.588747560758969,1.4541739633276283,1.5131408758222935,1.4720239419561516,1.4748459304421178,1.5082962168354392,1.4746670395425767
Calyrex (Ice Rider),Confusion,Glaciate,35,1.393909414113476,1.392229764162538,1.3947732455079767,1.468636145310331,1.4493127410914874,1.5641843360942935,1.1990387261403543,1.203692419179624,1.2408582785559072,1.2061446389753208,1.2715330761689614,1.2133999199025334,1.4575436896898548,1.5174126460190203,1.4655191147397526,1.2189388949301785,1.2608993387986411,1.2234438727020391,1.4427602320660742,1.484115158553133,1.4423562471452873,1.4690836099294058,1.4837716668715208,1.4553355866964646,1.4699786435694555,1.5090695350242622,1.4730583808856796,1.1586992566792218,1.2004665818802995,1.1716408129457205,1.14915183788015,1.1696373228285173,1.1644239833212768
Calyrex (Ice Rider),Confusion,Avalanche,35,1.423555667913035,1.466180476311335,1.424541804643206,1.497231956677576,1.5434134463540512,1.5340456111391407,1.2704433678338105,1.3120432072136936,1.3019025540006377,1.279843632340196,1.3482177425656765,1.2854566710000996,1.5180793325454849,1.5905309057772552,1.5154685153038971,1.2886162205552059,1.3519055727144478,1.2893797260074331,1.49861603620246,1.5874631472701726,1.5190146080635165,1.5369934137812848,1.5906858467751988,1.5271601577291838,1.5303239242092554,1.5949745674659068,1.539340368749212,1.2644549306136112,1.322651502618928,1.2714786290972449,1.2472181777079445,1.2993686362199983,1.2583598698870528
Ho-Oh,Incinerate,Sacred Fire++,50,1.179466343050479,1.218443624634533,0.9783440117349171,1.178471763872121,1.2712457073104912,0.9766271369488063,1.1516215190734713,1.231865797735967,0.9660850891103114,1.244554238061748,1.338931720017618,1.0318914679325975,1.240081021087489,1.3197944614238062,1.0306325902382436,1.2522285713369115,1.3160992545630388,1.0374610573607561,1.2442440712383636,1.3104550621083995,1.0546295189010915,1.2395925369196212,1.2868972785513733,1.0457791401177385,1.261703685777943,1.3182550712984602,1.05750249830102,1.202451300987613,1.2619259315611047,0.9973442640743921,1.1995348543047382,1.2632173908081599,1.0013492410338
Arcanine,Fire Fang,Flamethrower,30,1.6522768876889287,1.595581070251625,1.4031734437545338,1.6776988984352255,1.7009741155565552,1.4210596195836855,1.6865382107951332,1.6975583865186363,1.393647829667595,1.6557017275123256,1.711694185740875,1.3982325943409633,1.6732536909520426,1.7490924043677551,1.3957550887431625,1.6930065086668604,1.726951898285739,1.4072017315503464,1.6505134124988259,1.7229028968021234,1.3818547681797766,1.7131884957148185,1.7526891659603203,1.4485639349511445,1.6747009889920839,1.7152376764924613,1.4176848081828477,1.6704103503856456,1.6901494954052554,1.3861748926220614,1.6333520743720844,1.656428633457189,1.3792098280715344
Shadow Typhlosion,Incinerate or Ember,Blast Burn,45,1.22436599072318,1.1919184551157405,1.0268866897021705,1.1968063007459873,1.2426394659912534,1.0354437941575845,1.237258906422358,1.2503681994960847,1.0708167291617017,1.1965444869499737,1.259644329951835,0.995045723043917,1.1804258617961259,1.244115544763152,0.9935018856189293,1.2226648079532525,1.2555511342303265,1.00830153779242,1.1616740975552688,1.2423704215222977,0.9895504619528761,1.220462263144741,1.2594035381054316,1.059079166567626,1.2144739468726733,1.2602453391908046,1.0273527857695752,1.1814886122902633,1.2060739917081622,1.0065842510826328,1.1821651167406233,1.2039624682856251,1.007822339429501
Shadow Moltres,Fire Spin,Overheat,40,1.1513619958152388,1.115097014910459,0.9595817337380866,1.1383006838871568,1.1370419565199277,0.9481060136285905,1.116729295775309,1.1129097078302643,0.9644655643809473,1.1438216614807555,1.189724436298538,0.9575099811033916,1.111596509060803,1.1582084304153148,0.9395328906664747,1.1508728845572378,1.1990574595197632,0.9745461136646715,1.123806527428525,1.179591091120041,0.9368800119257285,1.1228456169962764,1.1737057737224221,0.9659978811063207,1.1471565675544566,1.1857418622297888,0.9810478919446165,1.1474492031890473,1.1448126991330576,0.9374547792835546,1.129635042565851,1.1461017021735136,0.9577999854061722
Mamoswine,Powder Snow,Avalanche,35,1.4687406947023003,1.4599462516012607,1.4731134601818192,1.7941913918968746,1.5953596424276781,1.8677480888461675,1.71298907937389,1.5613404942018216,1.703297572564797,1.4852135814046008,1.5488505747126438,1.5148575472770416,1.5423777378324157,1.5775901409534805,1.5632482616506558,1.5277650376648408,1.548054795763609,1.5229166783628734,1.591762159070244,1.565256724460604,1.6551624694062828,1.6239379447776279,1.57245564644786,1.6416468878422532,1.6595173927267863,1.592275730618864,1.660284612789544,1.5897568406350222,1.5238253680656855,1.6149767569821278,1.5661807249807822,1.5237013837146864,1.604369730390131
Kyurem,Dragon Breath,Glaciate,40,1.4697521118654162,1.4197127922987607,1.469952456798438,1.5359732341057273,1.5662694873013236,1.5697335500925118,1.5892070957087414,1.5844517581567836,1.6141069846623206,1.5563159782902123,1.648249799312334,1.5464554206981802,1.5157882810087928,1.5755496844788963,1.5203316402568665,1.5752702969476853,1.6398609470936942,1.5777543764531703,1.5587810417338925,1.6363572466795144,1.5580750328820396,1.584770760492802,1.6530765224819366,1.5783685718444385,1.541579069249203,1.6647215208877988,1.5364625126330986,1.5358664039240228,1.6030764433206635,1.5490373162212867,1.5198629537918569,1.5920003879455569,1.5231688576153757
Kyurem,Steel Wing,Glaciate,40,1.578283408641711,1.5324759636041703,1.577285281192357,1.5680205803333185,1.593698462774932,1.5938082769821211,1.56617510274224,1.5602569285022612,1.597524599983174,1.586485506088118,1.6669100670616486,1.5824155868604637,1.6260433927399582,1.742387484056916,1.6440954324129464,1.602793615555447,1.6778545036200572,1.6001638882017568,1.6688477458577993,1.747868922090877,1.6532096443692599,1.609639266559231,1.6560058128473565,1.607135767456176,1.616066815696351,1.7232765712040865,1.6067178852950876,1.5660189095349577,1.6511292944002467,1.5787481118583249,1.5862334223867522,1.6626923836309655,1.5840698149348875
Kyurem,Dragon Breath,Blizzard,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyurem,Steel Wing,Blizzard,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyurem,Ice Shard,Frenzy Plant,40,2.4416342750710944,2.371494463285417,2.240592981032681,2.528114864701644,2.498118862250485,2.338367903129483,2.679205309178642,2.64197920049929,2.6866223419499056,2.599703808092863,2.720185005612151,2.604043456871688,2.4869726900802203,2.5263305619731593,2.305567556575025,2.6936694171943523,2.772237448614507,2.6973401737714484,2.4674774144375373,2.5522485574351914,2.264630112065599,2.436198314231694,2.482964398632088,2.267843861357179,2.509091286787458,2.574743790666601,2.315948424763088,2.638854508528998,2.712566346261205,2.652043505013976,2.643119645921518,2.7079122784346765,2.6474308248615346
Victini,Quick Attack or Confusion,V-Create,30,1.4881922392068538,1.5155562094938517,1.2567993373129196,1.565506542307272,1.592575684437127,1.3410796307053712,1.4736655240248075,1.483154412176292,1.2749157263920774,1.4591260274142905,1.5436839773098618,1.2683712908301723,1.5795765627063647,1.6811517488876646,1.3554126071030004,1.473359402220534,1.552579938750451,1.2667785759714736,1.600611822306298,1.6968759612365258,1.3278685596014557,1.6138024227271264,1.6751315874644497,1.3598056144522366,1.5817583015199685,1.6985946234721812,1.3491452845987715,1.423773230516337,1.490510064268547,1.2550461523882195,1.421930552791411,1.4828891771978212,1.26408804822928
Moltres,Fire Spin,Overheat,50,1.2385690475571907,1.215435752727389,1.0407278266621633,1.2165703404654025,1.2561225166898713,1.0404776246659493,1.228149530223028,1.217446941229193,1.0505825998672003,1.274558709134308,1.3237871272182204,1.0519214956026315,1.2557733035069016,1.305452289389857,1.0443613355909218,1.2589165482055766,1.285629958451637,1.0664156250168282,1.250491376957692,1.3079090942438674,1.0587868086110488,1.2624802847389567,1.3064741461461264,1.0744688663602746,1.255891599598887,1.3160474743145265,1.077201429437064,1.2183764039223832,1.242350954240119,1.027049714792849,1.23825968841462,1.2664899567071182,1.0194350192384778
Kyurem,Ice Shard,Frenzy Plant,35,2.6017086275222976,2.520047982861265,2.3787468499381474,2.570850933627562,2.5526000761386496,2.3745265685943475,2.687506640830693,2.653023174278525,2.6980804354172725,2.734772823338022,2.853530193725758,2.7402486662262198,2.608182317077056,2.6464879066745626,2.430195249938139,2.829149643195999,2.9078370618548495,2.832585291698428,2.5798374278305674,2.6624550974901418,2.3791273388047265,2.562559498942827,2.610496815708982,2.3821013440613035,2.537262830750754,2.6039758271677154,2.3629721240429298,2.6469791126812128,2.715713453996236,2.653460072392495,2.6545279314104038,2.7128386585912687,2.6586532472927433
Kyurem,Steel Wing,Glaciate,35,1.65177902303617,1.6159712382615854,1.6535841758478935,1.7260959736608945,1.7537186225534045,1.7543765487204936,1.7383164115749723,1.7105265671773864,1.7159933325221883,1.7076608964522686,1.8240439807908162,1.7181462498046405,1.6681823825110718,1.7618828603688033,1.6778364828045433,1.7802269526201089,1.8269769558568552,1.776579890170615,1.6709384989868072,1.7922558818027794,1.654213753074114,1.7391831458130596,1.795458740417076,1.747899578669193,1.6486837351397685,1.746330711813091,1.700088401348331,1.6029484603929236,1.682297547682494,1.620501599294733,1.6070324159300384,1.6694757430637166,1.5872601093678413
Kyurem,Dragon Breath,Glaciate,35,1.6734566445571126,1.6170196767701799,1.6729441412346842,1.6091254407329068,1.636884278423852,1.637642847633447,1.6711804204345526,1.6250314653870688,1.6438506159171453,1.6059233497435463,1.7125552335080916,1.6113474667178154,1.665096944799692,1.7411259851048073,1.665641648544601,1.655374184468866,1.705220533550965,1.6552962734109842,1.5968185829768202,1.7026461987911063,1.5832245792802953,1.605462371027772,1.6904743605576027,1.6180280833236282,1.5790032036245214,1.674166603114262,1.6066174056969336,1.5881628744250726,1.6686703006647865,1.599403172619064,1.543936898446095,1.5967255479487885,1.5415693003254
Kyurem,Dragon Breath,Blizzard,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyurem,Steel Wing,Blizzard,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mamoswine,Powder Snow,Avalanche,50,1.2787598898452597,1.3086129835507316,1.281389404600839,1.6043114184656786,1.4497885027522186,1.6187054115805914,1.469752084592368,1.388672192508171,1.527032245024782,1.3185503779321712,1.402017266243269,1.324617849835898,1.3782855840080641,1.4066691382357301,1.385763899950012,1.3550637203607145,1.4149605959096008,1.3666383246097773,1.3733501419735779,1.4328017891367817,1.4164158364170225,1.3671239219316462,1.3875586450704083,1.4296119503823204,1.410135008264259,1.409204725243149,1.497857780612281,1.3824735201092724,1.3595444752150714,1.3948807812631419,1.3794824027590813,1.3492367404184613,1.4019972260718423
Mega Mewtwo Y,Psycho Cut,Ice Beam,40,1.0535223237214395,1.0725560416237832,1.052625367965195,1.144834209619137,1.147749561027897,1.1189601961262559,1.0046395315201897,1.0199286929806126,1.013632682707897,1.017420399812455,1.0764795831379737,1.0211776103604564,1.1089082902659841,1.1898573831180583,1.1073699882063797,1.0217221758129476,1.083716371209985,1.0244467255070837,1.1346942180595871,1.1983575066659462,1.1311174534233612,1.1473034580010715,1.211523146167187,1.1584714803225706,1.1269262987980628,1.2182273114574196,1.1414272735536553,0.980016972575813,1.0334331215423007,0.9819676219260365,1.0039163346161066,1.0320085725252972,1.0065639749726678
Shadow Houndoom,Fire Fang,Flamethrower,30,1.5042668974213957,1.383720150603433,1.2819836446590338,1.5802915387374112,1.5047099924874374,1.4101063117813561,1.6015308015553873,1.5059773341954266,1.3201109994948779,1.4774095395905262,1.4860113592770983,1.2463172481280993,1.50595086215343,1.4743528791053173,1.2919615000024969,1.513697737863892,1.5117090810264693,1.273986952876757,1.4696908979860241,1.4828262831887031,1.2424840029862882,1.5510925487077372,1.4660891059650996,1.3355246758163302,1.5623171174879529,1.5189566710333897,1.3251452621696178,1.5026135668133678,1.4400468188634963,1.3144264763001225,1.514322656763609,1.4397812958757688,1.3231196598658341
Kyurem,Dragon Breath,Glaciate,50,1.3938420162793996,1.3695270860354085,1.391864746686065,1.4667526398418291,1.5012013926023948,1.470305177398198,1.3546904124337131,1.39534193281105,1.3815528868214746,1.4088876886108863,1.5550823263430091,1.4178607138797723,1.4297162729404342,1.5365431932523066,1.4380327641894093,1.4409652446791044,1.5542827536655148,1.4183103130981896,1.4380527692674183,1.5463302238736398,1.4517844408960563,1.5075673092549806,1.551869822561925,1.504295986141691,1.5045100004201704,1.5824983506951356,1.5018309207974838,1.373142866230624,1.4351794999090872,1.3761906175036902,1.4614860644998386,1.5087063999072483,1.462287899381043
Kyurem,Steel Wing,Glaciate,50,1.484882351060279,1.4750001498839895,1.4836467574097647,1.4862134317041649,1.526446012440535,1.502407011133614,1.4461391341596959,1.5005751755441794,1.488539141265594,1.5002964583066933,1.6571403517184549,1.5065605330832732,1.4964669936186337,1.5982965631471833,1.5130917796450962,1.5178003279368089,1.6594264760794148,1.5008417258628393,1.4619522691620968,1.5894484055712021,1.4849264237530817,1.5318258327320213,1.5880072514167751,1.5163874323783841,1.5664629169976239,1.638218690910023,1.5629417092072637,1.4345456024026555,1.4848103480247001,1.430197084855173,1.4340850426786902,1.5003653135646475,1.438844641473556
Kyurem,Ice Shard,Frenzy Plant,50,2.361152967603075,2.2895365487112973,2.147376730410662,2.343793875855878,2.308937995314074,2.1729772771507383,2.434604199787024,2.441765487255136,2.4593591217109663,2.4802593488484437,2.594479934785389,2.485423504255289,2.3320137473423888,2.3721802459182517,2.146374344217708,2.5616195692412185,2.6445572652577063,2.5643833494445003,2.318882334112743,2.4090728240380086,2.1356699476584353,2.3606703558040407,2.4033193076792756,2.196075037953379,2.3398198558862897,2.4119630783765142,2.1597750927898045,2.4764430911270905,2.5535719057963018,2.4895456835601615,2.3732143775515,2.4349080692510707,2.3847773348642973
Shadow Entei,Fire Fang,Overheat,40,1.1541426935551882,1.1153257378788817,0.9720671200490819,1.2031357231070732,1.1801113643138474,0.9777743717257669,1.1807418758968264,1.1672819804809018,0.980483080420334,1.152015357046446,1.2277486662262194,0.9701098809371582,1.1671977899833264,1.2216191578401059,0.9765812345229181,1.160651799327238,1.228849868943289,0.969944457435986,1.1462422811650061,1.2046058963847404,0.9574069726834735,1.1722365326258444,1.1929641848011485,1.00991278955104,1.1712493924888718,1.207589118676698,0.9779026359091467,1.1489931468634427,1.1665994070419465,0.9630663666735472,1.1511655072365223,1.16443765242078,0.9831008280667088
Shadow Entei,Fire Fang,Overheat,35,1.246754512007706,1.1798066796299664,1.0425138942458536,1.2200362614664284,1.22315247936443,1.0650542480385246,1.2082174854035799,1.197055945877188,1.0567762952594608,1.20070120803319,1.2576807432192434,1.0012692162880241,1.215795771481686,1.2690499514669014,1.0226575612363378,1.2236804702528135,1.275361556002984,1.0289463640799776,1.215377599072998,1.2541082495741398,1.0184795025673876,1.2340931147630656,1.2674313579299978,1.0532926691174553,1.2447826580191743,1.2667057633912069,1.0661619203886599,1.2173344563127504,1.2191376777246912,1.0242824897680058,1.2134068069143187,1.2141855602825362,1.0129617373649311
Mega Alakazam,Psycho Cut or Confusion,Fire Punch,45,1.3403560644061494,1.3384900087332403,1.1587047125524843,1.4028117592074147,1.4263181136556664,1.4252697236536265,1.2269269470077633,1.1867978107129462,1.1361255491568951,1.194274096727903,1.1883288578207807,1.0761529328815198,1.3953047993956653,1.4436305753871326,1.244861492546463,1.1617175767690306,1.1894452056685794,1.0690998213659848,1.3674677755142906,1.4361410278101363,1.2232681829419936,1.4007133438859818,1.442388381297527,1.2696501522634327,1.4411235560926512,1.4506792787755083,1.2888346825918175,1.1623419006694429,1.1517075457297952,1.085591001255728,1.1713442172269075,1.1450744097155336,1.081748022058367
Mega Glalie,Ice Shard,Avalanche,50,1.299774624440683,1.2867117850783492,1.2977692765799271,1.3888962251546106,1.3873180655220374,1.425037747135165,1.3612131746036535,1.358352799137371,1.4307439707960987,1.3259858115596097,1.3856302303112968,1.3351530643053013,1.3175449088288913,1.379483095380238,1.3457642581151525,1.3229224300321463,1.372512222583643,1.3301516596029217,1.3244155877041852,1.372499332473129,1.3293117964897667,1.3380784719557175,1.3794330693515662,1.361707516492961,1.3366244541337637,1.3814652059191066,1.3519814059304829,1.3142946568357328,1.3269888384655755,1.3459709233150101,1.3277732084658953,1.3439992001833752,1.346452537501358
Mega Glalie,Frost Breath,Avalanche,50,1.29291253569737,1.2794874267317096,1.2913848681120812,1.3426577303956915,1.3499268674544318,1.3880907811033008,1.3296143843493262,1.3320985159063188,1.3916177046808764,1.2889360046104885,1.3457851372135319,1.3018619997016327,1.3127968099883993,1.3707410419540527,1.335352431915476,1.3080644475687797,1.360167467527416,1.3197737921179444,1.3072771225555053,1.3629097095219638,1.322633275783079,1.3248495773516977,1.3688772550093284,1.346802403408162,1.3145392078071823,1.3575518142146532,1.3338674745979016,1.2982144856802909,1.3131287759759354,1.3283650730229006,1.294465007316271,1.303563948900466,1.3167992150377417
Mega Glalie,Ice Fang,Avalanche,50,1.288941859001133,1.2873427467140433,1.2889051873849637,1.370061829834374,1.392832093417843,1.4250152088480998,1.3506772557959161,1.358592623206054,1.443448110350579,1.313134918943495,1.3683664290382622,1.3232336155392639,1.2940447985381351,1.368259370796833,1.3196524007310013,1.2978925860868495,1.360290864894091,1.3141510198156465,1.3111511848851276,1.3597889834608565,1.3170368033428113,1.3331948861314769,1.369528552445489,1.3515057165266773,1.3386925839301476,1.3678358258200844,1.3528894855946973,1.3017095049867597,1.31725469242043,1.3424504090748193,1.3168995774193302,1.3277434850548948,1.3439165067183259
Kyurem (White),Steel Wing,Blizzard,45,1.3787032836584483,1.3982311191138057,1.3798939620733552,1.4562517761638794,1.4656086419465215,1.447218059066257,1.4441280308583693,1.4856142429017272,1.4859960173450957,1.4959753686969866,1.6080276842419337,1.497396743531819,1.5215899363860828,1.61095534180061,1.5157256021091794,1.4593456089843366,1.5338565366403674,1.4601680976903841,1.4777583688877929,1.5973961378920165,1.502209277630561,1.4661550613606105,1.5106875316210968,1.4619655230345108,1.4875837040682403,1.6006578177257567,1.4783860575563321,1.4518964705666317,1.524194478961433,1.4407472327339865,1.4501990945625187,1.5418899278607312,1.4508150296904767
