Attacker,Fast Move,Charged Move,Level,Arceus (Ground),Arceus (Ground),Groudon,Groudon,Claydol,Claydol,Donphan,Donphan,Golurk,Golurk,Hippowdon,Hippowdon,Marowak,Marowak,Stunfisk,Stunfisk
(Boss weights),,,,25.0,0.0,25.0,0.0,2.5,0.0,2.5,0.0,2.5,0.0,2.5,0.0,2.5,0.0,2.5,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Kyurem (Black),Shadow Claw,Ice Beam,50,1.1678403675386568,1.2819950629135668,1.1501374644342988,1.2321736086057888,1.0929826324210266,1.1620819452925126,1.1760927947984028,1.261625852503622,1.0787852065342467,1.1452461096712443,1.2295222375875452,1.3253245304902528,1.2235652542296496,1.304859252048349,1.2557574676064995,1.3709861305257314
Kyurem (Black),Dragon Tail,Avalanche,50,1.0592347516028389,1.1307367915795248,1.053267246143976,1.110685971519004,1.1382604595799934,1.2222617271736524,1.0701173186331672,1.1347574119226826,1.1073806015894696,1.177347371137901,1.105892849176964,1.186537003167239,1.1030889736170826,1.167761823639166,1.1256679455531433,1.2177775134084803
Kyurem (Black),Dragon Tail,Glaciate,50,1.0533891041245242,1.0963331847636026,1.0492046256293417,1.04729771757501,1.101724391129936,1.1633495389514525,1.0223329446270186,1.0800646665959928,1.0669878585178574,1.1376966672760709,1.056367935049293,1.1137797207476468,1.039497760111048,1.1144281297603273,1.0454946514786505,1.1069704269894616
Kyurem (Black),Dragon Tail,Blizzard,50,1.229284808173621,1.2836304727945966,1.2171191648702395,1.2286157056004094,1.2791643156926549,1.3587599223985345,1.2038146224248205,1.2748507014382133,1.2473248948777786,1.3265187606869777,1.2342775572110452,1.3096221617522414,1.232209332720406,1.300983387865841,1.2262439401600096,1.3202470531084873
Kyurem (Black),Dragon Tail,Ice Beam,50,1.1271076901978263,1.212719854630233,1.11148214561811,1.1829672058021188,1.2172841032934245,1.3071054807967288,1.135419979504576,1.2120834658468496,1.1769494660543947,1.2459806209470141,1.1766516483026275,1.2662443681134852,1.1788666252039335,1.2439721298324364,1.196175237188829,1.2910606826676183
Kyurem (Black),Shadow Claw,Avalanche,50,1.107530771076902,1.1967480371652897,1.0901524993291167,1.147228230058771,1.0230253750608675,1.0920242079471938,1.0992967949397505,1.1858722923071485,1.0149590803015476,1.072784367707314,1.1537404648258018,1.2459651157603604,1.1534121125262522,1.2227630404802465,1.1794307468102192,1.2898908485263063
Sceptile,Fury Cutter or Bullet Seed,Frenzy Plant,35,1.490640106970206,1.5006171358041622,1.6190857859820043,1.4980282250826829,1.4597345782545852,1.511381290626763,1.4230626523905436,1.4763860913813207,1.473861937690215,1.504715712949122,1.47555872775126,1.525137172681447,1.4344663475838944,1.4966424199814319,1.440521864993209,1.5222714610038763
Mega Venusaur,Vine Whip,Frenzy Plant,45,1.1642455514794117,1.2001611410155313,1.1304428185273978,1.158395993538194,1.2249437698544585,1.284304253395064,1.138414784974734,1.1871974274709354,1.1699915041887576,1.225407852710594,1.1722353570950617,1.2297095953963508,1.1702315603508109,1.2193018036288905,1.1854682806412278,1.2661967502404108
Kyurem,Dragon Breath,Glaciate,40,1.383287619570062,1.4059090753248535,1.4543470572658883,1.4398595321410863,1.4613886333949093,1.554587684245511,1.3628220078448001,1.4343881409237074,1.4111219847935734,1.5077483949369268,1.5036267118704554,1.5970914930633,1.4129778354650586,1.4760913261765052,1.4553628964300231,1.6219056399885
Kyurem,Steel Wing,Glaciate,40,1.4872047176603695,1.5144495491480099,1.5627937891311572,1.5343625542260315,1.5717929493967335,1.6547353125313997,1.4895314322060849,1.5665659563942187,1.5186423908718423,1.5936743845913945,1.5374671008609537,1.6149618593032073,1.5587373696402658,1.6168212505520854,1.7414170855267723,1.910765448254667
Kyurem,Dragon Breath,Blizzard,40,1.6248808585044743,1.6733140192683513,1.6921116563087022,1.6794173000812167,1.709203193717682,1.8134318552469872,1.5964345029859712,1.695130569984805,1.663727187671395,1.7616333465968361,1.7720836864879332,1.890038809831824,1.654777678627764,1.7377391994087055,1.7073233600015862,1.8868532452983573
Kyurem,Steel Wing,Blizzard,40,1.7436949292008093,1.7973086021874036,1.8143901359716077,1.7948589901029162,1.839749882129248,1.9437312083104674,1.7694883211420898,1.8610021555531997,1.7860991321367503,1.860238527966275,1.8093857340411295,1.9073381808448944,1.8251534571807144,1.8942520032809642,2.0984147756000358,2.2863317768590945
