Attacker,Fast Move,Charged Move,Level,Arceus (Flying),Arceus (Flying),Articuno (Galarian),Articuno (Galarian),Moltres (Galarian),Moltres (Galarian),Lugia,Lugia,Thundurus,Thundurus,Thundurus (Therian),Thundurus (Therian),Tornadus,Tornadus,Tornadus (Therian),Tornadus (Therian),Yveltal,Yveltal,Zapdos,Zapdos,Mega Aerodactyl,Mega Aerodactyl,Mega Pidgeot,Mega Pidgeot,Aerodactyl,Aerodactyl,Braviary (Hisuian),Braviary (Hisuian),Drifblim,Drifblim,Farfetch'd,Farfetch'd,Fearow,Fearow,Golbat,Golbat,Noctowl,Noctowl,Swellow,Swellow,Togekiss,Togekiss,Togetic,Togetic,Tranquill,Tranquill,Xatu,Xatu
Rampardos,Smack Down,Rock Slide,50,0.9744737852427175,0.9646778744181508,0.988849539190933,1.0043883321079046,0.9836907720562528,0.9957543773573475,1.040028054114435,1.0565267550461548,1.0071018127751081,1.0321298301267041,1.0415642410905328,0.9555626493682275,0.9908841965733276,0.9821219597924555,1.0706375556340129,0.987029206455325,1.0447162314308305,0.9824328862016263,1.026577755033773,1.019366810698999,1.0230740706904056,0.9852667799314115,0.955756756065613,0.9935231936232098,0.9954676199081856,1.0034242958532908,1.0407084585647643,1.0331327156917443,1.0492094474646274,1.090100701299461,0.9864692191778974,1.0248108671716691,0.9710255622821419,1.0005655563659572,1.034101573914547,1.0872135991637606,0.9827893792624983,1.03208460317626,0.9564658031036175,0.9908567106462697,0.959824563910685,0.970461718061994,1.0157201606450288,1.0580415464282107,0.9533447723577602,0.9987576762557628,1.012688184756773,1.046199217793275
Golem,Rock Throw,Stone Edge,50,1.2868101954646982,1.2831917550879035,1.3346814345387095,1.3441339282193878,1.295687069316804,1.3312213869647445,1.4066752542807137,1.406301829915519,1.3128505624391449,1.3513434318519622,1.239569902599336,1.2225851453716106,1.2946283137308772,1.311312910811405,1.3595029608054723,1.3614965614389547,1.3235781676159342,1.3083944631616822,1.2773411900688907,1.3230058682549044,1.2894775107039789,1.300167901037424,1.2923731020837654,1.3138020455963988,1.3276656048150886,1.3477201778601393,1.3942100315518322,1.4259650730694744,1.4594420795243586,1.525193607064138,1.3529456754150202,1.4011966568057865,1.341056550744077,1.3793019354052023,1.405551961975194,1.489869509762601,1.3668160220078664,1.4249323521391033,1.319405804506156,1.37873899758563,1.3131780419538805,1.363465511711631,1.3634484996806395,1.4283180749963877,1.3287648080501933,1.3983435452645105,1.38728596445296,1.456298945295101
Kyurem (Black),Ice Shard,Avalanche,50,0.8586890336813218,0.8717489200542154,0.8799578896691301,0.9026588998435137,0.8686488258220522,0.9056680658994689,0.9017167418566514,0.9284005350314255,0.8766251414689347,0.9056217653136706,0.8104066231897507,0.828167968250495,0.8436041448616108,0.8637705519139159,0.8613568525867438,0.8810975715813195,0.8481563891503252,0.8786045689753198,0.8792017971338645,0.8982133165367293,0.8530878206107543,0.8578763397727385,0.8733238999875927,0.8838281577793374,0.8829790424702343,0.917411478334782,0.9023988457112618,0.9460354564919932,0.932953797987184,0.9843290524801768,0.881266803671227,0.9482037437745043,0.8578618450516687,0.9076225632433336,0.9459817664617128,1.0069838763936017,0.8898802908070798,0.9559020228282725,0.8512565743996634,0.915234614652521,0.8538160465311873,0.8892510370863046,0.916906393377466,0.9767139128215492,0.8849382524599845,0.9152159909115485,0.9185854330062448,0.963998276369183
Kyurem (Black),Dragon Tail,Ice Beam,50,0.9993883012789133,1.0377979117304166,1.0105952485623988,1.0515415818274616,1.0225903095099316,1.0744442872784614,1.0538935472599271,1.099065787098962,1.019793839537569,1.064697684640284,0.9384689459502255,0.9731629987346547,0.9804560861447547,1.0207214610149622,1.0071826566003508,1.0462533971247003,0.9732688838719218,1.024187339412417,1.0218453598683037,1.056088548354386,0.9815662011449822,1.0104147009756992,1.006358131856579,1.044154782639992,1.022437676842319,1.0786266315438837,1.0542558099259438,1.113763928910749,1.109878058250499,1.1794671408763928,1.0474091040613518,1.1305924463581167,1.0144697375125982,1.0915034635270244,1.107471559926282,1.1993616991110814,1.063432606213783,1.1340230822199584,0.9974785561866979,1.0791532674140192,1.1959843024948873,1.2966105487028192,1.2966716134916736,1.449413830494498,1.0391384940017812,1.1062244146442126,1.0845103276477506,1.1577236029098295
Kyurem (Black),Shadow Claw,Ice Beam,50,1.036476732348834,1.0852635199955378,0.9476706758248018,0.9775523481576627,1.1513978091973078,1.2227009179176738,0.9643072723678652,0.9923693754477492,1.0744298426542518,1.134429068635255,0.9757139437736099,1.0222462003862052,1.0251557241318934,1.0730732871709698,1.0370745710247855,1.0808784473045556,1.0948772661100077,1.1769910191068862,1.0774697562543083,1.1249234023579255,1.0165183297723777,1.048837014693452,1.2113518382238033,1.2852206181114556,1.0644736623796962,1.1404586669168144,0.9739785002458489,1.0264368987897146,1.0212045062543091,1.0658539543995413,1.3354909672703221,1.4578599348310994,1.243393594112117,1.3969388073845421,1.1625037171000967,1.254452998454607,1.300029052868837,1.4652061977077007,1.2313331129344112,1.3735776555565573,1.02449004310465,1.0896111210418584,1.1199092676973528,1.2198494766823293,1.2418811368364162,1.3863265697245692,0.9828067642411598,1.0629862399621637
Kyurem (Black),Dragon Tail,Blizzard,50,1.0857697227273795,1.0996486123144888,1.0929640111483885,1.1111008927280306,1.0816714169515584,1.1282255755520796,1.1018216904387959,1.1530071945806755,1.0753431473748505,1.1074022351808974,1.0253355288760493,1.021673598137205,1.0516742902065064,1.0744011342603055,1.0837800885798543,1.105381362352101,1.049997410846365,1.0712221712695769,1.0799307670700544,1.1001319342195566,1.067724844977517,1.0701258989077602,1.0831909333803107,1.0931402717674925,1.0881555370071865,1.1320567822578895,1.1262593876243432,1.184707184968674,1.1796144845388323,1.2315928705837274,1.1090949100307985,1.1940349744039318,1.0791453371660573,1.174379647422508,1.1580329594229846,1.23229055671526,1.122671261484392,1.1982538063035133,1.0710204470090865,1.1197439966339073,1.4419911073085327,1.4975295476178818,1.500429640079095,1.648790428516278,1.0948286355911503,1.166344807087903,1.1387444961501048,1.1931688552322697
Kyurem (Black),Dragon Tail,Avalanche,50,0.9347650355520212,0.966034614721781,0.9537010186196614,0.9861564282008651,0.9553155699328264,1.0018785662726812,0.9874731601237516,1.020980259019807,0.9625676371348681,0.9948986368093026,0.884005141244581,0.906721922235502,0.9241234471330377,0.9460817686185372,0.9448971268142683,0.9793520966523019,0.9123209013030651,0.9573448950164932,0.9646155897307691,0.9874456108566654,0.923210418309274,0.941178823433672,0.9490925140339961,0.9644956711740253,0.9675934257093155,1.0091570340647602,0.9927866467399947,1.0471604815934579,1.0481567341445301,1.1039457303657005,0.9893746530953016,1.0645716330709292,0.9571403490548783,1.0177628543406805,1.0473054499730343,1.1198658769014291,0.9949430354128413,1.0719744042782662,0.9372283833739068,1.0123335236778568,1.1324485779260802,1.2089217886871788,1.226140121631579,1.3598969584003073,0.9804142994497522,1.0278048599815641,1.031185453349054,1.0854109743214257
Kyurem (Black),Shadow Claw,Avalanche,50,0.9799451234362414,1.0162915222507531,0.8860161070616667,0.912566920406677,1.0771562432592308,1.1474210087186123,0.8994655919037701,0.9228473163634457,1.0142257403786987,1.0600121053555456,0.9250089557461498,0.9553283688954933,0.9666012678101561,0.9969349846633573,0.9713290462169513,1.0131921441720428,1.0351690343631403,1.1009940748420215,1.0129766501398405,1.0536392111561357,0.9567348890985625,0.9870898151553141,1.1504938773229376,1.2053944341365885,1.008896835758873,1.0684154832509505,0.9199583215793595,0.9552817382310995,0.956391318391424,0.9937523235782674,1.2681575804437595,1.3720107066035625,1.1858626526936327,1.3109371883371383,1.1011565866277198,1.1675913614869946,1.2300201095419618,1.3844561295314899,1.155808613590599,1.2908804936935852,0.9657326349688141,1.0136681965744465,1.0498454511040782,1.1384635374585081,1.1725510028299873,1.29390550608914,0.9321150536422257,0.9914725990803139
Kyurem (Black),Ice Shard,Glaciate,50,0.808016669468308,0.8095811381139589,0.8236725487076213,0.8402845654466797,0.8102947818843655,0.8385089002640617,0.8399894506900363,0.8607315191300102,0.8035361359438715,0.8367416765628429,0.7769690869801456,0.771410811616803,0.7962949584516189,0.7973455751261801,0.8119212726034125,0.8236419381730663,0.8093872567730391,0.8228989018251665,0.8251732792124319,0.8324346044227149,0.8173031730762587,0.8143745398459794,0.8257231047830662,0.8187050649300218,0.8248498475502752,0.8418139475225803,0.8369589609270325,0.8631404403024284,0.8729226334320598,0.9443557356985688,0.7938768820167036,0.8316175269461091,0.7795536931366992,0.8710294386624907,0.8746707086620262,0.9259271023043536,0.8152992424271359,0.8974924310189579,0.8061399933880323,0.8612455344172953,0.8094252736766914,0.8203965890186341,0.8593592293695866,0.9215615402585583,0.7983521989545649,0.8418303685214292,0.8580558443165531,0.8987984706907484
Kyurem (Black),Shadow Claw,Blizzard,50,1.1667175709186086,1.1728769854035768,0.9761433338754545,0.9974712869624031,1.2982589881289572,1.3632080811559582,0.9698123800494235,0.9981036461822768,1.1564154803296767,1.2155499034298214,1.0957024767254469,1.0936839715687374,1.1219056394028288,1.1443203175017802,1.1459244377675333,1.1579019364273078,1.2848600709267943,1.3115657225954103,1.16363915027459,1.1893558503451176,1.1515663470123672,1.147135510032989,1.4604441628331861,1.5139208148289165,1.1626725189748537,1.2268867009471154,1.0163753831243647,1.0344013837704478,1.020182771822875,1.1025269593261413,1.4457828435718711,1.5639049792249538,1.4791971978662595,1.569760733245569,1.207175462407252,1.3140417909766209,1.532026777527593,1.6397637101234945,1.4185838367445076,1.5396610865666858,1.1318057214693207,1.1679325441161414,1.1987892957128565,1.3024839153167174,1.4474761282190716,1.5963239355413164,1.0028355085573826,1.0804728858625186
Kyurem (Black),Shadow Claw,Glaciate,50,0.979808983172097,0.9741828553631762,0.836443207553788,0.8516008231192536,1.0652582772376051,1.1203792119059837,0.8359169255453289,0.8598429883807849,0.9716913860606968,1.0165219757940638,0.9204659342343553,0.923802411311569,0.9451915351364343,0.9569373500781927,0.9729680362950808,0.9719928840268817,1.0739664071996622,1.0892327510317912,0.9784797140734509,1.0048663345662128,0.9730591384765148,0.9596490123626447,1.2154864092575597,1.21328273801913,0.9843866658498578,1.0428783197219786,0.8753928091443499,0.9204190050462459,0.8879680815045768,0.9215627985645345,1.199146075641637,1.289846542955837,1.154531977879793,1.2587113180521152,1.0135261014538626,1.0756817230625555,1.2418141653572503,1.300726321720928,1.201116420721506,1.2995385648022921,0.9514092823880524,0.9834330221586342,1.033233601620194,1.093242024876363,1.2304871115978715,1.3157686501731949,0.8518244819468581,0.8968427151995669
Kyurem (Black),Dragon Tail,Glaciate,50,0.9308988131129015,0.9360024623925237,0.9299786479545563,0.9432140043222207,0.9177484811274405,0.9535438765285815,0.9457453158419985,0.9819961739048446,0.9183239070971133,0.9485774322447518,0.8718166707983125,0.8708593523148989,0.8967348141020005,0.9063496797259155,0.9293700974461885,0.9405306431739582,0.9009866543810882,0.9179329585377742,0.925387878283156,0.9379127203276612,0.9177579722283852,0.9143657878028763,0.9254562623303585,0.9411589850250373,0.9316167264596311,0.9660638872191103,0.945885523164756,0.9862683904737234,1.0207329186144514,1.0994626093735134,0.9383286504652916,0.9741883010307172,0.8898316333711939,0.9810785030999751,1.0074887023173162,1.066789406922985,0.9606540298994165,1.0232408521869307,0.9217457598252837,0.9889170598783799,1.176959710658368,1.2156834953398763,1.228134095717538,1.3179574399002774,0.9218707247165426,0.9572636708976288,0.9876825023564978,1.039892836723985
Kyurem (Black),Ice Shard,Ice Beam,50,0.9176217041828036,0.9498635503261645,0.9418654022721528,0.9761131795709043,0.9356195744992954,0.9749579922660669,0.965075113680565,0.9968043987842645,0.942966297127045,0.973411819194691,0.8650745288885135,0.8964084457302557,0.9051838766017412,0.9337276956743158,0.9183807024211081,0.9540087342517136,0.9101421685576386,0.9540218097489909,0.9451846020628567,0.9711848202310382,0.9075300582778589,0.929671268654711,0.9351134984926537,0.9548159787238275,0.9431588744373272,0.990633818185995,0.9659631559017011,1.023743616750323,1.0084058033750283,1.054543996577117,0.938753567965248,1.0121203279356012,0.9122674077703737,0.9817887274859453,1.003570441509554,1.0847101103833727,0.9591378826408387,1.0176180229297838,0.91073743475691,0.9825897875154029,0.9187421473233017,0.9565638478988504,0.9840924391598289,1.0552450973993384,0.944527885246993,0.9904108575887611,0.9853549214359966,1.042937758714452
Tyrantrum,Rock Throw,Meteor Beam,45,1.1103597400517793,1.0974359091732513,1.1262243126903975,1.1368859318097189,1.1061869414201382,1.135735695105282,1.1644888474577948,1.1810405313745607,1.1316728196569663,1.146025343342136,1.1927146159162074,1.053512660609074,1.0917063858252576,1.0899599053881517,1.118471447615442,1.1005977590817846,1.1295472077446125,1.1020343273725857,1.1264151119391002,1.1251736310965956,1.0770435444853297,1.0695536381245139,1.0894332320858775,1.106841543469634,1.1603209708029105,1.151687157083839,1.1918730086028624,1.1830922241798543,1.2055194553239041,1.2576656652314235,1.112499024632748,1.1617628627454362,1.115107232723575,1.140277624102505,1.1957377497730153,1.2645323745378596,1.1155468156468582,1.1708810301571835,1.0884386739999397,1.1340762780632945,1.0778757811092505,1.0952478288952263,1.1658959852396464,1.2037499244172551,1.0985155690845423,1.1659752599078117,1.1372239078683708,1.1890318107927782
Shadow Walrein,Waterfall or Frost Breath,Icicle Spear,50,1.2311960498639574,1.2514446253714082,1.2777532680504728,1.2967256103876292,1.3071515305575088,1.3242953326486364,1.2809269994771917,1.3166974283226907,1.3027917080953213,1.3635072157795332,1.31031025659136,1.2346396258529309,1.2722000528837478,1.278607254658497,1.2490896179437865,1.2693904567802463,1.2654865820449404,1.2625115644413647,1.3654642673081907,1.3396242402164615,1.2180097853983676,1.244646167948636,1.2674628183162238,1.3021152099440345,1.2419260354010084,1.2740856526239348,1.327011550612373,1.3433185123858817,1.3692440196975046,1.4498368139200817,1.277576588710232,1.3664500632966374,1.2555786758435268,1.3259136402673874,1.3629745712606984,1.4566928147971794,1.2857462110110798,1.3714970731971878,1.2695179675212134,1.3204836153437722,1.2420041799726318,1.27028459283454,1.3050026549611313,1.3950015011520835,1.2602284366485852,1.3342247787914903,1.3067071417581695,1.386802914529723
Tyranitar,Smack Down or Bite,Stone Edge,40,1.2148273023450629,1.212968004410063,1.1943581192563368,1.2207890925559435,1.2093548837507002,1.2311983131762267,1.249827420195767,1.2747692589210056,1.264215154161087,1.2914429686845232,1.3307886780903209,1.1970744831865099,1.212306183377065,1.2055269092035397,1.331954012801623,1.2131150567823763,1.321617297468128,1.2098994821158886,1.266114800588641,1.2729817362623725,1.234758969500665,1.2355913348631493,1.2160874535554527,1.2435551590266987,1.255937020204534,1.2765505330316245,1.269914161647991,1.3113038084168689,1.3384865861282793,1.399413888735675,1.2563504752608181,1.3163020616776935,1.2540150644420007,1.3010225740821446,1.33269606356568,1.40014630874238,1.2708144114111997,1.3478288730856445,1.2364696099940893,1.2890699365852192,1.208206423457326,1.2372689705323876,1.3120253759969607,1.3537755587834202,1.2359774740986402,1.2917460065816504,1.2782790937976094,1.3471024899378368
Archeops,Steel Wing,Ancient Power,40,1.5035440972811196,1.4391549232973375,1.5622531213461546,1.492480412784451,1.5530201265846717,1.4698656549732898,1.6325003433684326,1.5941204577300025,2.144470394464457,1.7983759045875827,2.5600800154371215,1.6348850202219827,1.4972123337047534,1.4281973225734244,1.4555627109179539,1.4252076513462169,1.5223157817188673,1.421431785944793,2.121648254467435,1.78173714487557,1.5640909045543634,1.2880639789705293,1.4597659280053872,1.4775946673182874,1.358387893615745,1.3196037647232997,1.550565376125066,1.513255247752075,1.6310743026058703,1.607950062031475,1.4231283503726952,1.4977742395616915,1.3995353236100165,1.4631951798903924,1.5266498630726197,1.5620796684797829,1.474758930362149,1.5183779553315748,1.421483284745389,1.4598879972750678,1.291226274461754,1.242450360775073,1.3585187792550235,1.340108097954037,1.4078176974423038,1.493269817555983,1.4884937728604153,1.5338921302336372
Weavile,Ice Shard or Snarl,Avalanche,50,1.139625658353888,1.1295060117455311,1.077440554441291,1.0627740084609247,1.1566812739920136,1.159773799428417,1.1061293253406763,1.1163548623370219,1.2042026090220206,1.2208530016042045,1.2202117572328037,1.12368699067079,1.1365577472614747,1.1469192488419966,1.2454972728007871,1.1701928902670855,1.2021829501296981,1.142189270867644,1.1985510862356936,1.2049271155736727,1.1771786637472716,1.1674435512412928,1.1592324135821237,1.200235075945063,1.2048700316641079,1.1947231592126473,1.1171895629508204,1.1197677312047063,1.1227966685644468,1.1715460614312396,1.1529723999251096,1.2073587673745236,1.138415870126957,1.1703684217260957,1.2199518834626746,1.2801233699768053,1.1394616638356456,1.2125347809012228,1.1740732726234484,1.1817366833969483,1.2002983987860694,1.2023934220603314,1.2122542923121957,1.237444749576174,1.1387066287150436,1.1934733177313068,1.0750007068575462,1.1345121452814413
Shadow Piloswine,Ice Shard,Avalanche,30,1.6352285227925165,1.5092368965207685,1.6882842288790467,1.575083674309263,1.4814697889397515,1.5159432134247994,1.745646313964058,1.6363279431116782,1.4756417729508255,1.521623527463413,1.4590616801626068,1.3946347232743685,1.878603921250429,1.561601618351823,1.6995600870353236,1.5612640041333055,1.682410411280382,1.5297643229576783,1.4946761880935917,1.4840189572845581,1.5154705413138658,1.475466871597547,1.8207501404109947,1.6170918775672956,1.544915476231499,1.5145830701039007,1.6517361232805092,1.6070531377030677,1.6099994008507093,1.589279308220212,1.4914736876309285,1.5455287286272996,1.5034231637435749,1.493418677680103,1.5517038266199052,1.5957060059683508,1.5409847029813097,1.5308115307381982,1.5291872288842805,1.5310895520892815,1.4932632438621145,1.5101603650412596,1.5390747411694223,1.5691244899946448,1.4947009994319715,1.4874151693186763,1.5827370332032102,1.5650834036824888
Aerodactyl,Rock Throw,Rock Slide,45,1.284593889607878,1.2584857727066237,1.315748624391195,1.3212124082165402,1.298895988691338,1.3164676466990703,1.3534145653127598,1.3601809832853908,1.3947126837713972,1.3843403894295643,1.4487197553142428,1.2893251891439739,1.2555716255085672,1.2679625913321189,1.2711531805746414,1.28059381694271,1.274142683185289,1.278180748548339,1.4999358509584013,1.3890879827145564,1.3052418596402602,1.2969240407108193,1.265079004270578,1.2730385318077075,1.3261155822890303,1.3227239747452895,1.3700174900651094,1.3780284581827007,1.4270794844068226,1.4446632360779827,1.2791442497983503,1.3587388595376106,1.251309313323684,1.319269975966442,1.3532545041126087,1.4313735032400223,1.3154860617949342,1.3728532811451124,1.2739113795970707,1.3201713100712287,1.25367153268084,1.2627215412436694,1.3121851237854059,1.3825349619895688,1.2730600359555053,1.3332285659924057,1.342060484239647,1.3952480078551148
Gigalith,Smack Down,Meteor Beam,30,1.3791479653939247,1.3267217568502672,1.3484858368288406,1.3650865586565728,1.2997598093781626,1.3219300984929605,1.4013561064878473,1.406716236386794,1.3893878477258352,1.3719346617392483,1.4527010230324249,1.2604880327687984,1.3119512406624538,1.3049997799476167,1.3611143890912674,1.3307238470567777,1.4819801313154661,1.3161627782205736,1.391444377809872,1.363008786100732,1.3355061176013565,1.3293696302568876,1.3283701243288448,1.3406235289994877,1.3578632853330475,1.3437979954998933,1.3938332003911813,1.391476412119834,1.4370419381489161,1.480677357796622,1.3063394782022826,1.3605999597253453,1.3118613851548935,1.336494163977663,1.3804609148881206,1.4636965218622566,1.3331123176440203,1.3825120402201023,1.2849504803694687,1.3396335367014296,1.315976716601276,1.3323100498565168,1.3609709310638856,1.4109913590355176,1.2752691499526412,1.3546230262231038,1.3618871223774207,1.3996802800698116
Golem (Alola),Rock Throw,Stone Edge,35,1.5560882205865612,1.5044749542179618,1.4758833695746278,1.484471802538837,1.4404769828140136,1.4718730973520264,1.5891669605986427,1.5779045834831653,1.5255041144261432,1.5553029034131094,1.553841461134601,1.4203591808169764,1.4882824775075028,1.4554316816830175,1.5163132361841698,1.4817820566523812,1.549559550266683,1.4967945744152118,1.4961522583785993,1.511338014956641,1.6245619947902312,1.4577551930708383,1.4138937271092196,1.4572995248283578,1.5223338208661492,1.5346950750251742,1.597595236869351,1.5980494511317627,1.6146394849933012,1.6527994765757321,1.508933148273285,1.5999069836737336,1.5056124154064667,1.5409262968374005,1.5653597388759046,1.6552247190700906,1.5247244327327631,1.5904538536809933,1.4437718270068824,1.5041539787014495,1.4707435885962323,1.4947241960721565,1.555004958078021,1.6335904572039621,1.4419134670224603,1.4985618144041941,1.5772520756825947,1.6294436094753426
Shadow Sudowoodo,Rock Throw,Meteor Beam,30,1.4580421385482345,1.3874516314240553,1.6265839623554077,1.4704292226919742,1.4640063704611774,1.4358569406889747,1.7255273239952882,1.6055788253195764,1.532722030050785,1.5068381311411843,1.7105844455308288,1.4209891990931616,1.7921728019762246,1.4638380385989673,1.6639914067148125,1.4500108026170537,1.6725534233148749,1.4772582090850999,1.666493293897731,1.5080276227951457,1.679045535958997,1.4534452724764366,1.4487127176843977,1.4666237619917621,1.511426390840509,1.4765121174877511,1.5932598424094178,1.543975920555429,1.5879142201296215,1.5780003292864508,1.435690085869896,1.4700425757476288,1.4335772818519914,1.4380082103993876,1.4939081171523156,1.5317724366923766,1.5127534285652933,1.4858280479264543,1.4470189042166322,1.4291336719462224,1.5138603038246445,1.4391373775345564,1.5206576081403402,1.5191353003902095,1.418496835576312,1.433859835374508,1.5092220123885502,1.509860938170711
Calyrex (Ice Rider),Confusion,Avalanche,45,1.1053802361126546,1.1371051985320928,1.261886145532238,1.317151006798863,1.3877028779369256,1.455018344003537,1.3095657895707848,1.3649013409531392,1.1666701011665446,1.217844065580016,1.0889556030425533,1.1194011583380536,1.1167163178391544,1.1611288794019226,1.130896410635812,1.1726239473870539,1.3315779049636478,1.3916491520655307,1.1598205368423,1.1916828100508619,1.123485109627017,1.154233493761866,1.1567237687163356,1.18010880549786,1.1644962203444125,1.2215156399761593,1.3073929269599796,1.3817358831588606,1.2683956093036688,1.312635246574499,1.164730101237042,1.223121365306369,1.130647189925325,1.206062809404776,1.0524310433050676,1.1162197952819206,1.179453060859352,1.2523332050865181,1.142222502729941,1.197481842134263,1.1057115828255182,1.1823360194768637,1.195159748538646,1.2769884413540167,1.1573320465873134,1.2344119638764979,1.3403400664115614,1.4205807174402136
Calyrex (Ice Rider),Confusion,Glaciate,45,1.055464993175609,1.0763614217146436,1.2305770658276238,1.2862195294508856,1.3978173972720997,1.4235285676507308,1.3023966435941707,1.324020221373587,1.1488112462949809,1.1647591789417575,1.0667345041355698,1.0717322952053983,1.0898887294151671,1.115109698188963,1.0906443128221686,1.1361804611296578,1.381658061957112,1.432574435497777,1.1209256631298956,1.1283429903194433,1.1090191339623032,1.1097888531215234,1.126711806552008,1.1324274101203888,1.1214874026370165,1.1637402892269286,1.353792154430414,1.3968553653698232,1.2104096461535998,1.2693668672821223,1.1309160582917048,1.1963335254226575,1.0868423231486144,1.1371223257679937,0.9730131628153366,1.0360952100550527,1.1293139542295518,1.1809792403969148,1.0709149560704876,1.1320187539446398,1.0476231530469262,1.0955201409223818,1.142249291472721,1.2285208843188649,1.0525053528842114,1.1228168153428308,1.3019259756745531,1.352643592143563
Shadow Aggron,Smack Down or Iron Tail,Meteor Beam,35,1.1434801401786965,1.1478599403203806,1.1790286448795426,1.1953010889175313,1.1956517411371483,1.2097375487527742,1.238060504634453,1.2623028533218181,1.2726563590623865,1.2817606946870757,1.3427739131117202,1.1800081317251767,1.1755796185703333,1.1596254055992476,1.3405472444710107,1.175125648324267,1.317217231057672,1.199055733000071,1.2475610657264324,1.2401408899507973,1.3137681153857077,1.1579798288438166,1.1544444223449062,1.187198779347792,1.1651940176405198,1.2002237928776816,1.2216303026975022,1.2663795024854494,1.295393865926628,1.2971489053035623,1.1939189250425015,1.2663211269299284,1.2006152907021819,1.235384352520287,1.2461189792415035,1.300236255659889,1.2173288692238113,1.2622241664360176,1.1392201885412596,1.1914541319788816,1.156133492516837,1.1852884970629847,1.2026274137527737,1.2704145355333425,1.1594091629654835,1.205593929863342,1.2228224289387846,1.2751273904178022
Shadow Aggron,Smack Down or Iron Tail,Meteor Beam,45,1.0576103467278908,1.056570518240888,1.0639210118872724,1.0828427861810592,1.0630613701274843,1.0959039128179793,1.146083439711274,1.1581722295935084,1.1709591841940294,1.187211635515962,1.2273893376764087,1.0677288689400413,1.1057768673579988,1.0903006010455039,1.2674334624884274,1.0991133291129003,1.1985027751990045,1.071382271718061,1.128504410197737,1.1375189005083275,1.21247196851107,1.0865978582061535,1.0474698080844531,1.0790649811664579,1.075133911991393,1.123616529914988,1.1225310328690004,1.1595955788238885,1.2308609361566736,1.2662617637998341,1.0933333068077649,1.1543379140779368,1.1442047361088217,1.1339138871514174,1.1762361164585182,1.2323847201822284,1.1133209737693248,1.1836984123791192,1.0893516665163945,1.1315110349733017,1.0693094845457916,1.1086311444742574,1.1355695172952076,1.1872867047438656,1.0759650450920712,1.1227870235725363,1.1374736948013104,1.1816717529810108
Kyurem (White),Steel Wing,Blizzard,35,1.3274366627765817,1.3280669260791427,1.4031552282978772,1.4060225814291867,1.3873787515690974,1.386134498092711,1.402921307693151,1.442910099230432,1.57015062334288,1.6444720907723238,1.5445718599376699,1.4933902323277508,1.3170477962080052,1.3193965440031812,1.3430019030481042,1.342250456201181,1.3878784368345274,1.3349674540718846,1.5812937038036836,1.623150269227691,1.065766460174749,1.0594523217097498,1.3711087685600605,1.4114042141293714,1.0951678095610033,1.0915387531156793,1.4335176790229613,1.4377712570733616,1.4219529696510065,1.5273335552538863,1.3555148977538811,1.4549252122653342,1.3159066891270919,1.4022700534940487,1.399096682533045,1.4717614736637818,1.3680148029586565,1.4694633808661353,1.2969973652310682,1.3656635710636251,1.0895830663550157,1.091096086658175,1.1178947381056015,1.1644360942078336,1.3013752559617289,1.3686525039221407,1.3779971218963902,1.448481468031128
Kyurem (White),Dragon Breath,Blizzard,35,1.31687862925912,1.2934880195296008,1.3488756667041608,1.3376344839238439,1.258563644137037,1.2592309845674394,1.3494249716152347,1.377019900179913,1.3068856528919346,1.3493906045402495,1.2048698485417138,1.1600638235404097,1.2884255056252152,1.281339403694816,1.2470975693335615,1.248097072311493,1.2972282709952334,1.2399529361269146,1.2337562589999262,1.2703705882034242,1.241921749057428,1.2520047936629064,1.2832505074211829,1.3132496834241152,1.26778585440126,1.278584004329087,1.353751436496367,1.353105467402497,1.3278613186347556,1.4543778845696096,1.2952031162237672,1.4058503246176945,1.2388498365522345,1.3250083360994882,1.3492729950629545,1.4270064653144616,1.2701333707464346,1.3529358293168143,1.272490207275168,1.3317942876606657,1.5633458429513858,1.6105492885120567,1.705813052025985,1.8443955713537872,1.2258956944199737,1.3045467756754694,1.3221372911970346,1.3900501262980014
Rhyperior,Smack Down,Rock Wrecker,35,1.1482747188461953,1.1819164954952917,1.1755134923156003,1.2015069173301087,1.1750355730397017,1.2180976857195116,1.2435565489656282,1.2875849438333788,1.1686049601801152,1.2161428572685096,1.086686602434578,1.1104587996438013,1.1664071116185166,1.2109100073536643,1.1658768741416707,1.1888626061777912,1.1543696104898626,1.1867782333857748,1.152370758113206,1.2090172383583453,1.1327188989622685,1.151724728283609,1.1598436868091329,1.1971121270584537,1.167553446742145,1.220428645998849,1.224794067145852,1.2796724618941975,1.2530714805273764,1.3605312460492542,1.2292494347290865,1.2706368368967118,1.1660461259153716,1.2417314549071587,1.2593503825551957,1.3425724928884855,1.2107634980197282,1.2953912881624454,1.1649711978681412,1.2228905719352028,1.1512576347989631,1.2064064722338255,1.2326991284615585,1.311928540059455,1.176350549676623,1.2316306909694592,1.2236300825352573,1.3013212544536614
