Attacker,Fast Move,Charged Move,Level,Arceus (Flying),Arceus (Flying),Articuno (Galarian),Articuno (Galarian),Moltres (Galarian),Moltres (Galarian),Zapdos (Galarian),Zapdos (Galarian),Lugia,Lugia,Tornadus,Tornadus,Tornadus (Therian),Tornadus (Therian),Yveltal,Yveltal,Mega Aerodactyl,Mega Aerodactyl,Mega Pidgeot,Mega Pidgeot,Aerodactyl,Aerodactyl,Braviary (Hisuian),Braviary (Hisuian),Drifblim,Drifblim,Farfetch'd,Farfetch'd,Fearow,Fearow,Golbat,Golbat,Noctowl,Noctowl,Swellow,Swellow,Togekiss,Togekiss,Togetic,Togetic,Tranquill,Tranquill,Xatu,Xatu
Kyurem,Dragon Breath,Blizzard,40,1.5112875324255512,1.5609424333445885,1.6477557178947124,1.719322620490576,1.498521498458407,1.6088720054325178,1.6243340633892902,1.7161721229303553,1.4934846171759772,1.586273190674567,1.6265701314044387,1.6916839051063504,1.51372287792025,1.570533714694598,1.605941326942699,1.6110287517201751,1.5729900887680723,1.6974067213548558,1.5649659381209196,1.6769337212602895,1.610784745211351,1.7067012380642568,1.611327414106877,1.7047482490486958,1.6508318771200752,1.7707014787294968,1.605387984249308,1.7665466737709392,1.6263542023035695,1.7441783555707606,1.6338179859989228,1.7629940764674203,1.625527165700402,1.7590889786565793,1.5832593655387084,1.6715465145969868,2.066402031464347,2.2562753568197076,1.9893466898954704,2.1758101045296168,1.61863995226929,1.6986860179545171,1.6060674374416282,1.7240775927774736
Kyurem,Steel Wing,Blizzard,40,1.6262704174954752,1.6857333975576618,1.6729281363391986,1.7474221539635528,1.6322989080174466,1.7299713265338312,1.7742211494869389,1.8852215815608726,1.6990555541180428,1.7870947292157215,1.6891467990820248,1.7506438953290997,1.6632523368919583,1.7402664916674409,1.7533989436641317,1.7725647123294392,1.3190809256898168,1.4024603671004836,1.6360807550383196,1.7564753051376667,1.3345643812549033,1.3857804397328688,1.6620526112612364,1.7353113108696852,1.6949441254643975,1.8067225656764416,1.6751224837229852,1.842428101729717,1.648523206751055,1.786805793134907,1.7184060312331717,1.8371459343026386,1.6187912967041649,1.7306541299173326,1.6517879941150007,1.7497173011684883,1.3591109424710313,1.4491331251276962,1.3648954703832752,1.4531358885017422,1.7085790401132217,1.7980741213525553,1.6966925380825093,1.8174401253851191
Kyurem,Ice Shard,Glaciate,40,1.1502817282318734,1.1583375073812636,1.1656855018200527,1.1979897522068983,1.133428745523403,1.192145429429569,1.2414186498434532,1.3010193113635447,1.1317075064041193,1.1993634693507904,1.1775544199057582,1.1949407254176834,1.1530083592438927,1.1714030444330676,1.2019613576553678,1.204087933928911,1.168075970073853,1.2225516610936034,1.1551944365597502,1.2050276752767528,1.1401098375399452,1.1974875141124015,1.1477306568135444,1.2038052170076656,1.1660817339461667,1.2230429228035655,1.153036426724194,1.2075790458615445,1.1712852092598929,1.2489679552970692,1.2068605277329025,1.2952180936995152,1.1331469940443857,1.2192219182411679,1.1492406648590152,1.1957978186593388,1.1436545926855608,1.202686728350019,1.170897212543554,1.2237020905923346,1.1574974677748333,1.2265266195834663,1.1631616802464761,1.2201217352098161
Shadow Latias,Zen Headbutt,Thunder,45,1.7513798362279622,1.7817514358458169,2.068134913217495,2.1666759805064544,2.5308160896830314,2.578382165668547,1.4725186079131256,1.511564895163539,2.1319701399849924,2.2252063549564,1.7901059654808733,1.8273568379647025,1.7521856783954362,1.7949306888420202,2.5246018292645522,2.596549629996176,1.7877294378022084,1.8624305371791479,1.781762702242407,1.8605130570536474,1.728907939302321,1.801306951912589,2.1597419070203494,2.226989466718138,1.8146668820393839,1.8964742507232117,1.7131346736149917,1.811615485581359,1.7385676816056563,1.8410879233664044,1.4505546580506192,1.5063004846526655,1.7518790309040089,1.8321662436172208,1.7819510475055627,1.846540131074985,1.7390546101981845,1.803121625171478,1.7923693379790941,1.8974825783972125,1.721621734123295,1.8232159953379308,2.121703004734147,2.22701362274967
Thundurus,Thunder Shock,Thunder,50,1.2616463938626292,1.2840470288513393,1.2946905332205396,1.3372502847144474,1.245358202487469,1.3076677862656256,1.3677374863513592,1.4267123856227932,1.3188940926850725,1.3733937951199315,1.2966512916381874,1.3552944265144555,1.277104289918898,1.316854678824369,1.3222049324300835,1.3589803884682312,1.2554307296302534,1.3155957564531262,1.2643414703377802,1.3202065001419245,1.3025890277272814,1.3555272775981169,1.2617437820548172,1.3321568411184028,1.3225744871437173,1.3835592299446395,1.2991331921142575,1.3553132594315715,1.2743984490819935,1.3541566883339036,1.3182121701669358,1.4155627355950458,1.2338393465614474,1.3253958063783347,1.2521916758873095,1.332624053110903,1.2946061119056653,1.3661086950176586,1.299808362369338,1.382081881533101,1.2727449320808648,1.3544976481525164,1.3232424076519274,1.3829076895000698
Xurkitree,Spark or Thunder Shock,Discharge,40,1.0028276840995178,1.0269150078493439,1.0,1.0506011280665817,1.0,1.040579512833327,1.0645237502314682,1.1218022804138545,1.0295003493156,1.075293036975703,1.0088855292163263,1.0470281231752527,1.0,1.0353780437906572,1.016630235416083,1.0478806827127751,1.0381023118189034,1.050109456566191,1.0055244110133408,1.052473034345728,1.0019326814519987,1.0434757649400102,1.0095075277119065,1.0524127281751503,1.0360064024435014,1.0731435116521535,1.0120079533197313,1.0729574133517004,1.0,1.0741703729045502,1.0593861066235863,1.1191599353796444,1.0035358373909866,1.0701932858596135,1.0021521588463456,1.0735746507301533,1.0079244622165144,1.05548582936867,1.0152177700348433,1.0719337979094077,1.0,1.0679746361227125,1.0265691926185951,1.0842699644670595
Shadow Articuno,Frost Breath,Ice Beam,35,1.4489472597708728,1.5143056491271305,1.4538569895228937,1.5315344133533484,1.435265540869236,1.4882873788600015,1.534173216950069,1.6132576458994483,1.4576228426527285,1.541304629078583,1.4102167743220428,1.490263487853124,1.4243744403615684,1.4760954088399645,1.4388742232373442,1.5148400262550377,1.6106202939690635,1.5417739180639418,1.4097431166619359,1.5085544990065285,1.4263380470349605,1.510687154365755,1.4265482821375393,1.5063916616114266,1.4600948618922451,1.5680553312089751,1.4248398289776345,1.5167318613627208,1.4385334701790398,1.5444406431748203,1.497921378567582,1.57156704361874,1.440735217137947,1.5180396843425614,1.451600744136279,1.5314008487044488,1.448162633898602,1.545554712355156,1.456794425087108,1.552883275261324,1.437693385689112,1.5281042305504295,1.465320494240658,1.5404978905671314
Kyurem (Black),Dragon Tail,Avalanche,40,1.0819820353244476,1.1337012896607899,1.0673660396846656,1.1357302660610744,1.0527960365200673,1.1285391474998299,1.1248140272908966,1.2220647174385466,1.0956904805030143,1.1644086216265168,1.0909352211876644,1.1545484584987393,1.0573306951672936,1.1246869483917004,1.0775464217287019,1.1254720897088022,1.0746529866005918,1.1397014602227622,1.0732756173715583,1.1455364745955152,1.0661034462963317,1.138904303564936,1.0931781834224894,1.1721722825787237,1.1199283396231956,1.193321487833889,1.128188800374274,1.175544841388452,1.094628806021211,1.1611472231725397,1.1491760904684976,1.2235648896068927,1.0928898063190748,1.1808314156189197,1.095254307357465,1.1652906630351518,1.291001430197601,1.4215142581944487,1.3391811846689896,1.4587717770034843,1.1006091215606832,1.1720803096946069,1.1289813532575441,1.190890255815701
Kyurem (Black),Dragon Tail,Glaciate,40,1.0649775241521349,1.0826589512124476,1.065198163182327,1.087765275821336,0.9925867384803894,1.0703570817816401,1.1330234320292363,1.2078829015786663,1.04798043832639,1.126215488912464,1.0825227117385854,1.1181576219553597,1.0454332515659992,1.0905818658370017,1.0745037818296326,1.0895063684825037,1.0549868892684453,1.1175876253939234,1.0559395401646323,1.112837070678399,1.0342907441780362,1.088291012074475,1.0629018915788893,1.11917498483428,1.0468876194951469,1.119311590478568,1.0822362863714927,1.1270841726338223,1.0459573497548182,1.0969323754133882,1.0866558966074313,1.1894345718901453,1.0377386443322898,1.0911712708273662,1.0344710188101114,1.0992668069014992,1.348114474183474,1.458969382096261,1.3842073170731708,1.4961411149825783,1.0626604320739272,1.1023573975662888,1.0740180133758441,1.1482077871888183
Kyurem (Black),Shadow Claw,Ice Beam,40,1.179790780181567,1.2585626659284068,1.0386383037763445,1.1054493670764114,1.2661120141325157,1.388979559985987,1.2398010331462432,1.3611542120823197,1.076051181204233,1.1482249592465132,1.2030454325301805,1.3059125207653415,1.1714069977288315,1.2756613369650944,1.2728376911107067,1.3842007651585013,1.1627534941903823,1.2555780750078183,1.3459125745103604,1.490501703093954,1.171023173041964,1.267073614114315,1.0659129763414767,1.1414768653835548,1.0925711097079251,1.1635853683607689,1.5017609065744844,1.6619059376989953,1.414174934428099,1.5375299349982894,1.3020893914916531,1.389628432956381,1.4413179389426067,1.6139714960147755,1.3972131366803253,1.574845275585764,1.2028545576603136,1.3208020781646772,1.2046515679442509,1.320609756097561,1.434654715488893,1.589071887444326,1.0964327504213498,1.166092342705012
Kyurem (Black),Ice Shard,Glaciate,40,0.9241998230096993,0.9478054642954874,0.9402918636222615,0.9586754563620913,0.9097923124561057,0.9636011349844513,0.9926249449265369,1.0279634844315035,0.9197389189329055,0.9796439568401168,0.9292371481208215,0.9510073736765632,0.9177615648725951,0.9425546592555548,0.9517471664393546,0.9707698001631738,0.9330630999061801,0.9786950612235079,0.9256954300312233,0.9665661368152143,0.9226162000803688,0.9603417593141851,0.9351458666519605,0.9817680472067501,0.9086917575882172,0.9663724871143482,0.9437289633393546,0.986406580982209,0.9230128863040256,0.9755388299692097,0.9549273021001615,1.0340764674205707,0.9139942122885164,0.9557032662050983,0.9060223970429093,0.9829164792140364,0.945988149791308,0.988375996030472,0.9433449477351916,0.9910540069686411,0.9133354608649804,0.942071013306323,0.919337004712677,1.0099191652442756
Kyurem (Black),Ice Shard,Ice Beam,40,1.0484658973616283,1.1043890714090252,1.0538828113407883,1.115097862762819,1.0494588236075437,1.1182950660718347,1.1075864094656118,1.1914811196461677,1.0659572541206301,1.1316686935596552,1.0417570081612886,1.1118974656098788,1.0297505272708225,1.0874528322399175,1.0647746953781727,1.121411146940286,1.0532097235920999,1.1263231013495634,1.0474879364178258,1.1220621629293215,1.0418588185767044,1.1110622093802023,1.0672144708542437,1.139800363977279,1.0866826238270753,1.1692829556968531,1.084783427984769,1.1372467478459758,1.0695062150758354,1.1340517732922797,1.1183952611739363,1.1905438879913839,1.064978419539946,1.138361860364053,1.0611845385017569,1.1280473718127986,1.0611701351390794,1.1271708356440269,1.0762020905923344,1.1559233449477353,1.0622025502629353,1.1149422097653703,1.0813607720631648,1.1439567163698432
Kyurem (Black),Dragon Tail,Ice Beam,40,1.146024999479911,1.2130412726658804,1.136603197666016,1.2110162812342828,1.1215824698364103,1.205930941276675,1.190544604716204,1.3091542205960918,1.1662975133904312,1.2501772453230522,1.149008016440266,1.2368041064452904,1.122417756623253,1.2090799297104013,1.1410697087612898,1.216191015624201,1.136186220500854,1.2266983810050758,1.1416761282997445,1.225581890434289,1.134627528272642,1.2146807248512217,1.1619698891523742,1.2487839849997242,1.1832332339681935,1.279769159605868,1.1933228501994828,1.259704479590378,1.154738282586384,1.239810696772722,1.2257512116316638,1.304728056004308,1.1672411579373623,1.2605457831682287,1.1543474824605133,1.251462130515667,1.3668748723037858,1.5239922944455797,1.4111324041811846,1.5725087108013938,1.174577846845472,1.2520569993478654,1.198952261333505,1.2694491857481778
Kyurem (Black),Dragon Tail,Blizzard,40,1.2413789240718012,1.2676426204166154,1.240146760421705,1.277748337479598,1.1639368486416215,1.257642798676405,1.3229316322816698,1.4049724685895022,1.240897094211711,1.3219939451962635,1.25615038860045,1.3101402763883923,1.2206986659603445,1.2829136580438696,1.247339223676973,1.2735779032366898,1.2288814982318554,1.3155777141619958,1.243734033494181,1.307365881351121,1.2113798580148873,1.265915918789108,1.235096233386643,1.2965973639221309,1.2480800011747604,1.3514001674033393,1.2078389582710627,1.2750263161314637,1.219489109362527,1.3061010377466074,1.2783737210554658,1.3719224555735055,1.2219676243715987,1.3010202569901925,1.2334788371046774,1.3186775774230024,1.6327748752225564,1.7768526896471206,1.668432055749129,1.800609756097561,1.2171331048549348,1.3411635748081754,1.261591145749466,1.3451633334406836
Kyurem (Black),Shadow Claw,Avalanche,40,1.1176441406768838,1.1704595826805548,0.9719929625911231,1.0277989212646526,1.191727032586805,1.3014466236869064,1.168711036189917,1.2771317953204053,1.0045242839030195,1.0683520066240586,1.1351772805663563,1.2229620543090065,1.1058949569782588,1.1862872029839475,1.2049119822349088,1.2920893407409073,1.100300103442469,1.1825909932882677,1.2796693159239285,1.4075184501845017,1.1043360952180485,1.1833846801507872,0.9916616114266806,1.0636519053659075,1.028164877604664,1.0931291208387788,1.4201484099858348,1.56395794617214,1.3425019956665527,1.4351807503706238,1.223941841680129,1.304501884760366,1.3671344902171874,1.515382867978943,1.331724280485877,1.477523923008645,1.1357155366159775,1.2247745249700828,1.1395644599303136,1.2368379790940767,1.3573559406696176,1.5055708953670686,1.0341266518523289,1.0927506360503687
Kyurem (Black),Shadow Claw,Glaciate,40,1.1024287357995688,1.1199293319016215,0.9295892982053837,0.9580376189200699,1.1661334320661334,1.2736747030959708,1.2038941993542305,1.26457185304378,0.937554014541879,1.0039045721530777,1.1420077765355037,1.1785887262867722,1.119055478576102,1.15158714941679,1.2552504963715292,1.2868751393009699,1.0883561067141378,1.1502321441458778,1.3452668180527958,1.4205151859210898,1.06213283836277,1.1408943913966971,0.928097942976893,0.9764076545524734,0.9786046784827971,1.0501475792596073,1.4369647428816488,1.5624504541969355,1.376394115634622,1.4466643859048922,1.193096392030156,1.2846742057081313,1.3907890448300724,1.489160386769252,1.3304718942645575,1.4177133616234816,1.1348982808441086,1.2058098129068038,1.099547038327526,1.1931358885017422,1.308459713338236,1.432295930401965,0.9621482936674074,1.0087812523482873
Kyurem (Black),Ice Shard,Avalanche,40,0.9716751507858146,1.0165180278863741,0.9846668503741274,1.033504772218807,0.9789108067587694,1.0371177770509332,1.0280784203547264,1.099611133459763,0.9911713716459233,1.0514516003829533,0.9741151814449509,1.0245743953721014,0.9660095630224527,1.0123738157408377,0.9870135712372379,1.0363235585800195,0.9876169741874955,1.0389623276961197,0.9801021856372409,1.0387347431166618,0.9747985992843338,1.0288945444803765,0.9942204819941542,1.0509899079027187,1.0215274820481945,1.0882244966886445,1.0171412234077115,1.0570767651301511,0.9931235032500856,1.0503250085528566,1.0443080236941302,1.1036618201400108,0.9916641152011377,1.0636944562415431,0.9903092056466811,1.0468611310385079,0.989302705700359,1.04429234406468,1.00095818815331,1.0670470383275261,0.9889692109170124,1.0391003316174328,1.0022114156280528,1.0672334761091966
Kyurem (Black),Shadow Claw,Blizzard,40,1.3063004386350943,1.3279761495167972,1.0821307239165916,1.1184161590623982,1.3920876508179494,1.5394529959372338,1.4191542844493825,1.5177650496885025,1.0925660465236628,1.1721970657489584,1.351111935940902,1.4078245164561087,1.3175741786533888,1.3800402050179184,1.5142920239076247,1.554177597745829,1.2811500156366522,1.3697978060573985,1.6543322452455294,1.763170593244394,1.2729482003099943,1.354694885091563,1.0904648982518061,1.153135167925881,1.1122777133291237,1.1532327934330902,1.69469388815969,1.8667299120196492,1.6422853232979815,1.7930436765879805,1.4009908454496498,1.5070866989768443,1.715424349870122,1.8140031012651976,1.7053609425726202,1.7852461607674817,1.3362277808587024,1.4283295875777124,1.2950435540069687,1.3855662020905923,1.6179045663304243,1.72257912336446,1.107114102605391,1.1820553283308106
Mega Glalie,Frost Breath,Avalanche,30,1.3197891479021209,1.35134174970755,1.3253433434629371,1.3915223503249887,1.3206480502209037,1.3833212407790816,1.566355275452454,1.5418419971606572,1.3112997127849508,1.366148730819986,1.3583656601228493,1.3942970564138313,1.398931028825456,1.3704435795511822,1.3920772765101246,1.370091749497494,1.4376277995621738,1.4288141403449686,1.4522459551518592,1.43157110417258,1.3314261658278956,1.398524656040108,1.3311421165830255,1.393106490928142,1.362090485910219,1.440681948339917,1.3243836826989304,1.4145732888016738,1.318850496065686,1.3901243015167066,1.3877544426494344,1.4624663435648895,1.3126549398018745,1.3616924611601102,1.336247461790061,1.4074389309728488,1.323137094655731,1.383818335716996,1.3259407665505227,1.3901742160278745,1.3182278586393974,1.3948051227262006,1.3727308836000987,1.4404689059933657
Mega Glalie,Ice Shard,Avalanche,30,1.3500311253286563,1.3837617000030404,1.3827968882782435,1.4330087620750722,1.3568825450482236,1.4026787359766495,1.6059996551922304,1.5648355671342857,1.368151473594328,1.4364167981990839,1.380187940485513,1.425004865992821,1.3958138551156636,1.389490558541392,1.437999055309386,1.4212870284981667,1.491411869421925,1.4813472780196781,1.481762702242407,1.452983962531933,1.3540729826441378,1.4122543485332668,1.340583466607842,1.3932829647603815,1.3658056652814285,1.4390960219680171,1.3401473703361966,1.422045770575316,1.345524005017676,1.4385790854145284,1.4156812062466342,1.4775013462574043,1.3271044652292863,1.3995199952592123,1.3436037109541237,1.4315382464161084,1.3597311812264674,1.427920959691778,1.3643292682926829,1.4323780487804878,1.353790012626438,1.4170193281625065,1.369521110431226,1.4305390057217695
Mega Glalie,Ice Fang,Avalanche,30,1.3471746362977342,1.3871654827306434,1.3703947076835326,1.4304111642749369,1.3575167815320963,1.4084898032372626,1.528060328589034,1.5845875183844267,1.3561337231867931,1.4280668615933965,1.378341126466022,1.431348762679872,1.3902278482013493,1.3885081645440762,1.4548317244284314,1.437958159611818,1.4835273881979358,1.4952699126753108,1.4819862333238716,1.4683650298041442,1.3472129202625385,1.418444669817639,1.3306678431588816,1.3950256438537474,1.3417377641375057,1.4285672329990162,1.3239288359822738,1.4131827574107525,1.3362070931691186,1.4295244611700308,1.3956596661281635,1.4715993537964458,1.322926646189098,1.3891791523866903,1.350364164731345,1.4388580183115887,1.3518505005691603,1.4390414757304224,1.3503135888501743,1.4333101045296168,1.3553024101233506,1.425413828030692,1.3640999216343006,1.4257404485094414
Deoxys,Zen Headbutt or Charge Beam,Thunderbolt,45,1.2731059557396227,1.2356051355992146,1.3227129866400997,1.2765266186329467,1.4117423405982743,1.2964640485871635,1.2099836748420165,1.19081491698008,1.2167166921106425,1.251662483504541,1.5059251949792007,1.3391348038439082,1.2487868323624698,1.2552030313871916,1.3858590856948894,1.310130477723091,1.330627992013279,1.2912476845726382,1.3519053363610558,1.3268130854385467,1.2214259744732963,1.244407661838152,1.2612474494016435,1.2696851045055975,1.401048473545867,1.3134260414984067,1.1847717319263409,1.2195220210788964,1.2235716729387616,1.2424905918576805,1.1365858912224016,1.1779429186860526,1.1939871011071714,1.226471372556766,1.302627579246866,1.2820179224979633,1.237179300078807,1.2439873325355362,1.1949303135888503,1.2269337979094077,1.1987207059705014,1.222211430395027,1.2489023434564641,1.286925810226187
Weavile,Snarl or Ice Shard,Avalanche,40,1.3216838722789341,1.3384179371508402,1.2108987341528228,1.2385858893400212,1.2705533298245557,1.3326371121320142,1.4570405702524547,1.4986707873323586,1.1979248065826584,1.2311757704349626,1.2728396123501162,1.337878698720357,1.3277637984847017,1.3172164053867608,1.3539849790102831,1.3541628752947046,1.360262455194977,1.3895481007481536,1.3320181663355095,1.3835154697700822,1.2938058516236437,1.35044681298915,1.1881100755528593,1.243633155021232,1.1968604531637763,1.2335863962760099,1.2882298665349776,1.3554822024977582,1.3011517846960885,1.3665868400045615,1.3487668282175551,1.4145611200861603,1.2751533348477515,1.3498799988148031,1.303405760976618,1.3618058679766059,1.3287630250138642,1.387145734216748,1.308397212543554,1.3699738675958189,1.3017024878245065,1.3533182556090522,1.2182001653194208,1.2637810913228773
Mega Manectric,Thunder Fang,Wild Charge,40,1.011696402424095,1.034938781519396,1.0405884291277814,1.077014535371073,1.0074282042639953,1.0444413821042373,1.0873683291935117,1.1335257445825806,1.0386692369394777,1.0794059047274043,1.0097659344290493,1.056932116005269,1.004390134945751,1.0397820152715815,1.0145384204854728,1.0508967404084253,1.0399035338834228,1.0796266448555414,1.0158955435708203,1.0468279875106443,1.0143611626705447,1.0442220478769206,1.0208570010478133,1.0485303038658798,1.0135244276714783,1.084935167917297,1.0019103562099572,1.0404163796800479,1.0038886988254077,1.074786178583647,1.064566505115778,1.1053957996768982,1.0064691996957995,1.0599314561131468,0.9999999999999999,1.052527266758265,1.0255319459443684,1.060600974869385,1.007691637630662,1.0607491289198607,1.0270150268485245,1.0697506625411053,1.031346279776282,1.074383004304746
Darmanitan (Galarian Zen),Ice Fang,Avalanche,35,1.000692918627669,1.0317110289281526,1.0412898576138714,1.069530062184333,1.005698166525264,1.063825442180711,1.1847296983783393,1.1817158230582747,1.022330323181618,1.0917056951380442,1.0095939272409595,1.0547978689214697,1.0354610630016978,1.0343225138217103,1.0836214776024489,1.0633453907481663,1.3151958189997353,1.1126620799153215,1.0482365881351121,1.0855911155265399,1.0775177481390765,1.0677873667693603,0.9964925825842387,1.0506479898527545,0.9960058150633636,1.0686206845915505,0.9644569779984145,1.040910213258132,0.9996806933515795,1.074797582392519,1.0380075390414647,1.082746365105008,0.975970133038351,1.0554079546464656,0.9960482959036027,1.0546794256046106,1.0095589737602522,1.0610679781675958,1.0145644599303136,1.0585975609756098,0.9944360422361284,1.0409457340677943,1.0,1.0809421059976598
Kyurem,Dragon Breath,Glaciate,30,1.5305852361924361,1.5535283640559263,1.4828949726462162,1.5471392701675142,1.477052095387839,1.569112683235403,1.5758970855229693,1.6489771767054684,1.5580290837581183,1.607977333298833,1.4784447834293708,1.5300288338365298,1.5230664924580999,1.5373892830105138,1.5946704726929202,1.5741960417054324,1.4168581154225504,1.5270183309677885,1.4217038035764973,1.5011673289809822,1.466579919248359,1.5163703859622264,1.4678321292670822,1.534506149010092,1.5096403765106683,1.6410226288198064,1.4858412714915072,1.5695590585972528,1.4639981753905804,1.5748660052457522,1.5676898222940225,1.6791276252019385,1.4793133759345771,1.5861489990024593,1.4879685809126613,1.5741522074827037,1.8463923995213216,1.9896821458801555,1.9423432055749128,2.101219512195122,1.4975649012779066,1.5588378127124642,1.5551297328051699,1.6390132362886862
Kyurem,Steel Wing,Glaciate,30,1.6141035345251107,1.6259343599624256,1.5753390077099323,1.649736675267516,1.5476034328464767,1.6337666175769843,1.6146092072188274,1.6803993810487692,1.5658356405413096,1.616344088803788,1.5454280036755221,1.589518425138398,1.5549972623426835,1.561421367958933,1.654746252420514,1.6010563358681849,1.2567929226105992,1.3384433111212681,1.5427760431450468,1.649716151007664,1.2577259419430145,1.3160221205916682,1.5566646445706722,1.6087023658523134,1.5937091587247978,1.7197903052908265,1.5421123081521526,1.6326268047667936,1.5486258410309044,1.6759151556619911,1.6416047388260635,1.7454496499730747,1.5387608766506335,1.647729854122016,1.534635166518731,1.6164050435903359,1.3089591663991127,1.3822494965120693,1.3094337979094077,1.3712979094076656,1.5555355135907647,1.6132008713629615,1.6325185447596964,1.6999774564426267
Kyurem,Dragon Breath,Blizzard,30,1.7995928903028198,1.839668551255975,1.7284604608230993,1.8107511258505302,1.749451684296338,1.8510374415365127,1.8470117724183583,1.9488130737484224,1.824885502108831,1.9064778637410404,1.7273867128973706,1.8014855989245024,1.7664966090605585,1.800611574854667,1.8660522769702013,1.8607378810712218,1.654099208544829,1.7873204792032524,1.6635005676979846,1.7609707635537892,1.715302627298647,1.7919305765514073,1.712667512270446,1.7859923895659846,1.7707895857501579,1.8804681419697793,1.7126018531754799,1.8314078155661542,1.696510434485118,1.846641578287148,1.8308885298869142,1.9714378029079158,1.7273948384675404,1.8538948532825015,1.7524652554016755,1.8699220602361295,2.2404118385336096,2.421857213741572,2.3607839721254353,2.5828571428571427,1.7550748567384942,1.837909838908854,1.8208753341277253,1.9489656801176558
Kyurem,Steel Wing,Blizzard,30,1.8825430913772438,1.9180851761821625,1.8338269668420881,1.9442826833878997,1.834095690014428,1.9248446369660253,1.8788873351254824,1.9696803291424292,1.8187957668124304,1.9047636297772141,1.7978032871478946,1.8750639368824151,1.8025664796098886,1.8266934436566404,1.915603548928635,1.8837621588020832,1.4372068127691309,1.5410371911761167,1.8043145046835083,1.9287680953732613,1.4424501042882565,1.5115578177921505,1.8096288534715712,1.883229471129984,1.875563517819645,1.9942877281604723,1.776514314675954,1.9011163237988797,1.8026798950849585,1.9680351237313263,1.9130425417339794,2.0495530425417336,1.814862369011052,1.9192090786081837,1.8065367265299173,1.9142662597424704,1.5133606724847495,1.5863518286097897,1.5055226480836237,1.5834233449477353,1.82279973914612,1.9177200260853882,1.9122733567356929,2.0235741199961352
Kyurem,Ice Shard,Glaciate,30,1.2703854899958873,1.2696333612314428,1.2808508096296112,1.3205836501644697,1.248232190324075,1.289485786959633,1.3612457351322935,1.4171705755522779,1.2929192434082852,1.3176080937718322,1.2728328225926915,1.2886642736543834,1.2675709171843836,1.2880430592974597,1.3300875781363422,1.3090140251794808,1.2746728331208352,1.3567171449878515,1.2854562872551802,1.3225092250922508,1.2620696913450313,1.3146826383972137,1.275927866321072,1.3236971267854187,1.300973582578305,1.3944698160031719,1.2197819334884143,1.2827327190736721,1.2511688904093967,1.3120310183601323,1.291803984921917,1.3554658050619277,1.2698594554020286,1.3243192525358276,1.2654329243826221,1.332721325827122,1.272963427804209,1.3351259449519863,1.2481968641114982,1.3379965156794424,1.2423304796658852,1.3301605361379751,1.2745268536708425,1.348952798084871
Darmanitan (Galarian Standard),Ice Fang,Avalanche,35,1.2400698999668742,1.2647653278241235,1.2679456816863575,1.303543177355422,1.2268939513431036,1.2871696615800459,1.4571938181500852,1.4490589089175379,1.2196392992987812,1.2949077548063237,1.2765581361663219,1.2942386644999797,1.2980666407066912,1.2779344820293057,1.3479774010375238,1.2987246676713375,1.4150328369698573,1.348156077846472,1.2886212035197275,1.3203058472892422,1.2201917373084061,1.2818748923630379,1.226680637511719,1.2992334417912095,1.2221912216038415,1.2882274335893331,1.2031995217611664,1.2947146811524515,1.1938077317824154,1.3038886988254077,1.2752611739364565,1.3434787291330101,1.2079823010597635,1.2724175053580775,1.2037741813892975,1.3053876925695802,1.2192799392895712,1.289863109658212,1.2052003484320557,1.2949825783972126,1.2036880298594441,1.2897281847067477,1.2345710819834037,1.2943759191867144
Zapdos,Thunder Shock,Thunderbolt,45,1.211016926097748,1.2516126760901467,1.2181577481833195,1.280274636230323,1.223922005515533,1.2807193769207654,1.2575139359806908,1.325462351035594,1.226943876626905,1.2824850570548814,1.1928585331408061,1.2451192960379502,1.174190117946579,1.2229085582923342,1.2040225008128018,1.2528989937613613,1.2198272751329116,1.2720476797613607,1.2038958274198126,1.272228924212319,1.195315639411393,1.2505023058229203,1.2058015772348756,1.2773506865935036,1.2395189356671905,1.3248799541843492,1.210243148059104,1.284682062145057,1.2154521610217812,1.2802942182689019,1.2731179321486268,1.3540333871836294,1.2049402957066242,1.2809805528943496,1.1993117955327504,1.2712328100871806,1.1932590992673886,1.2543635620676572,1.217020905923345,1.273554006968641,1.228413647653009,1.2688043734650554,1.2502978970081478,1.3295653387437871
Magnezone,Spark or Charge Beam,Wild Charge,40,1.2127100159547315,1.263317079884076,1.2403047745312088,1.2950932764996406,1.2292067561128277,1.2881309781354444,1.3448269256556138,1.4170109423255794,1.2778689160866301,1.3341048464305119,1.258628650060429,1.3063696977652646,1.255604290907222,1.2890847527312332,1.2575079388772903,1.2774139196685812,1.336981885539705,1.2875460078423826,1.227348850411581,1.2819862333238716,1.2218469545915536,1.2696186302837789,1.246831743230574,1.2874648431037334,1.2963773330004846,1.3395057196140914,1.2428881466945638,1.3187045965509623,1.2730870110616945,1.340232637700992,1.3174798061389337,1.3925471190091545,1.2309257375381486,1.2946103171389347,1.2568121299077124,1.3277360991208977,1.2552902717375443,1.3278144245643735,1.23551393728223,1.3140505226480836,1.2532641423041169,1.3220574156040572,1.2921430335040203,1.3468809378119868
