Attacker,Fast Move,Charged Move,Level,"Dialga, Tier 5","Dialga, Tier 5","Arceus, Tier 5","Arceus, Tier 5","Arceus (Dark), Tier 5","Arceus (Dark), Tier 5","Arceus (Ice), Tier 5","Arceus (Ice), Tier 5","Arceus (Rock), Tier 5","Arceus (Rock), Tier 5","Arceus (Steel), Tier 5","Arceus (Steel), Tier 5","Glastrier, Tier 5","Glastrier, Tier 5","Kyurem (Black), Tier 5","Kyurem (Black), Tier 5","Kyurem (White), Tier 5","Kyurem (White), Tier 5","Kyurem, Tier 5","Kyurem, Tier 5","Melmetal, Tier 5","Melmetal, Tier 5","Meloetta (Pirouette), Tier 5","Meloetta (Pirouette), Tier 5","Meltan, Tier 5","Meltan, Tier 5","Zamazenta (Crowned Shield), Tier 5","Zamazenta (Crowned Shield), Tier 5","Cobalion, Tier 5","Cobalion, Tier 5","Darkrai, Tier 5","Darkrai, Tier 5","Regice, Tier 5","Regice, Tier 5","Regigigas, Tier 5","Regigigas, Tier 5","Regirock, Tier 5","Regirock, Tier 5","Registeel, Tier 5","Registeel, Tier 5","Terrakion, Tier 5","Terrakion, Tier 5","Stakataka, Ultra Beast Tier","Stakataka, Ultra Beast Tier"
Falinks,Counter,Superpower,35,1.740217032665957,1.5863275710739544,1.9585246654041115,1.6307512667917805,1.831752783262502,1.6291306499828189,1.8960373333549339,1.664755763347362,1.853797042099559,1.6259162809885392,1.8479393554738848,1.6262598853660954,1.6648225810787114,1.5834522640768085,1.8498991841245587,1.6507720472350542,1.7218259341914146,1.4787914657236902,1.848344999221515,1.6324730910154033,1.6932630386276697,1.6815107169502215,1.6689717761226979,1.5559593593702983,1.6452498350837204,1.6185988780513738,1.6444976298734357,1.5368148867322187,1.7034277210528022,1.6842775362387181,1.6808645387106664,1.5860623233105824,1.634897260580086,1.581049933906287,1.754569330511631,1.586230020932589,1.6193235788573956,1.58320767693023,1.7087008206782583,1.6595132608491492,1.7766634432531423,1.7087599429638798,1.6986249956607278,1.6592270686622206
Emboar,Low Kick or Ember,Focus Blast,40,1.533550504698282,1.3042658340038749,1.4953919317399593,1.34308246155833,1.4428014852375366,1.3340963677378348,1.4785003694918715,1.3665777571399713,1.4466443446791089,1.3408482147818561,1.4622957239519154,1.360196532623925,1.4210622845163672,1.3801162094152781,1.3797078649923127,1.370491840089023,1.2962538360429519,1.2168386255174368,1.4570040720384254,1.395649134563714,1.4212240719225053,1.3495839038660857,1.4022539838958783,1.2788460365790597,1.383964419306023,1.4007769483136894,1.2857853184075214,1.2349555078515013,1.3872676868444285,1.405066998690643,1.4283394853479845,1.3676683513008432,1.3698348030838163,1.2910832027602128,1.5750892984153013,1.2821412836966577,1.39067356106767,1.3206148102374577,1.4111817618632576,1.3642835664986648,1.7413136043534383,1.395039321422187,1.4070254632526213,1.3906476777426418
Machamp,Counter or Karate Chop,Dynamic Punch,35,1.274485646510187,1.1785476516014166,1.2782603778640056,1.2306747250445988,1.254945821411848,1.2218317632878195,1.283385498453158,1.2505828842919104,1.247972283630903,1.2258450651944588,1.25576023062768,1.2285921176536758,1.242835019097979,1.2190057522466968,1.2744069962194964,1.2172882681847281,1.128158120787391,1.1005009872871447,1.2064012341551436,1.227155000534446,1.257802594784111,1.246864902837917,1.1993976897543488,1.184824756075042,1.244444559538503,1.2621076453823812,1.2166047597929517,1.1514992695997133,1.215778281824536,1.2423757688352421,1.2299163467998628,1.2291254488011372,1.248793190787001,1.2342792063362042,1.2023224263204635,1.1540505043018383,1.2444203934377536,1.2436358859179037,1.2530027004450217,1.251563094686928,1.2381139793391864,1.2609016267681268,1.2162437322745778,1.2454758546751519
Falinks,Counter,Superpower,40,1.6481048345584755,1.4934243980121897,1.8251881301962456,1.583218146119997,1.7541835733654287,1.5832091777780548,1.8039086911159445,1.6199961656031667,1.7580090873487053,1.5810594438499916,1.765818339199973,1.585408495360423,1.6167019423645783,1.546547181824154,1.7698732860751099,1.601096356777902,1.6265893397829676,1.4340885301112487,1.7020036474101827,1.5941762602551381,1.5932543034552793,1.5775586506901362,1.6215939193893474,1.507566513058965,1.5741787137555452,1.5516012760360818,1.6019422811238069,1.4943810938580344,1.5982620077138017,1.5733398404173142,1.624764343817204,1.554810464948067,1.594109871327901,1.5362669558837472,1.6472288373459116,1.4866394194670776,1.5904678384722728,1.5383720134360894,1.573675768654737,1.5335197887095366,1.627422043362654,1.583478555854437,1.577217731355863,1.5670956424019948
Buzzwole,Counter,Superpower,30,1.364558188036372,1.3300279019394223,1.3340282025389885,1.326961246258757,1.3266328799756437,1.3215593124678409,1.360285496464514,1.350303368321484,1.3296612448716405,1.3199105045963526,1.3476167435138198,1.3335349760461233,1.364358642009033,1.3704601360677038,1.408235155462486,1.3632968717938794,1.2691326022326341,1.2222178577406013,1.3692224934853732,1.3729076687372581,1.3580972397546685,1.3560089804025601,1.277202346596591,1.282762493029737,1.3735266800770036,1.375219443558044,1.2485351877988573,1.2422074660584328,1.3575548985382009,1.395078083549364,1.3107771002501434,1.3061131111719377,1.3461270813365158,1.3273520269398,1.4051362874048607,1.2887844228760468,1.3663125223862747,1.3586062756426296,1.3701941058132887,1.3641836796899842,1.3942470654972292,1.4142238400286027,1.3876922095735242,1.4026773107330583
Zapdos (Galarian),Counter,Close Combat,30,1.3691862412944407,1.3084797437936597,1.439806453373661,1.355561745251727,1.4082195488025697,1.3445400339350606,1.4410805517763483,1.3810891243336165,1.4070089766574898,1.3514893303003646,1.4185392403852006,1.3475501795284293,1.366792116888308,1.3698179731290108,1.5235138029370792,1.3754663146794672,1.3734551158262693,1.2248214866638865,1.6100621153026746,1.3658811694945119,1.459232846737367,1.3969668554370456,1.2646052363727092,1.2560779700251423,1.3751038092621803,1.3653150595912993,1.2974158442119452,1.2537762553945746,1.3235498265906522,1.356341407426068,1.2982198943163734,1.2747880254183923,1.293044693592888,1.2812658576188591,1.4204434559994403,1.2596220164615686,1.3250262670594226,1.3037535277488408,1.3660439633767592,1.3555434501439196,1.3975882110336462,1.3709290891252728,1.3851992472674695,1.3749688985191577
Machamp,Counter or Karate Chop,Dynamic Punch,40,1.155912073825371,1.1473919510435537,1.1528813035678513,1.1572180597853299,1.1422588981609905,1.153968407989873,1.1722696748676313,1.183963311020323,1.1455580148664082,1.1581635215987902,1.1685416192658866,1.1577580749373773,1.1709315957460331,1.1872616027707668,1.175936918525912,1.1715739005839643,1.0730904556239347,1.0639800573896556,1.1621427082789328,1.1915192344392052,1.2008153903135463,1.1848457550634612,1.1016446086952458,1.1275580039519693,1.192549916968445,1.2130478399376126,1.149985891850204,1.1196679607539246,1.1737495455849625,1.2067844857869088,1.1435510972194047,1.1569841849923177,1.174273353807902,1.151150994790605,1.156621156968637,1.1283699879984035,1.1688026888283207,1.158313050858932,1.176525817341833,1.1760256830610096,1.2003226228732864,1.2230308814276487,1.174457308424162,1.2070885946167191
Blaziken,Counter,Focus Blast,40,1.482816660054046,1.2274316228622042,1.6932016444256792,1.260956074384094,1.500889014904008,1.2449439252502845,1.550577610062229,1.2852356654605714,1.521707525357846,1.259254207933226,1.5199765444598057,1.2579190927712984,1.2394613225771485,1.2260775503815275,1.3038022752980032,1.2491591060636944,1.316145521684763,1.118702738744994,1.5266131480522498,1.234814964582588,1.3105149810511292,1.2707094458097792,1.3353954405735475,1.1962643956516625,1.2499315865649014,1.2482200087285926,1.1401234644162925,1.1261363734798593,1.3092174863670627,1.2999418776550893,1.3416398886732777,1.2616183770068734,1.2980490888504352,1.2176639019307336,1.4803727630511034,1.189211821503528,1.3178507297366375,1.2495357224552266,1.2781187750952736,1.21971324865678,1.5738782450554385,1.359991385462546,1.2768600946001694,1.2706582857493458
Poliwrath,Bubble or Rock Smash,Dynamic Punch,50,1.401052090457529,,1.4558899864451005,,1.4625193844685676,,1.4981144515121954,,1.4192003915535045,,1.453481133376491,,1.4310564941329063,,1.4281616576737552,,1.3145753951089307,,1.4507846715061272,,1.5177319966137954,,1.3672336199018762,,1.485581809097502,,1.3399785771969983,,1.4469826598430113,,1.4240682038549346,,1.4848854133864642,,1.4479012397966866,,1.4456731152061446,,1.517801353352984,,1.4227557792707768,,1.4851183955268763,
Shadow Hitmonlee,Low Kick or Rock Smash,Brick Break or Close Combat,35,1.530623125732199,1.36519092892966,1.600462782355834,1.4077198800376234,1.5937618510097729,1.404542508737477,1.6432391360766274,1.4341748604183533,1.611318421285432,1.4047505202264858,1.5987533682381767,1.4051923571857408,1.4875482495565024,1.4455698132278676,1.6786743971907974,1.467786903239496,1.496862645002139,1.2837298266500354,1.7027118492267128,1.4462168063953895,1.59480404749629,1.4583634205091245,1.5145426054124862,1.3355632265386144,1.3973707044210881,1.3990116755758277,1.519824648549445,1.4049435894115176,1.4945258726591732,1.4572257751695858,1.5670051188529586,1.384054416650253,1.4745934112019499,1.3934364715672483,1.502455424450019,1.3572731654521593,1.460473481081007,1.40231103150884,1.4606378421483615,1.373526412131737,1.6827415061646027,1.5239989471120892,1.4822165325057903,1.4286803284445544
Virizion,Zen Headbutt or Quick Attack,Sacred Sword,45,1.421305903751886,1.4499466594933892,1.3844893438226387,1.4036038658666083,1.37365888854665,1.4021527220155932,1.4057191853585929,1.4339932430701332,1.4353313468186943,1.4666936356107423,1.4378813496513676,1.4705239706962998,1.3915896499734062,1.420759082687588,1.4034272827804204,1.4257099636234634,1.2804703869231988,1.3050938779295547,1.3774409412885564,1.3925115833215789,1.5302846582945762,1.6097186052948973,1.3015663408137506,1.3605564046933007,1.536578330450051,1.6387439790099443,1.3211269436692181,1.3760720809300842,1.495554778171083,1.5379026136679292,1.3811281678622747,1.3891013602053783,1.3707595362582004,1.3916474134506456,1.2468559914299302,1.2756989997748838,1.518807527693369,1.5874684504507677,1.510649457851474,1.5555835284387014,1.375867752774036,1.4133805162247497,1.5989524795206538,1.6665285096234963
Shadow Hitmonlee,Low Kick or Rock Smash,Brick Break or Close Combat,45,1.44380502906916,1.2935707742861449,1.5098394763838119,1.3237924607360103,1.4933288496085717,1.316996996408866,1.5393131933604045,1.3502260068852587,1.5008336515520555,1.31725080362267,1.5056889647231873,1.3256871715162253,1.3491381916206446,1.2917378011118272,1.5682009707593623,1.3664019409545458,1.3594987974214297,1.2047147683603994,1.5592849358006025,1.3288356498349563,1.3739087660796891,1.340905832767314,1.3489881990537904,1.2548480231476937,1.3038988734746235,1.3115830578210588,1.320649630951534,1.216497191363455,1.3276667125902546,1.3117376121283388,1.4118418655281504,1.2572953249609136,1.329750039600545,1.2361235073964734,1.4121548044826218,1.2559115113587034,1.2882784794422049,1.249594101982697,1.3607666034530768,1.3109376261457122,1.5084527474321783,1.3533784611226771,1.3522817709397128,1.3118804831244697
Shadow Hitmonlee,Low Kick or Rock Smash,Brick Break or Close Combat,40,1.4565598664895227,1.3184314941260977,1.5614970395592938,1.3559497161212688,1.5530508616407408,1.3441386797374217,1.6022687014787367,1.3805128271404667,1.5709151940808206,1.3494968884210319,1.5522288057031663,1.3535299931287204,1.438300878106266,1.3917420029486607,1.6428453394371427,1.4227011997312027,1.4341656417035222,1.231793409660354,1.6099957976446313,1.342529056529733,1.4352633838859346,1.3569650092963899,1.4197471885105672,1.2910146828031315,1.353666119817213,1.3662318894654515,1.3435914563828124,1.2401503884746854,1.41835409925387,1.4109170059000307,1.4762450132621183,1.3223148164159257,1.4255494364999945,1.365987176017353,1.4520059055036552,1.3022572853189678,1.411469720634203,1.3741108492275265,1.4261476067532546,1.3437168931866075,1.5277464398171805,1.3696403993654522,1.4205138182607873,1.388382133662499
Heracross,Counter,Close Combat,40,1.3583767060708551,1.2868160357132323,1.3401121209056364,1.2821537770257387,1.3216128144913035,1.2744802469817205,1.3504821187458909,1.3066984582730388,1.319651336007408,1.2786818943401226,1.3401593881331246,1.2804584623531745,1.336528945075976,1.3260771913331149,1.4179060774830325,1.3480178463196972,1.248886513782843,1.2000644218188337,1.3715290911833025,1.330275176184115,1.3576015936273345,1.3087168953676158,1.2518932064628598,1.2525147075976313,1.3395099029570352,1.3531358298150666,1.2717061730362087,1.2423446069307582,1.3218818475205298,1.3517804853789441,1.277613948990295,1.265594323838621,1.2911573484617918,1.2549531453383234,1.3895282272302278,1.2380992454232118,1.2932750363175836,1.283667391477454,1.290519815071416,1.2873236843362657,1.4044289983348046,1.3733464522040972,1.3811641681877664,1.3695957090047768
Sawk,Low Kick,Low Sweep or Focus Blast,30,1.9714891524690668,1.5670830371328457,2.168684025999578,1.6299081659573489,2.114086388408667,1.6272318177690814,2.1758886883609674,1.6783466659701103,2.1240986334302585,1.64020842844702,2.1112621929920454,1.6317416305951664,1.6827378353669866,1.5450077860133564,1.9868558823534388,1.6380006823174666,1.9013934737509552,1.4253432992562198,2.0533511831753506,1.536657375280096,1.6815013825311764,1.5803162224597183,1.7375988684037431,1.519541262533781,1.6018628748482828,1.569632193095322,1.7744470379204629,1.5124380345494173,1.6181513127453708,1.5853274039078091,1.8705807875787788,1.5149511986095545,1.7011053424322513,1.5588269212198989,1.9711738408469528,1.5767353631852523,1.6664547954569244,1.5679052322073663,1.6095261534557954,1.485512911554247,1.8066227775689834,1.6150744270699173,1.6616538318396818,1.619368048586931
Shadow Hitmonchan,Counter,Brick Break or Power-Up Punch or Close Combat,50,1.403488553133142,1.2553799092361613,1.5509785695594311,1.313730949069503,1.4762138549765784,1.3100746713765066,1.5158384571253591,1.3442360473985329,1.4826157001041564,1.3134831235905207,1.4968272432722014,1.319588480892361,1.3481215023711266,1.2898741457680272,1.4824250219479536,1.3193325294542075,1.3479485677065137,1.1732808229266323,1.4755611803884225,1.2693806186979921,1.3175113009852304,1.2899337394535468,1.3331398126653315,1.226125462103125,1.3014863023566248,1.289714646478793,1.3169314554086613,1.1976092401777954,1.3166130151467144,1.304920049690813,1.3451164236438118,1.2599637753744244,1.3457252511978706,1.2866603603744855,1.3930766854601144,1.230431435988493,1.3307973032982718,1.2845967667136189,1.3412343043841455,1.288414777810547,1.4207077152191572,1.3442077511130632,1.344190622812704,1.3154170504736062
Shadow Poliwrath,Mud Shot or Bubble or Rock Smash,Dynamic Punch,30,1.6668710523287855,1.4947212824225988,1.7461047278754485,1.531183671474473,1.6380720755046194,1.5130536925298357,1.6916867355125806,1.5497233122726684,1.6019193590045082,1.4611648094399603,1.6500815274799583,1.5191681717647456,1.4181705862299887,1.4597502362198918,1.4376189817176266,1.4808819373573436,1.3909978478102845,1.3304634882820914,1.575603228346034,1.4905629423515914,1.4886540712702483,1.5422158320505228,1.47323883700848,1.433078892874813,1.5100200711119212,1.5479157763759557,1.4718098292409758,1.4059080131592756,1.4744809070819327,1.5126560968521665,1.4504867380924564,1.4477134285855273,1.4430885582485553,1.4533977780614005,1.6816764117298,1.4778625096733238,1.4917935756573328,1.46837447536712,1.5017734130560505,1.4846509604786,1.4939315087968223,1.4719420855344745,1.431523056268452,1.4964078899673605
Mienshao,Low Kick,Brick Break,35,1.622453432790278,1.48844090416896,1.7314703328932763,1.542298635537668,1.7266466783344403,1.5309089023450089,1.780456071150314,1.5670326150809384,1.746276085229569,1.5364122087520744,1.7397387930930885,1.5431164641461133,1.5657693723358244,1.5163935682978493,1.823975238883046,1.563146326405353,1.595300716061351,1.4099420959220594,1.746049554115941,1.5131574965675885,1.6572169694667696,1.5501177058717643,1.595156159413107,1.465795651737799,1.5204799013535872,1.5430055467467496,1.5639982808931914,1.4569436237766134,1.5450421435614141,1.5294685052824928,1.6091771371116206,1.456379987844991,1.538154410914599,1.4930795391419702,1.595013744060775,1.4413338759448324,1.540595840991763,1.5074595690084787,1.6011293593898546,1.5820362327556239,1.7266986755852467,1.561828590411119,1.611932635120898,1.5844188241258688
Poliwrath,Mud Shot or Bubble or Rock Smash,Dynamic Punch,45,1.4690448269280771,,1.4783939468695746,,1.4832861815223062,,1.5214357845698794,,1.4441084933947574,,1.4776713344698649,,1.4733568125118086,,1.4782212715940022,,1.3678965085837622,,1.4673779352427287,,1.5464187982753679,,1.4430444013885135,,1.5396161089355398,,1.4106174158044507,,1.53940054258541,,1.4977805088823928,,1.5171105859693765,,1.5949508588254089,,1.4854390050995225,,1.552572672287239,,1.4679233756599905,,1.519436629269541,
Shadow Gallade,Low Kick or Confusion,Close Combat,50,1.2390959150412024,1.1284076242249705,1.2156159256066303,1.1385495704582749,1.1961996204116006,1.1359793540943737,1.222787147789877,1.1644725522306874,1.1940437012475211,1.1369204548030873,1.2068912755924563,1.135245733013999,1.218225646789326,1.184130021328446,1.2821775394111115,1.18891781933504,1.1317803990198858,1.0574692513644353,1.206828302790198,1.168697296679944,1.2024197579919338,1.158543609368622,1.0354808486262748,1.0364827290862693,1.165931515112631,1.2007079482512215,1.237894753060517,1.1253532185113126,1.1595206063547034,1.1692688358739902,1.192734704068554,1.1409153328983623,1.197735889201118,1.1383098677818024,1.22539983454646,1.0670031594536629,1.1767591548493481,1.139252806168934,1.1485854380273408,1.1282688318556953,1.056512210262279,1.0899264245305993,1.1925776648983963,1.1984149345234105
Cobalion,Zen Headbutt or Metal Claw,Sacred Sword,40,1.5002032135579633,1.5599846278540004,1.418314561786457,1.4561097474158018,1.4182332403353624,1.4517807894797752,1.2482506190166331,1.2669240769859147,1.2204914334334593,1.2377642863906262,1.5999252517715734,1.658515541819449,1.2680779662954462,1.3233790880694325,1.2143970226721332,1.2387326362080613,1.1150684538753128,1.1510029216495503,1.2625768052435242,1.291415713002068,1.6312957487367996,1.712730257646099,1.345980999622898,1.3817510010074143,1.6622154157005373,1.7926640080643823,1.4861086201150264,1.5534524921723556,1.6508662786463775,1.722515048563465,1.400463889459431,1.4523216404285209,1.3290829480858466,1.3214133005959057,1.3094150614281947,1.3415271352552767,1.3305943170102286,1.3429922124841824,1.6708480451842613,1.7584229088027261,1.3083140139662486,1.3504080222176242,1.628366730255504,1.7422004105960585
Shadow Hariyama,Counter,Dynamic Punch,50,0.9880732053278386,0.9676172040666545,0.9912232962326155,1.000709585342086,0.9775006632114389,0.9937897593032097,0.9993788786805671,1.0155433232461606,0.9739960106708111,0.9936434791538213,1.002635799800013,1.0007023170565923,0.9727055763226785,1.0024491953773584,0.9685916192300689,0.9787998648454006,0.9022427363208951,0.8958654006288786,0.9659193128246026,0.994253791515342,1.0109008152289778,1.0141200374022104,0.9296793063815241,0.9546972521730648,0.9857811038551354,1.0184002914745287,0.9512283320616828,0.9348179338653675,0.9681570637268052,1.017006230602591,0.96261971017769,0.9811358016464511,1.0026371545282875,1.0001540794569368,0.988863742978928,0.9372693536677608,0.9937333715273129,1.005027275094175,1.0085820686496292,1.0290704389417682,0.9755344321091401,1.008062981840499,0.9623316463319627,1.0068862836212862
Gallade,Low Kick or Confusion,Close Combat,50,1.3975438362070398,1.3610892481127659,1.3360209457891425,1.3081827872576455,1.3219204288707957,1.2937848631113789,1.3565078920269165,1.3272132549446585,1.3247531785938305,1.2961828423281432,1.331472162606256,1.3114671385889427,1.355874036889022,1.349199472451137,1.445890853916304,1.421542828453575,1.3068846782164305,1.2633787318776113,1.4165488974064,1.3917666536024338,1.3983712245444055,1.3908156461457724,1.1767175187620222,1.202145339394259,1.4105650637928198,1.4305673659088745,1.3203021103718828,1.3076432587823765,1.3294961372169587,1.3303897512552258,1.383452728951316,1.3506231867126604,1.3584979106591186,1.3256500460626508,1.4738008876669901,1.2819533645672543,1.3601641814235896,1.3368278041036559,1.425819978020783,1.4311262948213737,1.2710098574519268,1.2967590477276343,1.3269966504855544,1.3466728883083459
Machamp,Counter or Karate Chop,Dynamic Punch,30,1.349586950495595,1.2472140549353499,1.43338022875476,1.284852315097989,1.3830140867890064,1.2795948089683993,1.4130591929209007,1.3075715048342023,1.3832341483733503,1.2762841181221969,1.3955692598938094,1.2854508506050866,1.3080950764079282,1.3056997868125788,1.3767019219925067,1.3033698324846867,1.2934017421837567,1.1755192844706672,1.3239041052765674,1.2935958983840212,1.3201888963743502,1.3289596778449984,1.2809982958683876,1.221745082562998,1.2984977794304347,1.3090613000233278,1.2888186061148001,1.2375029625694527,1.303681862901853,1.3235783627369073,1.2645795788259913,1.2649380714530634,1.30275964879555,1.288458430271023,1.3095151437866763,1.2259404358048092,1.3040784922066686,1.2908784187811786,1.2977035507803942,1.28597655110827,1.328386674492946,1.3319766844447072,1.2892534595099487,1.3142569511103288
Blaziken,Counter,Focus Blast,30,1.6207720493791855,1.3388553113606783,1.8189358681476986,1.3723237368069836,1.7490066962099917,1.3665930160719724,1.7992162194348948,1.4071579715521976,1.7596386932035148,1.3733644039278043,1.7575036932960282,1.3815943075194475,1.3631740733664,1.337433989677067,1.7418473246119988,1.483657526279293,1.493713542130824,1.2601094073761947,1.7123160737408432,1.3743615323905938,1.4421991453359826,1.3847974811358306,1.4813063708862821,1.3129297433476466,1.385520514464804,1.3475312659175522,1.29124475346523,1.2513643084968835,1.4910483032854682,1.429386358127566,1.6421964695646085,1.3492379290260514,1.6713652231162852,1.3642509430498002,1.7192392912106607,1.3906104425398822,1.5163689708412527,1.4261720044293882,1.4255460204271613,1.343779008364954,1.7940255649067394,1.544358758887261,1.463690423811665,1.4229186630682327
Primeape,Counter,Cross Chop or Close Combat,40,1.6060106184822462,1.4575195756045276,1.7793811231391001,1.550546405686244,1.7442061581630202,1.536617550444129,1.7968894149668804,1.578086472156049,1.7658153074837486,1.5418539489424545,1.7522569770113456,1.5486575808762473,1.5741147248956502,1.5327011105367414,1.8575991485869556,1.6190622823152554,1.6136975236207296,1.4174266816252805,1.8744048493521492,1.5714519991936946,1.5859727075415881,1.5460262340966275,1.5748047909957983,1.4830617570011153,1.5303210775425196,1.5473438411155178,1.538623172383982,1.4451366928480416,1.5333497128544207,1.5258999799809456,1.6777823983494156,1.5259294553990888,1.5353127695749416,1.4592686596230202,1.5867273022740425,1.4371235575181234,1.510368107152305,1.4673282665172311,1.6230967958783202,1.5562405982828533,1.7048684805053864,1.568904447606862,1.5700804965257567,1.5376832484719707
Pheromosa,Low Kick or Bug Bite,Focus Blast or Close Combat,50,1.2793555927633509,1.0543240485102656,1.3266930112265392,1.0718140322731116,1.2485517509672206,1.0274155584952491,1.3703247810568964,1.0615035704805686,1.3479295630453154,1.0424373227662491,1.2995743434166454,1.0582197654204741,1.087074237723237,1.037303625991107,1.5594468952044658,1.1618053192666333,1.3633091451346777,0.9904350573932783,1.5106831219058876,1.0964419203739073,1.2549770891870318,1.0585926093066231,1.1570681328677876,1.0080769359091462,1.1338528279825695,1.0542352329243607,1.1429557447150531,1.0156764832976404,1.1234282149663386,1.0969997086104588,1.0627751694510297,0.9482137366783084,1.1080748332344479,0.9928856759736129,1.2267507622417897,1.0338119547318378,1.1119761835386732,1.0254801287421427,1.1272166633439715,1.0398296281162624,1.181957892929182,1.1230309095797317,1.1560485417220008,1.122952368112364
Pangoro,Low Kick or Bullet Punch,Rock Slide or Close Combat,40,1.5359291924065623,1.4339996452431425,1.49218073698768,1.4291473327850013,1.4737712784045893,1.4258503794993778,1.5083964689874156,1.4552121198248555,1.4726137041059328,1.4269429975803523,1.4732176677614581,1.4295708584122826,1.5762307815697925,1.5299795235660456,1.5325568507150424,1.478146630779649,1.552245484391734,1.3412838490132253,1.58968185094963,1.5410323273873991,1.6703723926144232,1.5771735770945803,1.5807511728765473,1.5209273368574299,1.5246617617572016,1.5434122750561499,1.5358210325461596,1.3993236182355966,1.54942402195154,1.5346279571979196,1.7283757774545252,1.4637335151383002,1.6634067957026555,1.567847493135295,1.727475875962326,1.3961097701834675,1.6298287623331411,1.5768096758810388,1.576074617299654,1.5167203103452254,1.65661930078671,1.5834565409253873,1.4901596609958772,1.5075946142972356
Shadow Gallade,Low Kick or Confusion,Close Combat,45,1.3268844162696651,1.1561363364204604,1.2170020518753621,1.1588171240887815,1.2189349981572517,1.1439143006190566,1.246836679496075,1.174239433554103,1.2178304432849776,1.1475061358052296,1.2270116027280868,1.152753848124305,1.2450075045970326,1.2046312005113626,1.396478860485824,1.2131662108762666,1.2071861172636502,1.084941989828929,1.2512104345313546,1.1837490866832192,1.2244210989215636,1.182912723642885,1.1470210684479165,1.0756950021863751,1.198549688025223,1.2203543630965512,1.2562055268446068,1.1512228932882838,1.1861761379286608,1.1997291059260777,1.2879751239857293,1.2184218079078413,1.2234566813995835,1.1528699368633233,1.2353757070560827,1.090027396049463,1.2109574421446208,1.1600161971501248,1.259033680596174,1.2303285596363378,1.1415315014772807,1.1308472228673743,1.2420535211881614,1.234958468119872
Shadow Hitmonlee,Low Kick or Rock Smash,Brick Break or Close Combat,30,1.6648894637408604,1.5189350496063783,1.7045128236412859,1.5293523151871777,1.6955264830565058,1.5137955546139041,1.749274497625072,1.5540791251859574,1.7042973975117148,1.51849721338199,1.6883400938963191,1.5315933001249034,1.508725313116902,1.4793041098331035,1.7491152411860225,1.5592577825742977,1.6392231167511944,1.4021886547008107,1.7770590077072466,1.5291842842646928,1.6696066245334806,1.5239653142207454,1.6437310290512561,1.48374015385699,1.5484013558596834,1.497907748565379,1.5638435669606017,1.4483048848563391,1.5819804591081885,1.4952272201583616,1.6288561681187022,1.411573892289414,1.5981877017484758,1.4596090191651985,1.6094165806176288,1.4644957603105777,1.5458963367480263,1.4555231506513904,1.587223632765839,1.5181765158492564,1.7510275932643329,1.5973110256226188,1.5966181529312893,1.5547170915655044
Heracross,Counter,Close Combat,30,1.5963264497609786,1.4098138132084026,1.5809744704465196,1.4133472414200912,1.5330653187598926,1.4080784494561667,1.5629896154103617,1.438259680771219,1.5267702037029547,1.4072038198693844,1.5875058416598251,1.4180450139621308,1.4956942332069902,1.4452662717586975,1.6324649065463714,1.4745335188878776,1.4738903771253689,1.323593311185228,1.526427007137171,1.446722577678904,1.5304874802392652,1.4878090758671618,1.4591005458067237,1.357784094868323,1.4744397999294143,1.4627332544046467,1.4934316515879158,1.38429396556021,1.4730241052168063,1.4791124159848699,1.444841955362185,1.3984052982679744,1.433047383938898,1.3894964554398255,1.5122898742341329,1.362748232100841,1.4710829722948509,1.4290910553616862,1.4325895850804944,1.4051042365187822,1.5481147535214739,1.4885856534168889,1.540761144663664,1.4948284756358952
Shadow Gallade,Low Kick or Confusion or Charm,Close Combat,35,1.4749781646763362,1.2679930197290525,1.4440121913825517,1.2888843135082895,1.3460265177749569,1.290101858594419,1.3801641545967278,1.3251549856737996,1.3480112700550033,1.2925491475665047,1.3772948994966465,1.302355645834388,1.3004857245747385,1.2621355694997882,1.5635828877216535,1.3516693787667022,1.357794165457464,1.184968197419753,1.555559311047997,1.3130736446915856,1.339504114174004,1.3156300698283687,1.2897117761624552,1.1597668919447104,1.3390690339917266,1.349009778285507,1.3486944245756443,1.20978698042851,1.3416604595282096,1.3555698619793626,1.6317424555226632,1.272683937295,1.3856016813783363,1.3138547983918294,1.36096258604712,1.204251152397258,1.360053536188895,1.3152996264008476,1.3325983586434837,1.2799796354481603,1.2526336977620505,1.216477695808296,1.3888579600819255,1.3526492164687285
Infernape,Fire Spin or Rock Smash,Solar Beam or Close Combat,35,1.8554049336598817,1.6146926869882179,2.1624690448299897,1.74645443679027,1.9547947961492786,1.7196225570228305,1.853915578559105,1.5879501917949277,1.9667337333924277,1.724312992081355,1.8138506430147998,1.553532655688136,1.522843581917429,1.526570698524806,1.6898161889551113,1.642312980613078,1.6569116362220784,1.4794702547466843,1.9094670622705119,1.6307261362588106,1.54547354429735,1.5252751867402385,1.679343935923491,1.5893684300955477,1.503904454362029,1.498362041256076,1.4046546101982824,1.3885435575457017,1.548317723688628,1.5238029378327171,1.7636267792305398,1.658939551394979,1.627660434959786,1.5244491787630885,1.860580302742229,1.5983938945157723,1.7234521149195408,1.6687567978970845,1.5808771750610031,1.5027507797349644,1.9734565268493458,1.7928599560545984,1.6675780887342806,1.6794716098578575
