Attacker,Fast Move,Charged Move,Level,"Arceus (Dark), Tier 5","Arceus (Dark), Tier 5","Arceus (Dark), Tier 5","Darkrai, Tier 5","Darkrai, Tier 5","Darkrai, Tier 5","Mega Sharpedo, Mega Tier","Mega Sharpedo, Mega Tier","Mega Sharpedo, Mega Tier","Mega Absol, Mega Tier","Mega Absol, Mega Tier","Mega Absol, Mega Tier","Mega Gyarados, Mega Tier","Mega Gyarados, Mega Tier","Mega Gyarados, Mega Tier","Absol, Tier 3","Absol, Tier 3","Absol, Tier 3","Crawdaunt, Tier 3","Crawdaunt, Tier 3","Crawdaunt, Tier 3","Mightyena, Tier 3","Mightyena, Tier 3","Mightyena, Tier 3","Sharpedo, Tier 3","Sharpedo, Tier 3","Sharpedo, Tier 3","Umbreon, Tier 3","Umbreon, Tier 3","Umbreon, Tier 3"
(Boss weights),,,,25.0,0.0,0.0,25.0,0.0,0.0,11.666666666666666,0.0,0.0,11.666666666666666,0.0,0.0,11.666666666666666,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0
(Weather),,,,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Shadow Hariyama,Counter,Dynamic Punch,45,1.0409290093598107,1.026618552556759,1.0416158536042588,0.9993058882774305,1.0105626659626086,0.999154001913104,0.9680323115984234,1.028067006277521,1.0822659025276335,1.0104436808832749,1.033027124217835,1.0184114914225746,0.9880331089004344,1.0260994748694552,1.04910951895205,1.0116895325323099,1.0509064016871865,1.0106668985841714,1.0063341958898213,1.0540774428901487,1.0114433138706123,1.0226680083593567,1.087916596543686,1.0234386066512158,0.9948088701266259,1.04684969545984,1.0026627766972305,1.0456269390677442,1.114283113536424,1.0456269390677442
Heracross,Counter,Megahorn,50,1.217754015760031,1.168521810776369,1.123509612080768,1.1507145038245208,1.1314070634698377,1.063279465427479,1.1632906220744579,1.1567962140955956,1.0959355836494502,1.180648127307934,1.1965947866252926,1.0821021422828712,1.1996169361337259,1.1837043521127286,1.1141372755166223,1.1622561702026444,1.1984074628891574,1.0941719055728123,1.1887224747937757,1.206669119806622,1.0950361454560098,1.1995431272438362,1.2237455365682703,1.1164584020189783,1.1874804576554119,1.2146295654121115,1.1197170075045022,1.193693942860254,1.260338874778506,1.1099621023736619
Pinsir,Bug Bite,X-Scissor,35,1.4470230874378716,1.4010752459411566,1.2183264749793217,1.4789131009659995,1.4211134593777521,1.242688366506173,1.5473966208894163,1.4618430708717294,1.3571450170796058,1.515635447081586,1.4889165639493553,1.2771489448117939,1.5044171804276185,1.4369506700644015,1.2746815798131832,1.5548416577255955,1.5042121086671703,1.2998392810805388,1.509903018875986,1.508859736388762,1.2839329040991592,1.460694193576885,1.4938451481137196,1.2603567869676942,1.5129749681458269,1.5016037418284887,1.267368050935723,1.4655403305488133,1.5329019847338157,1.2267213539907509
Sirfetch'd,Counter,Close Combat,40,1.450002706073747,1.286764860350572,1.453965412816891,1.3134137433066668,1.245815296058736,1.315297851216525,1.3629263336714807,1.3092544185722539,1.517192573025679,1.3177542627893464,1.2886211780362684,1.327255939054962,1.3695293150101164,1.297319735050674,1.404324160491219,1.2943884667371675,1.2777929222506974,1.3112579405225055,1.3206709098277802,1.3369810118207177,1.3456213565031467,1.286067098488176,1.3030598743933488,1.2821420071725682,1.2891276128099598,1.300398391778395,1.3347800411631603,1.2728454286042858,1.3316547381522625,1.2748058013548047
Durant,Bug Bite,X-Scissor,50,1.3258749697792094,1.3164439022010705,1.1147094869604632,1.443513034074844,1.401268485746195,1.2181551073463865,1.397733459727455,1.4125768088995618,1.230545521924369,1.4653107285361844,1.4436057174956984,1.2264239413925837,1.3903791731673791,1.394103421516879,1.2091532234172346,1.4838335316879103,1.483356940329544,1.2629606772044293,1.4655968445709275,1.485819764987297,1.2368457189877335,1.4040184233365025,1.4702124105275487,1.2123906586514555,1.4625800223493084,1.4806661675433967,1.2159219597552844,1.4428104952613297,1.518874955813573,1.2030159523147446
Mega Beedrill,Bug Bite,X-Scissor,40,1.2623945298855581,1.1244786802335913,1.0363042047045092,1.1249102705338134,1.0909569990248908,0.9614946187625897,1.2346903962945246,1.1138481386527572,1.0394437396248835,1.1945530429410225,1.1519058623041714,1.0256956185700772,1.2134677214065752,1.1578971752674312,0.9963390425062708,1.2017273247653633,1.162750146515301,0.9989961683782209,1.1843566182601217,1.1537971978415238,0.9929514939153575,1.1391503815087238,1.174108328335204,0.9423154533217346,1.1636183027342233,1.1649010846016359,0.9969797782528799,1.196635001444058,1.2191335876656844,0.9846068285152075
Mega Beedrill,Infestation,X-Scissor,40,1.2997017176803107,1.170640070115795,1.091479490631466,1.1792125190213818,1.1521911914554772,0.9898274094312313,1.3028177068705804,1.1784143171768913,1.0897729643310416,1.2561470100927574,1.2234212760611165,1.0696724905648176,1.2570317278822136,1.1986402598420032,1.0471365623564346,1.2256948649960853,1.1971372539040683,1.0320001199451112,1.2271695265457816,1.206686659616419,1.0268903534811509,1.1545764979786246,1.1810642241279559,0.9678748938210485,1.199438377501148,1.2019925453134523,1.0327250993954176,1.2090924835188217,1.2285946961803074,1.0168785596529566
Mega Beedrill,Bug Bite,Fell Stinger,40,1.382666333629696,1.2049420027865438,1.1310496771048715,1.2144034456115016,1.1756607715848397,1.0402731360733122,1.3329558294905288,1.1985308676310291,1.1262804941218587,1.3313083607216054,1.2442535920477937,1.1636836498408392,1.310203535902986,1.2443606342331133,1.0885911183839303,1.2979188305121316,1.2386117753012595,1.0795919749013525,1.2785132373501662,1.2396021394802563,1.0803393217407422,1.2270316118297881,1.2551538707274024,1.014178001658421,1.272276066192838,1.251093948106173,1.0859154015076715,1.2789385667877144,1.3061516621775797,1.0569015921598077
Mega Beedrill,Infestation,Fell Stinger,40,1.4368465588533654,1.2693489613839715,1.194717984388091,1.2859634329755683,1.2476206402656078,1.0830471515164808,1.4066815257958174,1.2935961211737308,1.176307865371348,1.3904025964264184,1.3409188991383378,1.2048317451180515,1.3603634481063809,1.2998024693859853,1.146037775830103,1.3369053545592773,1.2868257680102533,1.1191051634045073,1.317377652046137,1.2975223183993798,1.118579699589357,1.2428548990598904,1.2667363397136389,1.0343153672162742,1.309817348451158,1.2951487104410346,1.1314865772355776,1.2997713356294252,1.3174851139657082,1.0953116998916552
Mega Beedrill,Poison Jab,X-Scissor,40,1.4747465459283027,1.308146893160292,1.3222352560818118,1.281171710777152,1.2767929971792684,1.1303802357301682,1.454137882670763,1.346581198094756,1.2883092439102755,1.377360685992036,1.3565893645366585,1.2418738535268812,1.3792275005963803,1.3398351838566318,1.226967837158355,1.3718739831324307,1.3229144748613229,1.211535450900493,1.3825429442935642,1.3756616907654304,1.2254295697294468,1.3294136149763667,1.3642968928711952,1.1777425547419713,1.3549753993167524,1.36343332000887,1.2444253686172857,1.3623059777259203,1.4097818354857685,1.2193350690332154
Mega Beedrill,Poison Jab,Fell Stinger,40,1.5899336905113306,1.377405067550366,1.4107791462835817,1.3902611791738226,1.3524300869331967,1.2246479990012722,1.5481096421431655,1.4321779969425883,1.3784474037008398,1.481161110616557,1.4331434500690756,1.3405903958650838,1.4765649453389476,1.4138321798171039,1.3213785570727492,1.439360825434972,1.4004107765721772,1.2692245758940401,1.4613564370602465,1.4503922885083163,1.2881386162139001,1.3922120718654076,1.4245144649611583,1.2317629369984204,1.4416480402277878,1.4255560303352806,1.298461175633595,1.4316845682828423,1.472001069839091,1.2774443132395958
Hariyama,Counter,Dynamic Punch,50,1.128819881238969,1.1515363021573461,1.1293861093673947,1.119841399214514,1.1505243954490396,1.1192223607938538,1.1244538505584831,1.1743422644856025,1.1188374522759388,1.1417322943940316,1.192398405174113,1.1419632381438807,1.1330397283750306,1.1639936559360764,1.13868825369442,1.1346555067219202,1.2007969528803735,1.1456504605008635,1.183487523566358,1.2469702812225136,1.175986805452349,1.1797069650512313,1.247259454419973,1.1756385027569802,1.1563883909344317,1.2281489684664846,1.1559316471962644,1.220472796956203,1.3030692569725277,1.2205704534866604
Mega Lopunny,Low Kick,Focus Blast,30,1.3919193255324824,1.217496048598236,1.399273837572196,1.5230713858531535,1.2460185317180485,1.5476820907155415,1.3718073056087525,1.2921452982554462,1.6845441550509368,1.3929027905540066,1.3514700012529393,1.3864166685812833,1.396605539594561,1.358770163222124,1.5764674318986351,1.3182042152778226,1.3097770081742726,1.3249100240029743,1.3480082114742402,1.348469030113452,1.373361228482899,1.3137150107736453,1.3184438704586854,1.3119765133474963,1.3157480646277577,1.3375039689247399,1.3905409550714092,1.2748516266286547,1.3126196436092286,1.2748516266286547
Shadow Gardevoir,Charm,Dazzling Gleam,45,1.0230401705965861,1.0086842268302227,1.0231020364273133,1.1342547878209175,1.0684153966063494,1.1338050860896762,1.114190622632017,1.087405453235642,1.2581332493417674,1.1027924946216017,1.0949113243419764,1.1129349836103966,1.0678892081087772,1.0553114354314692,1.1310685339378124,1.0894070107253206,1.0620579307869313,1.094182668741965,1.0615660387478798,1.0918083978073434,1.0969455449036805,1.0334563430086852,1.0645734393286859,1.0346031658093862,1.0738984465513701,1.0619880449820336,1.1043917285794742,1.06055504021199,1.1141938354143461,1.06055504021199
Tapu Koko,Volt Switch,Dazzling Gleam,45,1.265630246355969,1.2920922205008587,1.2319151489212914,1.2746411243112659,1.3155651944145463,1.2524039272615621,1.2021776791221312,1.2382068768515395,1.2437904177120467,1.3097322392953739,1.328483893544,1.2980627719124704,1.1690700671624645,1.2007545562257385,1.1583874958414895,1.271403342522112,1.3255365467505669,1.2633909825061516,1.2072602094756624,1.256998057518896,1.169629825099856,1.285088985207575,1.3349536187632665,1.2691458837622276,1.207120438396605,1.2184459903401268,1.1687533598323292,1.3391657128058916,1.4098161732250292,1.293879104436798
Tapu Koko,Quick Attack,Dazzling Gleam,45,1.2913233483959572,1.2965370801535483,1.295143986267388,1.293114164982438,1.2968847532028465,1.3046885807603155,1.3203436523990062,1.3582338356007,1.419585924712647,1.326284045266244,1.343537275127612,1.3488855992440378,1.2941348540172914,1.3231856505092159,1.3328626167714452,1.2837911744094712,1.3454172939368563,1.2883808023419945,1.3250450271699916,1.3574995154939726,1.3457636345221573,1.300840731976802,1.3499991598709271,1.300840731976802,1.3237753887248922,1.3368436402046695,1.385259322831915,1.3755021582205609,1.4431284002946303,1.3755021582205609
Emboar,Low Kick,Focus Blast,30,1.8386849799020617,1.430275250427542,1.8442295380767724,1.5082292780816327,1.4443349391147087,1.5001664898085885,1.9643054079494413,1.6051951757168994,1.9639922630414424,1.6018005998086406,1.571703619032652,1.621718341531462,1.856363605525864,1.6346638143196075,1.8332563490383496,1.5156161071667935,1.5028140482921253,1.5084743236516411,1.6624116458496854,1.6474432528558962,1.7855131391426005,1.4945923139522772,1.5383614847705733,1.496967051173681,1.7192018694874869,1.6345800412115248,1.7587611368693217,1.567149322091865,1.6234548485574591,1.567149322091865
Pinsir,Bug Bite,X-Scissor,30,1.4779538664274878,1.4243054203013215,1.2511758513539448,1.523871833846756,1.4593502848567872,1.287453247890356,1.6808207814416043,1.510343244106672,1.4542391083110495,1.6293963289012316,1.5943223582923467,1.4344426573807625,1.6819063998729482,1.5876348904719433,1.3925644698498734,1.592312545955244,1.5495053847625901,1.3441925737366225,1.5814507847153372,1.5516096127840124,1.3808146294539398,1.5666530747387732,1.5914088297420526,1.3081493369516963,1.5658132057763845,1.5496459586129112,1.394471157857165,1.5026319564982051,1.557596937623062,1.2884652291681988
Accelgor,Infestation,Bug Buzz,45,1.4369360195150644,1.3996441869085139,1.2037035734772015,1.4399501627150555,1.4241497105038516,1.1876914790958812,1.6156190788917926,1.4993214550772005,1.341755563760365,1.5084751332804538,1.5266087783530382,1.363860721697764,1.5462171195009917,1.4692193146363919,1.2979523499153172,1.4554491057456342,1.44728349237466,1.2095044896035425,1.4805800493865715,1.4766421219473624,1.2130341304334797,1.430451411606415,1.4305030002967074,1.1733718324466467,1.4509491685027098,1.4615612208303679,1.2194383726646822,1.4328057266858303,1.4885787060316176,1.1943662133627249
Sirfetch'd,Counter,Close Combat,45,1.3080580556076793,1.2093240174370847,1.303244493406972,1.2904029327511921,1.22832490375434,1.2917073313718677,1.2277157626568258,1.2385444515041342,1.429136318407332,1.2977143072733162,1.265190103720579,1.3058978063199165,1.2635843873059687,1.2644886682568677,1.3750916414145695,1.2251970130566765,1.223789828348934,1.2347778724390384,1.259133284419101,1.2661564125314084,1.274830069404624,1.2430140781392136,1.2603661930983738,1.234618257055173,1.2430498777462358,1.2576367794844858,1.2700439163185016,1.2483908398898647,1.3117553314959105,1.2543046726420994
Tapu Koko,Volt Switch,Dazzling Gleam,35,1.3988071733742282,1.407646153796853,1.3571497494923443,1.4327854599041088,1.4468739877757049,1.3936468585618993,1.392681061256626,1.3798831479729385,1.513731263949282,1.4528664693285152,1.462184461369509,1.4328561914723827,1.2947646787978053,1.315619309467394,1.3204257433426572,1.4067430191712638,1.4530902885718597,1.3752145519287142,1.3227298875438842,1.3751133075555122,1.3073993637563672,1.3882916421784408,1.4448004639584318,1.37424646585876,1.3235001635934553,1.3419135259262376,1.3104895567403283,1.4415181476200638,1.5214481635615154,1.3923311466644759
Tapu Koko,Quick Attack,Dazzling Gleam,35,1.3922833992701433,1.383801237815102,1.391434279616464,1.4394937655418607,1.4020371962905354,1.4399810566440716,1.4911665959314515,1.4793579119707936,1.666054812608839,1.444197684359937,1.4400860395679747,1.4770143020939366,1.4123982968445397,1.4364568251735486,1.5006051912745846,1.4186818984556113,1.4578287405716794,1.4134563576855348,1.4461706311119418,1.4818361341444655,1.4803561046299412,1.417252082624032,1.4646199064429777,1.4213724236654686,1.4515923579971322,1.4589367428966222,1.4912849304673403,1.4614093132189934,1.5291496814519145,1.4614093132189934
Genesect (Burn),Fury Cutter,X-Scissor,40,1.2587573531322982,1.2613007954076505,1.0461843559028192,1.3239068715689815,1.3072853051181434,1.1578442005452516,1.3195738232224175,1.3361426838285975,1.1761064660893463,1.3648010210066805,1.35380561325771,1.1535805548059395,1.3190550043793308,1.3328955838181287,1.1100661756559138,1.3741293764380096,1.3810131539436374,1.1686580412046448,1.3683721227603796,1.4172029916575823,1.1757732539455543,1.370388709179076,1.445667589040681,1.1098580745406021,1.3988402396855715,1.4268147205574702,1.1401737766341147,1.380350771868676,1.4567873286499988,1.1376228370189798
Mienshao,Low Kick,Brick Break,50,1.4898908562124156,1.3455410046726062,1.4936462456609354,1.381023999838044,1.3008593151627825,1.3827280688953596,1.4608974410450357,1.3438187667357633,1.459080756401467,1.3791757161496943,1.3763170106027636,1.4091266220295273,1.4287709510537743,1.376540723003311,1.4247729807665548,1.4015596452202546,1.3585396124599138,1.4051098079113145,1.3887178026341453,1.3953077377879506,1.3945403278841713,1.3907451091280012,1.4322894607019836,1.3906647219318833,1.4021662167544362,1.3996824497473066,1.455032143151649,1.3824343858870145,1.453469803579391,1.3824343858870145
Accelgor,Infestation,Bug Buzz,35,1.6818700091187564,1.5340145458585144,1.3992936880473792,1.6200648266397193,1.5638875908049545,1.3409648543071833,1.7326942465391615,1.6528364505628994,1.4779831836158188,1.819219797190936,1.7323221548714867,1.7205811702769815,1.7019931700208983,1.6433157183574538,1.4277541122352457,1.587157297981239,1.6025207253569878,1.3568239278626713,1.5949480237610056,1.6276255154936652,1.3664549235725363,1.539771990005551,1.5442921123192281,1.2853104643638897,1.6221235724264378,1.5839118955536193,1.3546163824154809,1.644368654463825,1.6193918823836286,1.3711265313226986
Togekiss,Charm,Dazzling Gleam,30,1.4041372930076124,1.3973756692636667,1.4034383871515619,1.373776842923034,1.3893173854583858,1.3729279452352916,1.4184150503030066,1.4494786978880674,1.4548502025921315,1.4242549578811214,1.462176926284368,1.5158711498325772,1.4131391376040856,1.4373754970846924,1.426297468050049,1.4182397005163685,1.446970696076074,1.4235783874411798,1.4535044424707304,1.4977615514151958,1.4485253649855754,1.4359830658984607,1.4965192240489154,1.4340811835680365,1.446663757532493,1.4547798912327206,1.4536036325243618,1.4368821782263521,1.5090693461257854,1.4355624852581843
Genesect (Burn),Fury Cutter,X-Scissor,50,1.2033351379759354,1.2081543526662126,0.9954800111946,1.2346282142338982,1.2362830955168587,1.0324089968182417,1.237327172268635,1.2634964549459928,1.0295979564203046,1.2726205569337417,1.2772972141362533,1.0757450421188788,1.2378821323085794,1.2614410153086775,1.0229417604446982,1.2901412227451807,1.3157732893000125,1.0701860280909412,1.295955127748986,1.358241374524773,1.0592727998700402,1.2572902640559862,1.3409276305358058,1.064736078372378,1.2734523249011969,1.3088987222299202,1.066238331119441,1.320550787326902,1.395820984753919,1.081553629118203
Shadow Hitmonlee,Rock Smash,Close Combat,30,1.8069745134141144,1.5257393011279698,1.8137192241971418,1.706112379671837,1.5246531444747737,1.7030444438164907,1.7109937369031292,1.5858608446447435,1.6908030789940935,1.7015146287861458,1.5971349279670977,1.7245401304489802,1.8304639153647067,1.6123268413215275,1.826432610914471,1.5504870035064675,1.5234330691551112,1.6092853550230237,1.5907531659644851,1.5879383434765817,1.640444042666039,1.51563822057306,1.525627904285286,1.517625317475039,1.6559655326847147,1.5978995591803253,1.648735469745367,1.4458951480274969,1.5064835270626964,1.4429348603097065
Shadow Gardevoir,Charm,Dazzling Gleam,35,1.1440218291135793,1.1017311928764746,1.143189221850691,1.449392317470654,1.1739000285109844,1.4594801342546824,1.3608095956576867,1.2274044879685087,1.3682448877807993,1.241001687250977,1.2309612523977764,1.3298050451387293,1.2201405012944153,1.1709665167143293,1.2414074770289802,1.189276951335438,1.157260930247422,1.1901425227411258,1.1965802327380992,1.1936626304227984,1.1974057372583369,1.1347672074853408,1.1447339767030031,1.1377270308970466,1.1804226635819686,1.198155867684936,1.2508017953444661,1.1656183458924136,1.20762020612383,1.1656183458924136
Vikavolt,Bug Bite,X-Scissor,50,1.163244833446502,1.1452395622996927,0.9890073320356049,1.2089137104093775,1.2030837202279532,1.0253530553990358,1.2073254587967401,1.2263766853645386,1.0849310357076718,1.261832945681845,1.2492544165447417,1.0404092603499617,1.1815345477394774,1.1933705985780407,1.0396752165857872,1.2492129432557084,1.2510550397243991,1.0684868204440063,1.2603924045438597,1.2940233856958452,1.0624195723836638,1.2268694907448334,1.2914565627475,1.026860159200212,1.2458890040773825,1.2635478475188084,1.0315959357727016,1.2214096678341915,1.2967036644361287,1.0369538129936753
Vikavolt,Spark,X-Scissor,50,1.3665376445123496,1.3614101243476493,1.1442490413911783,1.3996180856645422,1.3931292534508415,1.1673300074735895,1.244333132086007,1.2633961644155476,1.1077218834182898,1.4134138210858278,1.4112344629518767,1.2067409241816296,1.2372402661123503,1.2507706322499508,1.0929920355580067,1.4427333958350124,1.4393983415019365,1.2101018897843947,1.2952127500162527,1.3158014705622438,1.0777834659955152,1.423064553425403,1.5092276731762408,1.1744980819262794,1.265858166771497,1.2859910740605587,1.0727420173527555,1.4479614058794452,1.5354460990517667,1.205103936590807
Vikavolt,Mud-Slap,X-Scissor,50,1.476883721079282,1.4970167762329816,1.3002053678533394,1.543178114361101,1.5297438946004582,1.3460200184224824,1.4860065429401796,1.5257792191405017,1.3950176669717813,1.532072904830579,1.5522666686196198,1.355717409771916,1.4959248985712639,1.5356035660505791,1.377814249561718,1.5501033607508454,1.5535259378092126,1.373422550704105,1.543940623920812,1.576550914936418,1.3668443342456853,1.5266846229839466,1.6021385728989526,1.3410890264785271,1.5310302204146735,1.5628715765983734,1.3600437131869383,1.56208169609952,1.6495356726032664,1.3775629220342278
Durant,Bug Bite,X-Scissor,45,1.3524079783599556,1.3405703744743185,1.146299782410307,1.5028820978011115,1.4364114898423292,1.264214370548322,1.4656963078602283,1.4606802617844676,1.3791113316879373,1.4985446842314172,1.4671072514671804,1.3016495385368445,1.4188245948265523,1.4195784315042788,1.2550230141557854,1.509521628732364,1.507806165599507,1.2872945195293606,1.5300494787852448,1.5268077838179446,1.3326138489266406,1.501325238867549,1.5720642311100397,1.2448999451854628,1.490537998781694,1.5166846885473213,1.284469793973812,1.466966657805449,1.5394731042477532,1.2375699569005185
Mega Scizor,Fury Cutter,X-Scissor,40,1.177685520048624,1.176667715863681,0.968502903866374,1.1970243979796005,1.1953409424483008,0.9975867412957147,1.1744233852643078,1.1871502302000807,0.9930172776621768,1.243528531784959,1.2471201763855033,1.0312585471990992,1.2110288207613977,1.2336960516124444,1.0020050425631004,1.2127611233975861,1.2523153271050016,1.030572184024414,1.2226864241641637,1.2808772310138572,1.03277929178974,1.21973170856169,1.2968192381809016,1.0313910343372872,1.2534063833126452,1.2834168651431315,1.0506150352179349,1.2859791768457254,1.363146940176541,1.0628420585112581
Yanmega,Bug Bite,Bug Buzz,45,1.2490681848689889,1.2310269514263323,1.0540513306583559,1.2701368843567484,1.2478959441859523,1.0732004233628116,1.2787759159701881,1.2795328873864635,1.1313325886819894,1.3445949631313572,1.3167011751533713,1.2669381112788247,1.2882457206533995,1.2843412916077719,1.1024812585276533,1.3063570665420974,1.2959116987830996,1.094110537791491,1.314605478383808,1.3294363193095287,1.1027970021948392,1.27059036709041,1.3135296851372342,1.0621972518228158,1.2866582947443816,1.3038316779320045,1.1143470493084942,1.3125790626446476,1.3824164053980925,1.100733566488664
Buzzwole,Counter,Fell Stinger or Superpower,30,1.329011567397081,1.3188615654565414,1.3282957485801123,1.315173906460353,1.3080998293558543,1.3077876214247395,1.3231123957494257,1.3352094442072966,1.3379857853251742,1.3556575256742163,1.3663418798207856,1.3643712567646888,1.3892473535134242,1.3813072880448345,1.3884268485096654,1.3514414574287756,1.3825890945134034,1.3514907554010678,1.3680039788664697,1.4014464983162551,1.3855456521481868,1.3868888027327835,1.4208582771039053,1.385854335541502,1.35883081825021,1.3775514473002968,1.358344148879959,1.419645382304527,1.4810513741276499,1.4172292541056388
Genesect (Burn),Fury Cutter,X-Scissor,45,1.2229214594140567,1.226192337040061,1.0203483393430721,1.276467714684338,1.2753382410747123,1.0626801442925733,1.2734070997069167,1.2932606505182782,1.0911461263770326,1.3170453699109457,1.3143598920055735,1.1085881648453484,1.270982809337178,1.2858394933618391,1.0619239348174672,1.324896359650367,1.3542116004064049,1.0948574042863588,1.3256182120167639,1.3789877804582928,1.1345546240778825,1.2788633905168758,1.355649882517635,1.0829563128945643,1.315197977099818,1.3397427991674506,1.0913459666656269,1.3396068591070116,1.417556024518894,1.1085266100622562
Sneasler,Rock Smash,Close Combat,50,1.4657461802522846,1.278970166249065,1.470697761115643,1.2292554120258996,1.2323113804377535,1.2280203402254561,1.2205279239753828,1.25068393057104,1.2922080675035221,1.2877455218261937,1.2873971232842778,1.289881176466327,1.261074486362032,1.2948324484728364,1.3118432242917057,1.2324858489240385,1.2694582208211203,1.2528956966745817,1.2869268900768402,1.3037989960082237,1.2938407449820009,1.2598861489401125,1.3116200748624411,1.2553435472172116,1.2550409576105537,1.3050255595125906,1.2582021925634017,1.2964470678754716,1.361449656941012,1.2964470678754716
Vikavolt,Bug Bite,X-Scissor,40,1.318999094533482,1.2872076238642947,1.0563657358366416,1.355201525422013,1.3173744399025566,1.0982815489224873,1.3065525355754648,1.2916197665248141,1.2113391840116976,1.3399503102115236,1.3223479547386208,1.1368767648458296,1.3412582736090126,1.3341329127061237,1.174259917335681,1.3693929176176625,1.3518924475041374,1.1191409520492621,1.3399432993469582,1.3412272979533022,1.146246453807787,1.3396441287833545,1.3965821726102465,1.1148940423205025,1.3526952172915259,1.3657689702511406,1.1380797078581202,1.3655360976420463,1.438544624264595,1.1388199879605643
Vikavolt,Spark,X-Scissor,40,1.48570111522284,1.4619680918299005,1.2346427199316932,1.5203036377654136,1.4691204108281009,1.2642147923084452,1.3466361357979135,1.3355927223533695,1.259056670309738,1.5495704300838884,1.5465712018088014,1.3002906454191718,1.397394619440234,1.3793302197462916,1.1857789265092573,1.535114274626513,1.5359457626632174,1.3125947438484225,1.3801349185991452,1.3830997420015012,1.1843662430626498,1.5228263897822238,1.5876513705923705,1.2851566099003917,1.3877141315001191,1.3980767733325012,1.1643247894746895,1.547060620843807,1.6234449842614533,1.2793176554291525
Vikavolt,Mud-Slap,X-Scissor,40,1.5869567423429687,1.5873419127739856,1.3951241090875297,1.641020821875517,1.6078613556382582,1.428158329593727,1.6311864368582802,1.6572334539239297,1.6137530672041116,1.6615236846365402,1.6758997017243158,1.481926252244563,1.6691702532096797,1.6790997955088602,1.5553803431671314,1.678498512213329,1.6670640180677732,1.459649620752205,1.6749118821472324,1.7019602860283833,1.4990419767415593,1.6428839006055413,1.714141141642799,1.4451890780402836,1.6543005491081433,1.6764447913802571,1.4969030900421763,1.6984855558611962,1.7926971994514453,1.4797266865792256
Sirfetch'd,Counter,Close Combat,35,1.5130103842019416,1.3266480256165487,1.5173652490994294,1.4127412046143932,1.3300632513656594,1.4099811009288845,1.4855905359496726,1.3430959268286837,1.54393577936794,1.4002505561223322,1.3443595247693185,1.407466259408975,1.525948406498517,1.4030557001382045,1.5220802485465679,1.37603928530165,1.332967031239124,1.3969698844090999,1.3515966106555672,1.3667439366049414,1.384475666117022,1.3569572103720284,1.3747405984946917,1.3577126013953436,1.3796056756893351,1.3828614635484036,1.4333108195850746,1.2996594570316886,1.359102703678671,1.2996594570316886
Mega Scizor,Fury Cutter,X-Scissor,50,1.0555756335150084,1.0516394089080388,0.9272980352124287,1.1378746495173377,1.1236334972012,0.9462661787183216,1.1066853141595607,1.1200760870824313,0.9247677599187774,1.119575376536797,1.1323575248255278,0.953799801988538,1.1408968255524128,1.159385391457247,0.9373024042228363,1.1394468887099602,1.196809708077384,0.953046294671609,1.1561841104461652,1.215938765200464,0.9771954424312322,1.1638087395509333,1.2430315644262042,0.9545782300326441,1.1478100120161991,1.1852119133759957,0.9717188871969319,1.1467618700257884,1.217083637118272,1.0011827166046445
