Attacker,Fast Move,Charged Move,Level,"Arceus (Dark), Tier 5","Arceus (Dark), Tier 5","Arceus (Dark), Tier 5","Darkrai, Tier 5","Darkrai, Tier 5","Darkrai, Tier 5","Mega Sharpedo, Mega Tier","Mega Sharpedo, Mega Tier","Mega Sharpedo, Mega Tier","Mega Absol, Mega Tier","Mega Absol, Mega Tier","Mega Absol, Mega Tier","Mega Gyarados, Mega Tier","Mega Gyarados, Mega Tier","Mega Gyarados, Mega Tier","Absol, Tier 3","Absol, Tier 3","Absol, Tier 3","Crawdaunt, Tier 3","Crawdaunt, Tier 3","Crawdaunt, Tier 3","Mightyena, Tier 3","Mightyena, Tier 3","Mightyena, Tier 3","Sharpedo, Tier 3","Sharpedo, Tier 3","Sharpedo, Tier 3","Umbreon, Tier 3","Umbreon, Tier 3","Umbreon, Tier 3"
Escavalier,Bug Bite,Megahorn,30,1.5141568935710332,1.4634535778699254,1.2583160482924756,1.6916863767318884,1.54311285052671,1.4394021987828964,1.7165789019893978,1.579060704846745,1.5395553386692067,1.642804255351179,1.5688032118628592,1.388193369398959,1.684945835576024,1.551078273425172,1.4406589744673113,1.633543393684029,1.5901308598228356,1.3565682008588629,1.6557770936599174,1.6085533211830927,1.3486624812993202,1.511635305224404,1.5687362917762868,1.318818626256364,1.597767815411107,1.5873104060412317,1.3771140121571261,1.6206653961421082,1.656603429667227,1.35549672495557
Sirfetch'd,Counter,Close Combat,35,1.5131138266676876,1.3255988487717683,1.517468989301376,1.4106867811959227,1.3273134161859,1.4099674235641,1.4844374399538283,1.3495004510427944,1.5494515343079924,1.399650612326394,1.3507380547196188,1.405967400960057,1.5271409965078322,1.40221889518169,1.523269815434978,1.3735615346035188,1.3299195322094797,1.3939320599892266,1.3544932523914783,1.3663647031033046,1.3840161089911138,1.3596768991501669,1.3774417312758727,1.3607904392495713,1.3825074851363661,1.386490572978605,1.434459792028621,1.2972056158600418,1.35996374448099,1.2972056158600418
Terrakion,Smack Down,Sacred Sword,45,1.128538166260431,1.1712880634404028,1.1279693623021716,1.1567823220115738,1.1996406427730628,1.1547688587155251,1.2696909799652538,1.2427884181125648,1.325939125059093,1.1688410848633846,1.2144482063608417,1.1739863327063864,1.274820495957646,1.26114964150628,1.277659641304208,1.1971700855061982,1.2642781402583094,1.1933015607219173,1.2290720429880373,1.2840052006614135,1.236812347921944,1.2450224497990168,1.3094256637384247,1.2470973409929111,1.203793467412846,1.2623412556635794,1.220237200999168,1.269618836390104,1.361556040932281,1.2687321742137616
Pheromosa,Bug Bite,Bug Buzz,45,1.1958129102786201,1.0058773886739512,1.026362743719076,1.1416795548280732,0.9756791221063846,0.9479482412562594,1.1478954073403256,1.0362183844808432,0.9641169356305039,1.1210988663586205,1.0339142947731694,0.9850953104166466,1.2017644173627429,1.0265070422017741,1.0220596258732715,1.048672521001763,1.0301883710368285,0.8883553382106298,1.047917219605034,1.0614341380787127,0.9009021265481474,1.023252606919369,1.0324346768825379,0.8556771461743725,1.0385984666399037,1.019010446367338,0.8819039548928456,0.9899695561008588,1.0345056658611966,0.8434762850328004
Genesect,Fury Cutter,X-Scissor,30,1.3580847699947123,1.341084835870748,1.1833279326853743,1.5725023924110906,1.4813139408504035,1.2876607048639857,1.4578831605606772,1.4372197698684643,1.340936972488149,1.5206116674460037,1.5105965829521053,1.2892532455827708,1.4414726991830789,1.429021843960166,1.3140177198586966,1.5387481616441403,1.53625280184084,1.2640111046505564,1.4979493876547667,1.50366158827585,1.2767124445221172,1.4754586767709035,1.5531755526439812,1.2375018751080833,1.4913349695708824,1.5264623053766226,1.2840905495029422,1.4738095698839488,1.5466484556759428,1.2830333784238463
Shadow Venomoth,Bug Bite,Bug Buzz,50,1.5188359615497606,1.3259466119242747,1.277263643015983,1.3664814771077152,1.3218737650456192,1.1466766257324321,1.5072813204937656,1.3830809096870385,1.2492458963317141,1.5046130978516583,1.4027068631079869,1.3241640967916632,1.445172596861274,1.3504643425961815,1.2058816116510918,1.3818616262318244,1.344939003445387,1.1698144045070589,1.4261196113715495,1.39254557780539,1.1854585819555485,1.338680277750229,1.3557844405649295,1.1086027300909205,1.4269349951036907,1.3894459652868767,1.190392312809574,1.3946428225870386,1.4187700964379328,1.159385641241402
Genesect,Fury Cutter,X-Scissor,45,1.2230747283503751,1.227510010486753,1.0209737724356862,1.2741918732673734,1.2753258697980083,1.061248623493751,1.277701828453586,1.2978808613568351,1.096160212277514,1.3119001906459236,1.3068902186109352,1.1099805260411872,1.2706055724050769,1.2868444286052823,1.0618790104360891,1.3220152649610213,1.3512667573462196,1.0932127742551156,1.3251781917907135,1.3785300449584503,1.1366804685204424,1.2828864471091606,1.3587230443349476,1.0849298539301184,1.3162522677762347,1.3408167654953744,1.0915872724396025,1.3375964363721262,1.4173553321768357,1.1074455027987538
Shadow Gallade,Low Kick,Close Combat,40,1.313553994313296,1.2400401220665136,1.318873795759364,1.372721304879422,1.2384687683332074,1.3722630142313137,1.353380474832516,1.286262726269225,1.4947254386963045,1.3561699515244081,1.3326904078967057,1.3834064228541638,1.3536951398061212,1.305003775068383,1.4017212107406667,1.3446411849344893,1.283177030730221,1.3384075918019982,1.3132696950084788,1.3075473542499274,1.3199003462626486,1.2865247382199603,1.3111854204885232,1.2879630271047184,1.3022579291621883,1.302751160094036,1.3213331151145453,1.3049332600066292,1.3470971551777413,1.3049332600066292
Scizor,Fury Cutter,X-Scissor,40,1.3209769327049592,1.3162919447851997,1.1521202291061692,1.5340603317786,1.4551278996254384,1.2603834753456185,1.4218051330898835,1.4102841276339666,1.2913904200621957,1.4786851466132782,1.4739327981373034,1.2594058085403617,1.401168048409052,1.4004046579383902,1.2841826655473114,1.4408159904563718,1.4505375760026122,1.2422321233317348,1.462913023354964,1.4833628767262719,1.2485852779799615,1.4550306512684368,1.5376073172324054,1.21588964513403,1.4607452131278569,1.4913420788243776,1.212011250166765,1.443008234272577,1.5257783107350171,1.258995744595849
Escavalier,Bug Bite,Megahorn,45,1.2739819926966622,1.2470752820651603,1.0728465658110498,1.4152865051987757,1.3518455411319679,1.206931592015146,1.4043946466088502,1.3775393592025047,1.2303819845648347,1.4350247607286037,1.3883159152305058,1.2197002460292443,1.3274307307099518,1.319022046031953,1.1512215606922611,1.4190969175728876,1.4075801120082228,1.195494019410068,1.4085730253138544,1.4249961110268232,1.1914855493438676,1.32936213266778,1.4100816317817653,1.162987820892666,1.402107848283085,1.4197816642369154,1.1657492502762778,1.3715611409252275,1.4290230173855454,1.149555763772322
Durant,Bug Bite,X-Scissor,35,1.5505270973060263,1.533658648188142,1.2893979642524582,1.7065264426270508,1.5844894896288082,1.4458246469163938,1.7463707184660089,1.6221922439408352,1.4774999442794987,1.6629301632698716,1.623849795785559,1.393950250354003,1.7000625687732955,1.6100677307889433,1.425756657806125,1.6096176750170468,1.5812663560414664,1.3922797716416848,1.6939721107810017,1.6662476882215005,1.4058562174598572,1.5920614527116428,1.6460057373738985,1.364539409497524,1.616921656934048,1.644292676168058,1.414918118038415,1.6471668821314849,1.7194273525668198,1.3886813865239085
Zapdos (Galarian),Counter,Close Combat,50,1.1601790937950118,1.1139651854054313,1.1615374754522747,1.1031676935723116,1.090838921249292,1.102912162136515,1.128511066091553,1.1221988952090927,1.1267187428516463,1.1450131835809185,1.1528546642092354,1.1466341427212596,1.1256597735693776,1.1296724048930764,1.1342022665106428,1.148670417245568,1.1641047615781284,1.1447693858923524,1.1484491159067642,1.1896956614423193,1.1662853872553067,1.1392782939481727,1.1844635604411085,1.142993416730167,1.1356345129752954,1.182358584090822,1.1530405067112868,1.1628636241910706,1.2309246218545622,1.1628636241910706
Shadow Scizor,Fury Cutter,X-Scissor,50,1.0535888195904648,1.0452831423225042,0.8741403177361434,1.2048223373803637,1.1418683433718297,1.0026828955576015,1.1413978690134188,1.136114040510564,1.030886354811729,1.1523051887727418,1.1431336104788308,0.9785729669970079,1.1095387068507847,1.1062176754029036,1.0265306294903567,1.1724022235111904,1.168332582286479,0.977254815612841,1.1749083450642688,1.184784416452373,0.9707227344570704,1.1256736891644752,1.1904626188585954,0.9483858538025365,1.1446824750245874,1.1778847157402805,0.9804972302650905,1.1391499553984705,1.2056684205565298,0.9867192937664603
Tapu Bulu,Bullet Seed or Rock Smash,Dazzling Gleam,40,1.319316099925044,1.3043006813718596,1.3686698916250195,1.2996385761685068,1.31638513748614,1.3581502138935715,1.2660549533179504,1.2986263430107134,1.3024779786713654,1.3373812193495114,1.3591967543313943,1.379377200427273,1.2560824893774536,1.2796055558719306,1.2656252744043015,1.3253257418966935,1.3574483311291037,1.3852135374412915,1.2744389796102575,1.3366330326500904,1.2714422617115706,1.3954606893453825,1.4395496301863246,1.400846838679904,1.2650307921432766,1.3099772776157441,1.2839988552589268,1.374006765449639,1.4462212922520683,1.430744530304383
Shadow Hitmonlee,Low Kick,Close Combat,35,1.6885478963289247,1.399921660930704,1.6997686326805672,1.629481105118895,1.3794640767191093,1.6301043023754564,1.7020665854124901,1.466703188033817,1.691112052168466,1.6168473843529838,1.4902471081230588,1.6870471300967942,1.696004232485428,1.5238941805162383,1.6624862545259487,1.4691548239041154,1.4077810516624183,1.489344474873284,1.4895493208220425,1.4684674372915076,1.5336070658321537,1.4286316628217608,1.4526405010388472,1.433351515444495,1.5700544326800585,1.4923612432541504,1.6001489615498294,1.3744738174352342,1.4282286170154992,1.3723420578377903
Togekiss,Charm,Dazzling Gleam,40,1.2760844174689003,1.290955086787226,1.2713102743469817,1.2512231979313708,1.2747088407234128,1.2535479171789246,1.2844110460321725,1.294401555951008,1.292148570798469,1.2959258132890126,1.3243962471923734,1.3044489418999385,1.2672757967598707,1.295366787848505,1.2714476606516631,1.3082652072845122,1.335683647397026,1.3078684547769321,1.311581650192144,1.3635231600355673,1.3163951427205143,1.3100688694182205,1.368976749988745,1.3104025680550027,1.2970523522402166,1.328108687477519,1.2961666602632966,1.3499975966985507,1.418480576642532,1.353693437364034
Toxicroak,Counter,Dynamic Punch,40,1.4816391916120222,1.3586815712680782,1.4872568595647553,1.2683365815577052,1.270579691013096,1.269344894790849,1.3944058962847916,1.350419311435372,1.4304815776292157,1.323497357671534,1.3473685725668745,1.3356987231860014,1.3873406801736348,1.349479701889004,1.3847435800874788,1.3356463013049122,1.336871650895272,1.334482716405356,1.3378266113312196,1.3737923537986145,1.3627831988676846,1.2937550137856784,1.3361442096413199,1.2877239352500882,1.3270228775777473,1.3485489408573639,1.3450743310268092,1.3335504003525673,1.4093707532570978,1.3407655482679688
Mienshao,Low Kick,Brick Break,50,1.4899927180274224,1.3456329974842478,1.4937483642268201,1.3810106033683966,1.300846696321739,1.3827146558955798,1.4661165391351474,1.3486195978974016,1.464293364333483,1.3777069852576573,1.3748513240430036,1.4076259954042674,1.4298875929759847,1.3776165449031066,1.425886498114303,1.3985118399929002,1.3555853577861696,1.4020542825669855,1.3882568373909887,1.3946391705060273,1.3940774299360672,1.393897829326707,1.4355363589894632,1.3938172598985357,1.40329022302182,1.4008044649742208,1.4561985278702403,1.382238665936729,1.4532640266972459,1.382238665936729
Durant,Bug Bite,X-Scissor,50,1.325965618050746,1.3165339056833216,1.1144281871093062,1.4434990314372729,1.4012548928971644,1.2181432907683087,1.4027269026791591,1.4176232801427382,1.2349416811637726,1.4637502695546105,1.4420683729148887,1.2257127829432048,1.391465810372161,1.3951929693714282,1.2100982252586059,1.4806068152154255,1.4801312602436576,1.2602142666845102,1.4651103604165905,1.4853265681204064,1.2364351655358237,1.4072012331940063,1.473545277443733,1.2151390620024112,1.463752457608429,1.4818531010412486,1.2168966686643166,1.442606227484655,1.51865991911174,1.2034886573535095
Pinsir,Bug Bite,X-Scissor,35,1.447122018441729,1.4011710355534746,1.2179810419452304,1.4788987549340182,1.421099674024763,1.242904323800663,1.552924739785259,1.4670655472515717,1.3534776044642092,1.5140213956042228,1.4873309663148184,1.2809152430507733,1.5055929429183943,1.4380737047657712,1.2865801921886395,1.5514605283185914,1.500941077324708,1.2982165672037844,1.509401827913417,1.5083588917290662,1.2822701232756486,1.4640054833725464,1.4972315887643357,1.2622298162369159,1.514187801065541,1.5028074593312886,1.2696899851189711,1.4653328447660776,1.5326849621370782,1.2250938005434584
Golisopod,Metal Claw,X-Scissor,35,1.7590144678017523,1.7446018149738012,1.556790706493775,1.86244279406623,1.8880848227296134,1.6223710364949713,1.965522969163688,2.014069602531001,1.7246475824927359,1.914603250607414,1.9242286446391417,1.672441330853013,2.048798058641233,2.092332992260651,1.763259748585957,1.9336166804176893,1.9571547510681868,1.7093438950144337,2.033133667368922,2.170159380683422,1.7614179292226084,1.917452509305769,2.040286333780369,1.6752197551918688,2.068473395207032,2.1971513977548676,1.8154972045507696,1.8853083373336341,1.9949677988817471,1.675000983168775
Golisopod,Waterfall,X-Scissor,35,1.8461923651455239,1.855942641557808,1.5532902854212773,1.8576249694754072,1.8863768162396315,1.575820979747697,2.1702269525343443,2.2219634966198183,1.8271354148948524,1.93491575040108,1.9601031445022679,1.6473712004354604,2.269979296826922,2.3297602877502244,1.8246357839742378,1.9302148712934337,1.9307371199294836,1.645603618036368,2.2333291722920743,2.3847932506630456,1.8619513811136097,1.9037712805040423,2.009504119257372,1.5658175188835637,2.2219787260883286,2.334058255340789,1.8853277411239457,1.9704009393475381,2.0782973139829073,1.6635410430827677
Golisopod,Fury Cutter,X-Scissor,35,1.5716306188252345,1.5408022810912634,1.2994449498897023,1.5494523181609412,1.5503310468532994,1.2889121604494906,1.5527521821907893,1.5670567492776866,1.3183041260151396,1.6178089993802722,1.6166055940323352,1.3775870805000665,1.6198784262649235,1.6219385297624187,1.3172986308717929,1.6361982588677302,1.639652639798577,1.3865849566582027,1.5844388067670052,1.6855501120600418,1.330001824456552,1.5572477765744968,1.6390867961990498,1.3019973078182412,1.586552741131509,1.65571004652477,1.3293656639997387,1.6804631567645445,1.7744533425553526,1.3811835853886762
Shadow Scizor,Fury Cutter,X-Scissor,45,1.0731945070068958,1.0647288577985654,0.9402950801284049,1.2448958030635515,1.167225001360163,1.031070450549316,1.2387804131293922,1.1676689240312552,1.111742831704144,1.1958361092121057,1.1735293872959325,1.014836563080665,1.2436281805640006,1.2102889810254593,1.055775340261334,1.2013053365223212,1.1931254374354399,0.9965777499673387,1.215064057629781,1.2206419014294136,1.0287711036809852,1.1986257762698282,1.252076531653901,0.9811202364986819,1.190823557101373,1.22057339305913,1.0126139938545797,1.2343909316257617,1.3139935192011303,1.0250852235663372
Scizor,Fury Cutter,X-Scissor,30,1.4280354163810556,1.4126328870973774,1.254257505862077,1.7044591527174373,1.5484304032957703,1.406614041354866,1.75050611811104,1.60404730259986,1.487587349217391,1.6314568811003032,1.5898894142718618,1.379676566160157,1.7062019505438486,1.6138336140906493,1.4098127529341742,1.625181051202774,1.6064101097683412,1.3728799131767442,1.6708114798647211,1.6556115482338298,1.3866866524679133,1.5582475642699005,1.618179237241748,1.307764126935556,1.6103752748028999,1.6297770023817513,1.405524616017118,1.6684947155458647,1.7507807608540271,1.357265929362913
Shadow Hariyama,Counter,Dynamic Punch,40,1.0990289071165704,1.0593623199759286,1.0967095810462184,1.052291052572311,1.0549831213236054,1.0528800875902926,1.018959047191159,1.0678194397684844,1.1676008980971742,1.0557621829110104,1.0775508317600235,1.0579827054554156,1.0633421571346957,1.0918728564316695,1.118904109589041,1.0408958492183131,1.0680304590307623,1.0502959489964643,1.047346952101294,1.0996854252808221,1.0691842950780002,1.0721751735523624,1.1209101255504264,1.0713005384197396,1.042617282262473,1.0909842867346473,1.0691544314397208,1.1013399185873831,1.1671076048572908,1.1013399185873831
Shadow Hitmonchan,Counter,Close Combat,40,1.5794422703374456,1.3490203165254486,1.5843997535880185,1.5558904239871214,1.350549537565599,1.5551078556700246,1.6388204145839906,1.4359711614146673,1.6287188155815637,1.4583458399189615,1.441519029532093,1.605372578283743,1.558155856132236,1.4282378054269134,1.5402521488497523,1.4307188446524552,1.3642498721393557,1.4342099308253142,1.4586489803208353,1.4332473022049037,1.4558736938331447,1.3819291161799525,1.4009198287675384,1.3806514262533072,1.4667103910966737,1.415693692216517,1.5309002946861205,1.383283134504355,1.4395328731063077,1.383283134504355
Shadow Gallade,Low Kick,Close Combat,45,1.2189349981572517,1.1439143006190566,1.2266675984268092,1.2854447986726494,1.2184218079078413,1.2853723620741793,1.230123324132608,1.203791105600321,1.4115161958968596,1.283781943954562,1.2647041462352087,1.2855011510460568,1.3118029395933948,1.2782245605397888,1.3821594125956858,1.2635791716822395,1.2183952618460479,1.261941313511118,1.2356958381265326,1.2331697724038462,1.2416213657305604,1.26434544898186,1.2889937343564486,1.2664981893474592,1.2667139608494924,1.2647512018419926,1.2931776880768138,1.1961337434135495,1.248817731745365,1.1961337434135495
Scizor,Fury Cutter,X-Scissor,45,1.2934894001897943,1.2957594527659924,1.0566752453882327,1.3715997501517267,1.3392371445598323,1.1919433315942927,1.3658747708127803,1.3775697415389885,1.2123935298526984,1.4566774735011148,1.4433939279332793,1.185205707307997,1.336746974893499,1.348339502646222,1.22304059254796,1.4049676534226079,1.412516270963091,1.2094021460788194,1.4173188938800045,1.4558307710921579,1.2002775094439633,1.4153940850078899,1.4960887280379782,1.1869274275444117,1.4223843468154025,1.45117168060635,1.184367054085688,1.418122016550944,1.4982460893291545,1.231000091762419
Shadow Granbull,Charm,Play Rough,35,1.3072708003582234,1.2395334107228382,1.308451850849534,1.2042396287028596,1.2090688934260465,1.2050603132213344,1.3920202376860624,1.324509395649578,1.3615920344317505,1.2533009660916477,1.2886693833633733,1.3861692503192728,1.2776214313663177,1.2541259201155115,1.28645446679685,1.2481124533704209,1.2383860283010013,1.2580313986496008,1.2539046250933832,1.2917809192572347,1.2572825583874108,1.2381403047650752,1.2584399590806978,1.241120958301085,1.2933929925752168,1.2915472791071747,1.3026456708730256,1.2171390974697918,1.294858745177011,1.2171390974697918
Shadow Gardevoir,Charm,Dazzling Gleam,35,1.1449575455657417,1.105219206959358,1.143988500180714,1.4493782578017484,1.1717300938533697,1.4594659767300326,1.3580565392993762,1.226479437961967,1.3669389737339424,1.246525673813897,1.2386237257973634,1.329470674637252,1.2385996057763138,1.1768562406197358,1.2584912585581995,1.1842200518372599,1.1561783739520335,1.1853962769526083,1.1971094078582225,1.1965344351770586,1.1994543146476973,1.1372513914008,1.1493689918671393,1.1404820593479392,1.1803613981451202,1.1946563825516534,1.2514340876906755,1.165524984035212,1.2063638173915379,1.165524984035212
Conkeldurr,Counter,Dynamic Punch,40,1.086759629028898,1.0960165473479555,1.0873696055093731,1.069007669211683,1.0818650600011217,1.0689792533990374,1.0724312555647184,1.1112863928189765,1.0897475450720202,1.106976172362825,1.1379740083988792,1.10563595938398,1.1084788954388725,1.1245591069161824,1.112379615732942,1.0822518951042412,1.1261531766099788,1.0996090991167937,1.1232487617701454,1.1597586340005723,1.1225477863580582,1.1432947214731481,1.1893890104628952,1.1414985215925237,1.1121199461148839,1.1562788170565212,1.1092711321047537,1.1441935924862185,1.2107106094210667,1.1441935924862185
Chesnaught,Vine Whip,Superpower,30,1.8902567562996186,1.857913581323966,1.8898312327186684,1.8192894549604623,1.8074742233257233,1.8192298819209638,1.617268428529366,1.6045489044176386,1.6193223448594614,1.8807256667622296,1.9126221810332067,1.8961895509342337,1.6851853090136877,1.6546339653281554,1.6849348134785558,1.8207536962907949,1.8925575249149262,1.8150876974635948,1.612412450091511,1.6910013961893822,1.6294776484867572,1.9186153670319535,1.9765704102877688,1.9186153670319535,1.6135612489415532,1.6592521186331721,1.6230023375830536,1.961775896197353,2.0704750359402806,1.961775896197353
Gardevoir,Charm,Dazzling Gleam,35,1.2831968037659727,1.2822480998324615,1.2825421384073312,1.4062325630240582,1.3583277731829801,1.4238766211774667,1.4211476311748579,1.407976125818065,1.6220546436292698,1.4373988221074265,1.4077865727007768,1.4479645705210984,1.3389727037756194,1.353680958040712,1.4527153120815046,1.3778313862392069,1.3554289903614378,1.3928699282901995,1.3740966347418777,1.4058556413156826,1.4153800919142006,1.3323724806064403,1.3699392224103284,1.3325047556727938,1.3917998239930347,1.377172429044356,1.3943599720591213,1.3820004581878609,1.4399999250919029,1.3824361736194908
Pinsir,Bug Bite or Fury Cutter,X-Scissor,50,1.3131940351920466,1.285777363925927,1.0545839038138662,1.315954208260598,1.2988725617756602,1.0791532741553387,1.2789479734746954,1.2951672142916633,1.1233833722985822,1.3505751004565494,1.320401622834303,1.131699925931081,1.3127853758810788,1.321763315152996,1.1319999044751552,1.3724593829205758,1.3501055590608337,1.1277071497126605,1.3239645248827066,1.352504402701732,1.126109125547577,1.3342116646923003,1.394118273927085,1.1032725432844717,1.3418118492196915,1.3615902462252134,1.1320838795105568,1.3658450288801927,1.4416305495195583,1.1231533562260803
Heracross,Counter,Megahorn,30,1.5142899809671673,1.3475187880233808,1.4065081072034555,1.4138643438593799,1.337641852369362,1.3140037447718067,1.4510193332543473,1.3882658489634228,1.5785252015029285,1.442622998445596,1.4015886323951228,1.3508607326048636,1.4761281576012977,1.4299275664494702,1.480239252995714,1.4020107489566518,1.390516107966182,1.2969385132171578,1.4216503457825285,1.421030222602904,1.3277972279783292,1.419291423442514,1.4356697553829099,1.3234399889827537,1.4364216434718449,1.4402841160218072,1.3784425047442923,1.423246104935008,1.477146725611016,1.3148959120778696
Mega Lopunny,Low Kick,Focus Blast,35,1.3117737834743735,1.192997644486621,1.3113819991062226,1.5161673848468962,1.2218792584179339,1.5419114784699872,1.3104421392449461,1.2642825721521838,1.437202173920694,1.319714415391017,1.2631010935762876,1.3223916720599598,1.2791936233492112,1.2395686685857363,1.4365074647155105,1.266628513250747,1.2682118549666943,1.2695383041851138,1.305521189622491,1.3113886418937475,1.329317864502413,1.2625912573365938,1.287759028635039,1.2704213598358576,1.2745366808740812,1.2892631818416962,1.2716815744183043,1.2249409505712678,1.2821950319701516,1.2249409505712678
Toxicroak,Counter,Dynamic Punch,45,1.3907429481484384,1.2761939141225758,1.3939894349082453,1.2439502260401452,1.2408452581336704,1.2509418866581274,1.2610578214574373,1.2830175642750645,1.3623847905319724,1.2678705298007562,1.2882847109417186,1.2755749915122485,1.304257799511721,1.309341778709349,1.344989446341674,1.2796930160067561,1.2832309505318524,1.2814903353617197,1.2716053105129026,1.3089023877335062,1.2932358753454463,1.2601968086864805,1.31401033415049,1.2584894843606433,1.2580272698863217,1.2765391306925835,1.2930172004606797,1.3132509302649313,1.3876155691486007,1.3184330724242694
Golisopod,Metal Claw,X-Scissor,50,1.6203318816866403,1.617199476196496,1.4113856044838435,1.6161218246515556,1.6427712703165152,1.3993083833711717,1.7755433921937338,1.8435893856550796,1.5475213761438833,1.7431700837101598,1.7685850063326354,1.5322552381410166,1.8350467428783472,1.9065495140173525,1.5567723624580012,1.6901233198899188,1.7381098882021528,1.4740179922422665,1.8660898055129314,2.0080249201560196,1.608333349337338,1.7260781061632622,1.8292403025556456,1.5060153799562865,1.847198243197579,1.9482953068943727,1.5914889832285146,1.770716427283277,1.8701652909586552,1.5433784675426339
Golisopod,Waterfall,X-Scissor,50,1.6534744267449584,1.6604336957702246,1.384257541470745,1.6578467815164575,1.7029188996891236,1.3628057151316364,1.9110418091449661,1.997086462968155,1.6221321831057787,1.7506809018792167,1.7695883503284244,1.4696154345418404,1.9361122490406184,2.0315038733487523,1.6237354255723684,1.693496445447569,1.7292372080574216,1.4196488441981145,2.024738094460758,2.167575950205779,1.6824247219624238,1.7111852211414844,1.8102955851441933,1.4216247182354198,1.9818546136483752,2.108696129631641,1.6588886391406454,1.7962004116199937,1.8965404319575423,1.498582551532089
Golisopod,Fury Cutter,X-Scissor,50,1.3474068432737898,1.3254975866225358,1.1730521613571177,1.4067870140474281,1.4115643500591935,1.1556178536076378,1.3499995894278856,1.3709239866786944,1.1435696781935767,1.473194353859276,1.4777371331168623,1.2523432994699233,1.3600653977783126,1.375021061391246,1.1758217800320008,1.4182249194694503,1.4435944071199596,1.1953296303099292,1.3993177108639665,1.4926000042250571,1.1836259825658773,1.4461852286169983,1.53315710224493,1.2077556629925346,1.4082525424656889,1.4992895284326275,1.2097926185377266,1.4513405116098188,1.5375778341946724,1.2619266487428236
Yanmega,Bug Bite,Bug Buzz,30,1.4896512309026264,1.447321961111774,1.2423999529965584,1.468788788375054,1.4422402478407144,1.2007814401197112,1.6324778965569422,1.4813070035391318,1.3802916000464533,1.6851581019499444,1.5141967629148847,1.4204138113906086,1.588971289273111,1.5031325903214963,1.333744114659206,1.4872148636916254,1.4618821254796872,1.2840200800877,1.5227725594052655,1.5064508174525593,1.2809994565039955,1.4721553509811944,1.481315451239465,1.2213889239130562,1.5033997055256447,1.492988914707412,1.2870124829415732,1.5070847454029839,1.5788358407778458,1.2677452600340957
Blaziken,Counter,Focus Blast,50,1.1753515910843018,1.1366655331240731,1.1857960139657195,1.2500832968162903,1.1603289739224028,1.2511107999488833,1.4596737242058069,1.2428694767786277,1.4567206549446374,1.2222242411765352,1.1938952367835047,1.2271539377686385,1.368163259307702,1.236824827641951,1.3601873021763131,1.1655626955587233,1.1764200221725296,1.1756726583646673,1.2616822641697858,1.2566770308602024,1.3080135893205915,1.1457789593519758,1.182273089495358,1.147834227321741,1.373803217678384,1.2530353940991987,1.3791920620798168,1.1959543385209273,1.2425086472034623,1.1959543385209273
Shadow Pinsir,Bug Bite or Fury Cutter,X-Scissor,50,1.077942967377119,1.0444624960607911,0.9157366276098929,1.1059309336539804,1.0724582134667544,0.9180580222425696,1.1420835244448773,1.0978291761929173,1.012046420456345,1.1383475618991805,1.1242287766928394,0.9754749872469142,1.1521490334539028,1.1199346757023372,0.9697244291931274,1.139608354846745,1.1049641309568785,0.9712233554416306,1.1382856830093162,1.1356439275364267,0.9666326101443624,1.1310619773266,1.1710576797366892,0.9317463357107129,1.1394812241589982,1.1461790787678061,0.9601672459447761,1.1282726255225621,1.1896286618355105,0.9378721730776555
Machamp,Counter,Dynamic Punch,35,1.254945821411848,1.2218317632878195,1.2547357302714628,1.2299163467998628,1.2291254488011372,1.230335255978497,1.1798890047614634,1.2228147885729568,1.3195563709648093,1.2382214374124236,1.2574382084433287,1.2504770769966818,1.2111235007651173,1.2362750454202267,1.2804779916268798,1.213566124858107,1.2341701185652243,1.2201673228677061,1.2166403880907157,1.2474696131960061,1.2442060829301924,1.2325875552959613,1.269072112628419,1.2329711114577535,1.21499296183904,1.2457020024800707,1.224648659179665,1.2470141944601718,1.311375980593809,1.2470141944601718
Yanmega,Bug Bite,Bug Buzz,45,1.2484422543135452,1.2285493384799728,1.0531956108755993,1.2690249928406914,1.2475715814881154,1.0729924202005956,1.2833443796783226,1.2926441899940058,1.1413806249846035,1.3431630584534373,1.321328639792771,1.2582778058538613,1.281468143382792,1.2836272987962034,1.1093015847939143,1.3035162870506383,1.2986149991805958,1.0870860704998755,1.3046128023076495,1.3274298400431723,1.1041860715225378,1.27392205995927,1.3155597382440483,1.0597307270036993,1.288193829107462,1.3028163837133357,1.1095415862589928,1.3127346886288884,1.381169602543879,1.1010961551546448
Shadow Gardevoir,Charm,Dazzling Gleam,50,0.9687987950026796,0.9727707638593386,0.9697302732431129,1.0401466403547137,1.0166914167164691,1.0404314311152199,1.061476370401739,1.0485303981728369,1.1921692167105196,1.0669935215776403,1.0482604368309911,1.0726645808344921,1.0013947362136524,1.0145285940763575,1.0896355176068822,1.0469863780902455,1.0322955745632187,1.0556889898770434,1.0245145505211224,1.0583265316312753,1.0594153480967077,1.0133968685570414,1.0383851444593233,1.0095439678998108,1.0305973194786588,1.0334901806083163,1.033625347181151,1.0291032439575696,1.0724206489163608,1.0291032439575696
