Attacker,Fast Move,Charged Move,Level,"Marshadow, Tier 5","Marshadow, Tier 5","Mega Gallade, Mega Tier","Mega Gallade, Mega Tier","Mega Medicham, Mega Tier","Mega Medicham, Mega Tier","Mega Mewtwo X, Mega Legendary Tier","Mega Mewtwo X, Mega Legendary Tier"
(Boss weights),,,,50.0,0.0,11.666666666666666,0.0,11.666666666666666,0.0,11.666666666666666,0.0
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Tornadus (Therian),Gust,Hurricane,45,1.712970454852647,,1.4432428661856236,,1.5772037619159283,,1.45405768086906,
Shadow Staraptor,Gust or Wing Attack,Brave Bird,50,1.3133799601428768,1.7535448,1.2672445143729216,1.3017814,1.3007198942293419,0.9837334,1.5545475420731973,3.4312508
Gardevoir,Charm or Confusion,Dazzling Gleam,35,1.64007397402011,2.3913114,1.3507253830587576,1.7516881,1.4733953236973927,1.3116095,1.3138403806404901,4.3976865
Hoopa,Astonish or Confusion,Shadow Ball,30,1.294445664632812,2.0038147,1.2189159731952024,1.6643976,1.341760530219014,1.2413064,1.157346190364548,4.177698
Shadow Dragonite,Dragon Tail,Hurricane,40,1.61993278529088,2.326121,1.3383027250568962,1.6498723,1.5642619074763195,1.3117857,1.5344971225282171,4.3749485
Shadow Gardevoir,Charm or Confusion,Dazzling Gleam,40,1.3824949979846948,1.9261518,1.158849241996962,1.4139421,1.2474818931135854,1.0528297,1.1199101567479994,3.5884604
Primarina,Charm,Moonblast or Psychic,30,1.7901896263725583,,1.5853405765000015,,1.65519252792016,,1.4550240892641733,
Mega Pidgeot,Gust or Wing Attack,Brave Bird,45,1.2843108695753498,1.7387265,1.1213862717053908,1.2893292,1.2351132847818804,1.0063224,1.1728986438469455,3.352669
Chandelure,Hex,Shadow Ball,30,1.3233874482703454,1.9789386,1.2449329048795155,1.6781961,1.3422035106646872,1.1813701,1.393907682292499,4.3193727
Honchkrow,Peck,Sky Attack,35,1.5903964368757957,2.221978,1.3681664556084543,1.6877993,1.470159148505096,1.2739182,1.6661078551513804,4.2437816
Lugia,Extrasensory,Aeroblast++,40,1.4483193594789636,2.0054455,1.2713582747456222,1.5836709,1.4907214691693291,1.2975163,1.2905018150731569,4.0769525
Chandelure,Hex,Shadow Ball,50,1.3070321504614326,1.7239947,1.2827214727042309,1.3511581,1.2698161785781807,1.0029796,1.1714396255317245,3.3856983
Tapu Koko,Quick Attack or Volt Switch,Dazzling Gleam,50,1.6933877444895227,,1.5703088470922655,,1.6001290428943393,,1.439298460034636,
Granbull,Charm,Play Rough,35,1.8539567447226772,,1.542892617622985,,1.6859883663330912,,1.5328327843101506,
Mega Altaria,Peck,Dazzling Gleam,45,1.9144213007197908,,1.5666806120288874,,1.742757418692956,,1.5057728571130464,
Honchkrow,Peck,Sky Attack,30,1.6191659999615058,2.3867195,1.3860436382008527,1.7864778,1.5170990675306275,1.3517923,1.5219604577123398,4.3790717
Mega Gengar,Lick or Shadow Claw,Shadow Ball,50,1.0,1.3409659,1.0,1.0262346,1.0,0.7699559,1.019122305662221,2.5822449
Tapu Koko,Quick Attack or Volt Switch,Dazzling Gleam,40,1.7828921696964006,,1.5155002501186903,,1.636459249883315,,1.4114418936193116,
Tornadus,Air Slash,Hurricane,30,1.7789529427872102,,1.420857153828623,,1.6189623540302402,,1.7634838009655993,
Shadow Mismagius,Hex,Shadow Ball,30,1.441223086485662,2.1163967,1.4524665348309502,1.8672206,1.4385121260315095,1.2890433,1.8011375988664422,5.066282
Shadow Honchkrow,Peck,Sky Attack,30,1.3929522905741563,1.9880921,1.2060463217996942,1.5082746,1.2839135134266169,1.1437966,1.343323828839477,3.7864728
Shadow Zapdos,Thunder Shock,Drill Peck,30,1.3835618831839733,2.1237197,1.1471797274116822,1.5477191,1.3095706550461703,1.2019379,1.3199948864080397,3.941997
Shadow Dusknoir,Hex,Shadow Ball,50,1.6023137424633729,2.1136358,1.6501444072233058,1.7091957,1.578419374654407,1.2446303,1.5356930962622823,4.424196
Togekiss,Charm,Dazzling Gleam,35,1.6928877325888705,2.489281,1.3832673059607048,1.782986,1.5297257020124755,1.3618318,1.3590589409550258,4.698223
